title,vote average,vote count,release date,revenue,runtime,budget,imdb id,popularity,genres,production companies,cast,director,imdb rating,imdb votes
The Kiss of Death,5.7,5,1/1/2008,629000,93,196000,tt2088840,0.2846,"Comedy, Romance, Horror","HKFilm, Phương Nam Phim","Johnny Nguyen, Hương Giang, Thanh Hằng, Phương Thanh, Vũ Ngọc Đãng, Vinh Thuy, Thủy Tiên, Trinh Hoan Nguyen, Thành Lộc, Hoài Linh, Doan Minh Tuan, Hiếu Hiền, Tommy Quân Trần",Nguyễn Quang Dũng,6.1,220
A Pain in the Ass,5.156,64,1/1/2008,2030916,86,30000000,tt1182924,0.3125,Comedy,"EFVE, Téléma, TF1 Films Production, TF1 International, Pulsar Productions","Louis Gensollen, Patrick Timsit, Francis Veber, Sandra Moreno, Laurie Lefret, Pascal Elbé, Corinne Masiero, Élizabeth Martichoux, Jérémie Covillault, Virginie Ledoyen, Patrick Vo, Cédric Chevalme, Samuel Dupuy, Karim Seghair, Grégori Baquet, José Paul, Frédéric d'Elia, Michel Aumont, Guillaume Gallo-Manrique, Richard Berry, Mathieu Busson, François-Paul Doussot, Pierre-Arnaud Juin, Stéphane Bierry, Laurent Paolini, Philippe Beglia, Andrée Damant",Francis Veber,5.3,1089
Hamlet Passion,2.2,3,1/1/2008,25000000,76,100000,tt1753921,0.1298,"Comedy, Fantasy",Fabrika KINO,"Oleg Dyachuk, Юлия Колодюк, Петар Кулинский, Oksana Borbat",Aleksandr Parkhomenko,3.8,32
One Missed Call,5.4,780,1/4/2008,45847751,87,20000000,tt0479968,3,"Horror, Mystery, Thriller","Intermedia Films, Alcon Entertainment, KADOKAWA, Warner Bros. Pictures, Warner Bros. Entertainment, Equity Pictures Medienfonds IV","Jason Beghe, DeMontrez Spears, Greg Corbett, John Jason Bailey, Dave Spector, Kate Kneeland, Daisy Jade, Meagan Good, Roy McCrerey, Kelly Finley, Jeff Portell, Shaun Lynch, Johnny Lewis, Azura Skye, Ray Wise, Jason Horgan, J.C. Doler, Ariel Winter, Jody Thompson, Matthew Browning, Ana Claudia Talancón, Bob Seel, Mary Lynn Owen, Rona Nix, Kaira Akita, Rhoda Griffis, Stacey Turner, Edward Burns, Robert Keith Kelly, Donna Biscoe, Anthony B. Harris, Joe O'Shea, Blake Hester, Brian Spencer, Shannyn Sossamon, Geoff McKnight, Kelly Natividade, Kendyl McCray, Faye Yvette McQueen, Dana Abercrombie, Dawn Dininger, Edith Ivey, Laura Harring, Karen Beyer, Sarah Jean Kubik, Bart Hansard, Anthony Singleton, Kasia Kowalczyk, Lauren Peyton, Brian Beegle, Randy McDowell, Joe Przedwiecki, Alana Locke, Margaret Cho, Wilbur Fitzgerald, Raegan Lamb, Luke Michael Williams, Amber Brooke, Jason H. Karniol",Eric Valette,4.1,35082
27 Dresses,6.445,3279,1/10/2008,160300000,111,30000000,tt0988595,4.2902,"Comedy, Romance","Fox 2000 Pictures, Spyglass Entertainment, Dune Entertainment III","Michael Paul, Judy Greer, Brigitte Bourdeau, Katherine Heigl, Peyton List, Michael Mosley, Krysten Ritter, Malin Åkerman, Jane Pfitsch, Alyssa Bresnahan, Brian Kerwin, Danielle Skraastad, Ellen H. Schwartz, Laksh Singh, Edward Burns, James Marsden, Maulik Pancholy, David Castro, Alexa Havins, Jennifer Lim, Kathryn Weisbeck, Ronald Guttman, Erin Fogel, Bern Cohen, Yetta Gottesman, Melora Hardin, Jennifer Bassey, Charli Barcena, Robert Clohessy, Ron Simons, Richard O'Rourke, Lyralen Kaye",Anne Fletcher,6.1,184811
First Sunday,5.7,250,1/11/2008,38800000,96,20000000,tt0486578,2.894,"Comedy, Action",Cube Vision,"Chi McBride, Ice Cube, Melanie Comarcho, Katt Williams, Retta, Rickey Smiley, Loretta Devine, P.J. Byrne, Gerry Black, Tracy Morgan, Jasmine Masters, Arjay Smith, Malinda Williams, Regina Hall, Nicholas Turturro, Patricia Mikel, Red Grant, Roy Jackson, Paul Campbell, Olivia Cole, Starletta DuPois, Clifton Powell, C.J. Sanders, Keith David, Kim Staunton, Sterling Ardrey, Michael Beach, Tiffany Pollard",David E. Talbert,4.6,12231
The Pirates Who Don't Do Anything: A VeggieTales Movie,5.7,81,1/11/2008,13247725,86,15000000,tt0475998,1.0944,"Adventure, Animation, Comedy, Family, Fantasy","Big Idea Productions, Universal Pictures, Starz Animation, Arc Productions, Veggie Pirates Productions","Jim Poole, John Wahba, Andy Youssi, Cam Clarke, Yuri Lowenthal, Laura Gerow, Keri Pisapia, Kurt Heinecke, Mike Nawrocki, Colleen Curtis, Cydney Trent, Joe Spadaford, Tim Hodge, Sondra Morton Chaffin, Drake Lyle, Paula Marcus, Megan Murphy, J. Chris Wall, Michael Fowler, Patrick Kramer, Ally Nawrocki, Marissa Collyer, Phil Vischer, Alan Lee, Brian K. Roberts, Sloan Yarborough",Mike Nawrocki,5.6,3250
Cloverfield,6.7,7488,1/15/2008,170764026,84,25000000,tt1060277,4.7767,"Action, Thriller, Science Fiction",Bad Robot,"Margot Farley, Rob Kerkovich, Kelvin Yu, Hisonni Johnson, Ryan Key, Jessica Lucas, Billy Brown, Julio Leal, Chris Spinelli, Odette Annable, Scott Lawrence, Lili Mirojnick, Chris Mulkey, Matt Reeves, Baron Vaughn, Theo Rossi, Vakisha Coleman, Mike Vogel, Tim Griffin, Jason Lombard, Michael Ark, Susse Budde, Jamie Martz, Adam Karst, Jeffrey De Serrano, Bertrand Roberson Jr., Pasha D. Lychnikoff, Michael Stahl-David, Lizzy Caplan, Caley Bisson, Rick Shuster, Elena Nikitina Bick, Maylen Calienes, Jason Cerbone, Anjul Nigam, Ben Feldman, Roma Torre, Liza Lapira, Jason Giffin, Gene Richards, Rasika Mathur, Rick Overton, Hooman Khalili, Martin Cohen, T.J. Miller, Craig Dabbs, Jake McLaughlin, Brian Klugman, Will Greenberg, Charlyne Yi",Matt Reeves,7,439132
Assassination of a High School President,5.725,315,1/17/2008,69564,93,11500000,tt1018818,4.3125,"Comedy, Crime","Yari Film Group, Vertigo Entertainment","Josh Caras, Quinn Shephard, Robin Lord Taylor, Laura Ford, Zachary Booth, Josh Pais, Emily Meade, Melonie Díaz, Zach Roerig, Bruce Willis, Joe Perrino, Reece Thompson, Zoë Kravitz, Mischa Barton, Patrick Taylor, Kimberly Magness, Luke Grimes, Zoe Weizenbaum, John Magaro, Aaron Himelstein, Michael Rapaport, Tanya Fischer, Michael Zegen, Emily Brownell, Adam Pally, Vincent Piazza, Kathryn Morris, Gabrielle Brennan",Brett Simon,6.2,16628
TransSiberian,6.4,762,1/18/2008,5926410,111,15000000,tt0800241,3.408,"Thriller, Crime, Mystery","Lithuanian Film Studio, Scout Productions, Canal+ España, Castelao Productions, UFA, Future Films, Filmax, ICO, MEDIA Programme of the European Union, FICC, Telecinco Cinema","Mac McDonald, Ben Kingsley, Mindaugas Capas, Larisa Kalpokaitė, Andrius Paulavičius, Valentinas Krulikovskis, Emily Mortimer, Emilis Vėlyvis, Colin Stinton, Sonata Visockaitė, Etienne Chicot, Mindaugas Papinigis, Kate Mara, Eduardo Noriega, Woody Harrelson, Thomas Kretschmann, Perlis Vaisieta",Brad Anderson,6.6,56073
Sunshine Cleaning,6.6,807,1/18/2008,16174377,91,5000000,tt0862846,3.1923,"Comedy, Drama","Overture Films, Back Lot Pictures, Big Beach","Alan Arkin, Susie Yip, Amy Redford, Emily Blunt, Judith Jones, Mason Frank, Clifton Collins Jr., Ivan Brutsche, Kathy Lamkin, McKenna Hutton, Amy Adams, Paul Dooley, Kevin Chapman, Mary Lynn Rajskub, Lois Geary, Jason Spevack, Steve Zahn, Vic Browder, Angelique Midthunder, Amber Midthunder, Eric Christian Olsen",Christine Jeffs,6.8,75704
Teeth,5.4,766,1/18/2008,2340110,94,2000000,tt0780622,2.6147,"Comedy, Horror","Teeth, Pierpoline Films","Kiri Weatherby, Ava Ryen Plumb, Lenny Von Dohlen, Trent Moore, John Hensley, Nathan Parsons, Lana Dieterich, Vivienne Benesch, Paul Galvan, Mike Yager, Andra Millian, Tom Byrne, Hunter Ulvog, Josh Pais, Laila Liliana Garro, Taylor Sheppard, Nicole Swahn, Denia Ridley, Ashley Springer, Adam Wagner, Carter Doyle, Hale Appleman, Kasey Kitzmiller, Jess Weixler, Michael Swanner, Frank G. Curcio",Mitchell Lichtenstein,5.4,48955
Taxi to the Dark Side,6.9,238,1/18/2008,274661,106,1000000,tt0854678,0.9202,Documentary,"Wider Film Projects, Jigsaw Productions","Jack Reed, Moazzam Begg, Christopher Beiring, Brian Keith Allen, Alex Gibney, Carl Levin",Alex Gibney,7.4,17440
U2 3D,7.4,23,1/19/2008,22730842,85,15000000,tt0892375,2.01,"Music, Documentary","3ality Digital Entertainment, National Geographic","Larry Mullen Jr., Adam Clayton, The Edge, Bono","Catherine Owens, Mark Pellington",8.4,2968
Be Kind Rewind,6.3,1399,1/20/2008,30600000,102,20000000,tt0799934,1.5288,"Drama, Comedy",Partizan Films,"Matt Walsh, Karen Spitzer, Ted McElwee, David M. Sheppard, Irv Gooch, David Slotkoff, Heather Lawless, Melonie Díaz, Harvey Hogan, John Tormey, Danny Glover, Chandler Parker, Kid Creole, Amir Ali Said, Jon Glaser, Sigourney Weaver, Paul Dinello, Gio Perez, Marcus Carl Franklin, P.J. Byrne, Frank Heins, Frank Girardeau, Marc Alan Austen, Marceline Hugot, Ann Longo, Karolina Wydra, Francisco Fabian, Quinton Aaron, Walter Helbig, Tomasz Soltys, Allie Woods Jr., Jack Black, Kishu Chand, Mia Farrow, Arjay Smith, Victor Dickerson, McKinley Page, Parrie Hodges, Yasiin Bey, Paul Barman, Basia Rosas, Blake Hightower",Michel Gondry,6.4,95866
Hamlet 2,5.9,185,1/21/2008,4886216,92,9000000,tt1104733,2.8881,"Comedy, Music",Focus Features,"Elisabeth Shue, Nat Faxon, Arnie Pantoja, J. J. Soria, Catherine Keener, Marco Rodríguez, Steve Coogan, Arron Shiver, Skylar Astin, J.D. Garfield, Johnnie Hector, Melonie Díaz, Michael Esparza, David Arquette, Phoebe Strole, Evan Adrian, Natalie Amenula, Deborah Chavez, Marshall Bell, Amy Poehler, Josh Berry",Andrew Fleming,6.3,17805
Downloading Nancy,5.3,70,1/21/2008,20000,97,3000000,tt0411323,1.1098,"Thriller, Drama, Romance","World Premiere Entertainment, Tule River Films","Amy Brenneman, Sunny Doench, Rufus Sewell, Jason Patric, David Lawrence Brown, Michael Nyqvist, Maria Bello",Johan Renck,5.7,3170
Untraceable,6.2,944,1/22/2008,52659594,101,35000000,tt0880578,4.664,"Thriller, Crime, Mystery, Drama, Horror","Cohen/Pearl Productions, Screen Gems, Lakeshore Entertainment","Tim DeZarn, Trina Adams, Katie O’Grady, Erin Carufel, Betty Moyer, Perla Haney-Jardine, Brynn Baron, Billy Burke, Ryan Deal, Diane Lane, Jesse Tyler Ferguson, John Breen, Colin Hanks, Christopher Cousins, Tyrone Giordano, Joseph Cross, Mary Beth Hurt, Peter Gray Lewis, Dan Callahan",Gregory Hoblit,6.2,54385
Meet the Spartans,4.1,1769,1/24/2008,85897593,84,30000000,tt1073498,5.0095,"Comedy, Fantasy","New Regency Pictures, Regency Enterprises, 3 in the Box, 20th Century Fox","Hunter Clary, Robin Atkin Downes, John Di Domenico, Tony Yalda, Carmen Electra, Zachary Dylan Smith, Jareb Dauplaise, Belinda Waymouth, Tiffany Haddish, Nick Steele, Travis Van Winkle, Crista Flanagan, Kevin Sorbo, Ryan Fraley, Diedrich Bader, Tim Connolly, Jim Piddock, Tiffany Claus, Jessica Heap, Lauren Walsh, Nate Haden, Sean Maguire, Ken Davitian, Nicole Parker, Method Man, Emily Wilson, Jesse Lewis IV, Dean Cochran, Jim Nieb, Martin Klebba, Ike Barinholtz, Phil Morris","Aaron Seltzer, Jason Friedberg",2.8,114455
Rambo,6.687,4108,1/24/2008,113200000,92,50000000,tt0462499,10.5261,"Action, Thriller, War","Millennium Media, Lionsgate, The Weinstein Company, Equity Pictures Medienfonds IV, Nu Image Entertainment","Kjam Saen, Graham McTavish, James With, Yupin Mu Pae, Surachai Muangdee, Thomas Peterson, Pornpop 'Tor' Kampusiri, Kasikorn Niyompattana, Matthew Marsden, Maung Maung Khin, Sylvester Stallone, Pan Dokngam, Suppakorn Kitsuwan, Nee Lungjai, Mana Sen-Mi, Richard Crenna, Cameron Pearson, Kammul Kawtep, Sornram Patchimtasanakarn, Tony Skarberg, Julie Benz, Wasawat Panyarat, Matthew Wolf, Noa 'Arunee Prijareonsuk' Jei, George Cheung, May Kung, Tim Kang, Jake La Botz, Watcharentr Sedtho, Rapimpa Dibu, Toole Khan Kham, Moan Adisak, Saiwan Lungta, Paul Schulze, Aun Lung Su, Aung Aay Noi, Han Pik, Reynaldo Gallegos, Somsak Wongsa, Tip Tiya, Shaliew 'Lek' Bamrungbun, Ken Howard, Aung Theng",Sylvester Stallone,7,253898
Asterix at the Olympic Games,5.226,2055,1/25/2008,131856927,116,97250400,tt0463872,2.7429,"Fantasy, Adventure, Comedy, Family","Pathé, Pathé Renn Productions, La Petite Reine, TF1 Films Production, Tripictures, Sorolla Films, Constantin Film, Novo RPI","Stéphane Rousseau, Alain Delon, Dorothée Jemma, David M. Antón, Bouli Lanners, Jérôme Le Banner, José Garcia, Tony Gaultier, Michael Herbig, Jamel Debbouze, Gérard Depardieu, Santiago Segura, Luca Bizzarri, Dany Brillant, Alexandre Astier, Tony Parker, Stéphane De Groodt, Enrico Brignano, Sim, Paolo Kessisoglu, Pierre Tchernia, Zinédine Zidane, Jean-Pierre Cassel, Vanessa Hessler, Francis Lalanne, Franck Dubosc, Clovis Cornillac, Vincent Moscato, Mónica Cruz, Nathan Jones, Michael Schumacher, Patrice Thibaud, Élie Semoun, Jean Todt, Benoît Poelvoorde, Adriana Karembeu","Thomas Langmann, Frédéric Forestier",5.2,34439
"Moscow, Belgium",6.7,59,1/30/2008,1500000,102,560000,tt0948530,0.5182,"Romance, Drama, Comedy",A Private View,"Johan Heldenbergh, Griet van Damme, Bob De Moor, Camille Friant, Anemone Valcke, Sofia Ferri, Julian Borsani, Robrecht Vanden Thoren, Barbara Sarafian, Jurgen Delnaet, Jits Van Belle",Christophe Van Rompaey,7.2,4407
