id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer,imdb_rating,imdb_votes,poster_path,release_month,release_year,ISO_week
1726,Iron Man,7.654,27411,Released,2008-04-30,585174222,126,140000000,tt0371746,en,Iron Man,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",18.1675,Heroes aren't born. They're built.,"Action, Science Fiction, Adventure","Marvel Studios, Marvel Entertainment, Fairview Entertainment",United States of America,"English, فارسی, اردو, العربية","Tim Guinee, Mike Cochrane, Shaun Toub, Faran Tahir, Russell Richardson, Paul Bettany, Sarah Cahill, Gabrielle Tuite, Jim Cramer, Ahmed Ahmed, Eileen Weisinger, Kevin Foster, Donna Evans, Zorianna Kit, Marvin Jordan, Jeff Bridges, Sayed Badreya, James Bethea, Robert Downey Jr., Fahim Fazli, Frank Nyi, Flavia Manes Rossi, Jon Favreau, Peter Billingsley, Thomas Craig Plumer, Stan Lee, Bill Smitrovich, Meera Simhan, Justin Rex, Lana Kinnear, Garret Noël, Jeannine Kaspar, Kristin J. Hooper, Robert Berkman, Javan Tahir, Daston Kalili, Ava Rose Williams, Ricki Lander, Gwyneth Paltrow, Ido Mor, Adam Harrington, Tom Morello, Terrence Howard, Callie Croughwell, Gerard Sanders, Tim Rigby, Stacy Stas Hurst, Joshua Harto, Reid Harper, Summer Kylie Remington, Nicole Lindeblad, Sahar Bibiyan, Vladimir Kubr, Ben Newmark, Nazanin Boniadi, Leslie Bibb, Tim Griffin, Patrick O'Connell, Samuel L. Jackson, Clark Gregg, Masha Lund, Marco Khan, Micah A. Hauptman, Lauren Scyphers, Will Lyman",Jon Favreau,Matthew Libatique,"Hawk Ostby, Matt Holloway, Jack Kirby, Mark Fergus, Don Heck, Stan Lee, Art Marcum, Larry Lieber","Jon Favreau, Peter Billingsley, Stan Lee, Avi Arad, Kevin Feige, David Maisel, Ari Arad, Louis D'Esposito",Ramin Djawadi,7.9,1198446,/78lPtwv72eTNqFW9COBYI0dWDJa.jpg,4,2008,18
1724,The Incredible Hulk,6.225,12321,Released,2008-06-12,264770996,114,150000000,tt0800080,en,The Incredible Hulk,"Scientist Bruce Banner scours the planet for an antidote to the unbridled force of rage within him: the Hulk. But when the military masterminds who dream of exploiting his powers force him back to civilization, he finds himself coming face to face with a new, deadly foe.",8.9864,You'll like him when he's angry.,"Science Fiction, Action, Adventure","Marvel Studios, Valhalla Motion Pictures, Marvel Entertainment",United States of America,"Português, Español, English","Jonathan Lipow, Jee-Yun Lee, P.J. Kerr, Carlos A. Gonzalez, Tim Blake Nelson, John Atkin, Scott Magee, Scott Murphy, Todd Hofley, Raimundo Camargo Nascimento, Tamsen McDonough, Jon Cesar, David L. Marston, Chris Owens, Rick Cordeiro, Liv Tyler, Tim Roth, Robin Wilcock, Tony Nappo, Tre Smith, Jason Burke, Débora Nascimento, Bill Bixby, Martin Starr, Adrian Hein, Julio Cesar Torres Dantas, J.D. Hall, Lenka Matuska, DI MacDonald, Aaron Berg, Javier Lambert, Deshaun Clarke, JB Blanc, Carla Nascimento, John Carvalho, Joris Jarsky, Genelle Williams, Nick Stankevich, Jay Hunter, Brandon Cruz, David Collins, Kieran Gallant, Jim Annan, Stephen Broussard, Wayne Robson, Joe La Loggia, Jeffrey W. Pike, Jason Hunter, Richard D. Leko, Billy Parrott, John Campea, Lou Ferrigno, Nick Alachiotis, Michael Kenneth Williams, Nicholas Rose, James Downing, Simon Wong, Arnold Pinnock, Paul Soles, Desmond Campbell, Imali Perera, Peter Mensah, Wes Berger, J.A. Worthington, Greg Bryk, Moses Nyarko, Maxwell McCabe-Lokos, Ty Burrell, Stephen Gartner, Dave Kiner, Kristina Pesic, Yan Regis, Matt Purdy, Fred Tatasciore, Russell Yuen, Miyoshi Umeki, Pedro Salvín, Scoot DeVille, William Hurt, Mila Stromboni, Robert Downey Jr., Edward Norton, Krista Vendy, Max Topplin, Al Vrkljan, Christina Cabot, Grant Nickalls, Kevin Lise, Ruru Sacha, Ish Morris, Avi Phillips, Dylan Taylor, Stan Lee, David Meunier, Chris Ratz, Shaun McComb, Fabio Dorea, David Bianchi, Roberto Bakker, Tig Fong, François Mequer, Robert Morse, T.J. Smith, Rickson Gracie, Johnny Prince, John MacDonald",Louis Leterrier,Peter Menzies Jr.,"Zak Penn, Jack Kirby, Stan Lee","Gale Anne Hurd, Kevin Feige, Avi Arad, Jim Van Wyck, Stan Lee, David Maisel",Craig Armstrong,6.6,554880,/gKzYx79y0AQTL4UAk1cBQJ3nvrm.jpg,6,2008,24
10138,Iron Man 2,6.8,21809,Released,2010-04-28,623933331,124,200000000,tt1228705,en,Iron Man 2,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies.",17.0362,"It's not the armor that makes the hero, but the man inside.","Adventure, Action, Science Fiction","Marvel Studios, Fairview Entertainment, Marvel Entertainment",United States of America,"English, Pусский, Français","François Duhamel, Robert Downey Jr., Tim Guinee, Karim Saleh, Nadine Ellis, Christopher Maleki, Davin Ransom, John Ceallach, Evgeniy Lazarev, Eric L. Haney, John Slattery, Alejandro Patiño, Mickey Rourke, Paul Grace, Cameron Lee, Sam Rockwell, Gwyneth Paltrow, Jon Favreau, Ali Khan, Melanie Brown, Matt McColm, Brian Schaeffer, Stan Lee, Olivia Munn, Peter Trenholm Smith, Timothy 'TJ' James Driscoll, Jasmine Dustin, Kylette Zamora, Kristin Quick, Tony Nevada, Michael Bruno, Ajarae Coleman, Ayelet Ben-Shahar, Clark Gregg, Tanoai Reed, Keith Middlebrook, Rachele Brooke Smith, Margy Moore, Nicolas Pajon, Philippe Bergeron, Helena Mattsson, Sam Felman, Sandy Colton, Allison Ochmanek, Nick W. Nicholson, Elon Musk, Mathew Lorenceau, Samuel L. Jackson, Scarlett Johansson, Katie Cleary, Brooke Long, Shakira Vanise Gamble, Jenny Robinson, Don Cheadle, Bill O'Reilly, Lindsay Rosenberg, Renee Herlocker, Jill Ann Pineda-Arnold, Luminita Docan, James Bethea, Doug Swander, Kate Clark, Krystal Ellsworth, Garry Shandling, Victoria Gracie, Gina Cantrell, Peter Sebastian Wrobel, Jack White, Adam Goldstein, Hannah Douglass, Larry Ellison, Annika Ihnat, Paul Bettany, Steven James Price, Kate Mara, Seth Green, Bryan McCoy, Christiane Amanpour, Max Favreau, Phillipe Simon, Leslie Bibb, Lindsay Dennis, Jennifer D. Johnson, Anya Monzikova, Mark Kubr, Isaiah Guyman Martin IV",Jon Favreau,Matthew Libatique,"Stan Lee, Justin Theroux, Jack Kirby, Larry Lieber, Don Heck","Stan Lee, Alan Fine, David Maisel, Denis L. Stewart, Kevin Feige, Jon Favreau, Susan Downey, Louis D'Esposito",John Debney,6.9,920331,/6WBeq4fCfn7AN0o21W9qNcRF2l9.jpg,4,2010,17
10195,Thor,6.768,21838,Released,2011-04-21,449326618,115,150000000,tt0800369,en,Thor,"Against his father Odin's will, The Mighty Thor - a powerful but arrogant warrior god - recklessly reignites an ancient war. Thor is cast down to Earth and forced to live among humans as punishment. Once here, Thor learns what it takes to be a true hero when the most dangerous villain of his world sends the darkest forces of Asgard to invade Earth.",12.8066,Courage is immortal.,"Adventure, Fantasy, Action","Marvel Studios, Marvel Entertainment",United States of America,English,"Jeremy Renner, Colm Feore, Walt Simonson, Josh Dallas, Alexander Wright, Natalie Portman, Kelly Hawthorne, Jim Palmer, Patrick O'Brien Demsey, Anthony Hopkins, Dakota Goyo, Chris Hemsworth, Tom Hiddleston, Luke Massy, Darren Kendrick, Michelle Csitos, Stan Lee, Samuel L. Jackson, Stellan Skarsgård, Juliet Lopez, Rachel de la Torre, Douglas Tait, Idris Elba, Richard Cetrone, Justice J. Smith Jr., Jaimie Alexander, Joseph Gatt, Rob Mars, Kat Dennings, Ryan Schaefer, Ray Stevenson, Jamie McShane, Matthew Ducey, Rene Russo, Jason Camp, Adriana Barraza, Kinsey McLean, Stephen Oyoung, Seth Coltan, J. Michael Straczynski, Carrie Lazar, Dale Godboldo, Tadanobu Asano, Joel McCrary, Ted Allpress, Blake Silver, Shawn-Caulin Young, Clark Gregg, Harley Graham, Matt Battaglia, Vanessa Bednar, Maximiliano Hernández, Isaac Kappy, Buddy Sosthand, Josh Coxx, Hilary Pingle",Kenneth Branagh,Haris Zambarloukos,"Stan Lee, Don Payne, Larry Lieber, Mark Protosevich, J. Michael Straczynski, Jack Kirby, Zack Stentz, Ashley Miller","Stan Lee, Alan Fine, David Maisel, Kevin Feige, Patricia Whitcher, Louis D'Esposito",Patrick Doyle,7.0,949982,/prSfAi1xGrhLQNxVSUFh61xQ4Qy.jpg,4,2011,16
1771,Captain America: The First Avenger,7.005,22241,Released,2011-07-22,370569774,124,140000000,tt0458339,en,Captain America: The First Avenger,"During World War II, Steve Rogers is a sickly man from Brooklyn who's transformed into super-soldier Captain America to aid in the war effort. Rogers must stop the Red Skull – Adolf Hitler's ruthless head of weaponry, and the leader of an organization that intends to use a mysterious device of untold powers for world domination.",6.2662,When patriots become heroes.,"Action, Adventure, Science Fiction","Marvel Studios, Marvel Entertainment",United States of America,"Français, Norsk, English","Bruno Ricci, William Hope, Laura Haddock, Fernanda Toker, Chris Evans, David McKail, JJ Feild, Naomi Slights, Sam Hoare, Marcello Walton, David Bradley, Sarah Riches, Billy Lozowski, Patrick Monckeberg, Mollie Fitzgerald, Peter Stark, Ben Batt, Kenneth Choi, Anatole Taubman, Nicholas Pinnock, Stephanie Jayne Thompson, Rosanna Hoult, Michael Brandon, Spencer Garrett, Paul Blackwell, Richard Freeman, Toby Jones, Kevin Millington, Stan Lee, Amanda Walker, Nicole Evans, Sophie Colquhoun, Damon Driver, Stevie-Jean McGuire, David Soall, Hugo Weaving, Jennifer Abbotts, Emma Harris, Fabrizio Santino, Danielle Kelly, Jessica Powell, Jack Gordon, Simon Kunz, Amanda Righetti, Sebastian Stan, Benjamin Uttley, Marek Oravec, Martin Sherman, Michelle Antrobus, Gregory Paulett, Samuel L. Jackson, Rosie Pethullis, James Payton, Darren Simpson, Neal McDonough, Erich Redman, Ronan Raftery, Marc Wheeler, Hayley Atwell, Richard Armitage, Paul Simmons, Vincent Montuel, Doug Cockle, Kieran O'Connor, Chris Diggle, Holly Rostron, Stanley Tucci, Lex Shrapnel, Nathan Robinson, Lucie Waugh, Erin Dusek, Michael Humphrey, Lizzi Franklin, Nick Hendrix, Wiliam Morris, Kirsty Mather, Oscar Pearce, Caroline Royce, Leander Deeny, Maxwell Newman, Natalie Dormer, Dominic Cooper, Rai Quartley, Lucy Dean, Jan Pohl, Adam Birch, Tommy Lee Jones, Luke Allen-Gale, Adam Kent, Nicole May, Jenna Coleman, Rachael Isherwood, Sergio James, Anna McNicholas, Steve Leighton, Derek Luke, Katherine Press, Megan Sanderson",Joe Johnston,Shelly Johnson,"Jack Kirby, Joe Simon, Christopher Markus, Stephen McFeely","Alan Fine, Nigel Gostelow, Kevin Feige, Stan Lee, Joe Johnston, Louis D'Esposito, David Maisel",Alan Silvestri,6.9,950736,/vSNxAJTlD0r02V9sPYpOjqDZXUK.jpg,7,2011,29
24428,The Avengers,7.847,33870,Released,2012-04-25,1518815515,143,220000000,tt0848228,en,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",37.4148,Some assembly required.,"Science Fiction, Action, Adventure",Marvel Studios,United States of America,"English, हिन्दी, Pусский","Brent Reichert, Fernanda Toker, Joti Nagra, Jamie McShane, Chris Evans, Gina Sarno, Tom Hiddleston, Warren Kole, Momoko Komatsu, Ricardo Andres, Caleb Pieplow, Mark Ruffalo, Robert Downey Jr., Harry Dean Stanton, Seth Zielicke, Tai Urban, Robert P. Thitoff, M'laah Kaur Singh, Jenny Agutter, Jesse García, Cobie Smulders, Scarlett Johansson, Paul Bettany, Robin Swoboda, Pat Kiernan, Christina Shaffer, Jerry Lee Tucker, Jerzy Skolimowski, Holly Neelie, Andrea-Nichole Olivas, Jason Botsford, Andrea Vecchio, Rick Dremann, Rod Fielder, Jaime Powers, Romy Rosemont, Enver Gjokaj, Damion Poitier, Dieter Riesle, Kelley Robins Hicks, Kimberly J. Mahoney, Stan Lee, Josh Cowdery, William-Christopher Stephens, Shane Thompson, Alicia Sixtos, Martin Palmer, Jeremy Orr, Tina Grimm, Logan Bennett, Yumiko Komatsu, Michael McMillan, Robert Dean, Ashley Johnson, Alex DeCourville, Alexis Denisof, Gwyneth Paltrow, Demoine Kinney, Alexander Christopher Jones, Carmen Dee Harris, Alexander Daniel Pimentel, Lou Ferrigno, Arthur Darbinyan, Samuel L. Jackson, Sean Meehan, James Eckhouse, Mike Karban, Jeremy Renner, Colin Strause, Kelly Ruble, Eric Frank, Maximiliano Hernández, Frank Powers, Evan Kole, Annette Lawless, Walter Perez, Douglas Slygh, Maria Perossa, Rashmi Rustagi, Thomas Roberts, Gene N. Chavez, Stellan Skarsgård, Layla Cushman, Caleb Daniel Noal, Michael Zhang, Jorge Mardel, Donald Li, Nate Paige, Israel Hall, Jillian Morgese, Sharita Bone, Robert B. Schneider IV, Jeff Wolfe, Andrew Knode, Chris Hemsworth, Kirill Nikiforov, Brent McGee, Tina Benko, Robert Clohessy, Mayank Bhatter, Sandra Weston, Mary Kate Campbell, George Thomas, Katsumi Komatsu, Catherine Anderson, Hank Amos, Kenneth Tigar, Clark Gregg, Powers Boothe, Todd Manes, Chris Vaina, Jeff Seich",Joss Whedon,Seamus McGarvey,"Stan Lee, Joss Whedon, Joe Simon, Jack Kirby, Zak Penn","Alan Fine, Jeremy Latcham, Kevin Feige, Victoria Alonso, Jon Favreau, Stan Lee, Avi Arad, Chris Brigham, Louis D'Esposito",Alan Silvestri,8.0,1532938,/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,4,2012,17
68721,Iron Man 3,6.9,22914,Released,2013-04-18,1215577205,130,200000000,tt1300854,en,Iron Man 3,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",12.3516,Unleash the power behind the armor.,"Action, Adventure, Science Fiction",Marvel Studios,United States of America,English,"Mark Aaron Wagner, James Rackley, Thomas Roberts, Dan Brown, Wang Xueqi, Ron Madoff, Paul O'Connor, Mark Kubr, John Eddins, Jenna Ortega, Ashley Hamilton, Cullen Moss, Nick Brandon, Steve Wilder, Bronte D'Esposito, Jake De Witt, Gwendalyn Barker, Mike Massa, Mark Ruffalo, Juan C. Bofill, David Anthony Buglione, Ty Simpkins, Nick W. Nicholson, Sarah Burkhardt, Johnny Otto, Kiante Elam, Aja Frary, Tom Virtue, Kary Musa, Gwyneth Paltrow, Aurelia Riley, Andrew Lander, Noah Visconti, Demetrois Hodges, Noa Lindberg, Tom Clark, Kevin Arnold, Bridger Zadina, Toochukwu T.C. Anyachonkeya, Kim Holderness, Miguel Ferrer, Josh Elliott, J. C. Robaina, Ben Kingsley, William Morts, Fernando Chien, Si-Fu Eric Oram, Corey Hawkins, Yvonne Zima, Anthony Reynolds, Adam Lytle, Dennis Keiffer, Guy Pearce, Jade Quon, Stephanie Szostak, Andrew Lauer, Spencer Garrett, Dale Dickey, Kendrick Cross, Rockey Dickey Jr., Pat Kiernan, Megan Henderson, Drew Michael Hershner, Paul Bettany, Kial Butler, Brycen Counts, Rebecca Hall, Serdar Kalsin, Markos Rounthwaite, Brian Simpson, Robert Downey Jr., Sarah Farooqui, Don Cheadle, Ilram Choi, Sala Baker, Nate Bynum, Bill Maher, Matthew Sterling Nye, Rebecca Mader, William Sadler, Chad Kurtz, Bobby Tisdale, Brooke Jaye Taylor, Glenn Foster, Adam Pally, Dane Farwell, Brian Schaeffer, Jan Broberg Felt, Phil Ortiz, Cal Johnson, Stan Lee, Colin Follenweider, Jon Favreau, Wesley Thompson, Joan Rivers, Adrian Gonzalez, George Kotsiopoulos, Linden Ashby, Samuel Le, Johanna Yunda, James Badge Dale, Mark Ginther, Roy McCrerey, Naomi Parshin, Luciana Faulhaber, Chris Gethard, Philip J. Silvera, Mark Fichera, Shaun Toub, Tara Macken",Shane Black,John Toll,"Shane Black, Don Heck, Stan Lee, Jack Kirby, Larry Lieber, Drew Pearce","Alan Fine, Victoria Alonso, Bing Wu, Kevin Feige, Stan Lee, Dan Mintz, Jon Favreau, Stephen Broussard, Charles Newirth, Wenge Xiao, Louis D'Esposito",Brian Tyler,7.1,948870,/qhPtAc1TKbMPqNvcdXSOn9Bn7hZ.jpg,4,2013,16
76338,Thor: The Dark World,6.511,17864,Released,2013-10-30,644783140,112,170000000,tt1981115,en,Thor: The Dark World,"Thor fights to restore order across the cosmos… but an ancient race led by the vengeful Malekith returns to plunge the universe back into darkness. Faced with an enemy that even Odin and Asgard cannot withstand, Thor must embark on his most perilous and personal journey yet, one that will reunite him with Jane Foster and force him to sacrifice everything to save us all.",8.1958,Delve into the darkness.,"Action, Adventure, Fantasy",Marvel Studios,United States of America,English,"Rene Russo, Tadanobu Asano, Jonathan Howard, Idris Elba, Chris Hemsworth, Connor Donaghey, Elsa Pataky, Ramone Morgan, Joe Cash, Stellan Skarsgård, Tom Hiddleston, Thomas Arnold, Alannah Olivia, Annabel Norbury, JD Roth-Round, Clive Russell, Kamay Lau, Abbie McCann, Natalie Portman, Alice Krige, Chris O'Dowd, Sophie Cosson, Benicio del Toro, Justin Edwards, Obada Alassadi, Ophelia Lovibond, Richard Wharton, Henry Calcutt, Kat Dennings, Ray Stevenson, Imaan Chentouf, Ava Caton, Jaimie Alexander, Gruffudd Glyn, Adewale Akinnuoye-Agbaje, Tony Curran, Royce Pierreson, Sam Swainsbury, Stan Lee, Christopher Eccleston, Zachary Levi, Richard Brake, Brett Tucker, Anthony Hopkins, Chris Evans, Talulah Riley, Claire Brown, Steve Scott",Alan Taylor,Kramer Morgenthau,"Larry Lieber, Stan Lee, Walt Simonson, Christopher L. Yost, Don Payne, Robert Rodat, Jack Kirby, Stephen McFeely, Christopher Markus","Craig Kyle, Stan Lee, Kenneth Branagh, Louis D'Esposito, Alan Fine, Nigel Gostelow, Kevin Feige, Victoria Alonso",Brian Tyler,6.7,764838,/wp6OxE4poJ4G7c0U2ZIXasTSMR7.jpg,10,2013,44
100402,Captain America: The Winter Soldier,7.655,19498,Released,2014-03-20,714766572,136,170000000,tt1843866,en,Captain America: The Winter Soldier,"After the cataclysmic events in New York with The Avengers, Steve Rogers, aka Captain America is living quietly in Washington, D.C. and trying to adjust to the modern world. But when a S.H.I.E.L.D. colleague comes under attack, Steve becomes embroiled in a web of intrigue that threatens to put the world at risk. Joining forces with the Black Widow, Captain America struggles to expose the ever-widening conspiracy while fighting off professional assassins sent to silence him at every turn. When the full scope of the villainous plot is revealed, Captain America and the Black Widow enlist the help of a new ally, the Falcon. However, they soon find themselves up against an unexpected and formidable enemy—the Winter Soldier.",5.8015,In heroes we trust.,"Action, Adventure, Science Fiction",Marvel Studios,United States of America,English,"Sebastian Stan, Toby Jones, June Christopher, Maximiliano Hernández, Elizabeth Olsen, Christopher Markus, Alan Dale, Aaron Himelstein, Jeremy Maxwell, Brian Duffy, Chad Todhunter, Cobie Smulders, Callan Mulvey, Samuel L. Jackson, Wendy Hoopes, Michael Debeljak, Frank Grillo, Chin Han, Garry Shandling, Christopher George Sarris, Andy Martinez, Jr., Scarlett Johansson, Aaron Taylor-Johnson, Chris Evans, Jenny Agutter, Allan Chanes, Anne Grimenstein, Angela Russo-Otstot, Thomas Kretschmann, Danny Pudi, Henry Goodman, Ethan Rains, Joe Rosalina, Jody Hart, Dante Rosalina, Pat Healy, Jon Sklaroff, Charles Wittman, Zack Duhame, Georges St-Pierre, Eddie J. Fernandez, Robert Redford, Derek Hughes, Dean Barlage, James Lewis, Joel Thingvall, Stephen McFeely, Branka Katić, Dominic Rains, Emerson Brooks, Anthony Mackie, Bernie Zilinskas, Evan Parke, Ann Russo, Gary Sinise, Abigail Marlowe, Stan Lee, Bernard White, Nestor Serrano, Adetokumboh M'Cormack, Emily VanCamp, Joe Russo, D.C. Pierson, Salvator Xuereb, Hayley Atwell, Ricardo Chacon, Steven Culp, Michael De Geus, Joss Whedon, Robert Clotworthy, Griffin M. Allen, Terence O'Rourke, Ed Brubaker","Joe Russo, Anthony Russo",Trent Opaloch,"Stephen McFeely, Joe Simon, Jack Kirby, Christopher Markus","Stan Lee, Kevin Feige, Victoria Alonso, Michael Grillo, Louis D'Esposito, Alan Fine",Henry Jackman,7.7,954218,/tVFRpFw3xTedgPGqxW0AOI8Qhh0.jpg,3,2014,12
118340,Guardians of the Galaxy,7.905,29010,Released,2014-07-30,772776600,121,170000000,tt2015381,en,Guardians of the Galaxy,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",7.3179,"When things get bad, they'll do their worst.","Action, Science Fiction, Adventure",Marvel Studios,United States of America,English,"Christopher Fairbank, John C. Reilly, Sharif Atkins, Gregg Henry, Frank Gilhooley, Ronan Summers, Laura Haddock, Dave Bautista, Stan Lee, Alison Lintott, Solomon Mousley, Robert Firth, Brendan Fehr, Tomas Arana, Erica Melargo, Djimon Hounsou, Alexis Rodney, Isabella Poynton, Rachel Cullen, Mikaela Hoover, Tyler Bates, Krystian Godlewski, Ophelia Lovibond, Ene Frost, Melia Kreiling, Keeley Forsyth, Stephen Blackehart, Peter Serafinowicz, John Brotherton, Vin Diesel, Ralph Ineson, Rosie Jones, Wyatt Oleff, Nicole Alexandra Shipley, Marama Corlett, Bruce Mackinnon, Ekaterina Zalitko, Graham Shiels, James Gunn, Lloyd Kaufman, Douglas Robson, Imogen Poynton, Lee Pace, Spencer Wilding, Benicio del Toro, Emmett Scanlan, Nathan Fillion, Laura Ortiz, Max Wrottesley, Glenn Close, Jennifer Moylan-Taylor, Emily Redding, Sean Gunn, Abidemi Sobande, Bradley Cooper, David Yarovesky, Alexis Denisof, Rob Zombie, Miriam Lucia, Seth Green, Zoe Saldaña, Richard Katz, Tom Proctor, Dominic Grant, Nick Holmes, Naomi Ryan, Enzo Cilenti, Josh Brolin, Chris Pratt, Michael Rooker, Karen Gillan, Lindsay Morton, Jozef Aoki, Janis Ahern",James Gunn,Ben Davis,"Nicole Perlman, Andy Lanning, Dan Abnett, Steve Gan, Bill Mantlo, Jim Starlin, Steve Englehart, James Gunn, Keith Giffen, Val Mayerik, Steve Gerber","Alan Fine, Jeremy Latcham, Kevin Feige, Nik Korda, Victoria Alonso, Stan Lee, Louis D'Esposito",Tyler Bates,8.0,1340844,/r7vmZjiyZw9rpJMQJdXpjgiCOk9.jpg,7,2014,31
