id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer,imdb_rating,imdb_votes,poster_path,release_month,release_year,iso_week,title_clean,marvel_movie,attributes,blank,internet,total,internet_ratio,internet_dominance,error
76203,12 Years a Slave,7.938,11618,Released,2013-10-18,187000000,134,20000000,tt2024544,en,12 Years a Slave,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon‚Äôs chance meeting with a Canadian abolitionist will forever alter his life.",5.905,The extraordinary true story of Solomon Northup.,"Drama, History","new regency pictures, plan b entertainment, river road entertainment, regency enterprises, film4 productions","United Kingdom, United States of America",English,"Liza J. Bennett, Tom Proctor, Blake Burt, Jason Owen, Jarett Shorts, John McConnell, Mister Mackey Jr., Richard Holden, Wayne P√©re, Austin Purnell, Ritchie Montgomery, Chiwetel Ejiofor, Craig Tate, Jon Arthur, Storm Reid, Devin Maurice Evans, Jay Huguley, Rob Steinberg, Justin Edward Davis, Jim Johnson, Michael Kenneth Williams, Isaiah Jackson, Bob Walker, Cameron Zeigler, Carroll Burt, Taran Killam, Topsy Chapman, Anwan Glover, Marcus Lyle Brown, Thomas Francis Murphy, Justin Christopher Vaughn, Gregory Bright, Scott M. Jefferson, Andre Robinson, Benedict Cumberbatch, John C. Klein, Michael Fassbender, Tyler Soerries, Chris Chalk, Erin Rementer, Sean Paul Braud, Kelsey Scott, Devyn A. Tyler, Haylie Creppel, Kelvin Harrison, Jr., Dwight Henry, Willo Jean-Baptiste, Andre De'Sean Shanks, Bryan Batt, Deneen Tyler, Mark Joyce, Mustafa Harris, Marc Macaulay, Edward J. Clare, Alfre Woodard, Timothy Wyant, Dickie Gravois, Jason Ament, Quvenzhan√© Wallis, Douglas M. Griffin, Corrina Roshea Bobb, J.D. Evermore, Andy Dylan, Bill Camp, Tre Tureaud, Brad Pitt, Christopher Berry, Gerard 'Jerry' Lewis, Paul Giamatti, Paul Dano, Scoot McNairy, Vivian Fleming-Alvarez, Lupita Nyong'o, Tony Bentley, JJ Coker, Shawn Parsons, Nicole Collins, Ashley Dyke, Sarah Paulson, James C. Victor, Terrell Ransom Jr., Adepero Oduye, Caroline Grace Williamson, Chaz Smith, Kevonte Mcdonald, Garret Dillahunt",Steve McQueen,Sean Bobbitt,"Solomon Northup, John Ridley","Bill Pohlad, Jeremy Kleiner, Dede Gardner, Arnon Milchan, Brad Pitt, Tessa Ross, John Ridley, Bianca Stigter, Steve McQueen, Anthony Katagas",Hans Zimmer,8.1,775224,/xdANQijuNrJaw1HA61rDccME4Tm.jpg,10,2013,42,12 years a slave,thor: the dark world,"telluride film festival (1), toronto international film festival (1), new york film festival (1), new orleans film festival (1), mill valley film festival (1), chicago international film festival (1), hamptons international film festival (1), toronto (1), bfi london film festival (1), limited (2), amsterdam film week (1), austin film festival (1), blank (55), stockholm international film festival (1), camerimage film festival (1), brisbane film festival (1), jakarta international film festival (1), dubai international film festival (1), capri hollywood film festival (1), palm springs international film festival (1), yubari international fantastic film festival (1), belgrade film festival (1), film by the sea film festival (1), internet (1), dvd premiere (1)",55,1,80,0.01,no,no
53182,300: Rise of an Empire,6.1,6734,Released,2014-03-05,337580051,102,110000000,tt1253863,en,300: Rise of an Empire,"Greek general Themistocles attempts to unite all of Greece by leading the charge that will change the course of the war. Themistocles faces the massive invading Persian forces led by mortal-turned-god, Xerxes and Artemesia, the vengeful commander of the Persian navy.",7.1196,Seize your glory!,"Action, Drama, War","legendary pictures, hollywood gang productions, atmosphere entertainment mm, nimar studios, warner bros. pictures, cruel & unusual films","Bulgaria, United States of America",English,"Ashraf Barhom, Igal Naor, Georgi Stanislavov, Nick Court, Mark Killeen, David Sterne, George Georgiou, Mark Aaron Wagner, Andrew Pleavin, Nancy McCrumb, David Wenham, Christopher Sciueref, Velizar Peev, Christopher Boyer, Wayne Dalglish, Luke Roberts, Peter Ferdinando, Hunter Clowdus, Lena Headey, Peter Mensah, Hans Matheson, Andrew Tiernan, Gregor Truter, Fred Ochs, Farshad Farahat, Atanas Srebrev, Gregory Shelby, Sullivan Stapleton, Kevin Fry-Bowers, Vincent Walsh, Price Carson, Jack O'Connell, Bo Roberts, Velimir Velev, Dimo Alexiev, Ben Turner, Eva Green, Rodrigo Santoro, Caitlin Carmichael, Callan Mulvey, David Pevsner, Dimiter Doichinov, Aleksandar Belovski, Jade Chynoweth, John Michael Herndon, Stefan Ivanov, Steven Cree",Noam Murro,Simon Duggan,"Kurt Johnstad, Frank Miller, Zack Snyder, Jay Oliva","Mark Canton, Gianni Nunnari, Craig J. Flores, Deborah Snyder, Bernie Goldmann, Zack Snyder, Thomas Tull",Tom Holkenborg,6.2,326384,/wYDdWN1McB1Sio4z1dPSkb40Z78.jpg,3,2014,10,300: rise of an empire,captain america: the winter soldier,"hollywood, california (1), premiere (2), buenos aires (1), blank (70), french speaking region (1), german speaking region (1), blu-ray release (1), internet (1)",70,1,78,0.01,no,no
109410,42,7.2,1893,Released,2013-04-12,95020213,128,40000000,tt0453562,en,42,"In 1946, Branch Rickey, owner of the Brooklyn Dodgers, took a stand against Major League Baseball's infamous color line when he signed Jackie Robinson  to the team. The deal put both men in the crosshairs of the public, the press and even other players. Facing unabashed racism from every side, Robinson was forced to demonstrate tremendous courage and let his talent on the field wins over fans and his teammates ‚Äì silencing his critics and forever changing the world by changing the game of baseball.",3.3561,"In a game divided by color, he made us see greatness.",Drama,legendary pictures,United States of America,English,"Friedel Pinkston, Ercell A. Grimes Jr., James Rackley, Jeremy Ray Taylor, Jayson Warner Smith, Andrew B. Roberts, Max Gail, Dwight Houser, Michael H. Cole, Blake Sanders, Denise Moy√©, Ryan Merriman, Janet Metzger, Henry Friedman, Maury Covington, Anthony S. Goolsby, James Pickens Jr., Steve Hicks, Matt Clark, Tobias Michael Finn, David Sweeney, Todd Wilson, Holden Hansen, Wayne Hickey, Dax Griffin, Aaron Farb, Jud Tylor, Lucas Black, Ross Hughes, Richard Tavernaro, Joe Knezevich, Dusan Brown, C.J. Nitkowski, Danny Vinson, Marc Gowan, Rhoda Griffis, Andr√© Holland, Jamey Holliday, Monnae Michaell, Linc Hand, Thomas Helgeland, Clint O'Brien, Christopher Harvey, Johnny Knight, Hamish Linklater, Barry Suttle, Gino Anthony Pesi, Brad Beyer, Peter Jurasik, Harrison Ford, David Thoms, Colman Domingo, Dan Mengini, Derek Phillips, William Flaman, Kelley Jakle, Scott Callaway, John C. McGinley, Ari Blinder, Brett Cullen, Jesse Luken, Hunter Clowdus, Benjamin C. Graham, Karole Foreman, Jamie Ruehling, Toby Huss, Andrew C. Mullins, Gary Miller, Joe Inscoe, Jimmie L. Coleman, Chadwick Boseman, Nicole Beharie, Jackson Walker, Jon Kohler, Alan Tudyk, Kenny Cook, Daniel Fenlon, Dennis A. Spears, Mark Harelik, T.R. Knight, Christopher Meloni, Cherise Boothe, Lou Criscuolo, Peter MacKenzie",Brian Helgeland,Don Burgess,Brian Helgeland,"Dick Cook, Jason Clark, Thomas Tull, Jon Jashni",Mark Isham,7.5,107334,/iZ7jVGQWj3eBUdqwAPUlKk0BaS2.jpg,4,2013,15,42,iron man 3,"hollywood, california (1), premiere (1), blank (8), video on demand (1), dvd premiere (10), blu-ray and dvd (1), internet (2), limited (1), shanghai international film festival (1), tokyo international film festival (1)",8,2,27,0.07,no,no
428449,A Ghost Story,7.1,2408,Released,2017-04-24,1929659,93,100000,tt6265828,en,A Ghost Story,"Recently deceased, a white-sheeted ghost returns to his suburban home to console his bereft wife, only to find that in his spectral state he has become unstuck in time, forced to watch passively as the life he knew and the woman he loves slowly slip away.",3.8523,It's all about time.,"Drama, Fantasy, Mystery, Romance","sailor bear, zero trans fat productions, ideaman studios",United States of America,English,"Yasmina Gutierrez, Constance Jones, Jared Kopf, Kathy Jordan, Monalisa Amidar, Joel David Taylor, Sylvie Tomerlin, Rooney Mara, Jim Johnson, Da-Voncia Hendricks, Bryan Pitts, Richard Krause, Marcella Langdon, David Miller, Jacie Scott, Afomia Hailemeskel, Will Oldham, Giovannie Cruz, Dagger Salazar, Rob Zabrecky, Casey Affleck, Margot Tomerlin, Augustine Frizzell, Phillip Amidar, David Helms, Jonny Mars, Carlos Bermudez, Liz Cardenas, Brea Grant, CG. Lewis III, Rachel Chambers, Savanna Sears, David Lowery, Savanna Walsh, Kimberly Fiddes, Stan Sanders, David Fraga, Alexis Fleisig, Aaron Roberts, Branton Ellerbee, Hector Escalante, William Sydney, Alvis Lewis, Grover Coulson, Daniel Escudero, Kesha, Jordan Jett Raines, Kris Youmans, Kenneisha Thompson, David Pink, Kevin Jacobs, McColm Cephas Jr., Sara Tomerlin, Otis Harris, Paulie Killgore, Juan Fiol, Chris Gardner, Nainoa McKeague, Tanya Foster, Rachel Ballard, Scooter Walsh, Brandi Price, David Keller, Taylor Anne Ramsey, Derrick Halverston, Kimberly Gail Williams, Neken Williams, Barlow Jacobs, Randy E. Aguebor, Nikita Patel, Kelli Holdridge, Andrew Tinker, Sonia Acevedo",David Lowery,Andrew Droz Palermo,David Lowery,"James M. Johnston, David Maddox, Adam Donaghey, Toby Halbrooks",Daniel Hart,6.8,85227,/rp5JPIyZi9sMob15l46zNQLe5cO.jpg,4,2017,17,a ghost story,guardians of the galaxy vol. 2,"sundance film festival (1), chicago critics film festival (1), sundance london film festival (1), seattle international film festival (1), oak cliff film festival (1), sydney film festival (1), bamcinemafest (1), karlovy vary international film festival (1), limited (4), galway film fleadh (1), fantasia international film festival (1), blank (16), new horizons film festival (1), sarajevo film festival (1), toronto international film festival (1), deauville film festival (1), scenic city film festival (1), cph: pix (1), parool film fest (1), sitges film festival (1), vienna international film festival (1), leiden international film festival (1), subtitled version (1), los cabos international film festival (1), molins film festival (1), paris international fantastic film festival (1), dvd premiere (4), molodist international film festival (1), titanic international filmpresence festival (1), dvd and blu-ray premiere (1), tv release (2), internet (1), tv premiere (1), film festival ghent (1)",16,1,56,0.02,no,no
258230,A Monster Calls,7.287,3468,Released,2016-10-07,47309313,108,43000000,tt3416532,en,A Monster Calls,12-year-old Conor encounters an ancient tree monster who proceeds to help him cope with his mother's terminal illness and being bullied in school.,3.2679,Stories are wild creatures.,"Fantasy, Adventure, Family","river road entertainment, participant, apaches films, la trini, a monster calls, telecinco cinema","Spain, United States of America",English,"Frida Palsson, James Melville, Lee Bolton, Dominic Boyle, Lily-Rose Aslandogdu, Sigourney Weaver, Ben Moor, Lewis MacDougall, Oliver Steer, Max Golds, Garry Marriott, Max Gabbay, Morgan Symes, Wanda Opalinska, Jake Talbot, Geraldine Chaplin, Patrick Taggart, Felicity Jones, Joe Curtis, Liam Neeson, Toby Kebbell, Jennifer Lim",J.A. Bayona,√ìscar Faura,"Siobhan Dowd, Patrick Ness","Bill Pohlad, Jeff Skoll, Sandra Hermida, Jonathan King, Bel√©n Atienza, Enrique L√≥pez Lavigne, Patrick Ness, Ghislain Barrois, Patrick Wachsberger, √Ålvaro Augustin, Mitch Horwits",Fernando Vel√°zquez,7.4,97742,/vNzWJwVqjszWwXrA7ZfsrJmhgV9.jpg,10,2016,40,a monster calls,doctor strange,"toronto international film festival (1), donostia-san sebastián international film festival (1), zurich film festival (1), helsinki international film festival (1), fantastic fest (1), bfi london film festival (1), blank (58), mill valley film festival (1), leiden international film festival (1), cph: pix (1), camerimage film festival (1), stockholm international film festival (1), international film festival & awards macao (1), dubai international film festival (1), limited (1), future film festival (1), tv premiere (1), dvd premiere (1)",58,0,75,0.0,no,no
23437,A Nightmare on Elm Street,5.5,2827,Released,2010-04-30,115664037,95,35000000,tt1179056,en,A Nightmare on Elm Street,"Teenagers Nancy, Quentin, Kris, Jesse and Dean are all neighborhood friends who begin having the same dream of a horribly disfigured man who wears a tattered sweater and a glove made of knives. The man terrorizes them in their dreams, and the only escape is to wake up. But when, one by one, they start dying violently, the friends realize that what happens in the dream world is real, and the only way to stay alive is to stay awake.",5.1365,Welcome to your new nightmare.,"Horror, Mystery, Thriller","platinum dunes, new line cinema, warner bros. pictures",United States of America,English,"Thomas Dekker, Dominick Coviello, Kyra Krumins, Christian Stolte, Julianna Damm, Leah Uteg, Don Robert Cass, Hailey Schooping Knight, Scott Lindvall, Kurt Naebig, Katie Cassidy, Parker Bagley, Aaron Yoo, Christine Crawley, Pete A. Kelly, Jackie Earle Haley, Kyle Gallner, Rooney Mara, Connie Britton, Brayden Coyer, Christopher Woods, Andrew Fiscella, Kellan Lutz, Bob Kizer, Katie Schooping Knight, Clancy Brown, Jennifer Robers, Tania Randall, Max Holt, Rob Riley, Lia D. Mortensen, Jason Brandstetter, Logan Stalzer",Samuel Bayer,Jeff Cutter,"Eric Heisserer, Wes Craven, Wesley Strick","Brad Fuller, Michael Lynne, Mike Drake, Andrew Form, Robert Shaye, Richard Brener, Dave Neustadter, Michael Bay, Walter Hamada",Steve Jablonsky,5.2,113680,/nsmW28GcNabCUZfP5YtUEe8Li0f.jpg,4,2010,17,a nightmare on elm street,iron man 2,"hollywood, california (1), premiere (3), blank (54), buenos aires (1), french speaking region (1), german speaking region (1), ekek sika säkissä film festival (1), madrid (1), blu-ray release (1), islas baleares (1), event (1), internet (1)",54,1,67,0.01,no,no
447332,A Quiet Place,7.395,14868,Released,2018-04-03,340955294,91,17000000,tt6644200,en,A Quiet Place,A family is forced to live in silence while hiding from creatures that hunt by sound.,8.5423,"If they hear you, they hunt you.","Horror, Drama, Science Fiction","paramount pictures, platinum dunes",United States of America,English,"Cade Woodward, Rhoda Pell, Leon Russom, John Krasinski, Emily Blunt, Noah Jupe, Millicent Simmonds",John Krasinski,Charlotte Bruus Christensen,"Bryan Woods, John Krasinski, Scott Beck","Bryan Woods, Scott Beck, Celia D. Costas, Allyson Seeger, Aaron Janus, Andrew Form, John Krasinski, Michael Bay, Brad Fuller",Marco Beltrami,7.5,643884,/nAU74GmpUk7t5iklEp3bufwDq4n.jpg,4,2018,14,a quiet place,avengers: infinity war,"south by southwest film festival (1), blood window fest (1), new york city, new york (1), premiere (1), blank (62), blu-ray release (1), internet (2)",62,2,69,0.03,no,no
415842,American Assassin,6.4,3144,Released,2017-07-14,67200000,112,33000000,tt1961175,en,American Assassin,"Following the murder of his fianc√©e, Mitch Rapp trains under the instruction of Cold War veteran Stan Hurley. The pair then is enlisted to investigate a wave of apparently random attacks on military and civilian targets.",5.3973,Assassins aren't born. They're made.,"Action, Adventure, Thriller","tik films, di bonaventura pictures, nick wechsler productions, lionsgate, cbs films","Hong Kong, United States of America","English, ÿßŸÑÿπÿ±ÿ®Ÿäÿ©, Espa√±ol, Italiano, ŸÅÿßÿ±ÿ≥€å, Polski, T√ºrk√ße","Kamil Lemieszewski, Joost Janssen, Matt Rippy, Trevor White, Shani Erez, Gjevat Kelmendi, Tolga Safer, Chris Webster, Josh Danford, Martina Brusco, Dylan O'Brien, G√∂ksun √áam, Kola Bokinni, Aso Sherabayani, Adam Collins, Christopher Bomford, Nej Adamson, Khalid Laith, Sanaa Lathan, Nick Cavaliere, Navid Negahban, Andrew Pleavin, Jorge Leon, Scott Adkins, Mohammad Bakri, Jake Mann, JF Davis, Sydney White, Damian Dudkiewicz, Joseph Long, Buster Reeves, Adam Robertson, Michael Keaton, Sharif Dorani, Ronan Summers, Shahid Ahmed, Charlotte Vega, Vladimir Friedman, Alexander Winters, Shiva Negar, Bruno Bilotta, Dacio Caballero, Garreth Hadfield, Michael Wildman, David Suchet, Simon Connolly, Alexis Barron, Roberto Sgarbi, Bentley Kalu, Taylor Kitsch, Yousef Sweid, Alaa Safi, Stephen Shafer",Michael Cuesta,Enrique Chediak,"Edward Zwick, Marshall Herskovitz, Michael Finch, Vince Flynn, Stephen Schiff","Daniel M. Stillman, Nick Wechsler, Lorenzo di Bonaventura",Steven Price,6.2,98752,/w6vjeHx3UEaBXIyc8VFqyZYKznD.jpg,7,2017,28,american assassin,spider-man: homecoming,"new york city (1), premiere (1), blank (89), rtp 1 (1), tv premiere (1), internet (1)",89,1,94,0.01,no,no
484641,Anna,6.7,2838,Released,2019-06-19,31626978,119,34000000,tt7456310,en,Anna,Beneath Anna Poliatova's striking beauty lies a secret that will unleash her indelible strength and skill to become one of the world's most feared government assassins.,4.7249,Never make the weapon the target,"Action, Adventure, Thriller","europacorp, tf1 films production, summit entertainment, work in progress, fetish film, skyprod, ondamax films","France, Guadaloupe, Russia, Serbia, United States of America","Italiano, English, Nederlands, P—É—Å—Å–∫–∏–π","Travis Kerschen, Zac Andianas, Victoria Cyr, Aya Yabuuchi, Niccol√≤ Senni, Jan Oliver Schroeder, Noam Frost, Adrian Can, Leonid Glushchenko, Wendy Grenier, Christopher Craig, Grace Hancock, Greta Varlese, Igor Savochkin, Sasha Beliaeva, Mikhail Safronov, Kamila Hovorkov√°, Nikita Pavlenko, Eric Lampaert, Anthony Weber, Elise Lissague, Cansu Tosun, Nastya Sten, Fran√ßois Girard, Rupert Wynne-James, Ernest Gromov, Scott Thurn, Emmanuel M√©nard, R√©ginal Kudiwu, Yuriy Zavalnyouk, Manuel Sinor, Alexandre Majetniak, Alexander Petrov, Louise Parker, Julia Munrow, Fany Le Gac, Terrence Amadi, √âric Godon, Cillian Murphy, William Sciortino, Colin Bates, Eduard Flerov, Christophe Tek, Anna Krippa, Alison Wheeler, Toni Hristov, Sasha Luss, Aleksey Maslodudov, Sergey Bachurskiy, Jordan Dwayne, Peter Lamarque, Mab√¥ Kouyat√©, Lera Abova, Maxence Huet, Scott Thrun, Helen Mirren, Paul Lef√®vre, Jean-Baptiste Puech, Ivan Franƒõk, Sergey Zharkov, Viatcheslav Ardachev, G√©rard Graillot, Maria Luss, Dmitriy Grinevich, Jess Liaudin, Tonio Descanvelle, David Coburn, James Joint, Pauline Hoarau, Andrew Howard, Luke Evans, Jean-Marc Montalto, Lauren de Graaf, Alain Figlarz, Laurent Ferraro",Luc Besson,Thierry Arbogast,Luc Besson,"Artemio Benki, Eric Mathis, Marc Shmuger, Romain Lancel, Blanche Neumann, Anƒëelija Vlaisavljeviƒá, Luc Besson, Gnama Baddy-Dega, Michele Petternella",√âric Serra,6.7,105150,/2U0oAVAE0lDRhNmJPPYhDW9kQ8t.jpg,6,2019,25,anna,spider-man: far from home,"blank (53), los angeles, california (1), premiere (1), internet (1), blu-ray and dvd premiere (1), dvd premiere (3), ischia global film & music festival (1), rtp 1 (1), tv premiere (1)",53,1,63,0.02,no,no
521029,Annabelle Comes Home,6.4,3734,Released,2019-06-26,231252591,106,27000000,tt8350360,en,Annabelle Comes Home,"Determined to keep Annabelle from wreaking more havoc, demonologists Ed and Lorraine Warren bring the possessed doll to the locked artifacts room in their home, placing her ‚Äúsafely‚Äù behind sacred glass and enlisting a priest‚Äôs holy blessing. But an unholy night of horror awaits as Annabelle awakens the evil spirits in the room, who all set their sights on a new target‚Äîthe Warrens' ten-year-old daughter, Judy, and her friends.",7.2183,Possess them all.,Horror,"atomic monster, the safran company, new line cinema",United States of America,English,"Kenzie Caplan, Michael Cimino, Paul Dean, Gary-7, Patrick Wilson, Stephen Blackehart, Luca Luhan, Samara Lee, Douglas Tait, Natalia Safran, Sade Katarina, Katie Sarife, Anthony Wemyss, Eddie J. Fernandez, Bob Telford, Oliver Dauberman, Alexander Ward, Joanna Bartling, Sara Raftery, Bill Kottkamp, Emily Brobst, Steve Coulter, Mckenna Grace, Madison Iseman, Vera Farmiga, Edwin Scheibner, Alison White, Michael Patrick McGill",Gary Dauberman,Michael Burgess,"Gary Dauberman, James Wan","Judson Scott, Dave Neustadter, Michael Clear, Michelle Morrissey, Richard Brener, Peter Safran, James Wan, Victoria Palmeri",Joseph Bishara,5.9,98786,/qWsHMrbg9DsBY3bCMk9jyYCRVRs.jpg,6,2019,26,annabelle comes home,spider-man: far from home,"cinepocalypse (1), los angeles, california (1), premiere (1), blank (67), dvd premiere (1)",67,0,71,0.0,no,no
