date,year,country_code,name,description,primary_type,types,locations,strength
1/1/08,2008,US,New Year's Day,"New Year's Day is the first day of the Gregorian calendar, which is widely used in many countries such as the USA.",Federal Holiday,National holiday,All,3
1/21/08,2008,US,Martin Luther King Jr. Day,Martin Luther King Day marks the anniversary of the date of birth of the influential American civil right leader of the same name.,Federal Holiday,National holiday,All,3
2/18/08,2008,US,Presidents' Day,"Washington's Birthday, or Presidents' Day, honors the life and work of the first president of the United States, George Washington.",Federal Holiday,National holiday,All,3
5/26/08,2008,US,Memorial Day,Memorial Day commemorates all Americans who have died in military service for the United States.,Federal Holiday,National holiday,All,3
7/4/08,2008,US,Independence Day,"On Independence Day, Americans celebrate the anniversary of publication of the Declaration of Independence from Great Britain in 1776.",Federal Holiday,National holiday,All,3
9/1/08,2008,US,Labor Day,Labor Day is a federal holiday in the United States. It gives workers a day of rest and it celebrates their contribution to the American economy.,Federal Holiday,National holiday,All,3
10/13/08,2008,US,Columbus Day,Columbus Day celebrates 15th century explorer Christopher Columbus's arrival in America in 1492.,Federal Holiday,National holiday,All,3
11/11/08,2008,US,Veterans Day,Veterans Day in the USA is a holiday to honor all who have served in the United States Military Services.,Federal Holiday,National holiday,All,3
11/27/08,2008,US,Thanksgiving Day,Thanksgiving Day in the United States is traditionally a holiday to give thanks for the food collected at the end of the harvest season.,Federal Holiday,National holiday,All,3
12/25/08,2008,US,Christmas Day,Christmas Day celebrates Jesus Christ's birth.,Federal Holiday,National holiday|Christian,All,3
1/1/09,2009,US,New Year's Day,"New Year's Day is the first day of the Gregorian calendar, which is widely used in many countries such as the USA.",Federal Holiday,National holiday,All,3
1/19/09,2009,US,Martin Luther King Jr. Day,Martin Luther King Day marks the anniversary of the date of birth of the influential American civil right leader of the same name.,Federal Holiday,National holiday,All,3
1/20/09,2009,US,Inauguration Day,"On Inauguration Day, the president and vice-president of the United States of America are sworn in and take office.",Federal Holiday,National holiday,"DC, MD (partly), VA (partly)",3
2/16/09,2009,US,Presidents' Day,"Washington's Birthday, or Presidents' Day, honors the life and work of the first president of the United States, George Washington.",Federal Holiday,National holiday,All,3
