title,release_date,budget,release_month,release_year,ISO_week
Iron Man,2008-05-02,"140,000,000",5,2008,18
The Incredible Hulk,2008-06-13,$137.5–150 million,6,2008,24
Iron Man 2,2010-05-07,$170–200 million,5,2010,18
Thor,2011-05-06,$150 million,5,2011,18
Captain America: The First Avenger,2011-07-22,$140 million,7,2011,29
The Avengers,2012-05-04,$220 million,5,2012,18
Iron Man 3,2013-05-03,$200 million,5,2013,18
Thor: The Dark World,2013-11-08,$150–170 million,11,2013,45
Captain America: The Winter Soldier,2014-04-04,$170–177 million,4,2014,14
Guardians of the Galaxy,2014-08-01,$170 million,8,2014,31
Avengers: Age of Ultron,2015-05-01,$250–444 million,5,2015,18
Ant-Man,2015-07-17,$130 million,7,2015,29
Captain America: Civil War,2016-05-06,$250 million,5,2016,18
Doctor Strange,2016-11-04,$165 million,11,2016,44
Guardians of the Galaxy Vol. 2,2017-05-05,$200 million,5,2017,18
Spider-Man: Homecoming,2017-07-07,$175 million,7,2017,27
Thor: Ragnarok,2017-11-03,$180 million,11,2017,44
Black Panther,2018-02-16,$200 million,2,2018,7
Avengers: Infinity War,2018-04-27,$325–400 million,4,2018,17
Ant-Man and the Wasp,2018-07-06,$162 million,7,2018,27
Captain Marvel,2019-03-08,$150–175 million,3,2019,10
Avengers: Endgame,2019-04-26,$356–400 million,4,2019,17
Spider-Man: Far From Home,2019-07-02,$160 million,7,2019,27
Black Widow,2021-07-09,$200 million,7,2021,27
Shang-Chi and the Legend of the Ten Rings,2021-09-03,$150–200 million,9,2021,35
Eternals,2021-11-05,$236.2 million,11,2021,44
Spider-Man: No Way Home,2021-12-17,$200 million,12,2021,50
Doctor Strange in the Multiverse of Madness,2022-05-06,$172–200 million,5,2022,18
Thor: Love and Thunder,2022-07-08,$250 million,7,2022,27
Black Panther: Wakanda Forever,2022-11-11,$250 million,11,2022,45
Ant-Man and the Wasp: Quantumania,2023-02-17,$388.4 million,2,2023,7
Guardians of the Galaxy Vol. 3,2023-05-05,$250 million,5,2023,18
The Marvels,2023-11-10,$375 million,11,2023,45
Deadpool & Wolverine,2024-07-26,$200 million,7,2024,30
Captain America: Brave New World,2025-02-14,$180 million,2,2025,7
Thunderbolts*,2025-05-02,$180 million,5,2025,18
The Fantastic Four: First Steps,2025-07-25,$200 million,7,2025,30
