id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer,imdb_rating,imdb_votes,poster_path,release_month,release_year,ISO_week
18916,A Pain in the Ass,5.156,64,Released,2008-01-01,2030916,86,30000000,tt1182924,fr,L'Emmerdeur,An unlikely friendship develops between a hitman and a suicidal guy who have both checked into the same hotel for different reasons.,0.3125,A PAIN IN THE ASS: Someone constantly annoying. You surely know one of them...,Comedy,"EFVE, Téléma, TF1 Films Production, TF1 International, Pulsar Productions",France,Français,"Louis Gensollen, Patrick Timsit, Francis Veber, Sandra Moreno, Laurie Lefret, Pascal Elbé, Corinne Masiero, Élizabeth Martichoux, Jérémie Covillault, Virginie Ledoyen, Patrick Vo, Cédric Chevalme, Samuel Dupuy, Karim Seghair, Grégori Baquet, José Paul, Frédéric d'Elia, Michel Aumont, Guillaume Gallo-Manrique, Richard Berry, Mathieu Busson, François-Paul Doussot, Pierre-Arnaud Juin, Stéphane Bierry, Laurent Paolini, Philippe Beglia, Andrée Damant",Francis Veber,Robert Fraisse,Francis Veber,Patrice Ledoux,Jean-Michel Bernard,5.3,1089,/13QXA1PquQULysUZQDrysm2Zz3u.jpg,1,2008,1
6933,One Missed Call,5.4,784,Released,2008-01-04,45847751,87,20000000,tt0479968,en,One Missed Call,"Several people start receiving voice-mails from their future selves -- messages which include the date, time, and some of the details of their deaths.",8.0533,What will it sound like when you die?,"Horror, Mystery, Thriller","Intermedia Films, Alcon Entertainment, KADOKAWA, Warner Bros. Pictures, Warner Bros. Entertainment, Equity Pictures Medienfonds IV","United States of America, Germany, Japan",English,"Dawn Dininger, Rhoda Griffis, Luke Michael Williams, Joe Przedwiecki, Jason Beghe, Bart Hansard, Brian Spencer, Daisy Jade, Geoff McKnight, Donna Biscoe, Edward Burns, Azura Skye, Raegan Lamb, Jeff Portell, Kaira Akita, Ana Claudia Talancón, Kelly Finley, Laura Harring, Joe O'Shea, Amber Brooke, Shaun Lynch, Randy McDowell, Jason H. Karniol, Margaret Cho, Edith Ivey, Matthew Browning, Kate Kneeland, Blake Hester, Meagan Good, John Jason Bailey, J.C. Doler, Kendyl McCray, Jason Horgan, Rona Nix, Ray Wise, Anthony Singleton, Kelly Natividade, Sarah Jean Kubik, Anthony B. Harris, Faye Yvette McQueen, Alana Locke, Lauren Peyton, Stacey Turner, Wilbur Fitzgerald, Karen Beyer, Dana Abercrombie, Kasia Kowalczyk, Jody Thompson, Dave Spector, Greg Corbett, Shannyn Sossamon, Roy McCrerey, Ariel Winter, Bob Seel, Brian Beegle, Robert Keith Kelly, Johnny Lewis, Mary Lynn Owen, DeMontrez Spears",Eric Valette,Glen MacPherson,"Andrew Klavan, Yasushi Akimoto","Shinya Egawa, Andrew A. Kosove, Andreas Thiesmeyer, Broderick Johnson, Timothy M. Bourne, Martin Schuermann, Scott Kroopf, Jennie Lew Tugend, Josef Lautenschlager, Lauren Weissman","Reinhold Heil, Johnny Klimek",4.1,35082,/9pIvQaQV0sMHx7d3Ys9qTK9YqTZ.jpg,1,2008,1
6557,27 Dresses,6.445,3279,Released,2008-01-10,160300000,111,30000000,tt0988595,en,27 Dresses,Altruistic Jane finds herself facing her worst nightmare as her younger sister announces her engagement to the man Jane secretly adores.,4.2902,She's about to find the perfect fit.,"Comedy, Romance","Fox 2000 Pictures, Spyglass Entertainment, Dune Entertainment III",United States of America,English,"Michael Paul, Judy Greer, Brigitte Bourdeau, Katherine Heigl, Peyton List, Michael Mosley, Krysten Ritter, Malin Åkerman, Jane Pfitsch, Alyssa Bresnahan, Brian Kerwin, Danielle Skraastad, Ellen H. Schwartz, Laksh Singh, Edward Burns, James Marsden, Maulik Pancholy, David Castro, Alexa Havins, Jennifer Lim, Kathryn Weisbeck, Ronald Guttman, Erin Fogel, Bern Cohen, Yetta Gottesman, Melora Hardin, Jennifer Bassey, Charli Barcena, Robert Clohessy, Ron Simons, Richard O'Rourke, Lyralen Kaye",Anne Fletcher,Peter James,Aline Brosh McKenna,"Roger Birnbaum, Robert Newmyer, Gary Barber, Jonathan Glickman, Becki Cross Trujillo, Michael Mayer, Erin Stam",Randy Edelman,6.1,184860,/rEfourJfgEyKiewwH8ZkUYt9AqE.jpg,1,2008,2
14423,First Sunday,5.7,250,Released,2008-01-11,38800000,96,20000000,tt0486578,en,First Sunday,"Durell and LeeJohn are best friends and bumbling petty criminals. When told they have one week to pay a $17,000 debt or Durell will lose his son, they come up with a desperate scheme to rob their neighborhood church. Instead, they end up spending the night in the presence of the Lord and are forced to deal with much more than they bargained for.",2.894,Keep the faith. Steal the rest.,"Comedy, Action",Cube Vision,United States of America,English,"Chi McBride, Ice Cube, Melanie Comarcho, Katt Williams, Retta, Rickey Smiley, Loretta Devine, P.J. Byrne, Gerry Black, Tracy Morgan, Jasmine Masters, Arjay Smith, Malinda Williams, Regina Hall, Nicholas Turturro, Patricia Mikel, Red Grant, Roy Jackson, Paul Campbell, Olivia Cole, Starletta DuPois, Clifton Powell, C.J. Sanders, Keith David, Kim Staunton, Sterling Ardrey, Michael Beach, Tiffany Pollard",David E. Talbert,Alan Caso,David E. Talbert,"Matt Alvarez, David E. Talbert, Ice Cube, Tim Story",Stanley Clarke,4.6,12234,/9l0sdc7ohLe6TdFsYyCTBnVn1F8.jpg,1,2008,2
6687,TransSiberian,6.4,762,Released,2008-01-18,5926410,111,15000000,tt0800241,en,TransSiberian,A TransSiberian train journey from China to Moscow becomes a thrilling chase of deception and murder when an American couple encounters a mysterious pair of fellow travelers.,3.408,You can't escape your lies.,"Thriller, Crime, Mystery","Lithuanian Film Studio, Scout Productions, Canal+ España, Castelao Productions, UFA, Future Films, Filmax, ICO, MEDIA Programme of the European Union, FICC, Telecinco Cinema","Belgium, Germany, Lithuania, Spain, United Kingdom, United States of America","English, Français, 普通话, Pусский, Español","Mac McDonald, Ben Kingsley, Mindaugas Capas, Larisa Kalpokaitė, Andrius Paulavičius, Valentinas Krulikovskis, Emily Mortimer, Emilis Vėlyvis, Colin Stinton, Sonata Visockaitė, Etienne Chicot, Mindaugas Papinigis, Kate Mara, Eduardo Noriega, Woody Harrelson, Thomas Kretschmann, Perlis Vaisieta",Brad Anderson,Xavi Giménez,"Brad Anderson, Will Conroy","Carlos Fernández, Julio Fernández, Ramūnas Škikas, Tania Reichert-Facilides, Stephen Margolis, Todd Dagres, Álvaro Augustin, Michael Williams, Antonia Nava",Alfonso Vilallonga,6.6,56079,/dhTOda5CLp9tEdDzQZiqBTdv5lR.jpg,1,2008,3
13090,Sunshine Cleaning,6.6,807,Released,2008-01-18,16174377,91,5000000,tt0862846,en,Sunshine Cleaning,A single mother and her slacker sister find an unexpected way to turn their lives around in this off-beat dramatic comedy. In order to raise the tuition to send her young son to private school the mom starts an unusual business – a biohazard removal/crime scene clean-up service.,3.1923,life's a messy business.,"Comedy, Drama","Overture Films, Back Lot Pictures, Big Beach",United States of America,"English, Español","Alan Arkin, Susie Yip, Amy Redford, Emily Blunt, Judith Jones, Mason Frank, Clifton Collins Jr., Ivan Brutsche, Kathy Lamkin, McKenna Hutton, Amy Adams, Paul Dooley, Kevin Chapman, Mary Lynn Rajskub, Lois Geary, Jason Spevack, Steve Zahn, Vic Browder, Angelique Midthunder, Amber Midthunder, Eric Christian Olsen",Christine Jeffs,John Toon,Megan Holley,"Glenn Williamson, Jeb Brody, Marc Turtletaub, Peter Saraf",Michael Penn,6.8,75710,/xwtJyfme086wcz9MXpP0i5Hrgxy.jpg,1,2008,3
13121,Teeth,5.4,766,Released,2008-01-18,2340110,94,2000000,tt0780622,en,Teeth,"Dawn is an active member of her high-school chastity club but, when she meets Tobey, nature takes its course, and the pair answer the call. They suddenly learn she is a living example of the vagina dentata myth, when the encounter takes a grisly turn.",2.6147,Every rose has its thorns.,"Comedy, Horror","Teeth, Pierpoline Films",United States of America,English,"Kiri Weatherby, Ava Ryen Plumb, Lenny Von Dohlen, Trent Moore, John Hensley, Nathan Parsons, Lana Dieterich, Vivienne Benesch, Paul Galvan, Mike Yager, Andra Millian, Tom Byrne, Hunter Ulvog, Josh Pais, Laila Liliana Garro, Taylor Sheppard, Nicole Swahn, Denia Ridley, Ashley Springer, Adam Wagner, Carter Doyle, Hale Appleman, Kasey Kitzmiller, Jess Weixler, Michael Swanner, Frank G. Curcio",Mitchell Lichtenstein,Wolfgang Held,Mitchell Lichtenstein,"Joyce Pierpoline, Mitchell Lichtenstein",Robert Miller,5.4,48965,/p7OIPkN2LOBprQxQx7EZBa6m6W4.jpg,1,2008,3
13362,Taxi to the Dark Side,6.9,238,Released,2008-01-18,274661,106,1000000,tt0854678,en,Taxi to the Dark Side,"An in-depth look at the torture practices of the United States in Afghanistan, Iraq and Guantanamo Bay, focusing on an innocent taxi driver in Afghanistan who was tortured and killed in 2002.",0.9202,"In 2002, a young cab driver picked up a few passengers near his home in Afghanistan... He never returned",Documentary,"Wider Film Projects, Jigsaw Productions",United States of America,English,"Jack Reed, Moazzam Begg, Christopher Beiring, Brian Keith Allen, Alex Gibney, Carl Levin",Alex Gibney,"Gregory Andracke, Maryse Alberti",Alex Gibney,"Don Edkins, Don Glascoff, Mette Heide, Mette Hoffman Meyer, Todd Wider, Jedd Wider, Susannah Shipman, Alex Gibney, Eva Orner",Ivor Guest,7.4,17443,/ttCOk1fQGvFJvPIJS7D8J2jOjpo.jpg,1,2008,3
4953,Be Kind Rewind,6.3,1399,Released,2008-01-20,30600000,102,20000000,tt0799934,en,Be Kind Rewind,"A man whose brain becomes magnetized unintentionally destroys every tape in his friend's video store. In order to satisfy the store's most loyal renter, an aging woman with signs of dementia, the two men set out to remake the lost films.",1.5288,"You name it, we shoot it.","Drama, Comedy",Partizan Films,United States of America,English,"Matt Walsh, Karen Spitzer, Ted McElwee, David M. Sheppard, Irv Gooch, David Slotkoff, Heather Lawless, Melonie Díaz, Harvey Hogan, John Tormey, Danny Glover, Chandler Parker, Kid Creole, Amir Ali Said, Jon Glaser, Sigourney Weaver, Paul Dinello, Gio Perez, Marcus Carl Franklin, P.J. Byrne, Frank Heins, Frank Girardeau, Marc Alan Austen, Marceline Hugot, Ann Longo, Karolina Wydra, Francisco Fabian, Quinton Aaron, Walter Helbig, Tomasz Soltys, Allie Woods Jr., Jack Black, Kishu Chand, Mia Farrow, Arjay Smith, Victor Dickerson, McKinley Page, Parrie Hodges, Yasiin Bey, Paul Barman, Basia Rosas, Blake Hightower",Michel Gondry,Ellen Kuras,Michel Gondry,"Guy Stodel, Toby Emmerich, Michel Gondry, Georges Bermann, Julie Fong",Jean-Michel Bernard,6.4,95880,/f0oX20YrQEiVPDH9InCQ1d3Cm66.jpg,1,2008,3
12621,Hamlet 2,5.9,185,Released,2008-01-21,4886216,92,9000000,tt1104733,en,Hamlet 2,Failed actor-turned-worse-high-school-drama-teacher Dana Marschz rallies his Tucson students as he conceives and stages politically incorrect musical sequel to Shakespeare's Hamlet.,2.8881,One high school drama teacher is about to make a huge number 2.,"Comedy, Music",Focus Features,United States of America,English,"Elisabeth Shue, Nat Faxon, Arnie Pantoja, J. J. Soria, Catherine Keener, Marco Rodríguez, Steve Coogan, Arron Shiver, Skylar Astin, J.D. Garfield, Johnnie Hector, Melonie Díaz, Michael Esparza, David Arquette, Phoebe Strole, Evan Adrian, Natalie Amenula, Deborah Chavez, Marshall Bell, Amy Poehler, Josh Berry",Andrew Fleming,Alexander Gruszynski,"Pam Brady, Andrew Fleming","Ron Yerxa, Aaron Ryder, Eric Eisner, Albert Berger, Michael Flynn, Leonid Rozhetskin",Ralph Sall,6.3,17807,/ljdmxGNwhuWZBsCgANlZrruFkJj.jpg,1,2008,4
18273,Downloading Nancy,5.3,70,Released,2008-01-21,20000,97,3000000,tt0411323,en,Downloading Nancy,"When Albert Stockwell comes home from work one day he finds a note from his wife of 15 years, Nancy, saying she has gone to see friends. After waiting several days, Albert realizes that his wife is missing. Nancy has met her salvation on the Internet in the form of Louis Farley. Nancy and Louis, both wounded souls, take comfort in one another through e-mail, pictures, and promises of perverse sexual encounters.",1.1098,She's looking for someone to complete her.,"Thriller, Drama, Romance","World Premiere Entertainment, Tule River Films",United States of America,English,"Amy Brenneman, Sunny Doench, Rufus Sewell, Jason Patric, David Lawrence Brown, Michael Nyqvist, Maria Bello",Johan Renck,Christopher Doyle,"Pamela Cuming, Lee Ross","Markus Müller, Adam Batz, Cole Payne, Sean McVity, Jason Essex, P.H. Clinkscales Sr., David D. Moore, Igor Kovacevich, Chris Hanley, Stephen Onda, Daniel Sachs, Julie Aaron, Maddox Pace Clinkscales, Philip H. Clinkscales III",Krister Linder,5.7,3172,/11unuBv9a4wbH6BA3zQNk3ywb9m.jpg,1,2008,4
8090,Untraceable,6.2,944,Released,2008-01-22,52659594,101,35000000,tt0880578,en,Untraceable,"Special Agent Jennifer Marsh works in an elite division of the FBI dedicated to fighting cybercrime. She thinks she has seen it all, until a particularly sadistic criminal arises on the Internet. This tech-savvy killer posts live feeds of his crimes on his website; the more hits the site gets, the faster the victim dies. Marsh and her team must find the elusive killer before time runs out.",4.664,A cyber killer has finally found the perfect accomplice: You.,"Thriller, Crime, Mystery, Drama, Horror","Cohen/Pearl Productions, Screen Gems, Lakeshore Entertainment",United States of America,English,"Tim DeZarn, Trina Adams, Katie O’Grady, Erin Carufel, Betty Moyer, Perla Haney-Jardine, Brynn Baron, Billy Burke, Ryan Deal, Diane Lane, Jesse Tyler Ferguson, John Breen, Colin Hanks, Christopher Cousins, Tyrone Giordano, Joseph Cross, Mary Beth Hurt, Peter Gray Lewis, Dan Callahan",Gregory Hoblit,Anastas N. Michos,"Mark Brinker, Robert Fyvolent, Allison Burnett","James McQuaide, Steven Pearl, Gary Lucchesi, Richard S. Wright, Tom Rosenberg, Eric Reid, Sarah Platt, Hawk Koch, Andy Cohen",Christopher Young,6.2,54388,/ySUwDRDEn01lKIMPQorpFCMLWqE.jpg,1,2008,4
7278,Meet the Spartans,4.1,1769,Released,2008-01-24,85897593,84,30000000,tt1073498,en,Meet the Spartans,"The heroic Leonidas, armed with nothing but leather underwear and a cape, leads a ragtag group of thirteen Spartans to defend their homeland against the invading Persians (whose ranks include Ghost Rider, Rocky Balboa, the Transformers, and a hunchbacked Paris Hilton). No one is safe when the Spartans take on the biggest icons in pop culture!",5.0095,"The bigger the hit, the harder they fall.","Comedy, Fantasy","New Regency Pictures, Regency Enterprises, 3 in the Box, 20th Century Fox",United States of America,English,"Hunter Clary, Robin Atkin Downes, John Di Domenico, Tony Yalda, Carmen Electra, Zachary Dylan Smith, Jareb Dauplaise, Belinda Waymouth, Tiffany Haddish, Nick Steele, Travis Van Winkle, Crista Flanagan, Kevin Sorbo, Ryan Fraley, Diedrich Bader, Tim Connolly, Jim Piddock, Tiffany Claus, Jessica Heap, Lauren Walsh, Nate Haden, Sean Maguire, Ken Davitian, Nicole Parker, Method Man, Emily Wilson, Jesse Lewis IV, Dean Cochran, Jim Nieb, Martin Klebba, Ike Barinholtz, Phil Morris","Aaron Seltzer, Jason Friedberg",Shawn Maurer,"Aaron Seltzer, Jason Friedberg","Aaron Seltzer, Arnon Milchan, Peter Safran, Jason Friedberg",Christopher Lennertz,2.8,114469,/DWQOjAPvM8Kk1Qp3Xq0zae0Z6w.jpg,1,2008,4
7555,Rambo,6.687,4108,Released,2008-01-24,113200000,92,50000000,tt0462499,en,Rambo,"In Thailand, ex-Green Beret John James Rambo joins a group of mercenaries to venture into war-torn neighboring Myanmar to rescue a group of Christian aid workers who have been kidnapped by a ruthless local infantry unit.",10.5261,"Live for nothing, or die for something.","Action, Thriller, War","Millennium Media, Lionsgate, The Weinstein Company, Equity Pictures Medienfonds IV, Nu Image Entertainment","United States of America, Germany","English, , ภาษาไทย","Kjam Saen, Graham McTavish, James With, Yupin Mu Pae, Surachai Muangdee, Thomas Peterson, Pornpop 'Tor' Kampusiri, Kasikorn Niyompattana, Matthew Marsden, Maung Maung Khin, Sylvester Stallone, Pan Dokngam, Suppakorn Kitsuwan, Nee Lungjai, Mana Sen-Mi, Richard Crenna, Cameron Pearson, Kammul Kawtep, Sornram Patchimtasanakarn, Tony Skarberg, Julie Benz, Wasawat Panyarat, Matthew Wolf, Noa 'Arunee Prijareonsuk' Jei, George Cheung, May Kung, Tim Kang, Jake La Botz, Watcharentr Sedtho, Rapimpa Dibu, Toole Khan Kham, Moan Adisak, Saiwan Lungta, Paul Schulze, Aun Lung Su, Aung Aay Noi, Han Pik, Reynaldo Gallegos, Somsak Wongsa, Tip Tiya, Shaliew 'Lek' Bamrungbun, Ken Howard, Aung Theng",Sylvester Stallone,Glen MacPherson,"Art Monterastelli, Sylvester Stallone, David Morrell","Florian Lechner, Trevor Short, Andreas Thiesmeyer, Harvey Weinstein, Peter Block, Kevin King Templeton, John Thompson, Randall Emmett, George Furla, Avi Lerner, Bob Weinstein, Boaz Davidson, Jon Feltheimer, Danny Dimbort",Brian Tyler,7,253930,/3mInub5c8o00H7EJ1TrjAqOzIuc.jpg,1,2008,4
7461,Vantage Point,6.4,2086,Released,2008-02-01,152039882,90,40000000,tt0443274,en,Vantage Point,"During an historic counter-terrorism summit in Spain, the President of the United States is struck down by an assassin's bullet. Eight strangers have a perfect view of the kill, but what did they really see? As the minutes leading up to the fatal shot are replayed through the eyes of each eyewitness, the reality of the assassination takes shape.",3.2032,8 strangers. 8 points of view.  1 truth.,"Drama, Action, Thriller, Crime","KanZaman Productions, Relativity Media, Original Film, Art In Motion, Columbia Pictures","Mexico, Spain, United States of America","Español, English","Justin Sundquist, Saïd Taghmaoui, James Le Gros, Matthew Fox, William Hurt, Marisa Rubio, Guillermo Iván, Alicia Jaziz Zapién, Sean O'Bryan, Edgar Ramírez, Ari Brickman, Richard T. Jones, Dennis Quaid, Sigourney Weaver, Xavier Massimi, Holt McCallany, Ayelet Zurer, Bruce McGill, Leonardo Nam, Lisa Owen, Eduardo Noriega, Shelby Fenner, Brian McGovern, Rocío Verdejo, Zoe Saldaña, Forest Whitaker, Dolores Heredia, Rodrigo Cachero, José Carlos Rodríguez",Pete Travis,Amir Mokri,Barry Levy,"Callum Greene, Mark Farrington, Tania Landau, Neal H. Moritz, Lynwood Spinks",Atli Örvarsson,6.6,157016,/9xA1KaGoYQJveY3C87J41Au5Kkn.jpg,2,2008,5
9030,The Eye,5.9,1106,Released,2008-02-01,58010320,98,12000000,tt0406759,en,The Eye,"Violinist Sydney Wells was accidentally blinded by her sister Helen when she was five years old. She submits to a cornea transplantation, and while recovering from the operation, she realizes that she is seeing dead people.",6.1641,How can you believe your eyes when they're not yours?,"Drama, Horror, Thriller","Paramount Vantage, VN Productions, Cruise/Wagner Productions, Vertigo Entertainment, Lionsgate","United States of America, Canada","Español, English","Chloë Grace Moretz, Tegan Moss, Rade Šerbedžija, Jessica Alba, Parker Posey, Obba Babatundé, Rachel Manera, Fernanda Romero, Braden Wilcox, Danny Mora, Karen Elizabeth Austin, Heather Doerksen, Tamlyn Tomita, Alessandro Nivola, Mia Stallard, Rachel Ticotin","Xavier Palud, David Moreau",Jeffrey Jur,"Oxide Pang Chun, Danny Pang Phat, Jojo Hui Yuet-Chun, Sebastian Gutierrez","Don Granger, Doug Davison, Paula Wagner, Michael Paseornek, Darren Miller, Tom Ortenberg, Roy Lee, Mike Elliott, Michelle Manning, Peter Block, Peter Chan",Marco Beltrami,5.4,58400,/9N3znJ8sHH2EQjARCrUpxMj3hWd.jpg,2,2008,5
8457,Drillbit Taylor,5.8,1055,Released,2008-02-04,32900000,110,40000000,tt0817538,en,Drillbit Taylor,"Dealing with a sociopathic school bully, three high school freshmen hire a low-budget bodyguard to protect them, not realizing he is just a homeless beggar and petty thief looking for some easy cash.",3.5072,You get what you pay for.,Comedy,"Paramount Pictures, Apatow Productions",United States of America,English,"Stephen Root, Janet Varney, Vincent Malouf, Chuck Liddell, Julia Roth, Stacy Arnell, Steven Brill, Dylan Boersma, Shane Ryan-Reid, Casey Boersma, Adam Baldwin, Valerie Tian, Lisa Lampanelli, Lauren Glenn, Andrew Lewis Caldwell, Adam Ho, Danny McBride, Kevin Hart, Matthew Cardarople, Lisa Ann Walter, Matt Besser, Max Van Ville, Vincent Laresca, Josh Peck, Jeff Kahn, Owen Wilson, Steve Bannos, Jordan Valacich, Ian Roberts, Tichina Arnold, Rance Howard, Sarah Loew, Alex Frost, Bill O'Neill, Cedric Yarbrough, Nate Hartley, Da'Vone McDonald, Leslie Mann, Matt Walsh, David Bowe, Dana Nicole Silver, Troy Gentile, Leslie Ann Lizarde, Roger Fan, Mary Pat Gleason, Joe Wilson, Mo Gallini, Mary-Pat Green, Cristos, David Dorfman, Frank Whaley, Katie Gill, Alex Donnelley, Shaun Weiss, Robert Musgrave, Beth Littleford, David Koechner",Steven Brill,Fred Murphy,"John Hughes, Kristofor Brown, Seth Rogen","Donna Roth, Judd Apatow, Susan Arnold, Richard Vane",Christophe Beck,5.7,63784,/shqO696kFnM8Z4ODa3JglcjP97u.jpg,2,2008,6
8676,Fool's Gold,5.8,1530,Released,2008-02-07,111231041,112,70000000,tt0770752,en,Fool's Gold,"Treasure hunter Ben ""Finn"" Finnegan has sunk his marriage to Tess and his trusty boat in his obsessive quest to find the legendary Queen's Dowry. When he finds a vital clue that may finally pinpoint the treasure's whereabouts, he drags Tess and her boss, billionaire Nigel Honeycutt, along on the hunt. But Finn is not the only one interested in the gold; his former mentor-turned-enemy Moe Fitch, hired by rapper-turned-gangster Bigg Bunny, will stop at nothing to beat him to it.",3.544,This February true love takes a dive.,"Adventure, Romance, Comedy","De Line Pictures, Warner Bros. Pictures, Bernie Goldmann Productions","Australia, Bahamas, United States of America",English,"Ashley Cheadle, Harli Ames, Ra Mel El, Adam LeFevre, Hannah Hutchins, Henry Browne, Edwina Ritchard, Kate Hudson, Roger Sciberras, Luke Pegler, David Roberts, Kevin Hart, Duncan Young, Ewen Bremner, Xavier Fernández, Clementine Heath, Peter Whitford, Elizabeth Connolly, Tom O'Sullivan, Linda Cropper, Laurence Coy, Jason Dundas, Bill Watson, Frank Turner, Ray Winstone, Michael Mulheren, Valentino del Toro, Malcolm-Jamal Warner, Todd Lasance, Andrew Allen, Ray Bull, Brian Hooks, Donald Sutherland, Matthew McConaughey, Nicholas Cooper, Alexis Dziena, Glenn Suter, Rohan Nichol",Andy Tennant,Don Burgess,"Daniel Zelman, Andy Tennant, John Claflin","Donald De Line, Wink Mordaunt, Jon Klane, James Dyer, Bernie Goldmann",George Fenton,5.7,88236,/5pIqVNmWJ87K5dk9tE01o6gknZJ.jpg,2,2008,6
8321,In Bruges,7.5,5501,Released,2008-02-08,34533783,108,15000000,tt0780536,en,In Bruges,"Ray and Ken, two hit men, are in Bruges, Belgium, waiting for their next mission. While they are there they have time to think and discuss their previous assignment. When the mission is revealed to Ken, it is not what he expected.",6.1012,Shoot first. Sightsee later.,"Comedy, Drama, Crime","Twins Financing, Blueprint Pictures, Focus Features, Scion Films, Film4 Productions","United Kingdom, United States of America",English,"Ran Yaniv, Ralph Fiennes, Theo Stevenson, Éric Godon, Jean-Marc Favorin, Bonnie Witney, Rudy Blomme, Thekla Reuten, Sachi Kimura, Elizabeth Berrington, Stephanie Carey, Colin Farrell, Brendan Gleeson, Clémence Poésy, Jérémie Renier, Louis Nummy, Jamie Edgell, Jordan Prentice, Angel Witney, Inez Stinton, Ann Elsley, Ciarán Hinds, Olivier Bonjour, Emily Thorling, Susan Ateh, Zeljko Ivanek, Mark Donovan, Anna Madeley",Martin McDonagh,Eigil Bryld,Martin McDonagh,"Tessa Ross, Graham Broadbent, Julia Blackman, Jeff Abberley, Peter Czernin",Carter Burwell,7.9,486116,/jMiBBqk72VRo1Y39x2ZbbenEU3a.jpg,2,2008,6
13490,Welcome Home Roscoe Jenkins,6,295,Released,2008-02-08,43650785,114,35000000,tt0494652,en,Welcome Home Roscoe Jenkins,"When a celebrated TV show host returns to his hometown in the South, his family is there to remind him that going home is no vacation!",1.965,"Roscoe Jenkins aims for the heartstrings and funny bones, a raucous helping of family soul food.","Comedy, Drama, Family","Spyglass Entertainment, Universal Pictures",United States of America,English,"Mike Epps, Brandin Jenkins, Nicole Ari Parker, Cedric the Entertainer, Louis C.K., Erin Cummings, Liz Mikel, James Earl Jones, Martin Lawrence, Carol Sutton, Deetta West, Joy Bryant, Mo'Nique, Damani Roberts, Brooke Lyons, Margaret Avery, Michael Clarke Duncan",Malcolm D. Lee,Greg Gardiner,Malcolm D. Lee,"Scott Stuber, Timothy M. Bourne, Roger Birnbaum, Charles Castaldi, Mary Parent, Malcolm D. Lee, Gary Barber",David Newman,5.5,16473,/1VzS2bkQHVcIxSeBJifOx65oxHK.jpg,2,2008,6
18585,The Ramen Girl,6.475,343,Released,2008-02-08,179590,102,3200000,tt0806165,en,The Ramen Girl,"An American woman is stranded in Tokyo after breaking up with her boyfriend. Searching for direction in life, she trains to be a ramen chef under a tyrannical Japanese master.",1.3953,Her romance is on pins and noodles.,"Romance, Comedy, Drama",Media 8 Entertainment,"Japan, United States of America","日本語, English","Toshiyuki Nishida, Renji Ishibashi, Kimiko Yo, Tammy Blanchard, Soji Arai, Yûya Ogawa, Gabriel Mann, Akiko Monou, Brittany Murphy, Tsutomu Yamazaki, Takaki Uda",Robert Allan Ackerman,Yoshitaka Sakamoto,Becca Topol,"Yōko Narahashi, Kimio Kataoka, Stewart Hall, Robert Allan Ackerman, Michael Eliasberg, Brittany Murphy, Masafumi Odawara, Cleve Landsberg",Carlo Siliotto,6.3,11712,/sK7hW0quKwlYxP2urLirsDFPabD.jpg,2,2008,6
