id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer,imdb_rating,imdb_votes,poster_path,release_month,release_year,iso_week,title_clean,distance,strength,score,marvel_movie
664469,Amsterdam,6.1,1709,Released,2022-09-27,31245810,134,80000000,tt10304142,en,Amsterdam,"In the 1930s, three friends—a doctor, a nurse, and an attorney—witness a murder, become suspects themselves and uncover one of the most outrageous plots in American history.",3.654,"Let the love, murder and conspiracy begin.","Mystery, Comedy, Drama","dreamcrew, keep your head productions, corazon hayagriva, new regency productions, regency enterprises",United States of America,"Français, English","Richie Harrington, Raphael Corkhill, Susan Gray, Leland Orser, Michael Shannon, Casey Graf, Daniel Riordan, Richard Harrington, Vincent M. Biscione, Ed Begley Jr., Beth Grant, Chase Arrington, Homer Aguilar, James Hunter, Taylor Swift, Alessandro Nivola, Alef Orixa, Shedell, Adam G. Simon, Zoe Saldaña, Mel Fair, Sean Avery, Eloho Josephine Okujeni, Brandon Davis, Floyd Armstrong, Matthias Schoenaerts, Kawan DeBose, Mike Myers, Christopher Kager, Adolf Hitler, Andrea Riseborough, Anya Taylor-Joy, Dey Young, Gigi Bermingham, Leonard A. Tucker Jr., Mike Azevedo, André Tardieu, Shiree Nelson, Luke Matheis, Kindsey Vaughn, Christopher Gehrman, Steven Hack, Timothy Donovan, Lauren Shaw, Stefan Sharpe, Mark Winn, John David Washington, Bonnie Hellman, John Pirkis, Robert De Niro, Donovan Hurst, David Babbitt, Benito Mussolini, Baxter Humby, Max David Weinberg, Deon Sams, Max Perlich, Mathew Trent Hunnicutt, Margot Robbie, Kalina Vanska, Tom Irwin, Colleen Camp, Casey Biggs, Jessica Drake, Timothy Olyphant, Rami Malek, Andrew Constantini, Rebecca Wisocky, Gabé Doppelt, Martin Harris, Christian Bale, Jarrett Johnson, Valeria Malikova, Dalila Ali Rajah, Chris Rock, Vaughn Page",David O. Russell,Emmanuel Lubezki,David O. Russell,"Sam Hanson, Drake, Michael Schaefer, David O. Russell, Adel 'Future' Nur, Anthony Katagas, Yariv Milchan, Arnon Milchan, Christian Bale, Matthew Budman",Daniel Pemberton,6.1,104518,/6sJcVzGCwrDCBMV0DU6eRzA2UxM.jpg,9,2022,39,amsterdam,-43,17.25739587716145,0.3922135426627602,black panther: wakanda forever
511424,"My Sailor, My Love",6.2,17,Released,2022-09-30,159180,102,4600000,tt5851696,en,"My Sailor, My Love",The thorny relationship between a woman and her retired father worsens after he becomes romantically involved with the housekeeper she hires for him.,2.526,It's never too late to love.,"Drama, Romance","making movies, samson films","Finland, Ireland",English,"Jeanne Nicole Ní Áinle, Annette Flynn, Brid Brennan, Aidan O'Hare, Nora-Jane Noone, Shane McCarthy, Tara Flynn, Donagh Deeney, Fr. John Kenny, Ciara Fallon, Helen Roche, Hannah O'Reilly, Nova Farrelly, Bob Kelly, Catherine Walker, Carol O'Reilly, Ciara McKeown, Finbar Furey, Shane G. Casey, Tim Landers, Aisling Reid, Grace Fitzgerald, James Cosmo, Fionnuala Murphy, Wendy Dynan Gleeson, Ciara Hennessy, Gina Costigan, Valerie O'Connor, Niamh Walsh, Molly McCann",Klaus Härö,Robert Nordström,"Jimmy Karlsson, Kirsi Vikman","Kaarle Aho, Kai Nordberg",Michelino Bisceglia,7.1,1668,/28gdL4fVM5yRK8d1NkE43ExHTLO.jpg,9,2022,39,"my sailor, my love",-40,11.977797198536363,0.29214139508625275,black panther: wakanda forever
614939,Bros,6.7,539,Released,2022-09-30,14781779,115,22000000,tt9731598,en,Bros,Two emotionally unavailable men attempt a relationship.,1.7336,A romantic comedy that gives you all the feels.,"Comedy, Romance","universal pictures, apatow productions, stoller global solutions",United States of America,English,"Debra Messing, Ben Stiller, Keith Milkie, Peter Y. Kim, Jim Rash, Courtney Chu, Justin Covington, Feliziano Flores, George Dvorsky, Becca Blackwell, Amy Schumer, Charles J. Roby, Matthew Wilkas, Dahlia Rodriguez, Eileen Noonan, Eve Lindley, Lorenzo Scott, Gara Lonning, Derrick Delgado, Julia Scotti, D'Lo, Seth Meyers, Ryan Daly, Jamyl Dobson, Courtney Bassett, Monica Raymund, Alex Ringler, Cedric Leiba, Jr., Nanie Méndez, Bowen Yang, Dot-Marie Jones, Legendary Monster Babylon, Doug Trapp, Daren J. Fleming, Guillermo Díaz, Joshua L.K. Patterson, Jovan E'Sean, Amanda Bearse, Kenan Thompson, Ryan Faucett, Symone, Anthony DeVito, Billy Eichner, Luke Macfarlane, Brock Ciarlelli, Rick Crom, Kristin Chenoweth, Shannon O'Neill, Ts Madison, Jillian Gottlieb, Jai Rodriguez, Miss Lawrence, Edythe Jason, William Popp, Allison Reese, Everett Quinton, Aidan Wharton, Joanne Lamstein, Brayden Morgan, Clayton Paterson, Harvey Fierstein, Jesús Martínez Jr., Guy Branum, Thomas Vorsteg, Joey Taranto",Nicholas Stoller,Brandon Trost,"Billy Eichner, Nicholas Stoller","Josh Church, Nicholas Stoller, Billy Eichner, Judd Apatow, Karl Frankenfield",Marc Shaiman,6.3,38883,/6iFBzZ3LjmlE83pHok03Z9QPkAB.jpg,9,2022,39,bros,-40,16.508905899250447,0.40265624144513285,black panther: wakanda forever
660046,Ponniyin Selvan: Part I,7.1,85,Released,2022-09-30,59000000,167,29500000,tt10701074,ta,பொன்னியின் செல்வன்: பாகம் 1,"The Chola kingdom is under threat from forces both internal and external, and with crown prince Aaditha Karikalan, his younger brother Arunmozhi Varman and the emperor, Sundara Cholar separated by situations, it is up to a messenger to ensure the safety of the kingdom. Can he succeed in his mission, especially with Karikalan's former girlfriend, Nandhini, plotting to bring down the entire Chola empire?",3.6494,The Cholas Are Coming,"Action, Adventure, History","lyca productions, madras talkies, reflection pictures studio",India,தமிழ்,"R. Parthiban, Babu Antony, K. Smruthi, Vidhya Subramanian, Vikram, Sundaram, Vikram Prabhu, R. Sarathkumar, Aishwarya Rai Bachchan, Yog Jappie, Nassar, Ashwin Kakumanu, Amzath Khan, Ashmini Balakrishnan, Balla Bhoopalan, Vinodhini Vaidyanathan, Shyam Fernando, Nambi, Harris Moosa, Nimmy Raphael, Trisha Krishnan, Bharat Raj, Jaichandran, Manoj Kumar K., N. Azhagamperumal, Jayaram, Gopi Kannadasan, Nizhalgal Ravi, Kannan, Aadesh Bala, Kamal Haasan, Jayachitra, Lal, Vinay Kumar Joseph, A. Seemon, Kishore, Anil Kumar, Shakthi Ramani, Heavens Raja, Prabhu Mani, Prakash Raj, Jaindhan, Riyaz Khan, Aishwarya Lekshmi, Sara Arjun, Ravi Mohan, Suresh Ekambaram, Arjun Chidambaram, Ashwin Rao Pallaki, Balaji Sakthivel, Karthi, Prabhu, Mohan Raman, Bharathiraja Sakthivel, Deepa Venkat, Rahman, Raaghavan Murugan, Santhosh, Ramachandran, Krithika Nelson, Sobhita Dhulipala",Mani Ratnam,Ravi Varman,"Sivakumar Ananth, Kabilan, Kalki Krishnamurthy, Ilango Krishnan, Jeyamohan, Elango Kumaravel, Mani Ratnam, Krithika Nelson","Sivakumar Ananth, Mani Ratnam, Allirajah Subaskaran",A.R. Rahman,7.5,38123,/941tW6oSacXZ6JrqeCqT4CgXEN2.jpg,9,2022,39,ponniyin selvan: part i,-40,17.893048018819147,0.4364158053370524,black panther: wakanda forever
818110,The Magic Flute,6.4,117,Released,2022-09-30,492000,125,6500000,tt8206398,en,The Magic Flute - Das Vermächtnis der Zauberflöte,"A seventeen year old travels from London to the Austrian Alps to attend the legendary Mozart boarding school. There, he discovers a centuries-old forgotten passageway into the fantastic world of Mozart's ""The Magic Flute"".",3.9994,Believe in the magic of music.,"Adventure, Fantasy, Music, Family","flute film, bayerischer banken-fonds, centropolis entertainment, flimmer group, tobis film",Germany,"Deutsch, English","Sabine Devieilhe, Greg Wise, Ryan Hadaller, Robin Gooch, Cosima Henman, Wilson Gonzalez Ochsenknecht, Jerome Bèl, Sidney Jackson, Larissa Sirah Herden, Niamh McCormack, Morris Robinson, Stefan Konarske, Bertie Caplan, Niklas Dis, Jasmin Shakeri, Luyanda Unati Lewis-Nyawo, Rolando Villazón, Amir Wilson, Iwan Rheon, Ellie Courtiour, Stéfi Celma, Jeanne Goursaud, Asha Banks, Waldemar Kobus, Noureddine Farihi, Yoni Bronks, Leslie Sugandarajah, Steffen Mennekes, F. Murray Abraham, Tedros Teclebrhan, Steffen Jung, Robert Porter Templeton, Jack Wolfe",Florian Sigl,Peter Matjasko,"Jason Young, Andrew Lowery, Norbert Maass","Fabian Wolfart, Roland Emmerich, Christopher Zwickler, Lena Bahrs",Martin Stock,5.6,1819,/AeIKugiQy1e3RZTrwXH1a84D8eo.jpg,9,2022,39,the magic flute,-40,13.106236027992704,0.3196642933656757,black panther: wakanda forever
858485,Kantara,7.1,121,Released,2022-09-30,60447800,147,1960000,tt15327088,kn,ಕಾಂತಾರ,"Shiva, a tribal vagabond lives with his mother in hamlet, stays away from the traditional Daivaradhane and Bhoota Kola legacy due to an unforgettable childhood incident. He is happy loafing around with his friends and doing petty jobs for his landlord. When Forest officer Murali enters the scene, it gives a fresh dimension to the man-vs-nature fight. Can Shiva save the forest from Murali? Or is Murali just a dummy bait cast by bigger fish?",12.7021,A Legend,"Action, Drama, Thriller",hombale films,India,"?????, ","Deepak Rai Panaje, Manasi Sudhir, Kishore, Naveen D. Padil, Satish Achar, Mime  Ramdas, Basuma Kodagu, Pramod Shetty, Achyuth Kumar, Pragathi Rishab Shetty, Raghu Pandeshwar, Prakash Tuminadu, Suchan Shetty, Shanil Guru, Rakshith Ramachandra Shetty, Pradeep Shetty Bellala, Shine Shetty, Sukanya, Rishab Shetty, Sapthami Gowda, Naveen Bondel, Prabhakar Kunder, Rajeev Shetty, Chandrakala Udupi, Pushparaj Bollar, Ranjan Saju, Radhakrishna Kumble, Vinay Bidappa, Swaraj Shetty, Athish S Shetty",Rishab Shetty,Arvind Kashyap,"Anirudh Mahesh, Prakash Tuminadu, Raj B Shetty, Rishab Shetty",Vijay Kiragandur,B. Ajaneesh Loknath,8.1,113717,/jIsKmkxMzdCZ0Ux1GVSnu8m6Na6.jpg,9,2022,39,kantara,-40,17.917290757192195,0.437007091638834,black panther: wakanda forever
947507,Just Super,5.7,22,Released,2022-09-30,2013434,76,3800000,tt21212718,no,Helt super,"11-year-old gaming enthusiast Hedvig finds her life turned upside down when she is forced to replace her father as the town’s superhero much earlier than expected. But Hedvig is no superhero, and the challenges are far greater than her coaching father anticipated.",4.0704,What is your superpower?,"Animation, Family, Fantasy",qvisten animation,Norway,Norsk,"Todd Bishop Monrad Vistven, Jan Martin Johnsen, Tobias Santelmann, Espen Sandvik, Oliva Stene-Larsen, Sverre Jonasson, Henriette Marø, Ariane Ramborg, Atle Antonsen, Kari Simonsen, Line Verndal, Johannes Kjærnes, Desta Marie Beeder, Leon Asak, Adrian Sivertsen Figenschou, Hennika Eggum Huuse, Charlotte Frogner",Rasmus A. Sivertsen,,"Kamilla Krogsveen, Jesper Sundnes, Philip LaZebnik","Ove Heiborg, Rasmus A. Sivertsen, Åshild Ramborg, Stian Tveiten, Fredrik Kiøsterud","Stein Johan Grieg Halvorsen, Eyvind Andreas Skeie",5.2,436,/iZxqMQTIQ6HYOzyeiDxYYtyj4H7.jpg,9,2022,39,just super,-40,14.515352776656714,0.3540329945526028,black panther: wakanda forever
663712,Terrifier 2,6.697,2371,Released,2022-10-06,15741780,138,250000,tt10403420,en,Terrifier 2,"A year after the Miles County massacre, Art the Clown is resurrected by a sinister entity. Art returns home, where he must hunt down and destroy teenage Sienna and her younger brother Jonathan on Halloween. As the body count rises, the siblings fight to stay alive while uncovering the true nature of Art's evil intent.",11.2574,Who's laughing now?,"Horror, Thriller","dark age cinema, fuzz on the lens productions, bloody disgusting, the coven, gelt films",United States of America,English,"Briana Calcagno, Chris Irvine, Marisa Bertani, Phil Falcone, Wesley Holloway, Gino Cafarelli, Ross Caudill Jr., Felissa Rose, Staci Dickerson, Charlie McElveen, Geordie McGillivray, Mark A. Langston, Leah Voysey, Scott Klausen, Jackie Adragna, Matt McAllister, Steven Kiseleski, Rob Gabriele, Sarah Brill, Elizabeth Piper S., Jenna Kanell, Damien Leone, Thomas Rickman, Craig Sapenoff, Steven Della Salla, Sarah Voigt, Sarah Grace Sanders, Jason Leavy, Sheri Fairchild, Casey Hartnett, Devon Roth, Amelie McLain, Ava O'Donnell, Rachel Keefe, Johnny Ferri, Erick Zamora, Amy Russ, Joshua Kirpach, Tamara Glynn, Robert Privitera, Johnath Davis, Loren W. Lepre, Catherine Corcoran, Nick Ford, Miche Brill, Lauren LaVera, Owen Myre, David Howard Thornton, Katie Maguire, Griffin Santopietro, Matthew Hammond, Cory DuVal, Reid Richards, Thomas Smith, Elliott Fullam, Samantha Scaffidi, Jamie Root, Ryan James, Rick Styczynski, Kailey Hyman, Marcus Slabine, Gilbrando Acevedo, Jonathan A. Streetzel, Michael Leavy",Damien Leone,George Steuber,Damien Leone,"Hank Greenberg, Phil Falcone, Jason Leavy, Thomas Smith, Steven Della Salla, Cairo Ben Amen II, Lisa Falcone, Steven Caruso, Marcus McGill, Michael Leavy, Joshua Anderson",Paul Wiley,6.0,79176,/qEAlwXbYk6IHA4ztoS2XFFaa7Xo.jpg,10,2022,40,terrifier 2,-34,16.57182894575953,0.4734808270217009,black panther: wakanda forever
830784,"Lyle, Lyle, Crocodile",7.0,622,Released,2022-10-07,104088441,106,50000000,tt14668630,en,"Lyle, Lyle, Crocodile","When the Primm family moves to New York City, their young son Josh struggles to adapt to his new school and new friends. All of that changes when he discovers Lyle — a singing crocodile who loves baths, caviar and great music — living in the attic of his new home. But when Lyle’s existence is threatened by evil neighbor Mr. Grumps, the Primms must band together to show the world that family can come from the most unexpected places.",4.1277,He knows every scale.,"Comedy, Family, Music","eagle pictures, columbia pictures","Italy, United States of America",English,"Brett Gelman, Jef Holbrook, Christine Moon, Winslow Fegley, Sal Viscuso, Ego Nwodim, Kyson Galligan, Joshua Vasquez, Lindsey Moser, Eric Rutherford, Thomas Williams, Ben Palacios, Jason Kravits, Constance Wu, Mac Wells, Don DiPetta, Lauren Boyd, Evangeline Miller, Lyric Hurd, Caden Brillantes, Matt Rogers, Al Thompson, Irving Thigpen, Jene Moore, Angela Davis, Javier Bardem, Kathy Orlando, Matthew Risch, Scoot McNairy, Alton Williams, Chance Mizell, Clayton English, Donnie Cormier, Marc Farley, Adam Murray, Eboni Nichols, Matthew Wilkas, Reif Howey, Mary Neely, Shawn Mendes, Rick Pearson, Taylor James, Keiko Bell","Will Speck, Josh Gordon",Javier Aguirresarobe,"Bernard Waber, William Davies, Benj Pasek, Justin Paul","Will Speck, Hutch Parker, Tarak Ben Ammar, Kevin K. Vafi, Bob Dohrmann, Justin Paul, Benj Pasek, Andy Mitchell, Josh Gordon, Dan Wilson",Matthew Margeson,6.1,17579,/dN6XnCEP3AO7N4XFOFyZ8V8kZF5.jpg,10,2022,40,"lyle, lyle, crocodile",-33,18.46075149956332,0.5429632793989212,black panther: wakanda forever
1018494,Operation Seawolf,5.7,111,Released,2022-10-07,23000,86,15000,tt13429928,en,Operation Seawolf,"During the last days of World War II, Germany, desperate for any last grasp to defeat the allied powers, looked to their last remaining weapons and soldiers. The German Navy and the last remaining U-Boats were formed together for one desperate last mission – a mission to attack the United States Homeland, known as Operation Seawolf. Captain Hans Kessler, a grizzled submarine commander from both World Wars, is called into service to make one mission a success and help turn the tide of the war.",4.266,Last mission to win this war.,"War, Thriller, Action, Adventure",relis pic,United States of America,English,"Frank Grillo, Dolph Lundgren, Cody Fleury, Andrew Stecker, Apostolos Gliarmis, Kenna James, Hiram A. Murray, Luke Steinborn, Edgar Damatian, Aaron Courteau",Steven Luke,Joseph Loeffler,Steven Luke,"Jordan Fields, Todd Lundbohm, Steven Luke, Andre Relis, Jessica Russo",Alex Kharlamov,3.4,1130,/eqm5EAyC9hJCN5qutuW4Ka1xYbU.jpg,10,2022,40,operation seawolf,-33,10.043292972227004,0.29539096977138246,black panther: wakanda forever
