id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer,imdb_rating,imdb_votes,poster_path,release_month,release_year,iso_week,title_clean,distance,strength,score,marvel_movie
37686,Super 8,6.77,6844,Released,2011-06-08,260100000,112,50000000,tt1650062,en,Super 8,"In late 1970s Ohio, a group of friends filming a homemade zombie movie witness a devastating train derailment. Soon after, their quiet town is gripped by unexplained disappearances, strange phenomena, and a growing sense of fear, as they uncover that something terrifying has been set loose.",6.2404,It arrives.,"Thriller, Science Fiction, Mystery","paramount pictures, amblin entertainment, bad robot",United States of America,English,"Thomas F. Duffy, Jay Scully, Jack Axelrod, Patrick St. Esprit, Joel Courtney, Tony Guma, Dan Castellaneta, Jason Brooks, Brandon Hirsch, Bingo O'Malley, Caitríona Balfe, Beau Knapp, Tim Griffin, Koa Melvin, Katie Lowes, Kyle Chandler, Riley Griffiths, Ben Gavin, Michael Giacchino, Jonathan Dixon, Gabriel Basso, Glynn Turman, Brett Rice, AJ Michalka, Tom Quinn, Zach Mills, Jakob Miller, Britt Flatmo, Richard T. Jones, Ron Eldard, David Gallagher, Elle Fanning, James Landry Hébert, Amanda Foreman, Michael Hitchcock, Noah Emmerich, Greg Grunberg, Ryan Lee, Emerson Brooks, Jessica Tuck, Andrew Miller, Marco Sanchez, Joel McKinnon Miller, Dale Dickey, Robert B. Quiroz, Teri Clark, Bruce Greenwood",J.J. Abrams,Larry Fong,J.J. Abrams,"J.J. Abrams, Guy Riedel, Bryan Burk, Steven Spielberg",Michael Giacchino,7.0,377383,/pUWIjaMMYJjeBm5bJyE3mIXdQ62.jpg,6,2011,23,super 8,-44,19.376576734263555,0.43059059409474565,captain america: the first avenger
60062,Judy Moody and the Not Bummer Summer,6.0,90,Released,2011-06-10,14166853,91,20000000,tt1547230,en,Judy Moody and the Not Bummer Summer,Third-grader Judy Moody sets out to have the most thrilling summer of her life.,1.222,Supermegatotally thrilladelic,"Comedy, Family","relativity media, smokewood entertainment",United States of America,English,"Randy Masters, Parris Mosteller, Robert Costanzo, Eric Stoltz, Kristoffer Ryan Winters, Hunter King, Ashley Boettcher, Richard Riehle, Sophia Strauss, Bobbi Sue Luther, Preston Bailey, Doug MacMillan, Heather Graham, Jordana Beatty, Taylar Hender, Jackson Odell, Jacob Bertrand, Dean Cameron, Janet Varney, Cameron Boyce, Brian Palermo, Garrett Ryan, Ryan Dodson, Jaleel White, Jenn Korbee, Sarah Bibbo",John Schultz,Shawn Maurer,"Kathy Waugh, Megan McDonald","Ryan Kavanaugh, Andrew Sugerman, Gary Magness, Tucker Tooley, Bobbi Sue Luther, Sarah Siegel-Magness",Richard Gibbs,4.4,3603,/2wUv3WHntf47RHkbiTLZVuUhN9n.jpg,6,2011,23,judy moody and the not bummer summer,-42,16.466415568668516,0.38293989694577946,captain america: the first avenger
64586,Sleeping Beauty,5.358,642,Released,2011-06-10,408680,102,10000000,tt1588398,en,Sleeping Beauty,"A haunting erotic fairytale about Lucy, a young University student drawn into a mysterious hidden world of beauty and desire.",13.396,What happens while she sleeps...,"Drama, Romance","fulcrum media finance, screen australia, magic films, screen nsw, deluxe australia, spectrum films, big ears productions",Australia,English,"Joel Tobeck, Ajit Kelkar, Matthew Whittet, Emily Browning, Tammy Macintosh, Nathan Page, Natalia Siwek, Bridgette Barrett, Tracy Mann, Justin Smith, Eden Falk, Robin Goldsworthy, Jamie Timony, Sarah Kinsella, Anni Finsterer, Rachael Blake, Sarah Snook, Alan Cardy, Sinisa Vrebac, Ivy Mak, Ewen Leslie, Henry Nixon, Hannah Wang, Michael Dorman, James Fraser, Hannah Bella Bowden, Paul He, Mirrah Foulkes, Les Chantery, Benita Collings, Lizzie Schebesta, Chris Haywood, Vernon Hayman, Hugh Keays-Byrne, Peter Carroll, Stephanie Menere, Daniel Webber, Pearl Tan, Lauren Orrell, Kelly Paterniti",Julia Leigh,Geoffrey Simpson,Julia Leigh,"Alan Cardy, Jessica Brentnall, Timothy White, Jamie Hilton",Ben Frost,5.3,36016,/l1Lx8iRsml1JnPBY0qgn6IN5FQg.jpg,6,2011,23,sleeping beauty,-42,12.920690179604588,0.30048116696754856,captain america: the first avenger
119123,Aaranya Kaandam,7.7,39,Released,2011-06-10,1040344,126,780000,tt1496729,ta,ஆரண்ய காண்டம்,A drama that unfolds between two rival mafia gangs on a single day when a bag of cocaine gets stolen by two innocent people.,3.0346,A page out of the life of a gangster!,"Comedy, Action, Crime, Drama",capital film works,India,தமிழ்,"Dhilip Subbarayan, Yasmin Ponnappa, Ajay Raj, Ravi Krishna, Master Vasanth, Jackie Shroff, Sampath Raj, Rambo Rajkumar, Guru Somasundaram, Krishnakumar Ramakumar",Thiagarajan Kumararaja,P. S. Vinod,Thiagarajan Kumararaja,S.P.B. Charan,Yuvan Shankar Raja,8.4,5918,/zZRzn7DXOLANE4hTUv4ziU7O6Zz.jpg,6,2011,23,aaranya kaandam,-42,13.8550629468763,0.3222107662064256,captain america: the first avenger
49013,Cars 2,6.2,8206,Released,2011-06-11,559852396,106,200000000,tt1216475,en,Cars 2,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,11.3831,Going where no car has gone before.,"Animation, Family, Adventure, Comedy","pixar, walt disney pictures",United States of America,"English, Français, Deutsch, Italiano, 日本語","Daisuke ""Dice"" Tsutsumi, Bonnie Hunt, John Mainieri, Richard Kind, Edie McClurg, Tony Shalhoub, Jenifer Lewis, Cheech Marin, Jess Fulton, Lloyd Sherr, Teresa Gallagher, Vanessa Redgrave, Sig Hansen, Michel Michelis, Bradford Lewis, Joe Mantegna, John Ratzenberger, Franco Nero, Jason Isaacs, Catie Bolt, John Lasseter, Michael Caine, Bruce Campbell, Jeff Gordon, Guido Quaroni, Eddie Izzard, Velibor Topic, Brent Musburger, Owen Wilson, Thomas Kretschmann, Sonoko Konishi, Stanley Townsend, John Turturro, Emily Mortimer, Peter Jacobson, Patrick Walker, Gillian Bolt, Darrell Waltrip, Michael Wallis, Jeff Garlin, Larry the Cable Guy, Paul Dooley, David Hobbs, Katherine Helmond, Lewis Hamilton",John Lasseter,"Jeremy Lasky, Sharon Calahan","Ben Queen, Kyle Ranson-Walsh, Nick Sung, Bradford Lewis, Dan Fogelman, Katelin C. Holloway, John Lasseter",Denise Ream,Michael Giacchino,6.2,245862,/okIz1HyxeVOMzYwwHUjH2pHi74I.jpg,6,2011,23,cars 2,-41,20.14318373016529,0.4795996126229831,captain america: the first avenger
44912,Green Lantern,5.176,7440,Released,2011-06-14,219851172,114,200000000,tt1133985,en,Green Lantern,"For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.",7.751,In brightest day. In blackest night.,"Adventure, Action, Thriller, Science Fiction","dc entertainment, de line pictures, warner bros. pictures",United States of America,English,"Gattlin Griffith, Blake Lively, Marcela Duarte Fonseca, Ryan Reynolds, Clancy Brown, Angela Bassett, Geoffrey Rush, Tiffany Morgan, Silas Cooper, Jay O. Sanders, Dorian Kingi, Mark Strong, Dylan James, Peter Sarsgaard, Laura Cayouette, Mike Doyle, Temuera Morrison, Jon Tenney, Tim Robbins, Jeff Wolfe, Jenna Craig, Amy Carlson, Leanne Cochran, Taika Waititi, Nick Jandl, Bobby Holland Hanton, Michael Clarke Duncan, Deke Anderson",Martin Campbell,Dion Beebe,"Michael Goldenberg, Michael Green, Marc Guggenheim, Greg Berlanti","Donald De Line, Greg Berlanti, Herb Gains, Andrew Haas, Geoff Johns",James Newton Howard,5.5,306117,/fj21HwUprqjjwTdkKC1XZurRSpV.jpg,6,2011,24,green lantern,-38,19.208461389032852,0.49252465100084236,captain america: the first avenger
58224,Mr. Popper's Penguins,6.0,3070,Released,2011-06-17,187361754,94,55000000,tt1396218,en,Mr. Popper's Penguins,"Tom Popper is a successful businessman who’s clueless when it comes to the really important things in life...until he inherits six “adorable” penguins, each with its own unique personality. Soon Tom’s rambunctious roommates turn his swank New York apartment into a snowy winter wonderland — and the rest of his world upside-down.",2.9441,A big-city man. Six little penguins. Endless chaos and heart.,"Comedy, Family","davis entertainment, dune entertainment iii, dune entertainment, 20th century fox",United States of America,English,"Andrew Stewart-Jones, Jeffrey Tambor, Lee Moore, James Chen, Dominic Chianese, Dylan Clark Marshall, James Tupper, Ophelia Lovibond, J.R. Horne, Cynthia Kirchner, Joseph D'Onofrio, Charles L. Campbell, Jeff Lima, Daniel Stewart Sherman, Charlie Semine, William Charles Mitchell, Frank Ciornei, Madeline Carroll, Betsy Aidem, David Krumholtz, Angela Lansbury, Chris Beetem, Rafael Osorio, Curtis Shumaker, Olga Merediz, Clark Gregg, Brian T. Delaney, Mike Massimino, Maxwell Perry Cotton, Dominic Colón, Elaine Kussack, Philip Baker Hall, Jim Carrey, Henry Kelemen, Carla Gugino, Angel Caban, Kelli Barrett, Harlin C. Kearsley, Desmin Borges, Matthew Wolf",Mark Waters,Florian Ballhaus,"Richard Atwater, John Morris, Florence Atwater, Sean Anders, Jared Stern","Mark Waters, Derek Dauchy, Joel Gotler, John Davis, Jessica Tuchinsky",Rolfe Kent,6.0,110989,/jGwZ1QI5DaL7mHQ2ZsMV1p8xvPS.jpg,6,2011,24,mr. popper's penguins,-35,19.048551824763834,0.5291264395767732,captain america: the first avenger
91070,L!fe Happens,5.5,149,Released,2011-06-18,30905,100,930000,tt1726589,en,L!fe Happens,"A comedy centered on two best friends, Kim and Deena, who fight to maintain normalcy in their lives after Kim gets pregnant and has a baby.",0.9243,A comedy that's a real mother.,"Comedy, Drama, Romance","dot dot dot productions, stardust pictures","Canada, United States of America","English, Deutsch","Kristen Johnston, Alex Essoe, Kate Bosworth, Laura Silverman, Nic Novicki, Abby Brammell, Tesla Allgood, Cody Benjamin Lee, Jenny Mollen, Marguerite Moreau, Jevin Rae Udcoff, Rachel Bilson, Colin Egglesfield, Jason Biggs, Brody Nicholas Lee, Darrel Davenport, Krysten Ritter, Louis Silvers, Faye Walrath, Milana Vayntrub, Zachary Ross, Justin Kirk, Andrea Savage, Edith Jefferson, Merrin Dungey, Rhys Coiro, Claire Wood, Seymour Cassel, Jem Walrath, Ivan Shaw, Devan Leos, Amber Martinez, Geoff Stults, Shelby Janes, Jon Heder, Marghi Coiro, Carlton Diggs, Fallon Goodson, Bruce Robert Cole, Lauren Conrad, Brandon Quinn, Henry Nilsen Healy, Katie Morgan, Connor Ross",Kat Coiro,Doug Chamberlain,"Kat Coiro, Krysten Ritter",Justin L. Levine,Mateo Messina,5.6,8245,/xFq3IQEWCBBoPP7pCb4TarAi8tt.jpg,6,2011,24,l!fe happens,-34,10.33870561879364,0.2953915891083897,captain america: the first avenger
55720,A Better Life,7.171,249,Released,2011-06-24,1800000,98,10000000,tt1554091,en,A Better Life,A gardener in East L.A. struggles to keep his son away from gangs and immigration agents while traveling across town to perform landscaping work for the city's wealthy landowners.,1.3289,Every father wants more for his son.,Drama,"mclaughlin films, depth of field, summit entertainment, lime orchard productions, witt/thomas productions",United States of America,"English, Español","Gabriel Chavarria, Carlos Linares, Dolores Heredia, Eddie 'Piolin' Sotelo, Tim Griffin, Nancy Lenehan, José Julián, Joaquín Cosío, Bobby Soto, Chelsea Rendon, Isabella Rae Thomas, Demián Bichir, Giselle Nieto",Chris Weitz,Javier Aguirresarobe,"Roger L. Simon, Eric Eason","Paul Junger Witt, Chris Weitz, Tony Thomas, Jami Gertz, Christian McLaughlin, Stacey Lubliner",Alexandre Desplat,7.2,16987,/eY9wOw5PjrRXUTLgNmqWb60it10.jpg,6,2011,25,a better life,-28,14.403297778421795,0.4966654406352343,captain america: the first avenger
38356,Transformers: Dark of the Moon,6.219,8681,Released,2011-06-28,1123794079,154,195000000,tt1399103,en,Transformers: Dark of the Moon,"The Autobots continue to work for NEST, now no longer in secret. But after discovering a strange artifact during a mission in Chernobyl, it becomes apparent to Optimus Prime that the United States government has been less than forthright with them.",2.3069,Be Afraid of the Dark,"Action, Science Fiction, Adventure","paramount pictures, di bonaventura pictures, desanto/murphy productions, ian bryce productions",United States of America,English,"Christian Baha, Josh Duhamel, John H. Tobin, Ken Takemoto, Michael Daniel Cassady, Scott Krinsky, Stephen Monroe Taylor, Drew Pillsbury, Frances McDormand, John Turturro, Scott Paulson, Ajay James, Derek Miller, Robert Foxworth, Mindy Sterling, Brett Stimely, Larry Clarke, Bill O'Reilly, Nick Bickle, Michael Loeffelholz, Reno Wilson, Frank Welker, Francesco Quinn, Brian Call, Scott C. Roe, Alan Tudyk, Charlie Adler, George Coe, Tom Kenny, Andy Daly, Greg Berg, Meredith Monroe, Markiss McFadden, Tom Virtue, David St. James, Patrick Dempsey, James D. Weston II, Josh Kelly, Ilya Baskin, Julie White, Yasen Peyankov, Zoran Radanovich, Lester Speight, Kathleen Gati, Mark Golden, Iqbal Theba, Lindsey Ginter, Ron Bottitta, Thomas Crawford, Eugene Alper, Anthony Azizi, Keiko Agena, Danielle Fornarelli, Chris A. Robinson, Mikal Vega, Kevin Sizemore, Luis Echagarruga, Brett Lynch, Jay Gates, Annie O'Donnell, Peter Murnik, Sean Murphy, Rosie Huntington-Whiteley, Hugo Weaving, Rich Hutchman, Rebecca Cooper, Aaron Garrido, Leidy Mazo, Don Jeanes, Mitch Bromwell, Maile Flanagan, James Remar, LaMonica Garrett, Ken Jeong, Katherine Sigismund, Leonard Nimoy, John Turk, Sammy Sheik, John S. McAfee, John DiMaggio, Peter Cullen, Buzz Aldrin, Shia LaBeouf, Inna Korobkina, John Malkovich, Peter A Kelly, Mark Ryan, Alan Pietruszewski, Alen Toric, Jack Axelrod, Patrick Pankhurst, Keith Szarabajka, Charlotte Labadie, Jess Harnell, Cory Tucker, Jennifer Williams, Chris Sheffield, Kevin Dunn, Tyrese Gibson, Ravil Isyanov, Dustin Dennard, Glenn Morshower, Darren O'Hare, Danny McCarthy, Kenny Sheard",Michael Bay,Amir Mokri,Ehren Kruger,"Don Murphy, Michael Bay, Lorenzo di Bonaventura, Tom DeSanto, Ian Bryce, Steven Spielberg, Kenny Bates",Steve Jablonsky,6.2,449966,/28YlCLrFhONteYSs9hKjD1Km0Cj.jpg,6,2011,26,transformers: dark of the moon,-24,20.839976368787244,0.8335990547514898,captain america: the first avenger
