id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer,imdb_rating,imdb_votes,poster_path,release_month,release_year,iso_week,title_clean,distance,strength,score,marvel_movie
137106,The Lego Movie,7.4,8182,Released,2014-02-06,470759687,100,60000000,tt1490017,en,The Lego Movie,"An ordinary Lego mini-figure, mistakenly thought to be the extraordinary MasterBuilder, is recruited to join a quest to stop an evil Lego tyrant from conquering the universe.",5.0959,The story of a nobody who saved everybody.,"Animation, Family, Adventure, Comedy, Fantasy","village roadshow pictures, ratpac entertainment, lego, lin pictures, vertigo entertainment, warner animation group, animal logic","Australia, Denmark, United States of America",English,"Kelly Lafferty, Jadon Sand, Anthony Daniels, Morgan Freeman, Shaquille O'Neal, Craig Berry, Nick Offerman, Jorma Taccone, Billy Dee Williams, Will Forte, Christopher Miller, Todd Hansen, Melissa Sturm, David Burrows, Chris McKay, Chris Pratt, Chris Romano, Elizabeth Banks, Dave Franco, Charlie Day, Keith Ferguson, Doug Nicholas, Cobie Smulders, Graham Miller, Liam Neeson, Jonah Hill, Keegan-Michael Key, Amanda Farinos, Channing Tatum, Will Ferrell, Alison Brie, Chris Paluszek, Leiki Veskimets, Jake Johnson, Will Arnett","Christopher Miller, Phil Lord","Pablo Plaisted, Barry Peterson","David Tuber, Sharon Colman, Igor Khait, Yoriaki Mochizuki, Ken Mitchroney, Craig Berry, Virginie Strub, Kevin Hageman, Scott Hurney, Dan Hageman, Chris Paluszek, Christopher Miller, Theresa Cullen, Lizzie Sam, Phil Lord","Dan Lin, Matthew Ashton, Benjamin Melniker, Kathleen Fleming, Michael Uslan, Matt Skiena, Jill Wilfert, James Packer, Roy Lee, Bruce Berman, Seanne Winslow, Steven Mnuchin, Jon Burton, Zareh Nalbandian, Allison Abbate",Mark Mothersbaugh,7.7,408599,/oQeusrfyFx6DiSANOXKV3dc2G0g.jpg,2,2014,6,the lego movie,-42,19.96985830521542,0.4644153094236145,captain america: the winter soldier
82703,Mr. Peabody & Sherman,6.7,2454,Released,2014-02-07,272912430,92,145000000,tt0864835,en,Mr. Peabody & Sherman,"A young boy and his dog, who happens to have a genius-level IQ, spring into action when their time-machine is stolen and moments in history begin to be changed.",6.0025,He's Leaving His Mark On History,"Animation, Adventure, Family","pacific data images, dreamworks animation, bullwinkle studios",United States of America,English,"Stephen Tobolowsky, Joshua Rush, Rosemary Alexander, Nicholas Guest, Leslie Mann, Cullen McCarthy, Robert Ben Garant, Scott Menville, Jacqueline Pinol, Lauri Fraser, Alan Shearman, Steve Valentine, Leila Birch, Jackie Gonneau, Guillaume Aretos, Edie Mirman, Adam Alexi-Malle, Michelle Ruff, Kim Bubbs, Mitch Carter, Molly Jackson, Max Charles, Blake Bertrand, Luisa Leschin, David Zyler, Mel Brooks, Robert Cait, Karan Brar, Ava Acres, Lynnanne Zager, Stephen Colbert, Stanley Tucci, Stephen Apostolina, Dennis Haysbert, Rif Hutton, Jasper Johannes Andrews, Walt Dohrn, Thomas Lennon, Claudette Wells, Eva Bella, Zach Callison, Rob Minkoff, Pat Musick, Donald Fullilove, Tom McGrath, Lake Bell, Jeff Fischer, Jadon Sand, David Cowgill, Ella Rouhier, Ariel Winter, Jess Harnell, Ty Burrell, Patrick Warburton, Al Rodrigo, Newell Alexander, Steve Alterman, Raymond Ochoa, Allison Janney, Hope Levy",Rob Minkoff,,"Jay Ward, Ted Key, Craig Wright","Tiffany Ward, Alexandra Schwartz, Denise Nolan Cascino, Eric Ellenbogen, Jason Clark",Danny Elfman,6.7,82670,/hPcImYndWESKHzT2GHVCDsUxzYg.jpg,2,2014,6,mr. peabody & sherman,-41,19.42466153612519,0.46249194133631405,captain america: the winter soldier
203739,Vampire Academy,6.3,1784,Released,2014-02-07,15391979,104,30000000,tt1686821,en,Vampire Academy,"Rose, a rebellious half-vampire/half-human guardian-in-training and her best friend, Lissa -- a mortal, royal vampire Princess - have been on the run when they are captured and returned to St. Vladamirs Academy, the very place where they believe their lives may be in most jeopardy. Rose will sacrifice everything to protect Lissa from those who intend to exploit her from within the Academy walls and the Strigoi (immortal, evil vampires) who hunt her kind from outside its sanctuary.",4.1311,They suck at school.,"Comedy, Action, Fantasy","montford / murphy productions, preger entertainment",United States of America,English,"Zoey Deutch, Ashley Charles, Macey Chipping, Cameron Monaghan, Anya Taylor-Joy, Sami Gayle, Mark Lewis, Rory Fleck-Byrne, Alice Pins, Levan Doran, Gabriel Byrne, Olga Kurylenko, Ryan Prescott, Claire Foy, Shelley Longworth, Chooye Bay, Faith Elizabeth, Mia Maria, Edward Holcroft, Lucy Fry, Dominic Sherwood, Danila Kozlovsky, Alexander Abadzis, Cameron Harris, Kevin Hudson, Elizabeth Conboy, Harry Bradshaw, Bronté Norman-Terrell, Ramon Tikaram, Chris Mason, Sarah Hyland, Dominique Tipper, Joely Richardson, Ben Peel",Mark Waters,Tony Pierce-Roberts,"Richelle Mead, Daniel Waters","Stuart Ford, Susan Montford, Harvey Weinstein, Michael Preger, Jessica Tuchinsky, Deepak Nayar, Daniel Waters, Mark Waters, Bob Weinstein, Don Murphy",Rolfe Kent,5.4,58279,/cJZpKgiFfjDZ6L5aOJvbmDhsGqY.jpg,2,2014,6,vampire academy,-41,16.54935715251048,0.39403231315501147,captain america: the winter soldier
226857,Endless Love,6.9,1715,Released,2014-02-12,34100000,103,20000000,tt2318092,en,Endless Love,A privileged girl and a charismatic boy's instant desire sparks a love affair made only more reckless by parents trying to keep them apart.,4.6033,Say goodbye to innocence,"Drama, Romance","bluegrass films, fake empire productions",United States of America,English,"Gabriella Wilde, Bruce Greenwood, Rhys Wakefield, Sonia Rose, Nelson Bonilla, Michelle S. Brzenk, Alexandra Bartee, Jimmy Gonzáles, Anna Enger Ritch, Nathan Standridge, Andrew Masset, Zechariah Pierce, Sharon Conley, Alex Pettyfer, Fabianne Therese, Emma Rigby, Alexa Rachelle, Matthew Withers, Jon Menick, William Henry Milne, Robert Patrick, Marie Burke, Tallie Brinson, Mike Bland, Dan Triandiflou, Danielle Rodas, Joey Nappo, Skip D. Welch, Dayo Okeniyi, Jonathan Velazquez, Jeff Pope, Ryan Lewis, Jake Schultz, Stephanie Northrup, Joely Richardson, Judith Weston, Patrick Johnson",Shana Feste,Andrew Dunn,"Scott Spencer, Shana Feste, Joshua Safran","Scott Stuber, J. Miles Dale, Pamela Abdy, Stephanie Savage, Tracy Falco, Josh Schwartz",Christophe Beck,6.2,48911,/z7FZP6uivgVc4t0mnmia0B8YygW.jpg,2,2014,7,endless love,-36,17.344807971579257,0.4687785938264664,captain america: the winter soldier
137321,Winter's Tale,6.3,1371,Released,2014-02-13,30800231,118,60000000,tt1837709,en,Winter's Tale,"A burglar falls for an heiress as she dies in his arms. When he learns that he has the gift of reincarnation, he sets out to save her.",4.7987,This is not a true story. This is true love.,"Drama, Fantasy, Mystery, Romance","weed road pictures, village roadshow pictures, warner bros. pictures, marc platt productions",United States of America,English,"Alan Doyle, Matt Bomer, Harriett D. Foy, Colin Farrell, Jennifer Connelly, Kevin Durand, Matthew R. Staley, Tom Morrissey, Ripley Sobo, Finn Wittrock, Luis Augusto Figueroa, Scott Grimes, Norm Lewis, Graham Greene, Eva Marie Saint, Will Smith, Kevin Corrigan, April Grace, Mckayla Twiggs, Jon Patrick Walker, Jessica Brown Findlay, Lucy Griffiths, Neka Zang, Brenda Wehle, Joshua Henry, Russell Crowe, Rob Campbell, Maggie Geha, Aidan Zusin, Michelle Simone Miller, Michael Crane, Maurice Jones, Scott Dillin, Brian Hutchison, Caitlin Dulany, William Hurt",Akiva Goldsman,Caleb Deschanel,"Akiva Goldsman, Mark Helprin","Bruce Berman, Akiva Goldsman, Steven Mnuchin, Michael Tadross, Marc Platt","Rupert Gregson-Williams, Hans Zimmer",6.1,58625,/dwDAUpidqVEql6w1o51VIPlMtbG.jpg,2,2014,7,winter's tale,-35,17.243032780382965,0.4789731327884157,captain america: the winter soldier
192102,3 Days to Kill,6.105,2237,Released,2014-02-14,53260230,113,28000000,tt2172934,en,3 Days to Kill,"A dangerous international spy is determined to give up his high stakes life to finally build a closer relationship with his estranged wife and daughter. But first, he must complete one last mission - even if it means juggling the two toughest assignments yet: hunting down the world's most ruthless terrorist and looking after his teenage daughter for the first time in ten years, while his wife is out of town.",5.3537,The question is... kill or die?,"Action, Drama, Thriller","wonderland sound and vision, europacorp, relativity media, 20th century fox, 3dtk, inc.","France, United States of America",English,"Axel Keravec, Rupert Wynne-James, Miodrag Stevanović, Clement Boegler, Peter J. Chaffey, Maï Anh Le, Rob Roy Fitzgerald, Angie Russo, Kevin Costner, Joakhim Sigue, Darrell Lee Hall, Fabian Wolfrom, Mélanie Guth, Katherine Harold, Ériq Ebouaney, Éric Naggar, Shane Woodward, Laure Gouget, Alizee Delaruelle, Alexis Jacquin, Milutin Milošević, James Owen, Big John, Scott Burn, Eric Supply, Paolo Calia, Laurent Richard, Frederick Malahieude, Lamont Thompson, Simona Jovic, Lexie Kendrick, Omid Zader, Anaïs Parello, Marc Andréoni, Xavier Lemaître, Romane Ferreira, Bruno Ricci, Marie Guillard, Patty Hannock, Jonas Bloquet, Ilyana Delaruelle, Michaël Vander-Meiren, Hailee Steinfeld, Dragana Atlija, Aleksander Sacha, Richard Sammel, Radoje Jelić, Philippe Reyno, David Coburn, Tómas Lemarquis, Connie Nielsen, Alison Valence, Raymond J. Barry, Amber Heard",McG,Thierry Arbogast,"Luc Besson, Adi Hasak","Tucker Tooley, Ryan Kavanaugh, Virginie Besson-Silla, Marc Libert, Luc Besson, Christophe Lambert, Adi Hasak",Guillaume Roussel,6.2,100530,/8xOH2JhBHPmk2ZCniBpWhiZ6xeC.jpg,2,2014,7,3 days to kill,-34,17.790700475554324,0.5083057278729807,captain america: the winter soldier
222899,About Last Night,6.0,513,Released,2014-02-14,49002684,100,12500000,tt1826590,en,About Last Night,"Bernie and Joan are two fiery flirters who are passionate about everything from hookups to breakups and each other. When he sets up his best friend, Danny, with her roommate, Debbie, the sparks soon fly as they try to navigate the relationship minefields from the bar to the bedroom and are eventually put to the test in the real world.",1.7809,It's about compromise. It's about love. It's about a good wingman.,"Comedy, Romance","olive bridge entertainment, rainforest entertainment, screen gems",United States of America,English,"Joe Lo Truglio, Michael Voltaggio, Bryan Callen, Brian Swinehart, Kristin Slaysman, Adam Rodriguez, Christopher McDonald, Krystal M. Harris, Stan Weightman Jr., Paul Quinn, Jason Axinn, Jack Betts, Tracey Graves, Trae Ireland, Selita Ebanks, Barrett Perlman, Mehcad Brooks, Scarlett Burke, Randolph Adams, Jessica Lu, Michael Ealy, Hailey Boyle, Regina Hall, Terrell Owens, Steve Terada, David Greenman, Brenda Vivian, James McAndrew, Kevin Hart, Paula Patton, Joy Bryant, Jovanny Venegas, Catherine Shu",Steve Pink,Michael Barrett,"David Mamet, Leslye Headland, Tim Kazurinsky","Will Gluck, Alicia Emmrich, Will Packer, Glenn S. Gainor",Marcus Miller,6.0,25752,/z3dVYQtxXldDawz7d15wqt2PQLe.jpg,2,2014,7,about last night,-34,17.707385650492025,0.5059253042997721,captain america: the winter soldier
76649,Pompeii,5.548,3313,Released,2014-02-18,117831631,105,100000000,tt1921064,en,Pompeii,"In 79 A.D., Milo, a slave turned gladiator, finds himself in a race against time to save his true love Cassia, the beautiful daughter of a wealthy merchant who has been unwillingly betrothed to a corrupt Roman Senator. As Mount Vesuvius erupts in a torrent of blazing lava, Milo must fight his way out of the arena in order to save his beloved as the once magnificent Pompeii crumbles around him.",4.5009,No warning. No escape.,"Action, Adventure, History, Romance, Drama","constantin film, impact pictures, don carmody productions, filmdistrict, tristar pictures","Germany, United Kingdom, Canada, United States of America",English,"Joe Pingue, Chris Gonsalves, Jean-François Lachapelle, Emily Browning, Milan Carmona, Thomas Stumpo, Kiefer Sutherland, Kit Harington, Carrie-Anne Moss, Rebecca Eady, Melantha Blackthorne, Alain Moussi, Tom Bishop Sr., Harrison Astroff, Zachary Burke, Adewale Akinnuoye-Agbaje, Dalmar Abuzeid, Jimmy Chimarios, Anaïs Frenette, Johnny Larocque, Currie Graham, Dylan Schombing, Jessica Lucas, Jared Harris, Sasha Roiz, Janine Theriault, Jean Frenette, Kristina Nicoll, Emmanuel Kabongo, Donna Christo, Jay Da Costa, Maxime Savaria, Ron Kennell, Mark Whelan, Patrick Kerton, Brock Johnson, Rodney Alexandre",Paul W. S. Anderson,Glen MacPherson,"Lee Batchler, Michael Robert Johnson, Janet Scott Batchler","Jeremy Bolt, Martin Moszkowicz, Paul W. S. Anderson, Peter Schlessel, Robert Kulzer, Don Carmody",Clinton Shorter,5.5,121233,/dxxM3lLDjGRC50i5rhvfQziskAN.jpg,2,2014,8,pompeii,-30,18.584767316056137,0.5995086230985851,captain america: the winter soldier
120467,The Grand Budapest Hotel,8.034,15516,Released,2014-02-26,174600318,100,30000000,tt2278388,en,The Grand Budapest Hotel,"The Grand Budapest Hotel tells of a legendary concierge at a famous European hotel between the wars and his friendship with a young employee who becomes his trusted protégé. The story involves the theft and recovery of a priceless Renaissance painting, the battle for an enormous family fortune and the slow and then sudden upheavals that transformed Europe during the first half of the 20th century.",7.4857,A murder case of Madam D. with enormous wealth and the most outrageous events surrounding her sudden death!,"Comedy, Drama","fox searchlight pictures, studio babelsberg, indian paintbrush, tsg entertainment, american empirical pictures","United States of America, Germany","English, Français","Ben Howard, Monika Krüger, Karl Markovics, Michael Benthin, Mathieu Amalric, Edward Norton, Milton Welsh, Oliver Hazell, Lucas Hedges, Renate Klein, Bernhard Kremser, Sister Anna Rademacher, Volker Michalowski, Léa Seydoux, Francesco Zippel, Kunichi Nomura, Arwin Lobedann, Bohumil Váchal, Gyula Lukács, Robert Bienas, Ed Munro, Tony Revolori, Jutta Westphal, Wolfgang Czeczor, Ralph Fiennes, Florian Lukas, Uwe Holoubek, Marko Dyrlich, Jenő Orosz, Moritz Hepper, Harvey Keitel, Georg Rittmannsperger, Manpreet Gerlach, Tilda Swinton, Adrien Brody, Carl Sprague, Dar Ronge, Paul Schlase, Daniel Steiner, Hans Martin Stier, Tom Wilkinson, Frank Jacob, Michaela Caspar, Jude Law, Sabine Urig, Owen Wilson, Giselda Volodi, Wolfram Nielacny, Neal Huff, Oliver Claridge, Matthias Matschke, Saoirse Ronan, Marcel Mazur, Steffen Nixdorf, Steffen Scheumann, Ursula Kuhnt, Bill Murray, Darin Damjanow, Reinhold Hegelow, Heike Hanold-Lynch, Golo Euler, Robin Hurlstone, Roy Macready, Hannes Wegener, Rainer Reiners, John Peet, Piet Paes, Wallace Wolodarsky, Jason Schwartzman, Gabriel Rush, Manfred Lindner, Lisa Kreuzer, Fisher Stevens, Heinz-Werner Jeschkowski, Willem Dafoe, Jeff Goldblum, Larry Pine, Jella Niemann, Bob Balaban, Hendrik von Bültzingslöwen, Jürgen Schwämmle, David Adamik, F. Murray Abraham, Enrico Hoffmann, Lennart Meyer, Roman Berger, Dirk Bossmann, Gerald Sullivan, Sabine Euler, Gisela Bech, Georg Tryphon, Alfred Hänel, Birgit Müller, David Cioffi, Marie Goyette, Matthias Holfert, Waris Ahluwalia, Philipp Sonntag",Wes Anderson,Robert D. Yeoman,"Stefan Zweig, Wes Anderson, Hugo Guinness","Carl Woebcken, Scott Rudin, Molly Cooper, Christoph Fisser, Wes Anderson, Jeremy Dawson, Henning Molfenter, Steven M. Rales",Alexandre Desplat,8.1,946497,/eWdyYQreja6JGCzqHWXpWHDrrPo.jpg,2,2014,9,the grand budapest hotel,-22,18.978010028401325,0.8251308708000576,captain america: the winter soldier
225574,Non-Stop,6.81,5538,Released,2014-02-26,222809600,107,50000000,tt2024469,en,Non-Stop,"Bill Marks is a Federal Air Marshall for whom every day is the same until this one. On this plane ride, he starts receiving text messages from someone claiming to be on the flight and threatening to kill passengers. In a race against the clock, he must identify and stop the killer to save everyone on board.",7.2307,The hijacking was just the beginning.,"Action, Thriller, Mystery","silver pictures, studiocanal, anton capital entertainment, lovefilm international","France, United Kingdom, United States of America, Canada","English, Deutsch","Edoardo Costa, Oliver Lehne, Linus Roache, Annika Pergament, Michael Thomas Walker, Lars Gerhard, Corey Hawkins, Victoria Arbiter, Michael Kaplan, Julianne Moore, Jefrey Pollock, Nate Parker, Charlotte Kirk, Frank Deal, Quinn McColgan, Omar Metwally, Corey Stoll, Scoot McNairy, Anson Mount, Hank Sheinkopf, Shea Whigham, Liam Neeson, Adi Hanash, Jon Abrahams, Jason Butler Harner, Beth Dixon, Amanda Quaid, Dani de Waal, Michelle Dockery, Cameron Moir, Pat Kiernan, Lupita Nyong'o, Bar Paly",Jaume Collet-Serra,Flavio Martínez Labiano,"John W. Richardson, Christopher Roach, Ryan Engle","Ron Halpern, Olivier Courson, Joel Silver, Andrew Rona, Jeff Wadlow, Steve Richards, Herb Gains, Alex Heineman",John Ottman,6.9,284529,/Nkgaj3X0W2jHQ1TzHEgWFpN3kJ.jpg,2,2014,9,non-stop,-22,19.221828157548554,0.8357316590238502,captain america: the winter soldier
