id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer,imdb_rating,imdb_votes,poster_path,release_month,release_year,iso_week,title_clean,distance,strength,score,marvel_movie
10800,Dragon Hunters,6.5,462,Released,2008-03-19,12235843,82,12000000,tt0944834,fr,Chasseurs de dragons,"Dragon Hunters is a fantastic tale telling the adventures of two dragon hunters: the world has become a vast conglomerate of islands of varying size and shape. This babbling universe is mainly peopled with ruthless rogues, surly peasants and illiterate, petty lords Their main concerns revolve around two fundamental rules : Eat and don't get eaten.",1.3897,Dragon hunting isn't a fairy tale,"Animation, Family","futurikon, trixter film, luxanimation, mac guff ligne, france 3 cin√©ma, rtl-tvi, belgacom","France, Belgium, Luxembourg",Fran√ßais,"Philippe Nahon, Patrick Timsit, Marie Drion, Amanda Lear, Jean-Marc Lentretien, Elias Eliot, J√©r√©my Pr√©vost, Vincent Lindon","Guillaume Ivernel, Arthur Qwak",,"Fr√©d√©ric Lenoir, Arthur Qwak",Philippe Delarue,Klaus Badelt,6.5,13866,/bhHhTCh43aT3kAeknSd5T5BcZcJ.jpg,3,2008,12,dragon hunters,-42,16.319880234907192,0.3795320984862138,iron man
16710,Meet the Browns,6.6,107,Released,2008-03-21,41975388,101,20000000,tt1047494,en,Meet the Browns,"A single mother living in inner city Chicago, Brenda has been struggling for years to make ends meet and keep her three kids off the street. When she's laid off with no warning, she starts losing hope for the first time - until a letter arrives announcing the death of a father she's never met. Desperate for any kind of help, Brenda takes her family to Georgia for the funeral, but nothing could have prepared her for the Browns, her father's fun-loving, crass Southern clan. In a small-town world full of long afternoons and country fairs, Brenda struggles to get to know the family she never knew existed... and finds a brand new romance that just might change her life.",5.0919,Check your baggage at the door.,"Drama, Comedy, Romance",tyler perry studios,United States of America,English,"Olumiji Olawumi, Jacqueline Williams, Tasia Grant, Roy McCrerey, Frankie Faison, Penny Slusher, Kris D. Lofton, Shawn Shepard, Robert C. Goodwin, Irma P. Hall, Mia Butler, Angela Bassett, Gene Bryant, Tamela Mann, Rick Fox, Allen D. Edge, Adrienne Reynolds, Jenifer Lewis, Michael H. Cole, Phillip Edward Van Lear, Kenny Cook, Sof√≠a Vergara, Chloe Bailey, Tory O. Davis, David Kronawitter, Tim Blanchard, David Mann, Michael J. King, Jonathan Slocumb, Lamman Rucker, Mark Russell Gray, Tom Clark, Lance Gross, Brandon Richardson, Margaret Avery, Tyler Perry, Wes Kennemore, Phil Ridarelli, LaNisa Renee Frederick, Gerard 'Gus' Williams, Keith Kupferer, James Pusztay, LaVan Davis, Mariana Tolbert, Tyler Parks, Anthony K. Hyatt",Tyler Perry,Sandi Sissel,Tyler Perry,"Tyler Perry, Michael Paseornek, Reuben Cannon",Aaron Zigman,4.6,7553,/61qE0TunNdJiPELBdywMlpvZXDB.jpg,3,2008,12,meet the browns,-40,17.55259402830602,0.42811204947087855,iron man
4942,Leatherheads,5.9,478,Released,2008-03-24,41299492,114,58000000,tt0379865,en,Leatherheads,"A light hearted comedy about the beginnings of Professional American Football. When a decorated war hero and college all star is tempted into playing professional football. Everyone see the chance to make some big money, but when a reporter digs up some dirt on the war hero... everyone could lose out.",2.2705,"If Love Is a Game, Who'll Make the First Pass?","Comedy, Romance, Drama","universal pictures, casey silver productions, smokehouse pictures, outlaw productions","Germany, United States of America","English, Deutsch","Jason Drago, Dylan Kussman, David de Vries, Nicholas Bourdages, Wayne Duvall, Nick Paonessa, Mike O'Malley, Malcolm Goodwin, Mark Teich, Marian Seldes, Windy Wenderlich, Ryan Shively, Keith Loneker, George Clooney, Danny Vinson, Robert Baker, Lance Barber, Dave Hager, Kyle Nudo, Rick Forrester, Bill Roberson, Ren√©e Zellweger, Hi Bedford-Roberson, Bobby Jordan, Tim Griffin, Grant Heslov, JD Cullum, Thomas Francis Murphy, Tommy Hinkley, Jonathan Pryce, Matt Bushell, John Krasinski, Christian Stolte, Heather Goldenhersh, Stephen Root, Max Casella, Jack Thompson",George Clooney,Newton Thomas Sigel,"Duncan Brantley, Rick Reilly","Robert Newmyer, Jeffrey Silver, Casey Silver, Grant Heslov, George Clooney, Barbara A. Hall, Sydney Pollack",Randy Newman,6.0,34217,/dl2yu8iuwG3dqbpjalm2odadRaH.jpg,3,2008,13,leatherheads,-37,17.536360781826854,0.46148317846912773,iron man
16460,Garfield Gets Real,4.9,138,Released,2008-03-24,1726453,77,10000000,tt1059793,en,Garfield Gets Real,"Everyone's favorite lazy, lasagna loving, Monday hating orange tabby leaves his exciting star of a popular comic strip world for the real one. But as the novelty wears thin, Garfield begins looking for a way back before his strip is permanently cancelled.",2.2496,See Garfield as Never Before in His All-New CGI Feature-Length Movie!,"Family, Comedy, Adventure, Animation","wonderworld studios, 20th century fox home entertainment, paws, animation picture company, davis entertainment, digiart productions","United States of America, South Korea",English,"Frank Welker, Pat Fraley, Audrey Wasilewski, Rajia Baroudi, David Michie, Fred Tatasciore, Wally Wingert, Jennifer Darling, Jason Marsden, Neil Ross, Harold Perrineau, Stephen Stanton, Greg Eagles, Gregg Berger",Mark A.Z. Dipp√©,,Jim Davis,"Jim Davis, Ash R. Shah, Dan Chuba, John Davis, Mark A.Z. Dipp√©, Joshua S.H. Sohn, Alex J. Yoo, Brian Manis, Youngki Lee",Kenneth Burgomaster,4.3,2945,/cRlJEevXbt183BYBhUw3cvldp7C.jpg,3,2008,13,garfield gets real,-37,14.361580151958833,0.3779363197883903,iron man
8883,Flame & Citron,6.9,234,Released,2008-03-25,10040589,130,6500000,tt0920458,da,Flammen & Citronen,"Gunman Flame and his partner Citron assassinate Nazi collaborators for the Danish resistance. Assigned targets by their Allies-connected leader, Aksel Winther, they relish the opportunity to begin targeting the Nazis themselves. When they begin to doubt the validity of their assignments, their morally complicated task becomes even more labyrinthine.",2.596,"Heroes will rise, Enemies will fall","Drama, History, War","w√ºste filmproduktion, studio babelsberg, mainstream, 4¬ω, nimbus film, w√ºste film ost, oc film, sirena film, duckling, kameraudlejningen","Czech Republic, Denmark, Germany, Norway, Sweden","Dansk, Deutsch","Nikola Navr√°til, Peter Mygind, Mads Mikkelsen, Stine Stengade, Ren√© Benjamin Hansen, Jeppe Vig Find, Klaus Tange, Thure Lindhardt, Henrik Jandorf, Christian Berkel, Roman Horn, Benjamin Boe Rasmussen, Mads M. Nielsen, Tina Robinsson Simonsen, Jan Zuska, Oliver Hvidtfeldt, Thomas Voss, Hanns Zischler, Mille Lehfeldt, Robert Reinhold, Claus Riis √òstergaard, Flemming Enevold, Marie Dalsgaard, Martin Greis-Rosenthal, Malene Schwartz, Mai Holm Laureng, Jesper Kaplan, Lars Mikkelsen, Karel Dobr√Ω, Jaques Lauritsen, Rasmus Botoft, Per L√∂wberg, Martin Vasquez, Simona Vƒçalov√°, Charlotte Rathnov, Rasmus Bjerg, Jesper Christensen, Martin Hestb√¶k, Caspar Phillipson, L√¶rke Winther, Thomas Bendixen, Peter Plaugborg, Tinus L√∏vento, Hans Henrik Clemensen, Martin Hall",Ole Christian Madsen,J√∏rgen Johansson,"Lars K. Andersen, Ole Christian Madsen","Lars Bredo Rahbek, Christoph Fisser, Bj√∂rn Vosgerau, Stefan Schubert, Kristina Hejdukov√°, J√∏rgen Ramskov, Sonja B. Zimmer, Birgitte Hald, Ralph Schwingel, Morten Kaufmann, Bo Ehrhardt, Carl Woebcken","Karsten Fundal, Darko Krezic",7.2,20700,/32CKp29QyqimkjtdJRBzSRHPx4j.jpg,3,2008,13,flame & citron,-36,16.122146435441504,0.43573368744436497,iron man
10183,Frozen River,6.6,339,Released,2008-03-26,5457664,97,1000000,tt0978759,en,Frozen River,"After her husband deserts her, working-class mother Ray Eddy is in great need of money to find a home. Lured by the possibility of easy cash, she joins Lila, a widowed Mohawk who earns a living by smuggling immigrants from Canada to the U.S. across the St. Lawrence.",3.4345,Desperation Knows No Borders,"Drama, Crime","harwood hunt productions, cohen media group",United States of America,"English, Fran√ßais, ÿßÿ±ÿØŸà, ÊôÆÈÄöËØù","John Canoe, Jay Klaitz, Betty Ouyang, Melissa Leo, Michael O'Keefe, Mark Boone Junior, Dylan Carusona, Misty Upham, Charlie McDermott, James Reilly",Courtney Hunt,Reed Morano,Courtney Hunt,"Donald Harwood, Charles S. Cohen, Chip Hourihan, Heather Rae","Shahzad Ismaily, Peter Golub",7.1,27025,/qZRcN4JLwYQWTxKlycZPLQb37mO.jpg,3,2008,13,frozen river,-35,15.512531600572663,0.4309036555714629,iron man
8065,21,6.694,4875,Released,2008-03-27,159808370,123,35000000,tt0478087,en,21,"Ben Campbell is a young, highly intelligent student at M.I.T. who strives to succeed. Wanting a scholarship to transfer to Harvard School of Medicine to become a doctor, Ben learns that he cannot afford the $300,000 tuition as he comes from a poor, working-class background. But one evening, Ben is introduced by his unorthodox math professor to a small but secretive club of five students, Jill, Choi, Kianna, and Fisher, who are being trained by Professor Rosa to count cards at blackjack.",8.4745,They proved the Vegas Blackjack System was beatable...by beating the hell out of it.,"Drama, Crime","columbia pictures, relativity media, michael de luca productions, trigger street productions","United States of America, United Kingdom",English,"Bradley Thoennes, Chaska T. Werner, Scott Beringer, Donna Lows, Kate Bosworth, Kris Williams, Butch Williams, Rebecca Marshall, Laurence Fishburne, Celeste Oliva, Ruby Hondros, Kyle Morris, Frank Chen, Jack Gilpin, Helen Carey, Christopher Michael Holley, Aaron Yoo, Marcus Weiss, Jack McGee, Ben Campbell, Steven Richard Vezina, Sally Levi, Spencer Garrett, Jeff Kamps, Ernell Manabat, Anthony DiMaria, Terasa Livingstone, Gregory Seymore, Jacob Pitts, Jim Sturgess, Sam Golzari, Colin Angle, Supriya Chakrabarti, Christian Mello, Josh Gad, Frank DeAngelo, Henry Houh, Kieu Chinh, Kevin Spacey, Liza Lapira, Jeff 'JJ' Dashnaw, Alice Lo",Robert Luketic,Russell Carpenter,"Peter Steinfeld, Ben Mezrich, Allan Loeb","Dana Brunetti, Ryan Kavanaugh, William S. Beasley, Brett Ratner, Michael De Luca",David Sardy,6.8,277635,/efG8Po57alqSlhqHU1lXJ3duG6t.jpg,3,2008,13,21,-34,18.88948597415473,0.5396995992615637,iron man
8060,Married Life,5.8,166,Released,2008-03-28,2888315,90,12000000,tt0804505,en,Married Life,"A very gentle middle-aged man is married, but when he falls in love with another woman, he decides that to divorce his wife would humiliate her too much ‚Äì so instead he decides to kill her.",4.5333,Do you know what really goes on in the mind of the person with whom you sleep?,"Crime, Drama, Romance","sidney kimmel entertainment, anonymous content, firm films",United States of America,English,"Sean Tyson, Alex Stevens, Suzanne Ristic, David Richmond-Peck, Dolores Drake, Timothy Webber, Carrie Anne Fleming, David Wenham, Fred Keating, Maria Marlow, Terence Kelly, Kathleen Duborg, Ty Olsson, Sheila Paterson, Dale Floyd, Pauline Crawford, Pierce Brosnan, Rachel McAdams, Chris Cooper, Elijah St. Germain, Patricia Clarkson, Malcolm Boddington, Rebecca Codling, Erin Boyes, Anna Williams, Annabel Kershaw, Mike Cook",Ira Sachs,Peter Deming,"Oren Moverman, Ira Sachs, John Bingham","Steve Golin, Jawal Nga, Ira Sachs, Sidney Kimmel",Dickon Hinchliffe,6.2,10020,/AdJKmRh3AKX5CVCdwdw1dNTqEJ8.jpg,3,2008,13,married life,-33,14.876184191291658,0.437534829155637,iron man
8988,Stop-Loss,6.132,261,Released,2008-03-28,11207130,113,25000000,tt0489281,en,Stop-Loss,"A veteran soldier returns from his completed tour of duty in Iraq, only to find his life turned upside down when he is arbitrarily ordered to return to field duty by the Army.",2.6979,The bravest place to stand is by each other's side.,"Drama, War","mtv films, peirce pictures, paramount pictures, scott rudin productions",United States of America,English,"Clifton 'Troy' Robinson, Ric Maddox, Linda Emond, Mike Murehead, Channing Tatum, Roger Edwards, Elizabeth Ingalls, Josef Sommer, Connett Brewer, Cora Cardona, Weston Scott Higgins, Steven Strait, Alex Frost, Victor Rasuk, Mamie Gummer, Carlos Pina, David Precopia, Laurie Metcalf, Jeff Gibbs, Ayla Judson, Erik Anderson, Timothy Olyphant, Isreal Saldivar, Gary Teague, Joseph Gordon-Levitt, Spencer Greenwood, Michele Williams, Victor Garc√≠a Jr., Rob Brown, Christian Stokes, Tory Kittles, Marie Mizener, Richard Dillard, Ben Taylor, Ryan Phillippe, Tom Minder, Quay Terry, D.S. Moss, James D. Dever, Chandra Washington, Matthew Scott Wilcox, Ciar√°n Hinds, Ken Edwards, Peter Gerety, David Kroll, LaToya Ward, Kasey Stevens, Cory Hart, Margo Martindale, Mohammad Ahmed, Kathryn Tait, Cameron Clapp, Mark Richard, Estella Perez, Robert Farrior, J.D. Evermore, Beau Harris, Abbie Cornish, Lee Stringer",Kimberly Peirce,Chris Menges,"Kimberly Peirce, Mark Richard","Mark Roybal, Scott Rudin, Kimberly Peirce, Gregory Goodman",John Powell,6.4,21358,/hsmZcNzPGnZwRgCKAfIr1JngYu5.jpg,3,2008,13,stop-loss,-33,16.232060830088717,0.4774135538261387,iron man
11918,Superhero Movie,5.277,1932,Released,2008-03-28,71571300,82,35000000,tt0426592,en,Superhero Movie,"Rick Riker is a nerdy teen imbued with superpowers by a radioactive dragonfly. And because every hero needs a nemesis, enter Lou Landers, aka the villainously goofy Hourglass.",4.1275,The greatest Superhero movie of all time! (not counting all the others),"Comedy, Action, Science Fiction","dimension films, craig mazin company",United States of America,English,"Richard Tillman, Craig Mazin, Jeffrey Tambor, Sam Cohen, Dan Castellaneta, James J. Burke, Manu Toigo, Vic Polizos, Kevin Hart, Sara Paxton, Byrne Offutt, Charlene Tilton, Kurt Fuller, Aubrie Lemon, Marion Ross, Tracy Morgan, Leslie Nielsen, Anna Osceola, Robert Joy, Howard Mungo, Craig Bierko, Kristen Endow, Matt Champagne, Simon Rex, Rod McLachlan, Jordan Rubin, Regina Hall, Drake Bell, Jenica Bergere, Alison Woods, Christopher McDonald, Whitney Ann Jenkins, Ian Patrick Williams, Steve Monroe, Karlton Johnson, Shanna Beauchamp, Gene Richards, Pamela Anderson, Charles W. Gray, Robert Hays, Marisa Lauren, Miles Fisher, Kourtney Kaas, Kent Shocknek, Susan Breslau, Jeremiah Hu, Lil' Kim, Vincent Larusso, Ryan Hansen, Freddie Pierce, Wendy L. Walsh, Brian Carpenter, Ajay Mehta, Amanda Carlin, Sean Simms, Julie Van, Robert Bezanilla, Daryl J. Johnson, Alan Mueting, Jerry Haleva, John Getz, Thomas Rosales Jr., Marque Richardson, James Lew, David McKnight, Cameron Ali Sims, Seth McCook, Aki Aleong, Jeffry Tamara, Nick Kiriazis, Michael Papajohn, Eric Artell, Brent Spiner, Keith David, Atom Gorelick, Jonathan Chase, Nicole Sullivan, Timothy Farmer, Clay Greenbush, Elisabeth Noone",Craig Mazin,Thomas E. Ackerman,Craig Mazin,"Craig Mazin, Matthew Stein, David Zucker, Robert K. Weiss, Greg Norberg, Bob Weinstein, Harvey Weinstein",James L. Venable,4.7,82240,/4MtvQdh5VP7jMSydhggp1P80FMj.jpg,3,2008,13,superhero movie,-33,18.086204727557107,0.5319471978693266,iron man
