id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer,imdb_rating,imdb_votes,poster_path,release_month,release_year,iso_week,title_clean,distance,strength,score,marvel_movie
577242,Kaamelott: The First Chapter,6.609,720,Released,2021-07-21,19002036,120,17516235,tt9844322,fr,Kaamelott - Premier volet,"Hidden in Rome, King Arthur is planning his return to oppose the army of his former friend Lancelot.",2.0914,Patience is better served with sauce,"Adventure, Fantasy, Comedy","snd, cnc, sacem, m6 films, calt production, dies irae, belga productions, auvergne-rhône-alpes cinéma, région auvergne-rhône-alpes, regular production",France,Français,"Neil Astier, Louy Valy, Clovis Cornillac, Guillaume Briat, Océane Slim, Sandra Cheyssial, Reggie Vermeulen, François Rollin, Ethan Astier, Guillaume Gallienne, Alain le Bars, Jacques Chambon, Géraldine Nakache, Enzo Pirat, Mathieu Duboclard, Joëlle Sevilla, Marie-Christine Orry, Anne Girouard, Sting, Stéphane Margot, Caroline Ferrus, Pascal Vincent, Lionnel Astier, Anthony Martin, Audrey Fleurot, Hélène Rudermann, Mehdi Rahim-Silvioli, Isabelle Mattiussi, Yazan Al-Mashni, Thomas Neyret, Mark Eacersall, Alexandre Astier, Salwa Al Hajri, Antoine Bordes, Jérôme Palmer, François Morel, Ayman El Kadhi, Gilles Graveleau, Franck Pitiot, Brice Fournier, David Ayala, Chloé Guillot, Tigran Mekhitarian, Charlie Konaté-Décourchalle, Lamari Amine, Loïc Varraut, Serge Papagalli, Étienne Fague, Cyrille Coton-Bonacchi, Jean-Robert Lombard, Sakir Uyar, Alain Chabat, Ariane Astier, Alban Lenoir, Carlo Brandt, Valérie Kéruzoré, Thomas Cousseau, Jehnny Beth, Christophe Mazière, Patricia Darré, Bruno Fontaine, Nicolas Gabion, Antoine de Caunes, Aurélien Portehaut, Jean-Charles Simon, Christian Clavier, Jean-Christophe Hembert, Achile de San Nicolas, Damien Roux, Jeanne Astier, Yoann Vellaud",Alexandre Astier,Jean-Marie Dreujou,Alexandre Astier,"Agathe Sofer, Henri Deneubourg, Alexandre Astier",Alexandre Astier,6.1,4549,/hfq2Wgm86DeXGxcBrrpk9EShAZ8.jpg,7,2021,29,kaamelott: the first chapter,-42,16.760056741910393,0.38976876143977657,shang-chi and the legend of the ten rings
631843,Old,6.3,4701,Released,2021-07-21,90146510,108,18000000,tt10954652,en,Old,A group of families on a tropical holiday discover that the secluded beach where they are staying is somehow causing them to age rapidly – reducing their entire lives into a single day.,8.5071,It's only a matter of time.,"Thriller, Mystery, Horror","universal pictures, perfect world pictures, blinding edge pictures","China, United States of America",English,"Jeffrey Holsman, Margaux Da Silva, Louise Walter, Embeth Davidtz, Daniel Ison, Abbey Lee, Luca Faustino Rodriguez, Aaron Pierre, Gustaf Hammarsten, Eliza Scanlen, Kathleen Chalfant, Deidra Ciolko, Julietta Rodríguez, Matthew Shear, Nikki Amuka-Bird, Emun Elliott, Rufus Sewell, Nolan River, Vicky Krieps, Alejandra Useche, Mikaya Fisher, Arturo A. Baez, Kailen Jude, Francesca Eastwood, Alexa Swinton, Kylie Begley, Ken Leung, John Twohy, Gael García Bernal, Thomasin McKenzie, Alex Wolff, M. Night Shyamalan",M. Night Shyamalan,Mike Gioulakis,"Pierre Oscar Lévy, Frédérik Peeters, M. Night Shyamalan","Steven Schneider, Ashwin Rajan, Marc Bienstock, M. Night Shyamalan",Trevor Gureckis,5.8,180386,/vclShucpUmPhdAOmKgf3B3Z4POD.jpg,7,2021,29,old,-42,18.31694680470159,0.4259755070860835,shang-chi and the legend of the ten rings
568620,Snake Eyes: G.I. Joe Origins,6.5,1647,Released,2021-07-22,36964325,121,88000000,tt8404256,en,Snake Eyes: G.I. Joe Origins,"After saving the life of their heir apparent, tenacious loner Snake Eyes is welcomed into an ancient Japanese clan called the Arashikage where he is taught the ways of the ninja warrior. But, when secrets from his past are revealed, Snake Eyes' honor and allegiance will be tested – even if that means losing the trust of those closest to him.",5.8483,Every warrior has a beginning.,"Action, Adventure","paramount pictures, metro-goldwyn-mayer, di bonaventura pictures, entertainment one, skydance media, hasbro","Canada, Japan, United States of America","العربية, English, Italiano, 日本語","Henry Golding, Sean Owen Roberts, Ryan Klarenbach, Gui DaSilva-Greene, Brandon Melendy, Solomon Brende, Iko Uwais, Haruka Abe, Úrsula Corberó, Samara Weaving, Nicholas Dohy, Simon Chin, Kojun Notsu, Steven Allerick, Kento Matsunami, Max Archibald, Dean Muhtadi, Samuel Finzi, James Hiroyuki Liao, Derrick DeVilliers, Neal Honda, Kenji Tanigaki, Owen Szabo, Andrew Koji, Shota Kakibata, Hugh Aodh O'Brien, Jason William Day, Peter Mensah, Eri Ishida, Takehiro Hira",Robert Schwentke,Bojan Bazelli,"Joe Shrapnel, Evan Spiliotopoulos, Anna Waterhouse","Don Granger, David Ellison, Jeff G. Waxman, Dana Goldberg, Greg Mooradian, Erik Howsam, Brian Goldner, Lorenzo di Bonaventura",Martin Todsharow,5.4,47473,/uIXF0sQGXOxQhbaEaKOi2VYlIL0.jpg,7,2021,29,snake eyes: g.i. joe origins,-41,17.425463843343017,0.41489199627007184,shang-chi and the legend of the ten rings
693113,Midnight in the Switchgrass,5.8,460,Released,2021-07-23,229811,99,15000000,tt11656220,en,Midnight in the Switchgrass,"FBI Agent Karl Helter and his partner Rebecca Lombardo are very close to busting a sex-trafficking ring. When they realize their investigation has crossed the path of a brutal serial killer, they team up with a FDLE agent to put an end to the infamous 'Truck Stop Killer'.",2.9752,Can they stop a serial killer who can't stop himself?,"Crime, Mystery, Thriller, Action","pimienta, bondit media capital, efo films, lionsgate, river bay films, verdi productions","Puerto Rico, United States of America",English,"Alex Eckert, Samiah Alexander, Celeste Fianna, David M Sandoval Jr., Bobbie Shaw Chance, Charlie Alvarado, mgk, Donovan W. Carter, Tyler Jon Olson, Christopher Gehrman, Megan Fox, Emile Hirsch, Jean Pierre Prats, Swen Temmel, Bruce Willis, Katalina Viteri, Welker White, Daniel Cates, Sergio Rizzuto, Jackie Cruz, Omar Cruz Soto, Lukas Haas, Eric Halem, Michael Beach, Lydia Hull, Harvey B. Jackson, Adam Huel Potter, Jason Trawick, Caitlin Carmichael, Olive Elise Abercrombie, Nick Koskoff, Sistine Rose Stallone, Alec Monopoly",Randall Emmett,"Duane Manwiller, Bradley Stonesifer",Alan Horsnail,"Chad A. Verdi, Alexander Eckert, Walter Josten, Tyler Gould, Ceasar Richbow, Delphine Perrier, Arianne Fraser, Matthew Helderman, Timothy C. Sullivan, Stan Wertlieb, Mark Stewart, Luillo Ruiz, Ted Fox, Arnaud Lannic, Diana Príncipe, Shaun S. Sanghani, George Furla, Luke Taylor, Randall Emmett, Barry Brooker, Alastair Burlingham, Ryan S. Black, Lydia Hull, Marily Reyes, Henry Winterstern, Nick Koskoff, Cyril Megret, Gary Raskin, Joe Listhaus","Liam Westbrook, Robin Stout",4.6,12625,/1OTSuh2HNcTRfme8caU8DjgJ39K.jpg,7,2021,29,midnight in the switchgrass,-40,12.34501686235456,0.30109797225255025,shang-chi and the legend of the ten rings
436969,The Suicide Squad,7.478,9214,Released,2021-07-28,168717425,132,185000000,tt6334354,en,The Suicide Squad,"Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",16.9318,They’re dying to save the world.,"Action, Comedy, Adventure","dc films, atlas entertainment, the safran company, warner bros. pictures",United States of America,"English, Français, Español","Natalia Safran, Taika Waititi, Edgar Zanabria, Peter Capaldi, Viola Davis, Terence Rosemore, Rey Hernandez, Sergio Carlo, Daniela Melchior, Alice Braga, Bridget Taylor, Kenneth Trujillo, Flula Borg, Victoria Paige Watkins, Ray Benitez, Pete Davidson, Sean Gunn, Michael Rooker, Michelle Civile, Idris Elba, Reinaldo Faberlle, Curtis Lyons Jr., Storm Reid, Jared Leland Gore, Andrea Andrade, Teresita Mans, Giovanni Rodriguez, Gabrielle Manning, Elideusa Gomes Almeida, Josh Ventura, Margot Robbie, John Cena, Sylvester Stallone, Maya Le Clark, Diany Rodriguez, Gerardo Davila, Lynne Ashe, J.R. Adduci, Shanna Kernan, Mikaela Hoover, David Dastmalchian, Giovannie Cruz, Jai Courtney, Mayling Ng, Fernando Martinez, Nathan Fillion, Jonathan Fritschi, Michael Aaron Milligan, Steve Agee, Stephen Blackehart, Tinashe Kajese, Lloyd Kaufman, Julio Cesar Ruiz, John Ostrander, Joel Kinnaman, Grecia Balboa, Dee Bradley Baker, Monica Rivera, Jennifer Holland, Randy Havens, Juan Diego Botto, Joaquín Cosío, Pom Klementieff",James Gunn,Henry Braham,James Gunn,"Walter Hamada, Charles Roven, Zack Snyder, Deborah Snyder, Nik Korda, Chantal Nong Vo, Richard Suckle, Peter Safran",John Murphy,7.2,448757,/q61qEyssk2ku3okWICKArlAdhBn.jpg,7,2021,30,the suicide squad,-35,18.9437358379729,0.526214884388136,shang-chi and the legend of the ten rings
451048,Jungle Cruise,7.324,5955,Released,2021-07-28,220889446,127,200000000,tt0870154,en,Jungle Cruise,"Dr. Lily Houghton enlists the aid of wisecracking skipper Frank Wolff to take her down the Amazon in his dilapidated boat. Together, they search for an ancient tree that holds the power to heal – a discovery that will change the future of medicine.",6.6721,The myth is real.,"Fantasy, Adventure","walt disney pictures, seven bucks productions, davis entertainment, flynn picture company",United States of America,"Deutsch, Français, English, Español, Italiano, Latin, Polski, Português","Sebastian Blunt, Simone Lockhart, Michael H. Cole, Dwayne Johnson, Justin Randell Brooke, Caroline Paige, Keith Arthur Bolden, Travis Gomez, Mark Ashworth, James Quattrochi, Pedro Lopez, Dan Dargan Carter, Veronica Falcón, Christina Souza, Philipp Maximilian, Edgar Ramírez, Quim Gutiérrez, Marcus Young, Romualdo Castillo, Tanya Wheelock, Hector Banos, Allan Poppleton, Sulem Calderon, Robert Tinsley, David Lengel, Stephen Dunlevy, Raphael Alejandro, Pedro Haro, Peter Luis Zimmerman, Paul Giamatti, Andy Nyman, Piper Collins, Dani Rovira, Emily Blunt, Jesse Plemons, Jack Whitehall",Jaume Collet-Serra,Flavio Martínez Labiano,"Michael Green, John Requa, John Norville, Josh Goldstein, Glenn Ficarra","Dany Garcia, Scott Sheldon, Douglas C. Merrifield, Dwayne Johnson, John Fox, Beau Flynn, John Davis, Hiram Garcia",James Newton Howard,6.5,223752,/3UPz63cGsAQlYQnkOHfAbUhl1O3.jpg,7,2021,30,jungle cruise,-35,19.21317289450134,0.5336992470694817,shang-chi and the legend of the ten rings
559907,The Green Knight,6.606,2067,Released,2021-07-29,18887953,130,15000000,tt9243804,en,The Green Knight,"An epic fantasy adventure based on the timeless Arthurian legend, The Green Knight tells the story of Sir Gawain, King Arthur's reckless and headstrong nephew, who embarks on a daring quest to confront the eponymous Green Knight, a gigantic emerald-skinned stranger and tester of men.",5.9447,When honor was everything.,"Adventure, Drama, Fantasy","a24, bron studios, sailor bear, ley line entertainment, wild atlantic pictures","Canada, Ireland, United States of America",English,"Lucy Waters, Kate Dickie, Megan Tiernan, Emmet O'Brien, Sarita Choudhury, Isabel Friosi, Emilie Hetland, Patrick Duffy, Noelle Brown, Joe Anderson, Tom Leavey, Dev Patel, Youssef Quinn, Sam Uppal Lynch, Ralph Ineson, Helena Browne, Janet Grene, Stuart Mackey, Joel Edgerton, Hannah Sjoden, Tara Mae, Alicia Vikander, Chris McHallem, Brendan Conroy, Atheena Frizzell, Anthony Morris, Ethan Dillion, Nita Mishra, Rose Patel, Rachel Quinn, Donncha Crowley, Aaron Edo, Andrea Deaskovic, Melinda Dempsey, Erin Kellyman, Aoife Gaffney, Ruth Patel, Anaïs Rizzo, Barry Keoghan, Adam Karim, Sean Harris, Aoibheann Garry",David Lowery,Andrew Droz Palermo,David Lowery,"Jason Cloth, Tim Headington, Tomas Deckaj, James M. Johnston, Eoin Egan, Theresa Page, Macdara Kelleher, Edmund Sampson, David Lowery, Aaron L. Gilbert, Toby Halbrooks",Daniel Hart,6.6,128444,/if4hw3Ou5Sav9Em7WWHj66mnywp.jpg,7,2021,30,the green knight,-34,16.754034922335794,0.47868671206673696,shang-chi and the legend of the ten rings
616651,Stillwater,6.6,1340,Released,2021-07-29,19754272,139,20000000,tt10696896,en,Stillwater,"Bill Baker, an American oil-rig roughneck from Oklahoma, travels to Marseille to visit his estranged daughter, Allison, who is in prison for a murder she claims she did not commit. Confronted with language barriers, cultural differences, and a complicated legal system, Bill builds a new life for himself in France as he makes it his personal mission to exonerate his daughter.",4.6478,Secrets run deep.,"Drama, Crime, Thriller","participant, dreamworks pictures, slow pony, anonymous content, 3dot productions, supernatural pictures, focus features, mandate international, firstep","France, United States of America","English, Français, Español","Pierre-Jean Taïeb-Renassia, Marc Boubli, Sophia Johnson, Idir Azougli, Carlos Ramirez, Jean-Marc Michelangeli, Abigail Breslin, Grégory Di Meglio, Hamza Baggour, Nicolas Dubus, Jérome Care-Aulanier, Lilou Siauvaud, Berthélémy Giulj, Abdeljalil Belbrail, Sarah Brooks, Clarisse Tennessy, Gilbert Traïna, Chris Tomneer, Victor Sansano, Mohamed-Yassine Ferrat, Karim Traikia, Sabri Siad, Mama Bouras, Lakhdar Mouissette, Florine Mullard, Youghorta Mimouni, Jacques Kounta, Isabelle Tanakil, Pierre Piacentino, Guillaume Le-Xuan, Michel Bompoil, Leah McCormick, Olivier Ho Hio Hen, Mahia Zrouki, Céline Defay, Ludovic Marchand, Jean-Pierre Gourdain, Adel Ferrat, Messad Souane, Olivier Cruveiller, Alban Casterman, Paul Limonche, Leesa Neidel, Khalid Sabirh, Robert Peters, Mathilde Granguillot, Naidra Ayadi, Camille Cottin, Jacinto Segundo Rodriguez III, Kelly Bellacci, Laurent Perez, Anne Le Ny, Matt Damon, Eric Marcel, Philippe Callec, William Nadylam, Louise Desmullier, Kelly Martins, Justin France, Deanna Dunagan, Nassiriat Mohamed, Moussa Maaskri, Gilles Gontier, Jake Washburn, Bastien d'Asnières, Eric Starkey, Fabio Montale",Tom McCarthy,Masanobu Takayanagi,"Marcus Hinchey, Thomas Bidegain, Noé Debré, Tom McCarthy","Jonathan King, Liza Chasin, Mari-Jo Winkler, Noé Debré, Steve Golin, Tom McCarthy, Jeff Skoll, David Linde, Robert Kessel, Thomas Bidegain",Mychael Danna,6.6,62763,/1lrPR7ah1KElPKnCsxmIRE1OlIh.jpg,7,2021,30,stillwater,-34,16.79888038034054,0.47996801086687263,shang-chi and the legend of the ten rings
835551,Masquerade,5.5,102,Released,2021-07-30,8866,80,2500000,tt11448490,en,Masquerade,A young girl struggles to survive after a group of home invaders break into her house to steal her family's priceless artwork.,2.6457,The ultimate disguise in terror.,Thriller,"rider entertainment, xyz films, shout! studios",United States of America,English,"Skyler Samuels, Austin Nichols, Ana Rodas, Michael Proctor, Bella Thorne, Alyvia Alyn Lind, Mircea Monroe, Joana Metrass",Shane Dax Taylor,Mark Rutledge,Shane Dax Taylor,"Kenneth Burke, Roman Terrill, Corky Taylor, Shane Dax Taylor, Steven Schneider, Ronald J. Kirchhoff, Joe Heath, Stuart Manashil",Ben Lovett,3.9,1328,/ylqaqBXsVsN3f7IeS9GOjJaPM0e.jpg,7,2021,30,masquerade,-33,9.090091799380007,0.2673556411582355,shang-chi and the legend of the ten rings
675445,PAW Patrol: The Movie,7.4,1245,Released,2021-08-09,144327371,86,26000000,tt11832046,en,PAW Patrol: The Movie,Ryder and the pups are called to Adventure City to stop Mayor Humdinger from turning the bustling metropolis into a state of chaos.,6.8433,"No Job's too big, no Pup's too small.","Family, Comedy, Adventure, Animation","spin master, nickelodeon movies, paramount pictures, mikros image, mikros animation","Canada, France, United States of America",English,"Callum Shoniker, Paul Braunstein, Christopher Marren, Charlie Gallant, Sophia Walker, Emily Hurson, Alex Paxton-Beesley, Rosa Laborde, Jimmy Kimmel, Neil Crone, Valentina Tronel, Yara Shahidi, Geoffrey Pounsett, Randall Park, Kingsley Marshall, Shayle Simons, Lindsay Owen Pierre, Patrick Kwok-Choon, Shazdeh Kapadia, Margot Brunker, Saara Chaudry, Humberly González, Christie Stewart, Sunita Prasad, Derek Moran, Joe Pingue, Ron Pardo, Sumalee Montano, Isis Moore, Keegan Hedley, Dax Shepard, Marsai Martin, Jamillah Ross, Veena Sood, Monique Alvarez, Josh Robert Thompson, Ali Momen, Lilly Bartlam, James Larson, Richard Binsley, Cara Ricketts, Dwayne Hill, Joshua Graham, Raoul Bhaneja, Tyler Perry, Will Brisbin, Iain Armitage, Kim Roberts, Joan Faggianelli, Kim Kardashian",Cal Brunker,,"Billy Frolick, Bob Barlen, Cal Brunker","Peter Schlessel, Ronnen Harary, Jennifer Dodge, Lisa A. Becker, Adam Beder",Heitor Pereira,6.1,9320,/jXavWyam2VPR6bOhLwwuP3K2Hw4.jpg,8,2021,32,paw patrol: the movie,-23,18.787594693905266,0.7828164455793861,shang-chi and the legend of the ten rings
