id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer,imdb_rating,imdb_votes,poster_path,release_month,release_year,iso_week,title_clean,distance,strength,score,marvel_movie
458156,John Wick: Chapter 3 - Parabellum,7.444,11304,Released,2019-05-15,326709727,131,55000000,tt6146586,en,John Wick: Chapter 3 - Parabellum,"Super-assassin John Wick returns with a $14 million price tag on his head and an army of bounty-hunting killers on his trail. After killing a member of the shadowy international assassin’s guild, the High Table, John Wick is excommunicado, but the world’s most ruthless hit men and women await his every turn.",9.1002,"If you want peace, prepare for war.","Action, Thriller, Crime","thunder road, lionsgate, 87eleven",United States of America,"العربية, 普通话, English, Bahasa indonesia, Italiano, 日本語, Latin, Pусский","Tiler Peck, Stefaniya Makarova, Sergio Delavicci, Boban Marjanović, Yayan Ruhian, Jeff G. Waxman, Margaret Daly, Keanu Reeves, Andrea Sooch, Anjelica Huston, Unity Phelan, Lance Reddick, Eliza Blutt, Olivia MacKinnon, India Bradley, Harrison Coll, Maxim Beloserkovsky, Randall Duk Kim, Mustapha Adidou, Robert Samuels, Cecep Arif Rahman, Halle Berry, Saïd Taghmaoui, Aïssam Bouali, Jason Mantzoukas, Robin Lord Taylor, Baily Jones, Sarah Villwock, Alexey Golousenko, Mark Dacascos, Asia Kate Dillon, Laurence Fishburne, Susan Blommaert, Ian McShane, Charles Askegard, Jerome Flynn",Chad Stahelski,Dan Laustsen,"Shay Hatten, Chris Collins, Marc Abrams, Derek Kolstad","Chad Stahelski, Erica Lee, Basil Iwanyk, Jeff G. Waxman, David Leitch, Joby Harold","Tyler Bates, Joel J. Richard",7.4,468510,/ziEuG1essDuWuC5lpWUaw1uXY2O.jpg,5,2019,20,john wick: chapter 3 - parabellum,-44,19.604582652681398,0.43565739228180883,spider-man: far from home
535581,The Dead Don't Die,5.428,2745,Released,2019-05-15,15325468,104,11000000,tt8695030,en,The Dead Don't Die,"In the sleepy town of Centerville, the lives of a number of interconnected characters are disrupted by the undead.",2.9172,The greatest zombie cast ever disassembled.,"Comedy, Horror","kill the head, animal kingdom, longride, chimney sweden, film i väst","United States of America, Sweden, Japan",English,"Iggy Pop, Ren Hsieh, Branden Marlowe, Tom Waits, Willis Williams, Sid O'Connell, Jonah Marshall, Selena Gomez, Austin Butler, Kimberly Michelle Doherty, Jude Selenis, Luka Sabbat, Adam Driver, Eszter Balint, Steve Buscemi, Wayne Pyle, Brad Groux, Bill Murray, Rosal Colon, Alyssa Maria App, Lexa Hayes, Dorothea Swiac, Justin Clarke, Deneane Niebergall, Tilda Swinton, Jodie Markell, Michael Lanuto, Danny Glover, Caleb Landry Jones, Sara Driver, Lorenzo Beronilla, Paul Pesco, Norman Aaronson, Julia Morrison, Taliyah Whitaker, Rosie Perez, RZA, David Hilfstein, Jerry Schroader, Sophia Menja Weinman, Chloë Sevigny, Larry Fessenden, Vinnie Velez, Monica Ayres, Talha Khan, Thomas Racek, Sturgill Simpson, Oliver Patnode, Charlotte Kemp Muhl, Vin Craig, Carol Kane, Jahi Di'Allo Winston, Maya Delmont, Joseph Anthony Davis, Anastasia Veronica Lee, Willoughby Pyle, Kevin McCormick, Mick Coleman, Dillon Egyes",Jim Jarmusch,Frederick Elmes,Jim Jarmusch,"Carter Logan, Joshua Astrachan, Frederick W. Green, Norio Hatano",Carter Logan,5.4,100230,/ndvOjo7Nfk8ULnFLMXthPzhI62L.jpg,5,2019,20,the dead don't die,-44,16.545026642907175,0.36766725873127054,spider-man: far from home
581528,"The Gangster, the Cop, the Devil",7.864,1330,Released,2019-05-15,25775371,110,6500000,tt10208198,ko,악인전,"After barely surviving a brutal attack by a sadistic serial killer, crime boss Jang Dong-su is left humiliated. Determined to catch the killer known as K, he forms an uneasy alliance with Jung Tae-seok, a relentless and incorruptible detective who often disrupts his illegal business. However, while Jang Dong-su wants K dead, Jung Tae-suk is determined to bring him to justice. With a deal in place—whoever finds K first will decide his fate—the hunt begins, blurring the lines between crime and law.",9.8018,Don't let the devil win.,"Crime, Action, Thriller","acemaker movieworks, ba entertainment, kiwi media group, b&c content",South Korea,한국어/조선말,"Yoon Young-kyun, You Chea-myung, Jeon Bae-soo, Kim Sung-kyu, Moon Soon-ju, Kim Yoon-sung, Don Lee, Lee Seo-hwan, Lee Eun-saem, Ryu Tae-ho, Yoo Seung-mok, Kong Seong-ha, Oh Hee-jun, Heo Dong-won, Lee So-jin, Woo Kang-min, Park Bo-kyung, Kim Gyu-ri, Bae Min-jun, Woo Sang-jeon, Kim Moo-yul, Yoon Yeong-gyun, Cha Soon-bae, Shin Gi-rok",Lee Won-tae,Park Se-seung,Lee Won-tae,"Sylvester Stallone, Jang Won-seok, Jung Cheol-ung, Seo Kang-ho",Cho Young-wuk,7.0,31097,/oHlM4abRm6BzrRcz9Nup1uidw9H.jpg,5,2019,20,"the gangster, the cop, the devil",-44,17.064930020352868,0.37922066711895264,spider-man: far from home
504608,Rocketman,7.317,4826,Released,2019-05-17,167300000,121,40000000,tt2066051,en,Rocketman,"The story of Elton John's life, from his years as a prodigy at the Royal Academy of Music through his influential and enduring musical partnership with Bernie Taupin.",2.1539,Based on a true fantasy,"Music, Drama","paramount pictures, new republic pictures, marv, rocket pictures, lawrence bender productions","United Kingdom, United States of America",English,"Luke Woolaston, Ed Munro, Amanda Smith, Benjamin Lok, Jamie Karitzis, Fiona McDonald, Nadia Sohawon, Megan Westpfel, Max Mackintosh, Ross Dawes, Fraser Fraser, Zeng Yixin, Celinde Schoenmaker, Rory Okey, Nicholle Hembra, Alexandra Worrall, Demetri Goritsas, Jess Radomska, Guillermo Bedward, Tom Woolaston, Oliver Metzler, Ziad Abaza, Anna Benamati, Rebecca Davis, Charlie Rowe, Thomas Inge, Kamil Lemieszewski, Eddie Register, Alex James-Phelps, Lochlan White, Tate Donovan, Francesco Lucidi, Juozas Statkevicius, Sharmina Harrower, Michael J. Fellows, Nikkita Chadha, Kit Connor, Lasco Atkins, Thomas Charles Torrance Mather, Christopher Jeffers, Callum Powell, Mariela Silva, Jack Dargen, Eric Coco, Leigh Francis, Stephan Lee Benson, Jack French, Sam Murphy, Phil Snowden, Sara Wilkins, Rachel Muldoon, Benjamin Mason, Eddie Mann, Charlie Bentley, Rob Callender, Myles Newland, Tom Ogg, Ophelia Lovibond, Matt Turner, Sarah Sharman, Matthew Illesley, Ashley Franklin, Dan Burns, Jamie Bell, Josh Weston, Bryce Dallas Howard, Robert Smith, Josh McClorey, Mark Atkin, Inna Georgia, Zoe Reeve, Alex Thomas, Ross Finnie, Richard Madden, Charlotte Sharland, Dani Dupont, Graham Fletcher-Cook, Diana Alexandra Pocol, Alexia Khadime, Jake Moyle, Dempsey Bovell, Adnan Kundi, David Doyle, Nia Towle, Ramzan Miah, Sophie Carmen-Jones, Stevee Davies, Jimmy Vee, Nick Kellington, Sian Crisp, Tristan Temple, Giles Martin, Alicia Mencia, Samuel Williams, Charles Armstrong, Max Croes, Stephen Graham, Leon Delroy Williams, Rebecca Fennelly, Liam Marcinello, Neeve Martin, Solomon Mousley, Gemma Jones, Tom Bennett, Marco De Marlo, Peter Trevor, Wade Lewin, Jason Pennycooke, David Cradduck, Adrian Mozzi, Miles Coote, Luke White, Michael Downing, Peter O'Hanlon, Bethany Harrison, Ava Brennan, Aston McAuley, Hayley Jones, Sam Stanley, Alexa Povah, Peter Cerlienco, Myles Brown, Luke Wright, Healthy Emmie, Evan Walsh, Tom Clark, Dickon Tolson, Lucia Marin Gonzalez, Connor Hill, Kemal Shah, Lauren-Kate Seymour, Taron Egerton, Mark Ellison, Elizabeth McCafferty, Karl Farrer, James Bennett, Jake Shears, Xiao Xue Xu Lin, Jamie Bacon, Carlos Borrás, Ross Farrelly, Emily Tebbutt, Pip Hersee, Martina Gumbs, Sarah Haruko Iwaskow, Delia Florea, Alisha Tarran, Mark Gooden, Ketan Majmudar, Amira Stevens, Navala Chaudhari, Alison Ball, Steven Mackintosh, Aishwarya Raut, Emily Yuen, Richard Price, Amor Evans, Sharon D. Clarke, Theo Ip, Carl Spencer, Leon Cooke, Pete McCabe, Tanisha Spring, Titilayo Abiola, Ida May, Grant Thresh, Michele Donockley, Jo Dyce, Laura Obiols, Barbara Drennan, Fabian Sgoluppi, Natalie Adams, Danielle Scott, Layton Williams, Viktorija Faith, Michel Alexandre Gonzalez, Christina Andrew, Luke Jackson, Emily Kuhl, Micah Holmes, Dave Thompson, Dale Monie, Jared Martyn-Hageman, Harriet Walter, Riley White, Lee Bridgman",Dexter Fletcher,George Richmond,Lee Hall,"Adam Bohling, Steve Hamilton Shaw, David Furnish, Matthew Vaughn, Michael Gracey, Lawrence Bender, David Reid, Claudia Schiffer, Elton John, Brian Oliver",Matthew Margeson,7.3,206180,/f4FF18ia7yTvHf2izNrHqBmgH8U.jpg,5,2019,20,rocketman,-42,18.93529917193434,0.44035579469614744,spider-man: far from home
420817,Aladdin,7.091,10394,Released,2019-05-22,1097831681,127,183000000,tt6139732,en,Aladdin,A kindhearted street urchin named Aladdin embarks on a magical adventure after finding a lamp that releases a wisecracking genie while a power-hungry Grand Vizier vies for the same lamp that has the power to make their deepest wishes come true.,14.6814,Choose Wisely.,"Adventure, Fantasy, Romance, Family","walt disney pictures, rideback",United States of America,English,"Amed Hashimi, Omari Bernard, Marisha Wallace, Amar Chadha-Patel, Sebastien Torkia, Navid Negahban, Marwan Kenzari, Ceara Batson, Bessy Naidu, Saikat Ahamed, Mena Massoud, Stefan Capper, Stefan Kalipha, Aubrey Lin, Jamal Sims, Amir Boutrous, Nina Wadia, Numan Acar, Firas Waleed Al-Taybeh, Omar Abidi, Robby Haynes, Alan Tudyk, Vinani Mwazanzale, Rene Costa, Maya Saroya, Naomi Scott, Elif Knight, Nasim Pedrad, Joey Ansah, Elena Zacharia, Taliyah Blair, Buckso Dhillon-Woolley, Luke Johnson, Michael Herne, Frank Welker, Will Smith, Demii Lee Walker, Nathaniel Ellul, Nazerene Williams, Hiten Patel, Billy Magnussen, Jordan A. Nash",Guy Ritchie,Alan Stewart,"Guy Ritchie, Benj Pasek, John August, Justin Paul, Tim Rice, Howard Ashman","Marc Platt, Dan Lin, Jonathan Eirich, Kevin De La Noy",Alan Menken,6.9,309145,/ykUEbfpkf8d0w49pHh0AD2KrT52.jpg,5,2019,21,aladdin,-37,20.816602873200893,0.5478053387684445,spider-man: far from home
412117,The Secret Life of Pets 2,7.0,3219,Released,2019-05-24,429434163,86,80000000,tt5113040,en,The Secret Life of Pets 2,"Max the terrier must cope with some major life changes when his owner gets married and has a baby. When the family takes a trip to the countryside, nervous Max has numerous run-ins with canine-intolerant cows, hostile foxes and a scary turkey. Luckily for Max, he soon catches a break when he meets Rooster, a gruff farm dog who tries to cure the lovable pooch of his neuroses.",10.1394,They still have their secrets.,"Family, Comedy, Adventure, Animation","universal pictures, illumination",United States of America,English,"Élodie Fontan, Dana Carvey, Harrison Ford, Brian T. Delaney, Bobby Moynihan, Ashley Silverman, Hannibal Buress, Kiely Renaud, Karine Le Marchand, Ellie Kemper, Tara Strong, JP Karliak, Jessica DiCicco, John Kassir, Matthew Wood, Sean Giambrone, Willy Rovelli, Tarek Boudali, Tiffany Haddish, Michael Beattie, Pete Holmes, Laraine Newman, Jaime Camil, David Acord, Alban Lenoir, Eric Stonestreet, Maddix Robinson, Terri Douglas, Dorothée Pousséo, Kylie Hart, Fred Tatasciore, Kevin Hart, Lake Bell, Scott Mosier, Antonio Raul Garcia, Philippe Lacheau, Sandra Echeverría, Arthur Ortiz, Romain Lancry, Jenny Slate, Capri Oliver, Lucian Perez, Patton Oswalt, Julien Arruti, Scott Menville, Garth Jennings, Nick Kroll, Henry Lynch, Meredith Salenger, Chris Renaud, Cory Walls",Chris Renaud,,Brian Lynch,"Janet Healy, Chris Meledandri, Brett Hoffman",Alexandre Desplat,6.4,76092,/s9xg4V5EDKiphgIksVJ9gewBM11.jpg,5,2019,21,the secret life of pets 2,-35,19.87797900242384,0.5521660834006622,spider-man: far from home
505600,Booksmart,7.0,2722,Released,2019-05-24,24849029,102,6000000,tt1489887,en,Booksmart,"Two academic teenage superstars realize, on the eve of their high school graduation, that they should have worked less and played more. Determined to never fall short of their peers, the girls set out on a mission to cram four years of fun into one night.",4.2465,Getting straight A's. Giving zero F's.,Comedy,"annapurna pictures, gloria sanchez productions",United States of America,"普通话, English, Español","Skyler Gisondo, Stephanie Styles, John Hartman, Ellen Doyle, Molly Gordon, Kaitlyn Dever, Nico Hiraga, Ben Harris, Maya Rudolph, Eduardo Franco, Mason Gooding, Billie Lourd, Will Forte, Christopher Avila, Bluesy Burke, Gideon Lang, Beanie Feldstein, Deb Hiett, Michael Patrick O'Brien, Jason Sudeikis, Kyle Samples, Diana Silvers, Noah Galvin, Adam Krist, Lisa Kudrow, Jessica Williams, Victoria Ruesga, Austin Crute",Olivia Wilde,Jason McCormick,"Susanna Fogel, Sarah Haskins, Katie Silberman, Emily Halpern","Chelsea Barnard, Will Ferrell, Adam McKay, Jessica Elbaum, Jillian Longnecker, Katie Silberman, David Distenfeld, Alex G. Scott, Megan Ellison, Scott Robertson",Dan the Automator,7.1,137997,/2aSxRDmisJP90H3S0aocyuQIe4z.jpg,5,2019,21,booksmart,-35,17.028329275539825,0.47300914654277293,spider-man: far from home
373571,Godzilla: King of the Monsters,6.7,6463,Released,2019-05-29,387300138,132,170000000,tt3741700,en,Godzilla: King of the Monsters,"Follows the heroic efforts of the crypto-zoological agency Monarch as its members face off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah. When these ancient super-species, thought to be mere myths, rise again, they all vie for supremacy, leaving humanity's very existence hanging in the balance.",7.8816,Long live the king.,"Science Fiction, Action","legendary pictures, huahua media, toho","China, Japan, United States of America","普通话, English, 日本語","James William Ballard, Joey Beni, Sally Hawkins, Fred Galle, Jimmy Gonzáles, Andres Salgado, Thomas W. Stewart, Kyle Chandler, Benjamin Weaver, Beverley Simmons, John David Bulla, Cecil M. Henry, Seth Green, Jonathan Howard, Shauna Rappold, Andrea Maiuro, Charles Dance, T.C. Matherne, Mallory Hoff, Zac Zedalis, Michael David Yuhl, Anthony Ramos, Clare Grant, Millie Bobby Brown, Gerardo Bosco, Tony Morgan, Bradley Whitford, Randy Havens, Shaun McLane, Justice Leak, Madeline Brumby, Robin Dyke, Maxwell Highsmith, Al Vicente, CCH Pounder, Ken Watanabe, Kasia Hart, Timothy Carr, Max Soliz, Eli Roth, Richard Dorton, Michael Dougherty, Christopher Bryan Gomez, Aisha Hinds, Stephen Moyer, Andrea Antonio Canal, Joe Morton, Zach Shields, Sasha Rionda, Kenneth Israel, Orelon Sidney, Vera Farmiga, Greg Clarkson, O'Shea Jackson Jr., Laurie Dhue, Leiloni Arrie Pharms, Hans Bush, Lyle Brocato, Rose Bianco, Roger K. Moore, Diana Rombola, Alan Maxson, Miguel Angel Varela Fimbres, Joshua Leary, Zhang Ziyi, Thomas Middleditch, David Strathairn, Joey Thurmond, Paul Ryden, Jason Liles, Buddy Watkins, Vince Foster, Tracie Garrison, Fiona Hardingham, Brian Kayode-Patrick Johnson, Elizabeth Faith Ludlow, Robert Tinsley, Lexi Rabe, Anthony B. Harris, Jesse O'Neill, Shaun McMillan, Tyler Crumley, Gabriel L. Silva, Jamie Wedel, T.J. Storm, Kevin Shinick, Kelli Garner, Natalie Shaheen, Skylar Denney, Van Marten",Michael Dougherty,Lawrence Sher,"Ishirō Honda, Takeo Murata, Michael Dougherty, Max Borenstein, Zach Shields","Jon Jashni, Thomas Tull, Mary Parent, Alex Garcia, Barry H. Waldman, Dan Lin, Brian Rogers, Hiroyasu Matsuoka, Julian Fleming, Zach Shields, Keiji Ota, Yoshimitsu Banno, Roy Lee, Kenji Okuhira",Bear McCreary,6.0,224172,/mzOHg7Q5q9yUmY0b9Esu8Qe6Nnm.jpg,5,2019,22,godzilla: king of the monsters,-30,19.77471050337983,0.637893887205801,spider-man: far from home
502416,Ma,5.817,2357,Released,2019-05-29,61220856,99,5000000,tt7958736,en,Ma,"Sue Ann is a loner who keeps to herself in her quiet Ohio town. One day, she is asked by Maggie, a new teenager in town, to buy some booze for her and her friends, and Sue Ann sees the chance to make some unsuspecting, if younger, friends of her own.",6.4973,Get home safe.,"Horror, Thriller","blumhouse productions, wyolah films",United States of America,English,"Grayson Alderman, Lamar Lott, Missi Pyle, Louie, Tate Taylor, Victor Turpin, Skyler Joy, Dominic Burgess, Micah Joseph Graves, Jinny Patterson, Nicole Carpenter, Allison Janney, Ashley Brasel, Emma Frances Burge, McKaley Miller, Andrew Matthew Welch, Octavia Spencer, Elijah Bray, Kyanna Simone Simpson, Earl, Gianni Paolo, Danny Todd, Denise Nall, Calvin Williams, Katira Banks, Nik Shriner, Dante Brown, Margaret Fegan, Dennis Rodriguez, Diana Silvers, Heather Marie Pate, Adrienne Marie Coins, Tanyell Waivers, Corey Fogelmanis, Creek Wilson, Luke Evans, Juliette Lewis",Tate Taylor,Christina Alexandra Voros,Scotty Landes,"Couper Samuelson, Tate Taylor, Jeanette Volturno, Robin Mulcahy Fisichella, Jason Blum, Octavia Spencer, John Norris",Gregory Tripi,5.6,69562,/6n7ASmQ1wY2cxTubFFGlcvPpyk7.jpg,5,2019,22,ma,-30,17.929998490076798,0.5783870480669935,spider-man: far from home
496243,Parasite,8.496,19681,Released,2019-05-30,257591776,133,11363000,tt6751668,ko,기생충,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",17.779,Act like you own the place.,"Comedy, Thriller, Drama",barunson e&a,South Korea,"English, Deutsch, 한국어/조선말","Kim Yeong-jo, Lee Joo-hyung, Choi Jeong-hyun, Jung Ji-so, Andreas Fronk, Lee Si-hoon, Anna Elisabeth Rihlmann, Park Jae-wan, Kim Jung-woo, Ahn Seong-bong, Chang Hyae-jin, Riccardo Ferraresso, Octavio Galizzi, Song Kang-ho, Kim Ha-eon, Seo Bok-hyeon, Lee Ji-hye, Cho Yeo-jeong, Shim Soo-mi, Park Jae-wook, Rosie Peralta, Cho Jae-myung, Kim Geon, Jung Hyeon-jun, Lee Eun-hee, Lee Dong-yong, Hwang In-gyeong, Park Hye-sook, Yoon Young-woo, Shin Seung-min, Lee Si-hoo, Kim Bo-ryeong, Park Myung-hoon, Kwak Sin-ae, Ahn Jin-sang, Lee Jung-eun, Jeong Ik-han, Baek Seung-hwan, Choi Woo-shik, Park So-dam, Kim Kyu-baek, Yoon Hye-ree, Park Seo-jun, Park Keun-rok, Lee Sang-kyung, Choi Ji-won, Lee Sun-kyun, Jeon Eun-mi, Jung Yi-seo, Ko Kwan-jae",Bong Joon Ho,Hong Kyung-pyo,"Kim Dae-hwan, Han Jin-won, Bong Joon Ho","Jang Young-hwan, Lim Myeong-gyun, Kwak Sin-ae, Miky Lee, Moon Yang-kwon, Bong Joon Ho",Jung Jae-il,8.5,1113089,/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,5,2019,22,parasite,-29,19.366886630101117,0.6455628876700372,spider-man: far from home
