id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer,imdb_rating,imdb_votes,poster_path,release_month,release_year,iso_week,title_clean,distance,strength,score,marvel_movie
670292,The Creator,7.0,3535,Released,2023-09-27,104272136,134,80000000,tt11858890,en,The Creator,"Amid a future war between the human race and the forces of artificial intelligence, a hardened ex-special forces agent grieving the disappearance of his wife, is recruited to hunt down and kill the Creator, the elusive architect of advanced AI who has developed a mysterious weapon with the power to end the war—and mankind itself.",7.7387,This is a fight for our very existence.,"Science Fiction, Action, Adventure","new regency pictures, entertainment one, regency enterprises, bad dreams productions","Canada, United States of America","日本語, English, ภาษาไทย, Tiếng Việt","Veronica Ngo, Ken Watanabe, Eoin O'Brien, Phaithoon Wanglomklang, Natthaphong Chaiyawong, Jeb Kreager, Mackenzie Lansing, Ralph Ineson, Ian Verdun, Kulsiri Thongrung, Mav Kang, Dana Blouin, Allison Janney, Apiwantana Duenkhao, James David Henry, Monthatip Suksopha, Chananticha Chaipa, Sturgill Simpson, Tawee Teesura, Brett Bartholomew, Pongsanart Vinsiri, Madeleine Yuna Voyles, Mariam Khummaung, Gemma Chan, Sahatchai Chumrum, Molywon Phantarak, Kandanai Chotikapracal, Chalee Sankhavesa, Amar Chadha-Patel, Karen Aldridge, Stephen Howard Thomas, Elliot Berk, Marc Menchaca, Brett Parks, Daniel Ray Rodriguez, Ron Weaver, Leanna Chea, Rad Pereira, Robbie Tann, Niko Rusakov, John Garrett Mahlmeister, John David Washington, Pat Skelton, Agneta Catarina Békassy de Békas, Art Ybarra, Anjana Ghogar, Michael Esper, Charlie McElveen, Syd Skidmore, Scott Thomas, Teerawat Mulvilai, Sawanee Utoomma",Gareth Edwards,"Greig Fraser, Oren Soffer","Gareth Edwards, Chris Weitz","Natalie Lehmann, Zev Foreman, Yariv Milchan, Kiri Hart, Gareth Edwards, Jim Spencer, Michael Schaefer, Arnon Milchan, Nick Meyer",Hans Zimmer,6.7,191535,/3dSivDtOuyxLDxPH4v2tcNG1fP7.jpg,9,2023,39,the creator,-42,18.462514741424847,0.4293608079401127,the marvels
951491,Saw X,7.2,2213,Released,2023-09-27,125319714,118,13000000,tt21807222,en,Saw X,"Between the events of 'Saw' and 'Saw II', a sick and desperate John Kramer travels to Mexico for a risky and experimental medical procedure in hopes of a miracle cure for his cancer, only to discover the entire operation is a scam to defraud the most vulnerable. Armed with a newfound purpose, the infamous serial killer returns to his work, turning the tables on the con artists in his signature visceral way through devious, deranged, and ingenious traps.",5.2918,Witness the return of Jigsaw.,"Horror, Mystery","twisted pictures, lionsgate",United States of America,"English, Español","David Alfano, Steven Brand, Shawnee Smith, Baltimore Beltrán, Michael Beach, Synnøve Macody Lund, Bailey Guidry, Isan Beomhyun Lee, James Burg, Jorge Briseño, Renata Vaca, Cristo Ruiz, Craig Hurley, Paulette Hernández, Lucía Gómez-Robledo, Donagh Gordon, Octavio Hinojosa Martínez, Kerry Ardra, Joshua Okamoto, Katie Barberi, Costas Mandylor, Sebastián Torres, Natasha Goss, Tobin Bell",Kevin Greutert,Nick Remy Matthews,"Josh Stolberg, Leigh Whannell, James Wan, Pete Goldfinger","Daniel J. Heffner, Ulrich Maier, Gregg Hoffman, James Wan, Jason Constantine, Mark Burg, Leigh Whannell, Oren Koules, Ketura Kestin, Erick Ahedo",Charlie Clouser,6.6,94049,/u7Lp1Hi8aBS73jv4KRMIv5aK4ax.jpg,9,2023,39,saw x,-42,18.646378749867576,0.43363671511319946,the marvels
1190449,Extinction,7.5,2,Released,2023-09-27,303587,82,3000000,tt28513569,fa,بچه زرنگ,"Mohsen is a young superhero enthusiast whose life takes an unexpected turn when he encounters an endangered tiger while on a family picnic near the forest. Determined to save this majestic creature from hunters, Mohsen embarks on a perilous rescue mission during which he develops a deep bond with 'Tiggy'.",0.6713,A journey to be a real hero.,Animation,"honar pooya group, magic picture films, all rights entertainment","Iran, Malaysia",فارسی,"Tooraj Nasr, Alexandre Teixeira, Javad Pezeshkian, Hooman Hajabdollahi, Wayne LeGette, Alireza Dibaj, Pooya Fahimi, Saeed Sheikhzadeh, Crystal Lopez, Katherine Clavelo, Mir Taher Mazloomi, Christopher Swindle, Ebrahim Shafie, Mahsa Erfani, Hedayat Hashemi, Romulo Bernal, Ardeshir Monazam, Hasan Kakhi, Craig Rittenhouse, Mina Ghiaspour, Maryam Radpour, Ali Hemmat Momivand, Travis Roig, Nazanin Yari, Amir Hakimi, George Petrosi, Daniel Reyes, Shayan Shambayati, Metanat Esmaili",Hadi Mohammadian,,"Mohammadali Ramezanpoor, Babak Nekooei, Hadi Mohammadian",Hamed Jafari,Mohammadreza Tavasoli Sahzevar,5.9,105,/mEgVvLbrAWguyXslB53MtOdnVhx.jpg,9,2023,39,extinction,-42,12.623426798030751,0.2935680650704826,the marvels
805785,Fukrey 3,5.7,9,Released,2023-09-28,16000000,147,3000000,tt26445483,hi,फुकरे 3,"In the third installment, the Fukras plan to take over Delhi, and run for city elections. However, they have no money and so they take on an international job to make a quick buck, which changes their lives forever. In the first two films, we saw them using dreams, then premonitions to make money but now they’ve been gifted with a new & unique talent which is going to make them millionaires.",0.946,Ek naya chumatkar from Jamnapaar,"Comedy, Drama",excel entertainment,India,हिन्दी,"Pulkit Samrat, Natasha Kamwenje, Sani Ahmed, Amit Dhawan, Lekha Prajapati, Ali Fazal, Michael Havens, Geeta Agrawal Sharma, Richa Chadha, Varun Sharma, Pankaj Tripathi, Manjot Singh, Manu Rishi Chadha",Mrighdeep Singh Lamba,Amalendu Chaudhary,"Kumaar, Abhishek Nailwal, Mrighdeep Singh Lamba, Vipul Vig, Shabbir Ahmed","Rajat Kanti Sarkar, Farhan Akhtar, Ritesh Sidhwani","Ram Sampath, Abhishek Nailwal",5.5,25802,/1E5qIvLBNrv4onx5SxnNz5Monac.jpg,9,2023,39,fukrey 3,-41,16.588099342704055,0.39495474625485844,the marvels
943134,The Animal Kingdom,6.999,843,Released,2023-10-04,9138503,127,15200000,tt16606592,fr,Le Règne animal,"In a world hit by a wave of mutations transforming humans into animals, François does everything he can to save his wife. As some of the creatures disappear into a nearby forest, he and their son Émile embark on a quest that will change their lives forever.",4.524,All creatures crave freedom.,"Adventure, Drama, Science Fiction","studiocanal, nord-ouest films, france 2 cinéma, artémis productions","Belgium, France",Français,"Jean Boronat, Paul Muguruza, Clément Corbiat, Nathalie Richard, Tom Mercier, Sébastien Boissavit, Adèle Exarchopoulos, Saadia Bentaïeb, Maxime Sebile, Gabriel Caballero, Louise Lehry, Célia Lalande, Tom Rivoire, Romain Duris, François-Xavier Raffier, Iliana Khelifa, Xavier Aubert, Paul Kircher, Billie Blain, Nicolas Avinée, Maëlle Benkimoun",Thomas Cailley,David Cailley,"Thomas Cailley, Pauline Munier",Pierre Guyard,Andrea Laszlo De Simone,6.7,11323,/39AiQnXlXOjoqBSkiUpTG80rXLw.jpg,10,2023,40,the animal kingdom,-35,16.028007253885132,0.4452224237190314,the marvels
897087,Freelance,6.4,1088,Released,2023-10-05,9112817,108,40000000,tt15744298,en,Freelance,"An ex-special forces operative takes a job to provide security for a journalist as she interviews a dictator, but a military coup breaks out in the middle of the interview, they are forced to escape into the jungle where they must survive.",5.8333,Retirement didn't suit him.,"Action, Comedy","endurance media, agc studios, sentient entertainment, signature films, wideangle films, lipsync productions","United States of America, United Kingdom",English,"John Cena, Andrés Echavarría, Pablo Daniel Rodríguez, Christian Slater, Gamal Dillard, Mélida Saviz, Tomaso Tarli, Molly McCann, Michel Farji Honlein, Juan Pablo Raba, Nelson Camayo, Diego Vásquez, Julianne Arrieta, Fiona Horsey, Alice Eve, Matt Moody, Mauricio Cujar, Alison Brie, Sebastián Eslava, Daniel Toro, Yusuf Felipe Tangarife Angulo, Roberto Cano, Marton Csokas",Pierre Morel,Thierry Arbogast,Jacob Lentz,"Steve Richards, Renee Tab, Pierre Morel, Walter Josten, Christopher Tuffin, Jacob Lentz, Danny H. Chan, Jaime Hernandez, Christopher Milburn, Michael Arrieta, Stuart Ford, Miguel Palos, Lex Miron, Peter E. Strauss, Court Coursey, David Robbins, Marc Danon",Elliot Leung Ho-Yat,5.6,27958,/7Bd4EUOqQDKZXA6Od5gkfzRNb0.jpg,10,2023,40,freelance,-34,16.025192551809504,0.45786264433741436,the marvels
980026,The Promised Land,7.7,479,Released,2023-10-05,2246680,127,8500000,tt20561198,da,Bastarden,"Denmark, 1755. Captain Ludvig Kahlen sets out to conquer a Danish heath reputed to be uncultivable, with an impossible goal: to establish a colony in the name of the king, in exchange for a royal title. A single-minded ambition that the ruthless lord of the region will relentlessly seek to put down. Kahlen's fate hangs in the balance: will his endevours bring him wealth and honour, or cost him his life...?",4.4143,"A captain’s ambition, a ruthless rival, and a land that defies them both.","Action, Drama, History","zentropa international berlin, zentropa international sweden, zentropa entertainments","Denmark, Germany, Sweden","Dansk, Deutsch, Norsk, svenska","Gustav Lindh, Melina Hagberg, Kristine Kujath Thorp, Mads Mikkelsen, Amanda Collin, Jacob Ulrik Lohmann, Michael Brostrup, Patricie Šlaufová, Josef Berousek, Felix Kramer, Jiří Konvalinka, Zdenek Brüna, Martin Navrátil, Hans Christian Lundgren, Arved Friese, Finn Nielsen, Nanna Finding Koppel, Magnus Krepper, Lise Risom Olsen, Martin Feifel, Nikol Kouklová, Olaf Højgaard, Jan Jankovský, Morten Burian, Morten Buus, Thomas W. Gabrielsson, Zdeněk Dvořáček, Karel Heřmánek, Ivo Háněl, Laura Bilgrau Eskild-Jensen, Anna Filippa Hjarne, Søren Malling, Tomáš Tobola, Lasse Steen Jensen, Joen Højerslev, Adam Pengsawang, Simon Bennebjerg, Kristián Černík, Morten Hee Andersen",Nikolaj Arcel,Rasmus Videbæk,"Nikolaj Arcel, Anders Thomas Jensen, Ida Jessen",Louise Vesth,Dan Romer,7.7,37450,/npQgoOWn4fnvOIIyTj4rIV80FXC.jpg,10,2023,40,the promised land,-34,14.624964574021988,0.4178561306863425,the marvels
843394,Cat Person,5.7,87,Released,2023-10-06,282000,118,12000000,tt14647404,en,Cat Person,"When Margot, a college sophomore, goes on a date with the older Robert, she finds that IRL Robert doesn’t live up to the Robert she has been flirting with over texts.",3.4472,Based on the sensational New Yorker short story.,"Thriller, Comedy","studiocanal, the new yorker studios, echelon productions, 30west, imperative entertainment","France, United States of America",English,"Isabella Rossellini, Melissa Lehman, Fred Melamed, Josh Rivera, Donald Watkins, Zachary Mooren, Camille Umoff, Sammy Arechar, Joanne Joella, Nicholas Braun, Geraldine Viswanathan, Pearl Sun, Christopher Shyer, Kyle Selig, Max Jenkins, John Scherer, Michael Gandolfini, Isaac Powell, Hope Davis, Liza Koshy, Jeremy Gill, Emilia Jones, Liza Colón-Zayas",Susanna Fogel,Manuel Billeter,"Michelle Ashford, Kristen Roupenian","Daniel Hank, Max Handelman, Anna Marsh, Susanna Fogel, Jeremy Steckler, Elizabeth Banks, Helen Estabrook, Rachel Henochsberg, Michelle Ashford, Shana Eddy-Grouf, Gino Falsetto",Heather McIntosh,6.0,8005,/atrfmVWmw9NPrpFSfgUE2XG7eF9.jpg,10,2023,40,cat person,-33,12.549665896013254,0.36910782047097807,the marvels
939997,Dicks: The Musical,4.5,38,Released,2023-10-06,1472114,86,8000000,tt7130916,en,Dicks: The Musical,Two self-obsessed businessmen discover they're long-lost identical twins and come together to plot the reunion of their eccentric divorced parents.,1.1968,We’re Identical Fucking Twins!,"Music, Comedy","a24, chernin entertainment",United States of America,English,"Desiree Estrada, Blake Daniel, Eric Ritter, Nick Offerman, Nathan Lane, Bowen Yang, Aaron Jackson, Amy Jo Jackson, Tom Kenny, Oscar Montoya, Megan Thee Stallion, Josh Sharp, Marius de Vries, Megan Mullally, Danielle Perez, Sonya Eddy, Frank Todaro, Yoli Lara, D'Arcy Carden",Larry Charles,Michelle Lawler,"Josh Sharp, Aaron Jackson","Aaron Jackson, Marius de Vries, Josh Sharp, James Spetner, Jenno Topping, Kori Adelson, Peter Chernin, Larry Charles, Jeremy Reitz","Marius de Vries, Karl Saint Lucy",5.3,3963,/A7twVw7LkB9Cq1As1YiN7J7jW3h.jpg,10,2023,40,dicks: the musical,-33,14.202210700219359,0.4177120794182164,the marvels
901362,Trolls Band Together,7.3,943,Released,2023-10-12,209646030,91,95000000,tt14362112,en,Trolls Band Together,"When Branch's brother, Floyd, is kidnapped for his musical talents by a pair of nefarious pop-star villains, Branch and Poppy embark on a harrowing and emotional journey to reunite the other brothers and rescue Floyd from a fate even worse than pop-culture obscurity.",9.021,There are some new trolls on the block.,"Animation, Family, Music, Fantasy, Comedy",dreamworks animation,United States of America,English,"Kid Cudi, Daveed Diggs, Chris Kirkpatrick, Zooey Deschanel, Aino Jawo, Nicole Lynn Evans, Kenan Thompson, Secunda Wood, Ron Funches, Kevin Michael Richardson, Tim Heitz, JC Chasez, Nick Fletcher, Anderson .Paak, Melissa Mabie, Ryan Naylor, Roger Craig Smith, Nick Kishiyama, Titus Blake, James Ryan, Kunal Nayyar, Justin Timberlake, Troye Sivan, Joey Fatone, Dillon Francis, Zosia Mamet, Jakari Fraser, Andrew Rannells, Glozell Green, Iris Dohrn, Amy Schumer, Christopher Mintz-Plasse, Caroline Hjelt, Walt Dohrn, Patti Harrison, Kayla Melikian, Anna Kendrick, Eric André, Camila Cabello, David Fynn, Lance Bass, Nina Zoe Bakshi, RuPaul, Fred Tatasciore",Walt Dohrn,,"Thomas Dam, Chris Allison, Elizabeth Tippet, Colin Jack","Jonathan Aibel, Glenn Berger, Dannie Festa, Gina Shay",Theodore Shapiro,6.0,19207,/bkpPTZUdq31UGDovmszsg2CchiI.jpg,10,2023,41,trolls band together,-27,19.160931099849254,0.684318967851759,the marvels
949229,Leo,6.808,107,Released,2023-10-18,71772785,163,42219285,tt15654328,ta,லியோ,"Parthiban, a cafe owner, lives with his family in Himachal Pradesh. Things take an absurd turn for him when he gets in the way of a drug cartel.",4.5919,Bloody Sweet!,"Action, Crime, Thriller","seven screen studios, the route",India,தமிழ்,"Punya Elizabeth Bose, Leela Samson, Denzil Smith, Santhi Master, Madonna Sebastian, Jawahar, Mathew Thomas, Babu Antony, Santhi Mayadevi, Priya Anand, Arjun Sarja, Mysskin, Sanjay Dutt, Gautham Vasudev Menon, Vaiyapuri, Kamal Haasan, Maya S. Krishnan, Anurag Kashyap, Dinesh, Madhusudhan Rao, Chinmayi Sripaada, Sandy, George Mariyan, Baby Iyal, Vijay, Trisha Krishnan, Mansoor Ali Khan, Sachin Mani, Ramakrishnan, Janany Kunaseelan",Lokesh Kanagaraj,Manoj Paramahamsa,"Asal Kolaar, David Cronenberg, Heisenberg, Deeraj Vaidy, Vince Locke, John Wagner, Vishnu Edavan, Rathna Kumar, Lokesh Kanagaraj","Lalit Kumar, Ramkumar Balasubramanian",Anirudh Ravichander,7.2,72040,/5l62iL3gJThyauCyzlsKRh8kqGX.jpg,10,2023,42,leo,-21,18.08901593710066,0.822227997140939,the marvels
1058694,Radical,8.4,478,Released,2023-10-19,21761164,126,10000000,tt14570440,es,Radical,"In a Mexican border town plagued by neglect, corruption, and violence, a frustrated teacher tries an unorthodox new method to break through his students’ apathy and unlock their curiosity, their potential... and perhaps even their genius.",3.3233,Think for yourself.,Drama,"3pas studios, epic, the lift, vix","Mexico, United States of America",Español,"Gilberto Barraza, Rocío Canseco, Edmundo Munoz, Daniel Haddad, Sergio Iván Juárez Correa, Margarita Chavarría, Mia Fernanda Solis, Danilo Guardiola Escobar, Erwin Veytia, Eugenio Derbez, Xochiquetzal Martínez, Enoc Leaño, Jennifer Trejo, Claudia Fuentes Medina, Manuel Márquez, Libia Regalado, Víctor Estrada, Librada Elois, Christian Gonzalez, Manuel Cruz Vivas, Kaarlo Isaacs Barria",Christopher Zalla,Mateo Londoño,"Christopher Zalla, Joshua Davis","Avelino Rodríguez, Joshua Davis, Javier Williams, Eugenio Derbez, Ben Odell, Joshuah Bearman","Pascual Reyes, Juan Pablo Villa",7.8,7307,/eGMkkbG85JUyXQEsbZKSnBrymts.jpg,10,2023,42,radical,-20,16.895637517121816,0.8045541674819913,the marvels
763118,Ganapath,2.7,7,Released,2023-10-20,1700000,135,22000000,tt13334578,hi,गणपत,"In a dystopian future, Ganapath, a relentless and skilled vigilante, embarks on a mission to dismantle a powerful criminal empire that has gripped the city in fear. Ganapath becomes a symbol of hope for the oppressed in which leads dark.",3.646,A Hero Is Born,"Action, Thriller","pooja entertainment, good co.",India,हिन्दी,"Jameel Khan, Sammy Jonas Heaney, Kriti Sanon, Gauahar Khan, Girish Kulkarni, Elli Avram, Shruthy Menon, Rahman, Ziad Bakri, Tiger Shroff, Amitabh Bachchan",Vikas Bahl,Sudhakar Reddy Yakkanti,"Swanand Kirkire, Priya Saraiya, Vikas Bahl, Roach. Killa, Dr. Zeus, Akshay Tripathi","Vashu Bhagnani, Vikas Bahl, Jacky Bhagnani, Deepshika Deshmukh","Vishal Mishra, Dr. Zeus, Amit Trivedi, Salim Merchant, Sulaiman Merchant",2.6,10667,/z5kngie7G0bR9CL3tcWhZLwIpIc.jpg,10,2023,42,ganapath,-19,14.346139397261565,0.7173069698630783,the marvels
