title,imdb_id
"10,000 BC",tt0443649
The Wave,tt1063669
21,tt0478087
Street Kings,tt0421073
Forgetting Sarah Marshall,tt0800039
The Forbidden Kingdom,tt0865556
Outlander,tt0462465
Harold & Kumar Escape from Guantanamo Bay,tt0481536
Iron Man,tt0371746
Made of Honor,tt0866439
Speed Racer,tt0811080
The Boy in the Striped Pyjamas,tt0914798
What Happens in Vegas,tt1033643
Blindness,tt0861689
The Chronicles of Narnia: Prince Caspian,tt0499448
Indiana Jones and the Kingdom of the Crystal Skull,tt0367882
The Strangers,tt0482606
Kung Fu Panda,tt0441773
You Don't Mess with the Zohan,tt0960144
The Happening,tt0949731
Martyrs,tt1029234
The Incredible Hulk,tt0800080
Waltz with Bashir,tt1185616
Wanted,tt0493464
The Love Guru,tt0811138
Hancock,tt0448157
The Mummy: Tomb of the Dragon Emperor,tt0859163
Journey to the Center of the Earth,tt0373051
Hellboy II: The Golden Army,tt0411477
The Dark Knight,tt0468569
Ponyo,tt0876563
The X Files: I Want to Believe,tt0443701
Step Brothers,tt0838283
Star Wars: The Clone Wars,tt1185834
Pineapple Express,tt0910936
The Midnight Meat Train,tt0805570
Tropic Thunder,tt0942385
Passengers,tt0449487
Rampage,tt1337057
Green Zone,tt0947810
She's Out of My League,tt0815236
The Bounty Hunter,tt1038919
How to Train Your Dragon,tt0892769
Never Let Me Go,tt1334260
Repo Men,tt1053424
Clash of the Titans,tt0800320
Hot Tub Time Machine,tt1231587
Kick-Ass,tt1250777
The Last Song,tt1294226
Date Night,tt1279935
The Losers,tt0480255
Iron Man 2,tt1228705
A Nightmare on Elm Street,tt1179056
The Switch,tt0889573
Robin Hood,tt0955308
Prince of Persia: The Sands of Time,tt0473075
Shrek Forever After,tt0892791
Killers,tt1103153
The A-Team,tt0429493
The Karate Kid,tt1155076
Winter's Bone,tt1399683
Knight and Day,tt1013743
Toy Story 3,tt0435761
I Spit on Your Grave,tt1242432
Monsters,tt1470827
The Twilight Saga: Eclipse,tt1325004
Grown Ups,tt1375670
The Last Airbender,tt0938283
The Other Woman,tt1032825
Battle: Los Angeles,tt1217613
Red Riding Hood,tt1486185
Jane Eyre,tt1229822
Limitless,tt1219289
The Lincoln Lawyer,tt1189340
Sucker Punch,tt0978764
Source Code,tt0945513
Insidious,tt1591095
Hanna,tt0993842
Your Highness,tt1240982
Scream 4,tt1262416
Water for Elephants,tt1067583
Thor,tt0800369
Priest,tt0822847
Attack the Block,tt1478964
Bridesmaids,tt1478338
Pirates of the Caribbean: On Stranger Tides,tt1298650
Bad Teacher,tt1284575
The Tree of Life,tt0478304
Blitz,tt1297919
Kung Fu Panda 2,tt1302011
The Hangover Part II,tt1411697
Beginners,tt1532503
Super 8,tt1650062
Cars 2,tt1216475
Green Lantern,tt1133985
Mr. Popper's Penguins,tt1396218
Transformers: Dark of the Moon,tt1399103
The Guard,tt1540133
Horrible Bosses,tt1499658
Harry Potter and the Deathly Hallows: Part 2,tt1201607
Captain America: The First Avenger,tt0458339
Cowboys & Aliens,tt0409847
"Crazy, Stupid, Love.",tt1570728
The Smurfs,tt0472181
Rise of the Planet of the Apes,tt1318514
The Change-Up,tt1488555
The Help,tt1454029
30 Minutes or Less,tt1622547
Final Destination 5,tt1622979
Conan the Barbarian,tt0816462
Fright Night,tt1438176
The Three Musketeers,tt1509767
Contagion,tt1598778
The Descendants,tt1033575
Warrior,tt1291584
Drive,tt0780504
Johnny English Reborn,tt1634122
Carnage,tt1692486
Tinker Tailor Soldier Spy,tt1340800
John Carter,tt0401729
The Hunger Games,tt1392170
21 Jump Street,tt1232829
Wrath of the Titans,tt1646987
Sinister,tt1922777
Battleship,tt1440129
The Cabin in the Woods,tt1259521
The Avengers,tt0848228
Dark Shadows,tt1077368
The Dictator,tt1645170
Men in Black 3,tt1409024
Prometheus,tt1446714
Snow White and the Huntsman,tt1735898
Madagascar 3: Europe's Most Wanted,tt1277953
The Hunt,tt2106476
Brave,tt1217209
The Amazing Spider-Man,tt0948470
Ted,tt1637725
Spring Breakers,tt2101441
Oz the Great and Powerful,tt1623205
The Call,tt1911644
The Croods,tt0481499
Olympus Has Fallen,tt2302755
The Place Beyond the Pines,tt1817273
The Host,tt1517260
G.I. Joe: Retaliation,tt1583421
Trance,tt1924429
Before Midnight,tt2209418
Evil Dead,tt1288558
Oblivion,tt1483013
42,tt0453562
Iron Man 3,tt1300854
Pain & Gain,tt1980209
Mud,tt1935179
Star Trek Into Darkness,tt1408101
The Great Gatsby,tt1343092
The Hangover Part III,tt1951261
Now You See Me,tt1670345
After Earth,tt1815862
Only God Forgives,tt1602613
The Purge,tt2184339
The Way Way Back,tt1727388
Man of Steel,tt0770828
The Bling Ring,tt2132285
This Is the End,tt1245492
Monsters University,tt1453405
World War Z,tt0816711
Despicable Me 2,tt1690953
The Heat,tt2404463
White House Down,tt2334879
Insidious: Chapter 2,tt2226417
Machete Kills,tt2002718
The Family,tt2404311
Coherence,tt2866360
Prisoners,tt1392214
Nebraska,tt1821549
Filth,tt1450321
Cloudy with a Chance of Meatballs 2,tt1985966
Gravity,tt1454468
Escape Plan,tt1211956
Captain Phillips,tt1535109
Delivery Man,tt2387559
Anna,tt1715336
Carrie,tt1939659
12 Years a Slave,tt2024544
Jackass Presents: Bad Grandpa,tt3063516
Ender's Game,tt1731141
The Counselor,tt2193215
Thor: The Dark World,tt1981115
Last Vegas,tt1204975
Philomena,tt2431286
The Book Thief,tt0816442
Homefront,tt2312718
Out of the Furnace,tt1206543
Oldboy,tt1321511
The Hunger Games: Catching Fire,tt1951264
Frozen,tt2294629
Saving Mr. Banks,tt2140373
American Hustle,tt1800241
47 Ronin,tt1335975
The Hobbit: The Desolation of Smaug,tt1170358
Anchorman 2: The Legend Continues,tt1229340
Her,tt1798709
The Secret Life of Walter Mitty,tt0359950
Lone Survivor,tt1091191
August: Osage County,tt1322269
Ride Along,tt1408253
The Lego Movie,tt1490017
3 Days to Kill,tt2172934
Pompeii,tt1921064
Non-Stop,tt2024469
The Grand Budapest Hotel,tt2278388
300: Rise of an Empire,tt1253863
Noah,tt1959490
Need for Speed,tt2369135
Divergent,tt1840309
Captain America: The Winter Soldier,tt1843866
The Raid 2,tt2265171
Oculus,tt2388715
Locke,tt2692904
The Amazing Spider-Man 2,tt1872181
Transcendence,tt2209764
Chef,tt2883512
Neighbors,tt2004420
Godzilla,tt0831387
X-Men: Days of Future Past,tt1877832
Blended,tt1086772
A Million Ways to Die in the West,tt2557490
The Babadook,tt2321549
Edge of Tomorrow,tt1631867
Maleficent,tt1587310
The Fault in Our Stars,tt2582846
22 Jump Street,tt2294449
How to Train Your Dragon 2,tt1646971
Transformers: Age of Extinction,tt2109248
Begin Again,tt1980929
Dawn of the Planet of the Apes,tt2103281
Hercules,tt1267297
Guardians of the Galaxy,tt2015381
Teenage Mutant Ninja Turtles,tt1291150
The Expendables 3,tt2333784
Let's Be Cops,tt1924435
Sin City: A Dame to Kill For,tt0458481
Wild Tales,tt3011894
Predestination,tt2397535
The Maze Runner,tt1790864
The Equalizer,tt0455944
Chappie,tt1823672
Cinderella,tt1661199
Run All Night,tt2199571
Home,tt2224026
Insurgent,tt2908446
Southpaw,tt1798684
Get Hard,tt2561572
Furious 7,tt2820852
The Age of Adaline,tt1655441
Avengers: Age of Ultron,tt2395427
Spy,tt3079380
Pitch Perfect 2,tt2848292
Mad Max: Fury Road,tt1392190
Tomorrowland,tt1964418
San Andreas,tt2126355
