title,blank,internet,total
"10,000 BC",55,1,70
The Wave,25,0,51
21,73,0,79
Street Kings,49,0,59
Forgetting Sarah Marshall,38,3,50
The Forbidden Kingdom,49,2,61
Outlander,22,0,41
Harold & Kumar Escape from Guantanamo Bay,14,1,26
Iron Man,65,0,90
Made of Honor,85,0,90
Speed Racer,49,0,59
The Boy in the Striped Pyjamas,31,6,55
What Happens in Vegas,49,1,60
Blindness,36,0,59
The Chronicles of Narnia: Prince Caspian,66,0,69
Indiana Jones and the Kingdom of the Crystal Skull,70,0,86
The Strangers,42,2,51
Kung Fu Panda,71,0,88
You Don't Mess with the Zohan,48,1,56
The Happening,52,0,61
Martyrs,11,0,60
The Incredible Hulk,59,1,68
Waltz with Bashir,27,0,70
Wanted,58,1,68
The Love Guru,24,0,30
Hancock,78,0,92
The Mummy: Tomb of the Dragon Emperor,57,1,65
Journey to the Center of the Earth,61,0,71
Hellboy II: The Golden Army,52,0,59
The Dark Knight,67,1,111
Ponyo,38,4,70
The X Files: I Want to Believe,55,0,61
Step Brothers,36,1,49
Star Wars: The Clone Wars,49,2,60
Pineapple Express,29,4,53
The Midnight Meat Train,16,2,52
Tropic Thunder,50,0,64
Passengers,23,0,35
Rampage,1,1,19
Green Zone,59,1,69
She's Out of My League,43,3,51
The Bounty Hunter,76,1,84
How to Train Your Dragon,79,0,92
Never Let Me Go,32,1,64
Repo Men,20,2,36
Clash of the Titans,71,0,77
Hot Tub Time Machine,39,0,50
Kick-Ass,57,2,72
The Last Song,36,1,42
Date Night,44,0,53
The Losers,30,2,47
Iron Man 2,74,0,87
A Nightmare on Elm Street,54,1,67
The Switch,42,0,50
Robin Hood,81,1,87
Prince of Persia: The Sands of Time,60,0,72
Shrek Forever After,84,1,95
Killers,47,0,56
The A-Team,66,1,74
The Karate Kid,72,2,87
Winter's Bone,32,0,73
Knight and Day,70,0,85
Toy Story 3,75,0,84
I Spit on Your Grave,13,1,46
Monsters,26,1,55
The Twilight Saga: Eclipse,59,1,71
Grown Ups,77,1,82
The Last Airbender,72,0,80
