title,attributes
"10,000 BC","tokyo (1), premiere (5), berlin (1), madrid (1), buenos aires (1), blank (55), hollywood, california (1), german speaking region (1), french speaking region (1), limited (1), blu-ray release (1), internet (1)"
The Wave,"sundance film festival (1), blank (25), days of european film (1), opening film (1), german speaking region (1), seattle international film festival (1), edinburgh international film festival (1), galway film fleadh (1), german film festival (1), athens film festival (1), rio de janeiro international film festival (1), blu-ray release (1), gent international film festival (1), são paulo international film festival (1), chicago international film festival (1), deutsche filmfestival in tokyo (1), torino film festival (1), limited (1), french speaking region (1), berlin international film festival (1), dvd premiere (3), pantalla pinamar festival (1), green light film festival (1), cine europa film festival (1), philadelphia jewish film festival (1)"
21,"south by southwest film festival (1), showest (1), blank (73), curacao (1), french speaking region (1), german speaking region (1), italian speaking region (1)"
Street Kings,"hollywood, california (1), premiere (2), blank (49), german speaking region (1), buenos aires (1), taormina film festival (1), french speaking region (1), dvd premiere (2), tv premiere (1)"
Forgetting Sarah Marshall,"south by southwest film festival (1), blank (38), french speaking region (1), german speaking region (1), dvd premiere (4), tokyo (1), tv premiere (1), internet (3)"
The Forbidden Kingdom,"blank (49), afi dallas film festival (1), tokyo (1), premiere (1), french speaking region (1), internet (2), dvd premiere (4), german speaking region (1), tv premiere (1)"
Outlander,"blank (22), locarno film festival (1), fantasy filmfest (1), nuremberg fantasy filmfest (1), limited (1), dvd premiere (12), glasgow film festival (1), dvd and blu-ray premiere (2)"
Harold & Kumar Escape from Guantanamo Bay,"blank (14), dvd premiere (7), tv premiere (2), tv release (1), internet (1), asian film archive (1)"
Iron Man,"sydney (1), premiere (7), the hague (1), berlin (1), rome (1), london (1), blank (65), french speaking region (1), german speaking region (1), hollywood, california (1), south india (1), belgrade (1), dvd and blu-ray premiere (1), imax version (1), re-release (3), limited (2), disney+ premiere (1)"
Made of Honor,"london (1), premiere (1), blank (85), german speaking region (1), limited (1), french speaking region (1)"
Speed Racer,"berlin (1), premiere (3), london (1), tribeca film festival (1), blank (49), german speaking region (1), french speaking region (1), tokyo (1), dvd premiere (1)"
The Boy in the Striped Pyjamas,"carnegie film festival (1), blank (31), san sebastián film festival (1), rio de janeiro international film festival (1), heartland film festival (1), são paulo international film festival (1), chicago international film festival (1), limited (2), oslo international film festival (1), german speaking region (1), dvd premiere (6), manila (1), febio film festival (1), internet (6)"
What Happens in Vegas,"london (1), premiere (3), westwood, california (1), blank (49), french speaking region (1), german speaking region (1), tokyo (1), limited (1), tv premiere (1), internet (1)"
Blindness,"cannes film festival (1), premiere (3), sarajevo film festival (1), são paulo (1), rio de janeiro (1), hamburg film festival (1), toronto international film festival (1), atlantic film festival (1), blank (36), helsinki international film festival (1), sitges international fantastic film festival (1), french speaking region (1), panorama of european cinema (1), tokyo international film festival (1), german speaking region (1), camerimage (1), dubai international film festival (1), dvd premiere (2), limited (1), reflection of disability in art international festival (1), greek film archive (1)"
The Chronicles of Narnia: Prince Caspian,"festival internacional de cine acapulco (1), blank (66), french speaking region (1), german speaking region (1)"
