id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer,imdb_rating,imdb_votes,poster_path,release_month,release_year,iso_week,title_clean,distance,strength,score,marvel_movie,attributes,blank,internet,total,internet_ratio,internet_dominance,error
739405,Operation Fortune: Ruse de Guerre,6.469,1765,Released,2023-01-04,48983306,113,50000000,tt7985704,en,Operation Fortune: Ruse de Guerre,Special agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order.,8.493,"In this operation, everyone has a part to play.","Action, Comedy, Thriller","miramax, stxfilms, toff guy films","United Kingdom, United States of America",English,"Mishel Lazarenko, Oliver Maltman, Zehra Karadağ, Savaş Ak, Parker Sawyers, Tim Seyfi, Amy Jackson, Gökhan Demirbaş, Josh Hartnett, Tom Rosenthal, Joshua Flickema, Jason Statham, Nicholas Facey, Ergun Kuyucu, Merve Akman, Hugh Grant, Eddie Marsan, Matthew Hawksley, Oleksandra Zharikova, Lourdes Faberes, Eugenia Kuzmina, Kerim Pehlivan, Sinan Yildiz, Çağdaş Agun, Cary Elwes, Bugzy Malone, Begzat Ergeshov, Aksel Üstün, Sam Douglas, Vincent Wang, Conor MacNeill, Ayhan Eroğlu, Ian Bartholomew, Ozan Ayhan, Antonio Bustorff, Aubrey Plaza, Max Beesley, Bensu Uğur, Bestemsu Özdemir, Md Numan Ahmed, Peter Ferdinando, Kaan Urgancıoğlu, Doğan Barış Yaşar",Guy Ritchie,Alan Stewart,"Guy Ritchie, Ivan Atkinson, Marn Davies","Robert Simonds, Bill Block, Samuel J. Brown, John Friedberg, Andrew Golov, Thom Zadra, Adam Fogelson, Peter Heslop, Alex Sutherland, Ivan Atkinson, Guy Ritchie",Chris Benstead,6.3,105949,/uo7vWfQUlVwueYTDRicXOJa8Oow.jpg,1,2023,1,operation fortune: ruse de guerre,-42,17.706990124563124,0.4117904680130959,ant-man and the wasp: quantumania,"madrid (1), premiere (1), internet (7), blank (47), tv release (1)",47,7,57,0.12,no,no
816904,Mummies,6.969,477,Released,2023-01-05,53400000,88,12000000,tt23177868,es,Momias,"Through a series of unfortunate events, three mummies end up in present-day London and embark on a wacky and hilarious journey in search of an old ring belonging to the Royal Family, stolen by ambitious archaeologist Lord Carnaby.",2.8871,Discover a new world.,"Animation, Adventure, Fantasy, Family","warner bros. entertainment españa, 4 cats pictures, moomios movie aie, anangu grup sl, c.o.r.e. feature animation, atresmedia",Spain,English,"Roser Aldabó Arnau, Judith Güell Muñoz, Óscar Barberán, Luis Pérez Reina, Francesc Belda, Jaume Solà, Ana Esther Alborg, Roberto Cuenca Martínez, Aleix Estadella, Pilar Esteras Casanova, Rafael Parra, María Luisa Solá, Juan Carlos Gustems, María Moscardó, Luis Torrelles Gallego, José Javier Serrano Rodríguez, José Luis Mediavilla",Juan Jesús García Galocha,,"Jordi Gasull, Javier López Barreira","Pedro Solís, Jordi Gasull, Marc Sabé, Toni Novella",Fernando Velázquez,5.9,10200,/r6Ghtw9ENhTXfeUsd1Al20ZAvX.jpg,1,2023,1,mummies,-41,17.793321322657015,0.4236505076823099,ant-man and the wasp: quantumania,"blank (63), limited (1)",63,0,64,0.0,no,no
904557,Thunivu,5.829,38,Released,2023-01-10,24500000,146,12100000,tt15163652,ta,துணிவு,"A gang goes to rob a bank only to find that there's already a criminal mastermind holding it for ransom, but his identities and motives behind the heist remains mysterious. As they plan to collect the bounty and disappear without a trace, their crimes and their past slowly catches up with them.",1.5038,No Guts No Glory,"Action, Crime, Thriller, Comedy",bayview projects,India,தமிழ்,"Ajith Kumar, Mamathi Chari, Nalinikanth, Dhileban, Bagavathi Perumal, Pavani Reddy, Prem, Veera Bahu, Samuthirakani, Mohana Sundaram, Chirag Jani, ADS Amir, A. L. Azhagappan, G. M. Sundar, Tiger Thangadurai, Kumar Natarajan, Manju Warrier, Sijoy Varghese, Rituraj Singh, Balasaravanan, Ajay, Birla Bose, Nayana Sai, Ciby Bhuvana Chandran, Mahanadhi Shankar, Darshan, John Kokken",H. Vinoth,Nirav Shah,"Shabir Sulthan, Vaisagh, H. Vinoth","Boney Kapoor, P. Jayraj",Ghibran,6.1,30583,/5Cdi9MFxEGsfphvDxV4TyY4znP6.jpg,1,2023,2,thunivu,-36,17.01418371633128,0.4598428031440887,ant-man and the wasp: quantumania,"limited (1), blank (10), internet (3)",10,3,14,0.21,no,no
646389,Plane,6.908,2500,Released,2023-01-11,74515586,107,25000000,tt5884796,en,Plane,"After a heroic job of successfully landing his storm-damaged aircraft in a war zone, a fearless pilot finds himself between the agendas of multiple militias planning to take the plane and its passengers hostage.",6.3965,Survive together or die alone.,"Action, Adventure, Thriller","madriver pictures, di bonaventura pictures, g-base, olive hill media, riverstone pictures","United Kingdom, United States of America","English, Türkçe","Rose Eshay, Yao Tsai, Tara Westwood, Michelle Cortés, Modesto Lacen, Edwin Lee, Fernando Chang, Haleigh Hekking, Jeffrey Holsman, Gerard Butler, Heather Seiffert, Pete Scobell, Jessica Nam, Remi Adeleke, Quinn McPherson, Joey Slotnick, Michelle Lee, Nick Brandon, Jeremy Denzlinger, James Sang Lee, Manuel Álvarez Kim, Oliver Trevena, Ariel Felix, Otis Winston, Daniella Pineda, Jeff Francisco, Paul Ben-Victor, John J. Shim, Jimmy Fung, Matt Cook, Yoson An, Kelly Gale, Tony Goldwyn, Kate Bisset, Ángel Fabián Rivera, Evan Dane Taylor, Lilly Krug, Enele Ma'afu Tauteoli, Claro de los Reyes, Kate Rachesky, Mike Colter, Ricky Robles Cruz, Amber Rivera",Jean-François Richet,Brendan Galvin,"J.P. Davis, Charles Cumming","Gary Raskin, Gerard Butler, Deepak Nayar, Alan Siegel, Marc Butan, Edward Fee, J.P. Davis, Alastair Burlingham, Christian Gudegast, Vicki Dee Rock, Lorenzo di Bonaventura, Nik Bower, Michael Cho, Tim Lee, Allen Liu, Mark Vahradian","Marcus Trumpp, Marco Beltrami",6.5,100346,/qi9r5xBgcc9KTxlOLjssEbDgO0J.jpg,1,2023,2,plane,-35,18.126518882942538,0.5035144134150705,ant-man and the wasp: quantumania,"blank (44), internet (1), tv release (1), limited (1), tv premiere (1)",44,1,48,0.02,no,no
768362,Missing,7.4,1181,Released,2023-01-19,45100756,111,7000000,tt10855768,en,Missing,"When her mother disappears while on vacation in Colombia with her new boyfriend, June’s search for answers is hindered by international red tape. Stuck thousands of miles away in Los Angeles, June creatively uses all the latest technology at her fingertips to try and find her before it’s too late. But as she digs deeper, her digital sleuthing raises more questions than answers... and when June unravels secrets about her mom, she discovers that she never really knew her at all.",4.6747,No one disappears without a trace.,"Drama, Mystery, Thriller","stage 6 films, search party, bazelevs, screen gems",United States of America,"English, Português, Español","Tracy Vilar, Megan Suri, Oscar Camacho, Daniel Henney, Joaquim de Almeida, Thomas Barbusca, Lauren B. Mosley, Scott Menville, Kimberly Cheng, Jasmin Savoy Brown, Ken Leung, Jill Smith, Sharar Ali-Speakes, Sean O'Bryan, Rick Chambers, Monica Bhatnagar, Roy Abramsohn, Karina Noelle Castillo, Esteban Dager, Kelly Stables, Storm Reid, Juan Carlos Goméz Ortega, Kendal Evans, Ava Zaria Lee, Danielle Nottingham, Javier Grajeda, Wolfie Trausch, Zeke Alton, Mauricio Mendoza, Michael Segovia, Nia Long, Marcello Padilla, Rita Rucker, Jameel Shivji, Dalila Ali Rajah, Jalil Jay Lynch, Lisa Yamada, Tim Griffin, Jill Remez, Billie Jordan, Briana McLean, Viviana Salinas, Amy Landecker","Nicholas D. Johnson, Will Merrick",Steven Holleran,"Nicholas D. Johnson, Sev Ohanian, Aneesh Chaganty, Will Merrick","Timur Bekmambetov, Jo Henriquez, Natalie Qasabian, Sev Ohanian, Aneesh Chaganty, Adam Sidman",Julian Scherle,7.1,69984,/wEOUYSU5Uf8J7152PT6jdb5233Y.jpg,1,2023,3,missing,-27,17.624409589254437,0.6294431996162299,ant-man and the wasp: quantumania,"blank (47), limited (2), internet (4)",47,4,53,0.08,no,no
859981,Autobiography,7.5,25,Released,2023-01-19,86564,115,362932,tt21372280,id,Autobiography,"A young man is working as a housekeeper in an empty mansion. When its owner returns to start his mayoral election campaign, the young man bonds with him and defends him when his campaign is vandalized, setting off a chain of violence.",3.3883,A young man torn between loyalty and justice.,"Drama, Thriller, Crime","kawankawan media, focused equipment, pŌtocol, staron film, niko film, in vivo films, partisipasi indonesia, cinematografica","France, Germany, Indonesia, Philippines, Poland, Singapore",Bahasa indonesia,"Lukman Sardi, Iwan Siswoyo, Mustakim, Kevin Ardilova, Siti Fauziah, Gondo Lifenya Kusuma Dewi, Mohammad Fauzi, Dewi Qurrota'ayun, Udik Supriyanta, Gunawan Maryanto, Watie Wibowo, Yusuf Mahardika, Haru Sandra, Kun Baehaqi Almas, Achmad Agus Budi, Rukman Rosadi, Bunyan Masyhuri, Antang, Doris Khoirum, Ganesya, Ngadirin, Arya Sweta, Yudi Ahmad Tajudin, Ibnu Widodo, M. Reza Fahriyansyah, Arswendy Bening Swara, Mardiko Agus Nugroho",Makbul Mubarak,Wojciech Staroń,Makbul Mubarak,"Claire Charles-Gervais, Ganesya, Robin Moran, Nicole Gerhards, Arya Sweta, Pinkan Veronique, Armi Rae Cacanindin, Louise Bellicaud, Małgorzata Staroń, Jeremy Chua, Amerta Kusuma, Yulia Evina Bhara",Bani Haykal,7.1,899,/n6DC6tCHXh7eJB60g175KlZ1nIP.jpg,1,2023,3,autobiography,-27,11.368650855813176,0.4060232448504706,ant-man and the wasp: quantumania,"venice film festival (1), toronto international film festival (1), hamburg film festival (1), busan international film festival (1), rio de janeiro international film festival (1), bfi london film festival (1), adelaide film festival (1), tokyo filmex (1), taipei golden horse film festival (1), stockholm international film festival (1), tallinn black nights film festival (1), oslo films from the south festival (1), marrakech international film festival (1), festival des 3 continents (1), qcinema international film festival (1), jogja-netpac asian film festival (1), singapore international film festival (1), world film festival bangkok (1), blank (5), santa barbara film festival (1), luxembourg city film festival (1), cinemasia film festival (1), helsinki cine aasia (1), vilnius international film festival (1), limited (2), hong kong international film festival (1), istanbul film festival (1), new directors/new films (1), prime video (1), beijing international film festival (1), kino na granicy (1), shanghai international film festival (1), aegean film festival (1), malaysia international film festival (1), melbourne international film festival (1), victoria premiere (1), asian world film festival (1), five flavours asian film festival (1)",5,0,43,0.0,no,no
1035806,Detective Knight: Independence,5.3,184,Released,2023-01-20,36171,92,2000000,tt22394702,en,Detective Knight: Independence,"Detective James Knight 's last-minute assignment to the Independence Day shift turns into a race to stop an unbalanced ambulance EMT from imperiling the city's festivities. The misguided vigilante, playing cop with a stolen gun and uniform, has a bank vault full of reasons to put on his own fireworks show... one that will strike dangerously close to Knight's home.",3.8629,One city. One detective. Zero tolerance for crime,"Action, Crime, Thriller","arcana studio, 308 enterprises, bondit media capital, buffalo 8","Canada, United States of America",English,"Jimmy Jean-Louis, Eric Weiss, Cesar Miramontes, Craine Joseph, Xzavier Estrada, Jack Kilmer, Lochlyn Munro, Willow Shields, Dax Campbell, Robert Laenen, Dina Meyer, Timothy V. Murphy, Francis Cronin, Kristopher Keith, Lorenzo Antonucci, Bruce Willis, Kimberley Christann Pember, Joe Munroe",Edward Drake,Laffrey Witbrod,"Corey Large, Edward Drake","Randall Emmett, Corey Large",Scott Currie,3.4,1914,/jrPKVQGjc3YZXm07OYMriIB47HM.jpg,1,2023,3,detective knight: independence,-26,10.496040617860372,0.3887422451059397,ant-man and the wasp: quantumania,"blank (4), internet (10), blu-ray premiere (1), dvd & blu-ray (1), dvd premiere (1), limited (1)",4,10,18,0.56,yes,no
864692,Pathaan,6.4,215,Released,2023-01-25,127180000,146,30270000,tt12844910,hi,पठान,"A soldier caught by enemies and presumed dead comes back to complete his mission, accompanied by old companions and foes.",4.5796,There is a storm coming. Fasten your seatbelt.,"Action, Adventure, Thriller","yash raj films, pathaan productions, palma pictures, fps productions, nsa picture, odu movies","India, Italy, Spain, Turkey",हिन्दी,"Artur Dorogovenko, Ruslan Raisovich Mustafin, Nikolay Novomlinsky, Guneet Sharma, Aishwarya Shetty, Karishma Singh, Nikhat Khan, Keith Sequeira, Stanislav Iurovskikh, Emmanuel Chinwuba, Serafima Zhukova, Ankita Mandlik, Rumi Khan, Viraf Patel, Mirko Quaini, John Abraham, Rachel Mullins, Shah Rukh Khan, Ashutosh Singh, Rakesh Khatri, Jairoop Jeevan, Prashant Makwana, Aritro Rudraneil Banerjee, Grace Girdhar, Dimple Kapadia, Diganta Hazarika, Deepika Padukone, Jayna Ruchandani, Akash Bhatija, Ekta Kaul, Amanpreet Hundal, Jyantino Albuquerque, Sergey Andreevich Hramov, Jerry Ezeh, Manish Wadhwa, Shaji Choudhary, Salman Khan, Rajat Kaul, Amrita Mishra, Mustafa Aksari, Alexander Stepikov, Andrei Blitznetsov, Christopher James Collins, Dmitri Ivanov, Prakash Belawadi, Prem Jhangiani, Bashir Lone, Nishi Yadav, Neil Pednekar, Jeffrey Goldberg, Ashutosh Rana, Renata Puppin, Mansi Taxak",Siddharth Anand,Satchith Paulose,"Abbas Tyrewala, Siddharth Anand, Shridhar Raghavan, Kumaar","Padam Bhushan, Aditya Chopra","Ankit Balhara, Sanchit Balhara, Vishal Dadlani, Shekhar Ravjiani",5.8,164138,/arf00BkwvXo0CFKbaD9OpqdE4Nu.jpg,1,2023,4,pathaan,-21,18.661113971666406,0.8482324532575639,ant-man and the wasp: quantumania,"blank (31), limited (4), internet (3), taipei golden horse fantastic film festival (1), tv release (1)",31,3,40,0.07,no,no
980078,Winnie the Pooh: Blood and Honey,5.0,1503,Released,2023-01-26,7717044,84,100000,tt19623240,en,Winnie the Pooh: Blood and Honey,"After Christopher Robin abandons them for college, Pooh and Piglet embark on a bloody rampage as they search for a new source of food.",2.9567,This ain't no bedtime story.,"Horror, Thriller","jagged edge productions, itn distribution",United Kingdom,English,"Danielle Ronald, Marcus Massey, Nicola Wright, May Kelly, Natasha Tosini, Toby Wynn-Davies, Chris Cordell, Natasha Rose Mills, Frederick Dallaway, Richard Harfst, Amber Doig-Thorne, Paula Coiz, Bao Tieu, Jase Rivers, Danielle Scott, Craig David Dowsett, Maria Taylor, Gillian Broderick, Richard D. Myers, Nikolai Leon, Simon Ellis, Mark Haldor",Rhys Frake-Waterfield,Vince Knight,"Rhys Frake-Waterfield, A.A. Milne","Rhys Frake-Waterfield, Stuart Alson, Scott Chambers, Nicole Holland",Andrew Scott Bell,2.9,35902,/wtFwgFFk1ze789ghcadWGEVjj3N.jpg,1,2023,4,winnie the pooh: blood and honey,-20,15.858942076704324,0.7551877179383011,ant-man and the wasp: quantumania,"mexico city (1), premiere (1), blank (42), limited (2), frightfest glasgow (1), night visions international film festival (1), internet (3), dvd premiere (1), dvd and blu-ray premiere (1), sitges film festival (1), blu-ray (1), dvd (1)",42,3,56,0.05,no,no
1008903,Left Behind: Rise of the Antichrist,4.9,28,Released,2023-01-26,3649422,115,10000000,tt16174868,en,Left Behind: Rise of the Antichrist,"After millions of people vanish and the world falls into chaos, a charismatic leader rises to lead the UN. However, his intentions are more sinister than they appear.",2.3382,Based on a true story... that hasn't happened yet.,"Science Fiction, Action, Thriller, Fantasy","stonagal pictures, 101 films international, amcomri entertainment, cloud ten pictures, polyscope productions",Canada,"Latin, English","Aria DeMaris, Linda Kee, Mary Armstrong, Stafford Perry, Kevin Sorbo, Jesse Lipscombe, Corbin Bernsen, Stuart Bentley, Megan Teering, Charles Payne, Sam Sorbo, Jenny Steele, Valerie Planche, James Quattrochi, Kathryn Kohut, Greg Perrow, Mark Bellamy, Celestial, Paul Cowling, Bailey Chase, Rick Koy, Larry Bullied, Sarah Fisher, Braeden Sorbo, Neal McDonough, Shawna Pliva, David LeReaney",Kevin Sorbo,Charles Hamilton,"Jessica Parker, Paul Lalonde, John Patus","Paul Lalonde, Andy Lyon, Michael Walker, James Quattrochi, Jason Wan Lim, John Duffy",Tyler Bragg,4.5,2524,/7Yn4lvksfagrwH5FARlRXkeJWR0.jpg,1,2023,4,left behind: rise of the antichrist,-20,15.110079630870588,0.7195276014700279,ant-man and the wasp: quantumania,"dvd premiere (2), limited (1), blank (2)",2,0,5,0.0,no,no
