id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer,imdb_rating,imdb_votes,poster_path,release_month,release_year,iso_week,title_clean,distance,strength,score,marvel_movie,attributes,blank,internet,total,internet_ratio,internet_dominance,error
241554,Run All Night,6.427,2885,Released,2015-03-11,71561644,114,50000000,tt2199571,en,Run All Night,"Brooklyn mobster and prolific hit man Jimmy Conlon has seen better days. Longtime best friend of a mob boss, Jimmy is haunted by the sins of his past‚Äîas well as a dogged police detective who‚Äôs been one step behind Jimmy for 30 years. But when Jimmy‚Äôs estranged son becomes a target, Jimmy must make a choice between the crime family he chose and the real family he abandoned long ago. Now, with nowhere safe to turn, Jimmy has just one night to figure out exactly where his loyalties lie and to see if he can finally make things right.",3.4371,One night to live. To die. To run.,"Action, Crime, Thriller","ratpac entertainment, vertigo entertainment, energy entertainment, ombra films, warner bros. pictures","United States of America, Spain",English,"Anna Sampson, Dan Domingues, Alex Ziwak, Jessica Ecklund, Liam Neeson, Holt McCallany, Genesis Rodriguez, Vincent D'Onofrio, Gavin-Keith Umeh, Michael Romeo Ruocco, James Martinez, Jelani Robert Joseph, John Cenatiempo, Lois Smith, Patricia Kalember, Lauren Slakter, Candice T. Cain, Lynn Marocola, Chris Victor, Paugh Shadow, Ed Harris, Nick Nolte, Bruce McGill, Nina Rosenthal, Melissa Beech, Isaiah Seward, Tony Naumovski, Joel Kinnaman, Radivoje Bukviƒá, Melissa Bithorn, Aubrey Joseph, Boyd Holbrook, Monika Baskiewicz, Dorothi Fox, Nancy Ellen Shore, George Schroeder, Barrington Walters Jr., Beau Knapp, Daniel Stewart Sherman, Common, Malcolm Goodwin, Jacqueline Murphy, Andy Murray",Jaume Collet-Serra,Martin Ruhe,Brad Ingelsby,"Jaume Collet-Serra, Brooklyn Weaver, Roy Lee, Steven Mnuchin, John Powers Middleton, Michael Tadross",Tom Holkenborg,6.6,119020,/iGvSMoPbWZWDnIhh54yiq3sW7wH.jpg,3,2015,11,run all night,-42,18.08606980404321,0.4206062745126326,avengers: age of ultron,"new york city, new york (1), premiere (3), blank (57), madrid (1), filmfestival zeeuws-vlaanderen (1), buenos aires (1)",57,0,64,0.0,no,no
330431,NH10,6.8,81,Released,2015-03-12,5100000,115,200000,tt3742284,hi,NH10,"Meera and Arjun are professionals living in Gurgaon. On their way to a luxurious desert holiday they stop on a Highway dhaba for dinner, where they witness a young girl being picked up by a bunch of hoodlums. Arjun chooses to step in, unmindful of the danger ahead.",1.8433,No Turning Back,"Crime, Action, Adventure, Thriller","eros international, phantom films, clean slate films",India,‡§π‡§ø‡§®‡•ç‡§¶‡•Ä,"Darshan Kumaar, Deepti Naval, Anushka Sharma, Neil Bhoopalam, Ravi Jhankal",Navdeep Singh,Arvind Kannabiran,Sudip Sharma,"Anurag Kashyap, Vikramaditya Motwane, Vikas Bahl, Sunil Lulla, Anushka Sharma, Krishika Lulla","Samira Koppikar, Savera Mehta, Bann Chakraborty, Ayush Shrestha, Darshan Rathod, Sanjeev Rathod",7.2,14722,/1PPUgbQE9UVrgPyMif8urLSIKWb.jpg,3,2015,11,nh10,-41,15.444751293772969,0.3677321736612611,avengers: age of ultron,"blank (5), beijing international film festival (1), l'étrange festival (1), kanawaza film fest (1), helsinki international film festival (1), indian film festival japan (1)",5,0,10,0.0,no,no
181283,Child 44,6.3,1730,Released,2015-03-15,12951093,137,50000000,tt1014763,en,Child 44,"Set in Stalin-era Soviet Union, a disgraced MGB agent is dispatched to investigate a series of child murders -- a case that begins to connect with the very top of party leadership.",7.3274,How do you find a killer who doesn‚Äôt exist?,"Crime, Thriller","summit entertainment, worldview entertainment, lionsgate, scott free productions",United States of America,English,"Ned Dennehy, Martin Hub, Xavier Atkins, Finbar Lynch, Mark√©ta Tanner, Gary Oldman, Samuel Buttery, Lottie Steer, Ond≈ôej Mal√Ω, Karel Dobr√Ω, Sam Spruell, Vincent Cassel, Tom Hardy, Michael Nardone, Jana Strykov√°, Petr Vanƒõk, Krist√Ωna Leichtov√°, Ond≈ôej Volejn√≠k, Igor Farbak, Heather Craney, Romana Go≈°ƒç√≠kov√°, Charles Dance, Tara Fitzgerald, Zdenƒõk Ba≈ôinka, Predrag Bjelac, Barbara Luke≈°ov√°, Fares Fares, Anssi Lindstr√∂m, Marie Jansov√°, Agnieszka Grochowska, Sonny Ashbourne Serkis, Hana Frejkov√°, Ivan G'Vera, Lorraine Ashbourne, Ivan Shvedoff, Nikolaj Lie Kaas, Joel Kinnaman, Jason Clarke, Noomi Rapace, Josef Altin, V√°clav Jir√°ƒçek, Jemma O'Brien, Petra Lustigov√°, Pavel ≈†imƒç√≠k, Ursina Lardi, Mark Lewis Jones, Paddy Considine",Daniel Espinosa,Oliver Wood,"Tom Rob Smith, Richard Price","Molly Conners, Hoyt David Morgan, Ridley Scott, Elishia Holmes, Maria Cestone, Douglas Urbanski, Greg Shapiro, Adam Merims, Sarah E. Johnson, Michael Schaefer",Jon Ekstrand,6.4,78922,/p8uTx2xm72vXqI0H4W5kU3ku9ND.jpg,3,2015,11,child 44,-38,16.37669082130617,0.4199151492642607,avengers: age of ultron,"blank (44), filmfestival zeeuws-vlaanderen (1), london (1), premiere (1), limited (2), blu-ray release (1)",44,0,50,0.0,no,no
228161,Home,6.8,4119,Released,2015-03-18,368871007,94,135000000,tt2224026,en,Home,"When Earth is taken over by the overly-confident Boov, an alien race in search of a new place to call home, all humans are promptly relocated, while all Boov get busy reorganizing the planet. But when one resourceful girl, Tip, manages to avoid capture, she finds herself the accidental accomplice of a banished Boov named Oh. The two fugitives realize there‚Äôs a lot more at stake than intergalactic relations as they embark on the road trip of a lifetime.",7.3058,Earth just got a little stranger.,"Fantasy, Comedy, Animation, Science Fiction, Family",dreamworks animation,United States of America,English,"April Lawrence, April Winchell, Jim Parsons, Lisa Stewart, Brian Stepanek, Matt Jones, Steve Martin, Jennifer Lopez, Rihanna, Stephen Kearin",Tim Johnson,,"Matt Ember, Tom J. Astle, Todd Wilderman, Adam Rex","Mireille Soria, Christopher Jenkins, Suzanne Buirgy",Lorne Balfe,6.5,119076,/usFenYnk6mr8C62dB1MoAfSWMGR.jpg,3,2015,12,home,-35,19.725957569074613,0.5479432658076281,avengers: age of ultron,"boulder international film festival (1), blank (75), buenos aires (1), premiere (1), french speaking region (1), german speaking region (1), italian speaking region (1), filmfestival zeeuws-vlaanderen (1), dvd premiere (1), dvd and blu-ray premiere (1), internet (3)",75,3,87,0.03,no,no
262500,Insurgent,6.364,10222,Released,2015-03-18,297002527,119,110000000,tt2908446,en,Insurgent,Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart.,8.9014,Defy reality.,"Action, Science Fiction, Thriller","summit entertainment, red wagon entertainment, mandeville films, neoreel, lionsgate","Canada, United States of America",English,"Rosa Salazar, Jonny Weston, Devon Lane Tresan, Lawrence Kao, Arian Ash, Naomi Watts, Maggie Q, Stephanie Leigh Schlund, Ray Stevenson, Isadore Lieberman, Lyndsi LaRose, Pete Burris, Emjay Anthony, Octavia Spencer, Ben Lloyd-Hughes, Daniel Dae Kim, Janet McTeer, David Landry, Theo James, Shailene Woodley, Leonardo Santaiti, Charlie Bodin, Nelson Bonilla, Callie McClincy, Zo√´ Kravitz, Justice Leak, Mekhi Phifer, Justine Wachsberger, Ansel Elgort, Miles Teller, Kate Rachesky, Ashley Judd, Jai Courtney, Cynthia Barrett, Suki Waterhouse, Keiynan Lonsdale, Nicholas Martin, Hunter Burke, Kate Winslet, Tony Goldwyn, Derick Pritchard, Justin Miles, Konrad Howard, Jane Justice Park, Kendrick Cross, Ian Casselberry, Lucella Costa",Robert Schwentke,Florian Ballhaus,"Mark Bomback, Akiva Goldsman, Brian Duffield, Veronica Roth","Neil Burger, Barry H. Waldman, Pouya Shahbazian, Lucy Fisher, Douglas Wick, Todd Lieberman, David Hoberman",Joseph Trapanese,6.2,267840,/dP5Fb6YRfzmCQtRbHOr2kO7tJW9.jpg,3,2015,12,insurgent,-35,19.50925120851526,0.5419236446809794,avengers: age of ultron,"london (1), premiere (4), copenhagen (1), berlin (1), new york city, new york (1), blank (80), french speaking region (1), german speaking region (1), italian speaking region (1)",80,0,91,0.0,no,no
230179,Big Game,5.5,1189,Released,2015-03-19,7500000,90,8500000,tt2088003,en,Big Game,"Air Force One is shot down by terrorists, leaving the President of the United States stranded in the wilderness of Finland. 13-year-old Oskari is on a hunting mission to prove his maturity to his kinsfolk by tracking down a deer, but instead discovers the President in an escape pod. With the terrorists closing in to capture their prize, the unlikely duo team up to escape their hunters.",2.9706,The hunt is on,"Action, Adventure, Thriller","bavaria film partners, subzero film entertainment, altitude film entertainment, visionplus fund i, ketchup entertainment, waterstone entertainment, head gear films, metrol technology, film house germany, egoli tossell film","Finland, Germany, United Kingdom","suomi, English","Jean-Luc Julien, Jason Steffan, Rauno Juvonen, Philipp Rafferty, Samuel L. Jackson, Ted Levine, Victor Garber, Ken Thomas, Jorma Tommila, Lincoln Potwin, Jim Broadbent, Adrian Can, Onni Tommila, Jaymes Butler, Peter Nitzsche, Mehmet Kurtulu≈ü, Murali Perumal, Felicity Huffman, Erik Markus Schuetz, Risto Salmi, Gabriel Raab, Moe Abbas, Ray Stevenson, J√∂rg Witte",Jalmari Helander,Mika Orasmaa,Jalmari Helander,"Will Clarke, Phil Hunt, Andy Mayson, Jari Tuovinen, Petri Jokiranta, Yasin Qureshi, Christian Angermayer, Compton Ross, Jens Meurer, Markus R. Vogelbacher, Alex Garland","Miska Sepp√§, Juri Sepp√§",5.4,36767,/iZZ5IikYOp3VlyrzyJs4hxSHHXi.jpg,3,2015,12,big game,-34,15.830413711839864,0.4522975346239961,avengers: age of ultron,"toronto international film festival (1), blank (34), cph:pix (1), imagine film festival (1), dvd premiere (2), tv premiere (2), internet (1)",34,1,42,0.02,no,no
256924,Danny Collins,6.8,548,Released,2015-03-19,10835752,107,10000000,tt1772288,en,Danny Collins,An ageing hard-living 1970s rock star decides to change his life when he discovers a 40-year-old undelivered letter written to him by John Lennon.,1.9426,A letter from John Lennon changed his life,"Music, Comedy, Drama","shivhans pictures, big indie pictures, handwritten films",United States of America,"Italiano, English","Tim Jo, Richard Allan Jones, Aarti Mann, Hiroshi Moroto, Kari Kimmel, Scott Lawrence, Davide Donatiello, Jane Shayne, CJ Vanston, Patrick Kudej, Judith Hill, Roz McHenry, Kristin Brock, Darrell Leonard, Michael Patrick McGill, Tim Pierce, Nick Offerman, Eric Michael Roy, Jennifer Garner, Laura Krystine, Josh Peck, Linda Wang, Al Pacino, Joshua Sternlicht, George Doering, Carmel Echols, Arthur Bedran, Cassandra Starr, Bobby Cannavale, Katarina ƒåas, Giselle Eisenberg, Hal Alpert, Don Was, Elsi Eng, Annette Bening, Kiff VandenHeuvel, Kenny Aronoff, Eric Lange, Francine Levinson, Margy Moore, Henri C. Wittelsohn, Chachi Hild√©n, Bill Cantos, Eric Newnham, Mindi Abair, Anne McDaniels, Travis Johns, Elaine Partnow, Christopher Plummer, Brian Thomas Smith, Melissa Benoist",Dan Fogelman,Steve Yedlin,Dan Fogelman,"Declan Baldwin, Nimitt Mankad, Monica Levinson, Shivani Rawat, Denise Di Novi, Jessie Nelson",Theodore Shapiro,7.0,34490,/sf9ndc9l6alP9DhJF1ZpKz1PaXK.jpg,3,2015,12,danny collins,-34,16.198361687538252,0.4628103339296643,avengers: age of ultron,"blank (30), limited (1), dvd premiere (1), deauville film festival (1), dvd and blu-ray premiere (2)",30,0,35,0.0,no,no
304357,Woman in Gold,7.3,1413,Released,2015-03-20,61619773,109,11000000,tt2404425,en,Woman in Gold,"Maria Altmann, an octogenarian Jewish refugee, takes on the Austrian government to recover a world famous painting of her aunt plundered by the Nazis during World War II, she believes rightfully belongs to her family. She did so not just to regain what was rightfully hers, but also to obtain some measure of justice for the death, destruction, and massive art theft perpetrated by the Nazis.",3.1226,Justice is priceless.,Drama,"origin pictures, bbc film",United Kingdom,"English, Deutsch","Nina Kunzendorf, Henry Goodman, Elizabeth McGovern, Crystal Clarke, John Moraitis, Moritz Bleibtreu, Rolf Saxon, Max Irons, Nellie Schillimg, Antje Traue, Helen Mirren, Ludger Pistor, Alma Hasun, Charles Dance, Harry Ditson, Tatiana Maslany, Allan Corduner, Susi Stach, Frances Fisher, Christian Dolezal, Jonathan Pryce, Milica Bogojevic, Milly Thomas, Ben Miles, Ryan Reynolds, Katie Holmes, Justus von Dohn√°nyi, Stephen Greif, Cornelia Ivancan, Olivia Silhavy, Christoph Moosbrugger, Anthony Howell, Doron Davidson, Tom Schilling, Daniel Br√ºhl",Simon Curtis,Ross Emery,Alexi Kaye Campbell,"Kris Thykier, David M. Thompson, Len Blavatnik, Bob Weinstein, Harvey Weinstein","Hans Zimmer, Martin Phipps",7.3,65462,/6eoj6bozvgwNuDV3vOrqlvrCrX.jpg,3,2015,12,woman in gold,-33,17.936493383485693,0.5275439230436969,avengers: age of ultron,"berlin international film festival (1), limited (2), blank (33), german speaking region (1), champs-élysées film festival (1), french speaking region (1), italian speaking region (1), tokyo international film festival (1), toyohashi slowtown cinema festival (1), dvd premiere (1), tv release (1)",33,0,44,0.0,no,no
309425,Do You Believe?,6.5,137,Released,2015-03-20,14410698,115,2300000,tt4056738,en,Do You Believe?,"When a pastor is shaken by the visible faith of a street-corner preacher, he is reminded that true belief always requires action. His response ignites a journey that impacts everyone it touches in ways that only God could orchestrate.",1.8563,12 unique lives. 12 different stories will bring them all together.,Drama,"toy gun films, believe entertainment, 10 west studios, pure flix entertainment",United States of America,English,"Ted McGinley, Brian Bosworth, Madison Pettis, Makenzie Moss, Lee Majors, Andrea Logan White, Delroy Lindo, Cybill Shepherd, Liam Matthews, Mira Sorvino, Alexa PenaVega, J. J. Soria, Sean Astin, Shwayze, Grifon Aldren, Tracy Melchior, Valerie Dom√≠nguez",Jon Gunn,Brian Shanley,"Cary Solomon, Chuck Konzelman","David A.R. White, Michael Scott, Russell Wolfe, Elizabeth Hatcher-Travis, Mona Nahm, Bob Katz, Harold Cronk",Will Musser,6.1,8622,/89fJ4hV9fCB01EvhhLOgjMJI4A6.jpg,3,2015,12,do you believe?,-33,16.4834814747798,0.4848082786699941,avengers: age of ultron,"limited (1), blank (9), dvd and blu-ray premiere (1), internet (1)",9,1,12,0.08,no,no
307081,Southpaw,7.366,5645,Released,2015-03-24,91709827,123,30000000,tt1798684,en,Southpaw,"Billy ""The Great"" Hope, the reigning junior middleweight boxing champion, has an impressive career, a loving wife and daughter, and a lavish lifestyle. However, when tragedy strikes, Billy hits rock bottom, losing his family, his house and his manager. He soon finds an unlikely savior in Tick Willis, a former fighter who trains the city's toughest amateur boxers. With his future on the line, Hope fights to reclaim the trust of those he loves the most.",9.8229,Believe in hope.,"Action, Drama","fuqua films, escape artists, wanda pictures, the weinstein company, riche productions","United States of America, China",English,"Jake Gyllenhaal, Clare Foley, Rita Ora, Michelle Johnston, Adam Kroloff, Forest Whitaker, Aaron Quattrocchi, Jackson Nunn, Naomie Harris, Jim Lampley, Victor Ortiz, Jose Caraballo, Dominic Col√≥n, Oona Laurence, Patsy Meck, Malcolm M. Mays, Danny Henriquez, Jimmy Lennon Jr., Rachel McAdams, Beau Knapp, Skylan Brooks, Tony Weeks, Miguel G√≥mez, Lana Young, Joe Fishel, Charles Hoyes, Vito Grassi, 50 Cent",Antoine Fuqua,Mauro Fiore,Kurt Sutter,"Jonathan Garrison, Harvey Weinstein, Paul Rosenberg, David Ranes, Alan Riche, Dylan Sellers, Jason Blumenthal, Kurt Sutter, Gary Cheng, Bob Weinstein, Steve Tisch, David L. Schiff, Fang Zhao, Antoine Fuqua, Ezra Swerdlow, Stuart Parr, Peter Riche, Todd Black, David Bloomfield",James Horner,7.3,273445,/kSQ49Fi3NVTqGGXILmxV2T2pdkG.jpg,3,2015,13,southpaw,-29,18.33414010705632,0.611138003568544,avengers: age of ultron,"shanghai international film festival (1), blank (62), locarno film festival (1), limited (1), dvd premiere (3), tv premiere (1)",62,0,69,0.0,no,no
