id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer,imdb_rating,imdb_votes,poster_path,release_month,release_year,iso_week,title_clean,distance,strength,score,marvel_movie,attributes,blank,internet,total,internet_ratio,internet_dominance,error
400157,Wonder Park,6.5,727,Released,2019-03-13,119559110,86,100000000,tt6428676,en,Wonder Park,"A young girl named June with a big imagination makes an incredible discovery -- the amusement park of her dreams has come to life. Filled with the world's wildest rides operated by fun-loving animals, the excitement never ends. But when trouble hits, June and her misfit team of furry friends begin an unforgettable journey to save the park.",7.297,Dream Bigger,"Comedy, Animation, Adventure, Family, Fantasy","nickelodeon movies, paramount animation, ilion animation studios, paramount pictures","Spain, United States of America",English,"Ken Hudson Campbell, Oev Michael Urbas, Fr√©d√©ric Longbois, Sofia Mali, Ken Jeong, Norbert Leo Butz, Jennifer Garner, Kenan Thompson, Odah Sama, Kath Soucie, Brianna Denski, Lisa Foiles, Marc Lavoine, Samir Dako, Matthew Broderick, Mila Kunis, Kevin Chamberlin, John Oliver, Kate McGregor-Stewart",Dylan Brown,,"Andr√© Nemec, Josh Appelbaum, Robert Gordon, J√∏rgen Klubien, Russ Edmonds, Mark Dindal","Ignacio P√©rez Dolset, Andr√© Nemec, Josh Appelbaum, Don Hahn, Karen Rosenfelt, Kendra Haaland",Steven Price,5.9,13398,/8KomINZhIuJeB4oB7k7tkq8tmE.jpg,3,2019,11,wonder park,-42,18.599321459755178,0.4325423595291902,avengers: endgame,"blank (57), dvd premiere (2), internet (1)",57,1,60,0.02,no,no
416144,Hotel Mumbai,7.542,1638,Released,2019-03-14,16900000,123,25000000,tt5461944,en,Hotel Mumbai,"Mumbai, India, November 26, 2008. While several terrorists spread hatred and death through the city, others attack the Taj Mahal Palace Hotel. Both hotel staff and guests risk their lives, making unthinkable sacrifices to protect themselves and keep everyone safe while help arrives.",2.7937,"November 26, 2008‚Ä¶ Terror struck the heart of India.","Thriller, History, Drama, Action","xeitgeist entertainment group, screen australia, south australian film corporation, arclight films, double guess productions, screenwest, lotterywest, hamilton films, thunder road, electric pictures","Australia, Singapore, United States of America, United Kingdom","English, ÿßŸÑÿπÿ±ÿ®Ÿäÿ©, ŒµŒªŒªŒ∑ŒΩŒπŒ∫Œ¨, ‡§π‡§ø‡§®‡•ç‡§¶‡•Ä, P—É—Å—Å–∫–∏–π, , ‡®™‡©∞‡®ú‡®æ‡®¨‡©Ä, ŸÅÿßÿ±ÿ≥€å, ÿßÿ±ÿØŸà","Kapil Kumar Netra, Zenia Starr, Vitthal Kale, Nitin Dhiman, Harjeet Singh, Angus McLaren, Dinesh Kumar, Pawan Singh, Manoj Mehra, Carmel Johnson, Nagesh Bhonsle, Naina Sareen, Ansuya Nathan, Amriptal Singh, Mona Mathews, Jason Isaacs, Marc Iserlis, Devyani Mandavgane, Dev Patel, Natasha Liu Bordizzo, Armie Hammer, Akhilesh Harsh, Rohan Mirchandaney, Alex Pinder, Mariette Valsan, Shiv Dev Singh, Carmen Duncan, Raunak Bhinder, Vipin Sharma, Abhiroy Singh, Mohammad Arafat Sarguroh, Rodney Afif, Adithi Kalkunte, Ishan Khanna, Rory Walker, Amandeep Singh, Anupam Kher, Aradhana Dhawan, Gaurav Paswala, Takila Wood, Bhidhisha Ghosh, Tilda Cobham-Hervey, Sachin Joab, Divya Unny, Nazanin Boniadi, Jude Henshaw, Trishaan Sarkar, Suhail Nayyar, Chantal Contouri, Lee Perry",Anthony Maras,Nick Matthews,"Anthony Maras, John Collee","Catherine Prosser, Manraj S. Sekhon, Bryce Menzies, Joseph Newton Cohen, Richard Toussaint, Anthony Maras, Andrew Ogilvie, Dev Patel, Joan Peters, Min-Li Tan, Mike Gabrawy, Natalya Pavchinskaya, Ryan Hamilton, Gary Hamilton, Andrea Quesnelle, Jonathan Fuhrman, Jomon Thomas, John Collee, Ying Ye, Basil Iwanyk, Kent Kubena, Anand Tharmaratnam, Masaaki Tanaka, Gary Ellis, Julie Ryan, Mark Montgomery",Volker Bertelmann,7.6,77083,/v32SC4HFZtlDRWXMaR2V2dWqAXJ.jpg,3,2019,11,hotel mumbai,-41,16.642824239064897,0.3962577199777356,avengers: endgame,"toronto international film festival (1), premiere (2), adelaide film festival (1), palm springs international film festival (1), dublin film festival (1), glasgow film festival (1), arizona (2), phoenix film festival (1), manchester film festival (1), sedona international film festival (1), omaha film festival (1), cinequest film festival (1), blank (45), internet (4), los angeles, ca (1), new york, ny (1), beijing international film festival (1), bcn film fest (1), fantasy filmfest (1), dvd and blu-ray premiere (2), blu-ray release (1), vod/digital platforms (1), tv release (1)",45,4,73,0.05,no,no
458723,Us,7.0,7787,Released,2019-03-14,256067149,116,20000000,tt6857112,en,Us,"Husband and wife Gabe and Adelaide Wilson take their kids to their beach house expecting to unplug and unwind with friends. But as night descends, their serenity turns to tension and chaos when some shocking visitors arrive uninvited.",7.0767,Watch yourself.,"Horror, Mystery","monkeypaw productions, universal pictures, perfect world pictures, blumhouse productions, qc entertainment",United States of America,English,"Madison Curry, Ashley McKoy, Anna Diop, Lupita Nyong'o, Lon Gowan, Alessandro Garcia, Elisabeth Moss, Darrel Cherney, James Cobb, Cali Sheldon, Napiera Groves, Winston Duke, Nathan Harrington, Yahya Abdul-Mateen II, Alan Frazier, Evan Alex, Jordan Peele, Shahadi Wright Joseph, Dustin Ybarra, Duke Nicholson, Kara Hayward, Noelle Sheldon, David M Sandoval Jr., Tim Heidecker",Jordan Peele,Mike Gioulakis,Jordan Peele,"Sean McKittrick, Beatriz Sequeira, Jordan Peele, Ian Cooper, Daniel Lupi, Jason Blum",Michael Abels,6.8,381376,/ux2dU1jQ2ACIMShzB3yP93Udpzc.jpg,3,2019,11,us,-41,19.360950272735476,0.4609750064937018,avengers: endgame,"south by southwest film festival (1), blank (60), internet (1)",60,1,62,0.02,no,no
527641,Five Feet Apart,8.2,5796,Released,2019-03-14,92600000,116,7000000,tt6472976,en,Five Feet Apart,"Seventeen-year-old Stella spends most of her time in the hospital as a cystic fibrosis patient. Her life is full of routines, boundaries and self-control ‚Äî all of which get put to the test when she meets Will, an impossibly charming teen who has the same illness. There's an instant flirtation, though restrictions dictate that they must maintain a safe distance between them. As their connection intensifies, so does the temptation to throw the rules out the window and embrace that attraction.",6.892,"When life keeps you apart, fight for every inch.","Romance, Drama","wayfarer entertainment, cbs films",United States of America,"English, Fran√ßais, Espa√±ol","Trina LaFargue, Mois√©s Arias, Demi Castro, Jim Gleason, Cole Sprouse, Maxwell Baldoni, Rebecca Chulew, Cynthia Evans, Evangeline Hill, Ariana Guerra, Sophia Bernard, Claire Forlani, Todd Terry, Sue-Lynn Ansari, Kristopher Perez, Brett Austin Johnson, Haley Lu Richardson, Cecilia Leal, Ivy Dubreuil, Parminder Nagra, Gary Weeks, Armando Leduc, Kimberly H√©bert Gregory, Phillip Mullings Jr., Johnny Otto, Emily Baldoni, Keianna Nutley",Justin Baldoni,Frankie DeMarco,"Mikki Daughtry, Tobias Iaconis","Christopher H. Warner, Cathy Schulman, Justin Baldoni","Brian Tyler, Breton Vivian",7.2,93987,/kreTuJBkUjVWePRfhHZuYfhNE1T.jpg,3,2019,11,five feet apart,-41,18.343799710415546,0.4367571359622748,avengers: endgame,"blank (87), dvd premiere (2), internet (2), tv release (1)",87,2,92,0.02,no,no
429471,Captive State,5.7,1208,Released,2019-03-15,8808611,110,25000000,tt5968394,en,Captive State,"Nearly a decade after occupation by an extraterrestrial force, the lives of a Chicago neighborhood on both sides of the conflict are explored. In a working-class Chicago neighborhood occupied by an alien force for nine years, increased surveillance and the restriction of civil rights have given rise to an authoritarian system -- and dissent among the populace.",2.8956,"10 years ago, they took our planet. Today, we take it back!","Science Fiction, Action, Thriller","participant, lightfuse & gettaway",United States of America,English,"Michael Christopher Collins, Meghan Murphy, Mickey O'Sullivan, Elena Marisa Flores, Ashton Sanders, Wendi Weber, David J. Height, Kevin J. O'Connor, Madeline Brewer, John Goodman, Shannon Cochran, Ronald L. Conner, Marc Grapey, Kevin Dunn, Chronicle Ganawah, John Brady, D. B. Sweeney, Jane Baxter Miller, Jason Bradley, Jackie Saland, Bries Vannon, Chike Johnson, Laura Fisher, Lawrence Grimm, Yasen Peyankov, Ben Daniels, Otis Winston, Patrese McClain, James Ransone, Greg Nicotero, Brian 'Wolfman Black' Bowman, Rene L. Moreno, Guy Van Swearingen, Marcos Barnes, mgk, Alan Ruck, James Hatten, Linsey Page Morton, Mino Mackic, Carey Jones, Eric C. Lynch, KiKi Layne, Vera Farmiga, Julius Mercer, Zach Thomas, Giota Trakas, Steve Herson, Megan Brooke Long, Lucien Cambric, Jonathan Majors, Jos√© Antonio Garc√≠a, Matthew Lucki, Collin Woldt, Robert Forte Shannon III, Lizzy Leigh, Danny Goldring, Alex Henderson, Ta'Rhonda Jones, Cyrus Alexander, Ilyssa Fradin, Avery Lee, Kelly Cole, Christian Isely, Caitlin Ewald",Rupert Wyatt,Alex Disenhof,"Erica Beeney, Rupert Wyatt","Jonathan King, Rupert Wyatt, Jeff Skoll, Ron Schmidt, David Crockett, Adam Simon",Rob Simonsen,6.0,60051,/cVo7lylXAUDGuvDZBUYaP8Zjbku.jpg,3,2019,11,captive state,-40,15.991240437259698,0.3900302545673097,avengers: endgame,"blank (30), dvd premiere (4), internet (2), tv premiere (2), rtp 1 (1)",30,2,39,0.05,no,no
441384,The Beach Bum,5.7,538,Released,2019-03-21,4554416,95,5000000,tt6511932,en,The Beach Bum,"An irreverent comedy about the misadventures of Moondog, a rebellious stoner and lovable rogue who lives large.",1.769,You gotta go low to get high.,"Comedy, Drama","riverstone pictures, vice studios, spk pictures, rocketscience, iconoclast, anonymous content, le grisbi productions","France, Switzerland, United Kingdom, United States of America","English, Espa√±ol","Alan Frankel, Todd Mitchell, Devon James, Karla Goodwin, Jenny Ariza, Andrea Bennetti, Barry Mizerski, Sandro Paes, A. Ali Flores, Hunter Rearden, Martin Lawrence, Bertie Higgins, Lefty Korine, Debra Cohen, Jonah Hill, Jo Marie Payton, Jimmy Buffett, Matthew McConaughey, Joshua Rosen, Ricardo Matallana, Arthur Bivens, Zac Efron, Stefania LaVie Owen, David Bennett, Leah Van Dale, Clinton Archambault, Dvorah Marie, Tonya Oliver, Dustin Greer, Joshua Ritter, John Morris, Ricky Diaz, London Seabreeze, Francis Allen, Chela Arias, Sharon Pfeiffer, Daniele Cecere, Donovan St V. Williams, Snoop Dogg, Isla Fisher",Harmony Korine,Beno√Æt Debie,Harmony Korine,"Nik Bower, Charles-Marie Anthonioz, Chiara Gelardin, Will Weiske, John Lesher, Mourad Belkeddar, Nicolas Lhermitte, Karl Spoerri, Shane Smith, Thorsten Schumacher, Danny Gabai, Emmeline Yang, Eddy Moretti, Deepak Nayar, Steve Golin, Marc Schmidheiny",John Debney,5.5,26276,/iXMxdC7T0t3dxislnUNybcvJmAH.jpg,3,2019,12,the beach bum,-34,15.33160808926618,0.4380459454076051,avengers: endgame,"south by southwest film festival (1), luxembourg city film festival (1), vilnius international film festival (1), blank (25), hollywood, california (1), premiere (1), brussels international fantastic film festival (1), indielisboa (1), new horizons film festival (1), internet (2), milano film festival (1), taipei golden horse film festival (1), moma - the contenders (1), tv premiere (1), tabakalera international centre for contemporary culture (1), athens avant garde film festival (1), dvd premiere (1)",25,2,42,0.05,no,no
517093,Balkan Line,7.5,505,Released,2019-03-21,4944386,130,3500000,tt5951188,ru,–ë–∞–ª–∫–∞–Ω—Å–∫–∏–π —Ä—É–±–µ–∂,"After the NATO bombing of Yugoslavia in 1999, the Yugoslav army pulls out of Kosovo region, leaving Serbian people at the mercy of the Albanian UCK. A small band of soldiers must take over the Slatina airport, and hold it until the Russian peacekeepers arrive.",4.0728,No choice,"Drama, Action, War","archangel studios, upgrade vision, bless film","Russia, Serbia","English, P—É—Å—Å–∫–∏–π, Srpski","Ekaterina Popova, Konstantin Samoukov, Nikola Ranƒëeloviƒá, Sergey Marin, Vadim Byrkin, Miodrag Radonjiƒá, Milena Raduloviƒá, Aleksandar Laziƒá, Aleksandar Sreƒákoviƒá 'Kubura', Dmitry Frid, Dobrila Stojniƒá, Valentina Muravskaya, Emir Kusturica, Svetlana Chuikina, ƒêorƒëe Markoviƒá, Danila Dedovets, Vsevolod Yashkin, Lada Imamovich, Srƒëan '≈Ωika' Todoroviƒá, Aleksandar Radojiƒçiƒá, Michael Khmurov, Kirill Byrkin, Veronika Volokha, Nodari Dzhanelidze, Kirill Poluhin, Anya Alach, Branka Pujiƒá, Gosha Kutsenko, Vasilisa Nemtsova, Roman Kurtsyn, Anton Pampushnyy, Ravshana Kurkova, Anna Gallyamova, Roman Vorontsov, Anvar Khalilulaev, Ivan Mihailoviƒá, Milo≈° Bikoviƒá, Efim Petrunin, Daniel Kovaƒçeviƒá, Oleg Morozov, Dmitry Vyatkin, Yelena Charkviani, Nikita Kologrivyy, Gojko Mitiƒá",Andrey Volgin,Vyacheslav Lisnevsky,"Andrey Anaykin, Natalya Nazarova, Ivan Naumov","Anastasiya Pelevina, Tatyana Kuranova, Vasil Shevts, Vadim Byrkin, Gosha Kutsenko, Dmitry Rubezhin",Mikhail Afanasyev,6.6,10937,/okiB4NUriKKbGjAtVSzveicPTtu.jpg,3,2019,12,balkan line,-34,15.413763551755231,0.4403932443358637,avengers: endgame,"blank (8), internet (3), dvd and blu-ray and premiere (1), tv premiere (1), dvd and blu-ray premiere (1), dvd premiere (1), re-release (1)",8,3,16,0.19,no,no
329996,Dumbo,6.589,4448,Released,2019-03-27,353284621,112,170000000,tt3861390,en,Dumbo,"A young elephant, whose oversized ears enable him to fly, helps save a struggling circus, but when the circus plans a new venture, Dumbo and his friends discover dark secrets beneath its shiny veneer.",26.7774,Soar to new heights.,"Family, Fantasy, Adventure","tim burton productions, walt disney pictures, infinite detective, secret machine entertainment",United States of America,English,"Joan Southgate, Michael ""Mikey"" Lewis, Stuart Whelan, Roshan Seth, Chirame Shapra, Julian Kershaw, Deobia Oparei, Linda Gray, Hugh O'Brien, Richard James-Clarke, Clive Brunt, Andres Austin Bennett, Lucy DeVito, Matt Truman, Venla Shalin, Joplin, Heather Rome, Eva Green, Colin Farrell, Rob Heanley, Rashid Shadat, Jason Shillingford, Paul Riddell, Victor Pietraru, Richard Garaghty, Jonathan Clifford, Lillia Langley, Michael Barron, Zee Asha, Lars Eidinger, Matthew Castle, Harry Taylor, Tim Southgate, Benjamin French, Trevor Bennett, Anthony Rhodes, Finley Hobbins, Bret Jones, Angela Ashton, Victoria Coburn, Peter Brookes, Michael Buffer, Obie Matthew, Jorge Espadas, Charlotte Worwood, Zak Holland, Douglas Reith, Nigel Eaton, Richard Price, Callum Forman, Marc Esse, Greg Canestrari, Ian Porter, Zolzaya Batmunkh, Sharon Rooney, Georgie-May Tearle, Stuart Daly, Steve Healey, Frank Bourke, Matthew Cox, Ryan Hannaford, George Gjiggy Francis, Ken Byrd, Max Gill, Chris Rogers, Alan Arkin, Virginia Coronado, Ian Harrod, Sarah Sayuri Leung, Pierre Bergman, Arabella Neale, Sandy Martin, Joseph Macnab, Ariunchimeg Enkhsaikhan, Philip Rosch, Philips Nortey, Ragevan Vasan, Vincent Andriano, Nigel Lowe, Beth Willetts, Bernardo Santos, Tom Seekings, Phil Zimmerman, Matthew David McCarthy, Mehari Tesfamarian, Jo Osmond, Craig Thomas Lambert, Richard Leeming, Ethan Keaton, Daniel Gon√ßalves, Eleanor Ham, Emily Tebbutt, Nina Mangold, Scott Haney, Edd Osmond, Jewels Good, Desmond Frey, Will Rowlands, Rita McDonald Damper, Jessica Barker-Wren, Iran Singh, Christian Wolf-La'Moy, Chris Ecob, Bern Colla√ßo, Josef Davies, Otgonchimeg Chuluunzorig, Kamil Lemieszewski, Nataliia Shadrina, Serhii Shadrin, Anthony Fraser, Ben Crowe, Amerjit Deu, Manj Gill, Jackson Kai, Simon Connolly, Carol Been, Michael Keaton, Tom Dab, Mark Reader, Danny DeVito, Zenaida Alcalde, Stephen Samson, Liam Bewley, Nico Parker, Jaymes Sygrove, Alice Bonifacio, Mark Shrimpton, Ndongo Faye, Leah Powell, Keith Lomas, David Thomas Coulter, Marjo Nantel, Binyam Tesfamarian, Nick Bartlett, Jessie Vinning, Zelda Rosset Colon, Peter Trevor, Jana Posna, Anatoli Akerman, Lampros Kalfuntzos, Joseph Gatt, Rosie Akerman, Jemma Ellison, Charlie McGonagle, Erick Hayden, Melanie Gibson, Tom Gaskin, Paddy Waters, Oldokh Ganbold, Miguel Mu√±oz Segura",Tim Burton,Ben Davis,"Ehren Kruger, Harold Pearl, Helen Aberson","Tim Burton, Ehren Kruger, Katterli Frauenfelder, Justin Springer, Derek Frey, Nigel Gostelow",Danny Elfman,6.2,87155,/qgibOIN9RDHiPdimw7Gc7YcY960.jpg,3,2019,13,dumbo,-28,19.682784584634252,0.6787167098149742,avengers: endgame,"los angeles (1), premiere (4), tokyo (1), paris (1), london (1), blank (59)",59,0,67,0.0,no,no
287947,Shazam!,6.988,9887,Released,2019-03-29,367799011,132,80000000,tt0448115,en,Shazam!,A boy is given the ability to become an adult superhero in times of need with a single magic word.,6.5375,Just say the word.,"Action, Comedy, Fantasy","new line cinema, the safran company, seven bucks productions, dc films",United States of America,English,"David Kohlsmith, Craig Henry, Ken Mohabir, Meagan Good, Damir Andrei, Faithe Herman, Angelica Lisk-Hann, Ali Badshah, Neil Morrill, Pearl Sun, Pamela Matthews, David F. Sandberg, Zachary Levi, Eli Martyr, Aria Anthony, Manuel Rodriguez-Saenz, Jeff Sanca, Emily Nixon, Deborah Tennant, Seth Green, Tosh Robertson, Lisa Truong, Ian Chen, Paul Braunstein, Ryan Handley, John Stead, Jesse Bond, Lisa Codrington, Ava Preston, Marta Milans, Harper Gunn, Luke Gallo, Cassandra Ebner, Michael Xavier, D.J. Cotrona, Adam Rodness, Mitra Suri, Natalia Safran, Ethan Pugiotto, Nneka Elliott, Rachel Boyd, Ilan O'Driscoll, Caroline Palmer, Stephannie Hawkins, Dan Skene, Anthony Gritsyuk, Steve Newburn, Shawn Stewart, Jim Pagiamtzis, Asher Angel, Andi Osho, Keisha T. Fraser, Landon Doak, Martin Roach, Lotta Losten, Jhaleil Swaby, Jack Dylan Grazer, Misha Rasaiah, Steve Blum, Violetta Pioro, Lovina Yavari, John Glover, Brian Kaulback, Matthew Binkley, Ross Butler, Michelle Borth, Simon Northwood, Chemika Bennett-Heath, Wayne Ward, Paloma Nu√±ez, Stephen Alexander, Allen Keng, Djimon Hounsou, Grace Caroline Currey, Joseph Pierre, Fred Tatasciore, Adam Brody, Cliff Saunders, Bryce Arden Poe, Bill R. Dean, Callie Presniak, Darin De Paul, Craig Warnock, Carson MacCormac, Evan Marsh, Mark Strong, Kerri Kamara, Jovan Armand, Hazel Gorin, Tabitha Tao, Allison Brennan, Jackson Reid, Nadine Whiteman, Cooper Andrews",David F. Sandberg,Maxime Alexandre,"Henry Gayden, Bill Parker, Darren Lemke, C.C. Beck","Richard Brener, Dany Garcia, Dwayne Johnson, Dave Neustadter, Christopher Godsick, Hiram Garcia, Adam Schlagman, Toby Emmerich, Jeffrey Chernov, Walter Hamada, Peter Safran, Geoff Johns",Benjamin Wallfisch,7.0,407578,/xnopI5Xtky18MPhK40cZAGAOVeV.jpg,3,2019,13,shazam!,-26,19.723047183888365,0.7304832290329024,avengers: endgame,"pathé unlimited night (1), blank (58), blu-ray release (1), dvd premiere (1), internet (1)",58,1,62,0.02,no,no
580600,Astro Kid,7.2,207,Released,2019-04-03,3123088,90,5100000,tt8329148,fr,"Terra Willy, plan√®te inconnue","Terra Willy: Unexplored Planet ‚Äî Upon the destruction of their ship, Willy is separated from his parents. He lands on a wild and unexplored planet and with the help of Buck, a survival robot, he will have to hold until the arrival of a rescue mission.",1.8274,An out-of-this-world adventure,"Animation, Comedy, Adventure, Family","logical pictures, tat productions, bac films, france 3 cin√©ma, master films, cnc, france t√©l√©visions, ocs, procirep, sdi media, eclair, cin√©+, cofiloisirs film france solutions, yellow cab studios, sacem, r√©gion occitanie, signature entertainment",France,Fran√ßais,"Guillaume Lebon, Barbara Tissier, √âdouard Baer, Marie-Eug√©nie Mar√©chal, Timoth√© Vom Dorp",Eric Tosti,,"David Alaux, Eric Tosti, Jean-Fran√ßois Tosti",Jean-Fran√ßois Tosti,Olivier Cussac,6.6,2633,/vwqEIL5SrsZFVvileNe9LuHbJy7.jpg,4,2019,14,astro kid,-21,14.954333134098022,0.6797424151862738,avengers: endgame,"beijing international film festival (1), premiere (1), blank (22), internet (4), dvd premiere (1), cinekid film festival (1), dvd and blu-ray and premiere (1), unknown (1)",22,4,32,0.12,no,no
