id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer,imdb_rating,imdb_votes,poster_path,release_month,release_year,iso_week,title_clean,distance,strength,score,marvel_movie,attributes,blank,internet,total,internet_ratio,internet_dominance,error
406563,Insidious: The Last Key,6.3,3044,Released,2018-01-03,172811971,103,10000000,tt5726086,en,Insidious: The Last Key,"Parapsychologist Elise Rainier and her team travel to Five Keys, NM, to investigate a man’s claim of a haunting. Terror soon strikes when Rainier realizes that the house he lives in was her family’s old home.",4.9651,Fear comes home.,"Horror, Thriller","stage 6 films, blumhouse productions, universal pictures, oren peli productions",United States of America,English,"Madison Bowie, Leigh Whannell, Danielle Bisutti, Ava Kolker, Stefanie Scott, Amanda Jaros, Josh Stewart, Rose Byrne, Kirk Acevedo, Zahra Susan Ingersoll, Paul LeClair, Craig Reed, Thomas Robie, Javier Botet, Ty Simpkins, Judith Drake, Spencer Locke, Bruce Davison, Patrick Wilson, Tessa Ferrer, Aleque Reid, Angus Sampson, Lin Shaye, Caitlin Gerard, Barbara Hershey, Brynn Bowie, Melanie Gaydos, Joseph Bishara, Hana Hayes, Marcus Henderson, Pierce Pope, Danielle Kennedy, Josh Wingate",Adam Robitel,Toby Oliver,Leigh Whannell,"Oren Peli, Brian Kavanaugh-Jones, Leigh Whannell, Couper Samuelson, Jason Blum, Charles Layton, James Wan, Bailey Conway, Steven Schneider",Joseph Bishara,5.7,78443,/nb9fc9INMg8kQ8L7sE7XTNsZnUX.jpg,1,2018,1,insidious: the last key,-41,18.967714694341723,0.4516122546271838,black panther,"blank (49), limited (1), extended version (1), dvd and blu-ray premiere (1), internet (2), dvd premiere (1)",49,2,55,0.04,no,no
336843,Maze Runner: The Death Cure,7.1,8152,Released,2018-01-10,288175335,143,62000000,tt4500922,en,Maze Runner: The Death Cure,"Thomas leads his group of escaped Gladers on their final and most dangerous mission yet. To save their friends, they must break into the legendary Last City, a WCKD-controlled labyrinth that may turn out to be the deadliest maze of all. Anyone who makes it out alive will get answers to the questions the Gladers have been asking since they first arrived in the maze.",6.9486,The end will be WCKD.,"Science Fiction, Action, Adventure, Thriller","the gotham group, temple hill entertainment, 20th century fox, oddball entertainment, tsg entertainment",United States of America,English,"Dexter Darden, Drikus Volschenk, Giancarlo Esposito, Rosa Salazar, Barry Pepper, Scot Cooper, Emily Child, Shai Lun Choo, Kazi Maubert, Walton Goggins, Liza Scholtz, Nathan Barris, Aidan Gillen, Dylan Kriek, Ki Hong Lee, Armando De Leca, Jake Curran, Kaya Scodelario, Greg Kriek, Nathalie Emmanuel, Will Poulter, Dale Jackson, Bart Fouche, Ryan Higgins, Paul du Toit, Patricia Clarkson, Fiona Ramsay, Paul Lazenby, Dylan Smith, Thomas Brodie-Sangster, Katherine McNamara, Clayton Evertson, Jacob Lofland, Parm Soor, Dylan O'Brien, Paul Hampshire",Wes Ball,Gyula Pados,"James Dashner, T.S. Nowlin","Wes Ball, Marty Bowen, Ellen Goldsmith-Vein, Wyck Godfrey, Lorenzo di Bonaventura, Lee Stollman, Joe Hartwick Jr.",John Paesano,6.3,184220,/drbERzlA4cuRWhsTXfFOY4mRR4f.jpg,1,2018,2,maze runner: the death cure,-34,19.479079658408857,0.556545133097396,black panther,"blank (72), colombo (1), internet (1)",72,1,74,0.01,no,no
399035,The Commuter,6.4,4507,Released,2018-01-11,119942387,104,30000000,tt1590193,en,The Commuter,"A businessman, on his daily commute home, gets unwittingly caught up in a criminal conspiracy that threatens not only his life but the lives of those around him.",4.17,Lives are on the line,"Action, Thriller, Mystery","studiocanal, tf1 films production, the picture company, ombra films","United States of America, France, Spain",English,"Nila Aalia, Dean-Charles Chapman, Aoife Hinds, Steven I. Dillard, Damson Idris, Richard Stanley, Sam Neill, Neal Beagley, Andres Austin Bennett, John Alastair, Lee Nicholas Harris, Patrick Wilson, Ben Caplan, Simon Hibbs, Anthony Milton, Andrew Dunkelberger, Ella-Rae Smith, Nakay Kpaka, Clara Lago, Pete Buzzsaw Holland, Jamie Beamish, Zaak Conway, Letitia Wright, Kingsley Ben-Adir, Shazad Latif, Edward Bluemel, Andy Nyman, Vikki Edwards, Andy Lucas, Stuart Whelan, Alana Maria, Shade Rupe, Killian Scott, David Alwyn, Nathan Wiley, Adam Nagaitis, Roland Møller, Pat Kiernan, Jaime Menéndez, Kyle Jerichow, Jonathan Banks, Peter Meyer, Graham Curry, Kobna Holdbrook-Smith, Colin McFarlane, Tony Pankhurst, Elizabeth McGovern, Liam Neeson, Vera Farmiga, Dilyana Bouklieva, A.k. Steppa, Matthew Faucher, Pamela Betsy Cooper, Florence Pugh, Leigh Dent",Jaume Collet-Serra,Paul Cameron,"Ryan Engle, Philip de Blasi, Byron Willinger","Alex Heineman, Andrew Rona, Yu Dong, Jaume Collet-Serra",Roque Baños,6.3,132173,/rDeGK6FIUfVcXmuBdEORPAGPMNg.jpg,1,2018,2,the commuter,-33,18.602522085461416,0.5471330025135711,black panther,"new york city, new york (1), premiere (1), blank (57)",57,0,59,0.0,no,no
442064,Proud Mary,5.504,511,Released,2018-01-12,21753365,88,14000000,tt6421110,en,Proud Mary,"Mary is a hit woman working for an organized crime family in Boston, whose life is completely turned around when she meets a young boy whose path she crosses when a professional hit goes bad.",2.8969,Killing for the Man every Night and Day,"Thriller, Action, Crime",screen gems,United States of America,English,"Erik LaRay Harvey, Owen Burke, Arthur Hiou, Adrian M. Mompoint, Ralph Ayala, Taraji P. Henson, Neal McDonough, Danny Glover, Joseph Oliveira, Adobuere Ebiama, Jim Ford, John Sarnie, Alex Portenko, James Milord, Leah Procito, Bo Cleary, Alex Ziwak, Therese Plaehn, Marinko Radakovic, Joseph Collymore, Jahi Di'Allo Winston, Xander Berkeley, Billy Brown, David Chen, Stew Replogle, Margaret Avery, Rob Lévesque, Roger Dillingham Jr., Jose Guns Alves, Rade Šerbedžija, Al'Jaleel McGhee",Babak Najafi,Dan Laustsen,"John Newman, Christian Swegal, Steve Antin","Taraji P. Henson, Paul Schiff, Glenn S. Gainor, Tai Duncan",Fil Eisler,5.1,11386,/5luceoVMU2FzWuyty7mZFcSY5ZW.jpg,1,2018,2,proud mary,-32,16.895279062145775,0.5119781533983568,black panther,"blank (12), internet (6), dvd premiere (2), dvd and blu-ray premiere (2), tv premiere (3)",12,6,25,0.24,no,no
471474,Batman: Gotham by Gaslight,6.7,730,Released,2018-01-12,3469151,78,1000000,tt7167630,en,Batman: Gotham by Gaslight,"In an alternative Victorian Age Gotham City, Batman begins his war on crime while he investigates a new series of murders by Jack the Ripper.",2.0706,"As the Ripper stalks Gotham City, the Dark Knight reveals the face of terror.","Thriller, Action, Animation, Science Fiction","warner bros. animation, dc entertainment",United States of America,English,"Bruce Greenwood, John DiMaggio, Bob Joles, Anthony Stewart Head, Grey DeLisle, Tara Strong, David Forseth, Lincoln Melcher, William Salyers, Kari Wuhrer, Chris Cox, Bruce Timm, Scott Patterson, Yuri Lowenthal, Jennifer Carpenter",Sam Liu,,"Brian Augustyn, Mike Mignola, James Krieg","Benjamin Melniker, Michael Uslan, Bruce Timm, Sam Register, Sam Liu",Frederik Wiedmann,6.7,20276,/7souLi5zqQCnpZVghaXv0Wowi0y.jpg,1,2018,2,batman: gotham by gaslight,-32,15.059420741653827,0.456346083080419,black panther,"washington, d.c. (1), internet (1), dvd premiere (1), video premiere (5), los angeles, california (1), dvd and blu-ray premiere (1)",0,1,10,0.1,yes,no
337167,Fifty Shades Freed,6.683,8223,Released,2018-01-17,371985018,105,55000000,tt4477536,en,Fifty Shades Freed,"Believing they have left behind shadowy figures from their past, newlyweds Christian and Ana fully embrace an inextricable connection and shared life of luxury. But just as she steps into her role as Mrs. Grey and he relaxes into an unfamiliar stability, new threats could jeopardize their happy ending before it even begins.",12.2393,Don't miss the climax.,"Drama, Romance","universal pictures, michael de luca productions, perfect world pictures",United States of America,English,"Marcia Gay Harden, Kirsten Alter, Brant Daugherty, Szu-wen Wang, Callum Keith Rennie, Julie Roblet, Anita Brown, Primo Allon, Brendan Penny, Eric Johnson, Tefari Thompson, Ashleigh LaThrop, Brad Harder, Dylan Neal, Lisa MacFadden, Shiraine Haas, Paul Duchart, Bill Dow, Fraser Aitcheson, Dakota Johnson, Jennifer Ehle, Tenz McCall, Michelle Harrison, Felix Tomas, Robinne Lee, John Emmet Tracy, Todd Thomson, Andrew Airlie, Amy Price-Francis, Marci T. House, Victor Rasuk, Nathan Dellemme, Maxine Miller, Eloise Mumford, D.J. Kiss, Tyler Hoechlin, Tiara Sorensen, Allyson McHardy, Jamie Dornan, Catherine Lough Haggquist, Lea Kovach, Sachin Sahel, Jaclyn Jonet, Kim Basinger, Sean Glass, Kwesi Ameyaw, Adil Zaidi, Max Martini, P. Lynn Johnson, Maximilien Fussen, Jean Corso, Kai Bokenfohr, Laura Jacobs, Rita Ora, Luke Grimes, Jordan Gardiner, Ben Corns, Hiro Kanagawa, Bruce Altman, Gary Hudson, Benita Ha, Fay Masterson, Arielle Kebbel",James Foley,John Schwartzman,"Niall Leonard, E.L. James","Dana Brunetti, Marcus Viscidi, Michael De Luca, E.L. James",Danny Elfman,4.6,81147,/jjPJ4s3DWZZvI4vw8Xfi4Vqa1Q8.jpg,1,2018,3,fifty shades freed,-27,19.734364139921126,0.7047987192828974,black panther,"france (1), premiere (1), blank (53), colombo (1), dvd release (1), internet (3)",53,3,60,0.05,no,no
432165,The Pagan King,6.5,79,Released,2018-01-17,18598,110,2400000,tt6020428,lv,Nameja gredzens,"On his deathbed, the reigning king bestows power to an unexpected heir who must find strength within himself to unite his people against the violent crusades which threaten their freedom.",2.571,Live free or die.,"History, Adventure, Action",platforma filma,"United Kingdom, Latvia",English,"Edvin Endre, Marija Grauba, James Bloor, Maya Arwen, Jānis Amanis, Victoria Alexandria Brikmann, Kaspars Bindemanis, Egons Dombrovskis, Kaspars Kārkliņš, Henrijs Grinblats, Aistė Diržiūtė, Lauris Dzelzītis, Elīna Vāne, Igors Šelegovskis, Gints Andžāns, Ivo Martinsons, Ieva Aleksandrova, Kaspars Zāle, Artūrs Skrastiņš, Armands Ikalis, Ziedonis Ločmelis, Anete Berķe, Christopher Dane, Dainis Grūbe, James Alexander, Oskars Holsteins, Juris Žagars, Zane Leimane, Andris Keišs, Toms Auniņš",Aigars Grauba,Valdis Celmiņš,"Max Kinnings, Aigars Grauba","Andrejs Ēķis, Kristians Alhimionoks",Rihards Zaļupe,6.0,2654,/h1dH8MmGfeTqbLh8ZoIZaq64bkg.jpg,1,2018,3,the pagan king,-27,9.830863094815127,0.3511022533862545,black panther,"blank (4), limited (2), ottawa european union film festival (1), dvd and blu-ray and premiere (1), internet (1), tv premiere (1)",4,1,10,0.1,no,no
429351,12 Strong,6.3,3093,Released,2018-01-18,67450815,130,35000000,tt1413492,en,12 Strong,A team of special forces head into Afghanistan in the aftermath of the September 11th attacks in an attempt to dismantle the Taliban.,16.8494,The declassified true story of the horse soldiers,"War, Drama, Action, History","torridon films, alcon entertainment, black label media, jerry bruckheimer films, 16:14 entertainment",United States of America,English,"Rob Riggle, Martin Palmer, Ben O'Toole, Mustafa Haidari, Veronica Díaz-Carranza, Geoff Stults, Chris Hemsworth, Allison Gabriel, Kenneth Miller, Osama bin Laden, Sofia Chicorelli Serna, Michael Shannon, Kevin Kent, Peter Karas, William Fichtner, Benjamin Poe, Seth Adkins, Frank Powers, Nate Boyer, Christian Pedersen, Laith Nakli, Austin Hébert, Taylor Sheridan, Marie Wagenman, Shawn Sarmeidani, Lawrence Gilligan, Trevante Rhodes, Perla Daoud, Adrian Luna, Kenny Sheard, Yousuf Azami, Sarrett Williams, Tommy Truex, Jack Kesy, Shawn Lecrone, Ali Olomi, Jay Moore, Austin Stowell, Michael Peña, Yasmine Aker, Lauren Chavez-Myers, Matthew Van Wettering, Elsa Pataky, Edward Butron, Anouar H. Smaine, Shvan Aladdin, Navid Negahban, J. Nathan Simmons, James Joseph Pulido, Arshia Mandavi, Fahim Fazli, Nour Bitar, Michael E. Stogner, Thad Luckinbill, Tim Aydelott",Nicolai Fuglsig,Rasmus Videbæk,"Peter Craig, Doug Stanton, Ted Tally","Garrett Grant, Mike Stenson, Trent Luckinbill, Molly Smith, Ellen H. Schwartz, Yale Badik, Broderick Johnson, Chad Oman, Jerry Bruckheimer, Thad Luckinbill, Val Hill, Doug Stanton, Andrew A. Kosove",Lorne Balfe,6.5,99034,/37Qwani2g0jVPU7N4OkkTZ7aERz.jpg,1,2018,3,12 strong,-26,18.02690923839512,0.6676633051257452,black panther,"new york city, new york (1), premiere (1), blank (50), dvd premiere (1), french speaking region (1), german speaking region (1), cine&comic fest genova (1), dvd and blu-ray premiere (1)",50,0,57,0.0,no,no
449443,Den of Thieves,6.9,3238,Released,2018-01-18,80509622,140,30000000,tt1259528,en,Den of Thieves,A gritty crime saga which follows the lives of an elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank.,5.222,Cops without limits. Thieves without fear.,"Crime, Thriller, Action","atmosphere entertainment mm, diamond film productions, g-base, tucker tooley entertainment, stxfilms, mark canton productions",United States of America,English,"Scott Hunter, Meadow Williams, Mo McRae, 50 Cent, Kevin Christenson, Vincent Lee Alston, Cooper Andrews, Desmond Phillips, Maurice Compte, Tsi Chin Li-McCall, Brendan Kelly, Tomu Osborne, Salesi Tongamoa, Dayana Rincon, Hemi Mataele, Marcus LaVoi, Michelle Keller, Charline St. Charles, Michael Bisping, Ulysses Diaz, Gerard Butler, Eric Braeden, Nick Loeb, Max Holloway, Brandon Alston, Jermaine Rivers, Evan Jones, Adam Drescher, Charles Payne, Kaiwi Lyman, Pablo Schreiber, Timothy Douglas Perez, Cullen Ries, Oleg Taktarov, Alix Lapri, O'Shea Jackson Jr., Ron J. Rock, Steve Eifert, Madelyn Lazar, Daisy Pareja, Lewis Tan, Nate Boyer, Bob Jennings, Brian Van Holt, Michael Papajohn, Stefanos Miltsakakis, Natasha Kerry Gudegast, Raven Wynn, Malieek Straughter, Dawn Olivieri, Jordan Bridges, Elle Whitfield, Joshua D. Gormley, Mario Cortez, Hoop, Cory Scott Allen, Denis Yuryevich Orlov, Sonya Balmores, Tracey Bonner, Tony Finau, Fotukava Malu, Matthew Cornwell, John Lewis, Jay Dobyns, Tufa Liva, Jay DeVon Johnson, Lyon Beckwith",Christian Gudegast,Terry Stacey,"Paul T. Scheuring, Christian Gudegast","Gerard Butler, Meadow Williams, Glenn D. Feig, Tony Grazia, Mark Canton, Adam Fogelson, Christian Gudegast, Greg Renker, Robert Simonds, D. Scott Lumpkin, Tucker Tooley, Jamie Marshall, David Hopwood, Danielle Robinson, Oren Aviv, Alan Siegel",Cliff Martinez,7.0,149533,/dAP5NpkrMMczir5dUPjRR6ywqgz.jpg,1,2018,3,den of thieves,-26,18.20388727561708,0.6742180472450771,black panther,"blank (50), german speaking region (1), french speaking region (1), italian speaking region (1), digital (1), dvd and blu-ray premiere (3), tv release (1), internet (2), dvd premiere (1)",50,2,61,0.03,no,no
454545,"Help, I Shrunk My Parents",5.2,45,Released,2018-01-18,8400000,90,7600000,tt6818140,de,"Hilfe, ich hab meine Eltern geschrumpft","Felix's school is haunted again, only this time it's not the benevolent spirit of school founder Otto Leonhard and the nuisance he caused, but the once hated and long-since dead Director Hulda Stingbeard. A coincidence causes the former shrunken and skeletonized school principle to rise again, leading to chaos...",1.7344,Small parents. Big trouble.,"Comedy, Adventure, Family","blue eyes fiction, karibufilm, mini film, arri media, deutsche columbia filmproduktion","Austria, Germany",Deutsch,"Axel Stein, Eloi Christ, Maximilian Ehrenreich, Lina Hüesker, Cornelia Dworak, Jakob Oberschlick, Adem Karaduman, Andrea Sawatzki, Yannick Pudlorz, Oskar Keymer, Florian Osswald, Otto Waalkes, Johannes Zeiler, Michael Ostrowski, Anja Kling, Julia Hartmann",Tim Trageser,Felix Poplawsky,Gerrit Hermans,"Carolin Dassel, Hans Eddy Schreiber, Corinna Mehner",Anne Kathrin Dern,5.0,488,/7335uX2btMkwFGndN0OGeFCvFgn.jpg,1,2018,3,"help, i shrunk my parents",-26,15.943742382861156,0.5905089771430058,black panther,"blank (8), tv premiere (1), tv release (1)",8,0,10,0.0,no,no
