id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer,imdb_rating,imdb_votes,poster_path,release_month,release_year,iso_week,title_clean,distance,strength,score,marvel_movie,attributes,blank,internet,total,internet_ratio,internet_dominance,error
567646,Extreme Job,7.2,322,Released,2019-01-23,124652206,111,8120000,tt9541602,ko,Í∑πÌïúÏßÅÏóÖ,"A drug squad attempts to take down a criminal organization and they must go undercover to do so, so they begin working at a chicken restaurant, that becomes famous for its delicious chicken. Due to the unexpected popularity, the detectives find themselves in a situation they never expected.",5.7436,"Part-time frying chicken, full-time undercover.","Action, Comedy, Crime","cj entertainment, about film, haegrimm pictures",South Korea,"ÊôÆÈÄöËØù, ÌïúÍµ≠Ïñ¥/Ï°∞ÏÑ†Îßê, Êó•Êú¨Ë™û","Shin Ha-kyun, Kim Ji-young, Jang Jin-hee, Gong Myoung, Jeong Jae-kwang, Choi Yun-seol, Ryu Seung-ryong, Yang Hyun-min, Jung Won-chang, Lee Hanee, Lee Jung-ok, Choi Jeongeun, Jang Ji-woong, Lee Dong-hwi, Na Chul, Ji Chan, Jin Sun-kyu, Oh Jung-se, Han Jun-woo, Heo Joon-seok, Kim Eui-sung, Yoo Je-yoon, Kim Jong-soo, Shin Shin-ae, Kim Kang-hyun, Kim Nam-woo, Song Young-gyu, Tae Won-seok",Lee Byeong-heon,Noh Seung-bo,"Lee Yoon-ho, Lee Byeong-heon, Bae Se-young, Moon Chung-il, Heo Da-jung","Lee Jong-seok, Kim Seong-hwan, Choi Yun-ho, Ko Dae-seok, Kim Mi-hye, Heo Min-heoi","Choi Jung-in, Kim Tae-seong",7.1,14982,/52oLgq2gEiZyDjpJ7tgkGruoQI0.jpg,1,2019,4,extreme job,-42,18.64103807335271,0.433512513333784,captain marvel,"blank (13), los angeles, california (1), nationwide (1), udine far east film festival (1), shanghai international film festival (1), internet (3), edinburgh international film festival (1), paris korean film festival (1), dvd and blu-ray and premiere (1)",13,3,23,0.13,no,no
452832,Serenity,5.446,1574,Released,2019-01-24,14500000,102,25000000,tt6476140,en,Serenity,"The quiet life of Baker Dill, a fishing boat captain who lives on the isolated Plymouth Island, where he spends his days obsessed with capturing an elusive tuna while fighting his personal demons, is interrupted when someone from his past comes to him searching for help.",2.9904,"On Plymouth Island, no one ever dies‚Ä¶ unless you break the rules","Thriller, Mystery, Drama","nebulastar, shoebox films",United Kingdom,"English, Fran√ßais","David Butler, Redd Pepper, Rafael Sayegh, Gunnar Sizemore, Michael Richard, Anne Hathaway, Charlotte Butler, Kenneth Fok, Djimon Hounsou, Robert Hobbs, Jason Clarke, Garion Dowds, Edeen Bhugeloo, Diane Lane, Matthew McConaughey, Jeremy Strong, John Whiteley",Steven Knight,Jess Hall,Steven Knight,"Carsten H.W. Lorenz, Greg Shapiro, David Lipman, Deborah Zipser, Stuart Ford, Steven Knight, Guy Heeley, Jeffrey Stentz, Paul Webster, Karine Martin",Benjamin Wallfisch,5.4,48518,/hgWAcic93phg4DOuQ8NrsgQWiqu.jpg,1,2019,4,serenity,-41,16.489659276356317,0.3926109351513409,captain marvel,"blank (42), göteborg film festival (1), internet (1), dvd and blu-ray premiere (1), dvd premiere (1)",42,1,46,0.02,no,no
302349,Iron Sky: The Coming Race,5.131,425,Released,2019-01-25,392166,93,17500000,tt3038708,en,Iron Sky: The Coming Race,"29 years after the events of Iron Sky, the former Nazi Moonbase has become the last refuge of mankind. Earth was devastated by a nuclear war, but buried deep under the wasteland lies a power that could save the last of humanity - or destroy it once and for all. An old enemy leads our heroes on an adventure into the Hollow Earth. To save humanity, they must battle the Vril, an ancient shapeshifting reptilian race, and their army of dinosaurs.",3.7119,Let's make Earth great again,"Action, Comedy, Fantasy, Science Fiction","potemkino, iron sky universe, 27 films production","Finland, Germany","English, Deutsch","Vasco De Beukelaer, Lloyd Kaufman, Alexander Moens, Lara Rossi, Kit Dale, Emily Atack, Francesco Italiano, Duta Skhirtladze, Muya Lubambu Tshinioka, Hon Ping Tang, John Flanders, Vladimir Burlakov, Kari Berg, Martin Swabey, Dalan Musson, Pierce Nathan-Calvin Baechler, Udo Kier, Anabel Lopez, Ga√´tan Wenders, Abbas Shirafkan, Julia Dietze, Zana Salobir, Jukka Hild√©n, Victor Au, Amanda Wolzak, Kari Ketonen, Tero Kaukomaa, Jan Debski, Stephanie Paul, James Quinn, Vincent Eaton, Lloyd Li, Antoine Plaisant, Edward Judge, Tom Green, Christoph Drobig",Timo Vuorensola,Mika Orasmaa,"Timo Vuorensola, Tero Kaukomaa, Samuli Torssonen, Dalan Musson, Jarmo Puskala, Johanna Sinisalo","Guido Baechler, Timo Vuorensola, Josef Brandmaier, Peter De Maegd, Anastasia Norenko, Tero Kaukomaa, Peter Graham, Stephen Hays, Tom Hameeuw, Oliver Damian, Michel Vandewalle, Glenn Kendrick Ackermann, Denis Norenko","Tuomas Kantelinen, Laibach",5.0,12515,/l5t2Nf1F7iQUKTrODg93xmQzZLj.jpg,1,2019,4,iron sky: the coming race,-40,12.879443048459834,0.3141327572795081,captain marvel,"blank (10), göteborg film festival (1), berlin (1), brussels international fantastic film festival (1), imagine film festival (1), limited (1), l'absurde séance - nantes (1), dvd premiere (2), dvd & blu-ray (1), paris (1), screening (1), brooklyn, new york (1), internet (2), trieste science+fiction festival (1), blu-ray release (1)",10,2,26,0.08,no,no
500852,Miss Bala,6.3,566,Released,2019-01-25,15200000,104,15000000,tt5941692,en,Miss Bala,"Gloria finds a power she never knew she had when she is drawn into a dangerous world of cross-border crime. Surviving will require all of her cunning, inventiveness, and strength.",2.6837,Who would you become to save your family?,Action,"columbia pictures, canana, misher films","Mexico, United States of America",English,"Gina Rodriguez, Anthony Mackie, Thomas Dekker, Sebasti√°n Cano, Joe LoCicero, Aldo Quintero Torres, Cristina Rodlo, Jos√© Sefami, Lidia Isabel Quiroz Dorantes, Carlos Eves, Eliel Morales, Henry Torres Blanco, Ismael Cruz Cordova, Irving Lemus, Jorge Humberto Millan Mardue√±o, Melina Oronia, Jimmy Gonz√°les, Job Sarmiento, Rosalio Ruiz, Ricardo Abarca, Mikhail Plata, Joel Navarro Ponce, Matt Lauria, Omar Ayala, Topsy Ruiz, Barbarella Pardo, Andr√©s Garc√≠a, Oscar Estrada, Dami√°n Alc√°zar, Abram Serratos, Tornado Ruiz, Roberto Colin, Aislinn Derbez, Erick Delgadillo, Alan Alzalde, Roberto Sosa, Lilian Guadalupe Tapia Robles",Catherine Hardwicke,Patrick Murguia,"Gareth Dunnet-Alcocer, Gerardo Naranjo","Gerardo Naranjo, Samson Mucke, Mauricio Katz, Gareth Dunnet-Alcocer, Pablo Cruz, Arturo Sampson, Kevin Misher, Andy Berman, Jamie Marshall, Catherine Hardwicke",Alex Heffes,5.8,14073,/ae9yrSAS7nLZPbbkOm61pSuIqeo.jpg,1,2019,4,miss bala,-40,16.536806051605975,0.4033367329659993,captain marvel,"blank (14), blu-ray release (1), dvd premiere (4), digital platforms (1), internet (8), blu ray release (1), tv release (1), rtp 1 (1), tv premiere (2)",14,8,33,0.24,no,no
523172,Late Night,6.383,844,Released,2019-01-25,22384741,102,4000000,tt6107548,en,Late Night,"A legendary late-night talk show host's world is turned upside down when she hires her only female staff writer. Originally intended to smooth over diversity concerns, her decision has unexpectedly hilarious consequences as the two women separated by culture and generation are united by their love of a biting punchline.",3.5862,They're giving comedy a rewrite.,"Comedy, Drama","filmnation entertainment, 30west, mk international, 3 arts entertainment, imperative entertainment",United States of America,English,"Paul Walter Hauser, Luke Slattery, Annaleigh Ashford, David Neal Levin, Paige Gilbert, John Early, Mindy Kaling, Amy Ryan, Bill Maher, Megalyn Echikunwoke, Max Casella, Seth Meyers, John Lithgow, Kerry Flanagan, Jake Tapper, Denis O'Hare, Lucas Caleb Rooney, Halston Sage, Reid Scott, Maria Dizzia, Hugh Dancy, Emma Thompson, Jia Patel, Blake DeLong, Rupak Ginn, Marc Kudisch, Sakina Jaffrey, Ike Barinholtz, Glo Tavarez",Nisha Ganatra,Matthew Clark,Mindy Kaling,"Daniel Steinman, Micah Green, Milan Popelka, Mindy Kaling, Jillian Apfelbaum, Howard Klein, Ben Browning, Alison Cohen",Lesley Barber,6.5,43064,/xxwb5KBqS0SHsUcyLgWMk3vuVxY.jpg,1,2019,4,late night,-40,16.92389012401562,0.41277780790282,captain marvel,"sundance film festival (1), montclair film festival (1), sundance london film festival (1), inside out (1), blank (20), los angeles, california (1), new york city, new york (1), karlovy vary international film festival (1), international film festival cinematik (1), dvd premiere (1), leiden international film festival (1), rio film festival (1), internet (4), tv release (1), rtp 1 (1), tv premiere (1)",20,4,38,0.11,no,no
399579,Alita: Battle Angel,7.244,9664,Released,2019-01-31,405000000,122,170000000,tt0437086,en,Alita: Battle Angel,"When Alita awakens with no memory of who she is in a future world she does not recognize, she is taken in by Ido, a compassionate doctor who realizes that somewhere in this abandoned cyborg shell is the heart and soul of a young woman with an extraordinary past.",7.8898,An angel falls. A warrior rises.,"Action, Science Fiction, Adventure","troublemaker studios, lightstorm entertainment, 20th century fox, tsg entertainment",United States of America,"English, Espa√±ol","Jorge Lendeborg Jr., Christoph Waltz, Idara Victor, Jamie Landau, Rosa Salazar, Alex Livinalli, Tony LaThanh, Jeff Fahey, Jeff Bottoms, Keean Johnson, Emma Lindsey, Jorge A. Jimenez, Rick Yune, Anthony Bandmann, Vincent Fuentes, Dimitrius Pulido, Jennifer Connelly, Edward Norton, Jackie Earle Haley, Neal Kodinsky, Derek Mears, Hugo Perez, Garrett Warren, Jai Courtney, Elle LaMont, Michelle Rodriguez, Ed Skrein, Mahershala Ali, Ibrahima Thiam, Lana Condor, Evan King, Tod Junker, Marcus J. Parker, David Sobolov, Alan Trong, John Wirt, Marko Zaror, Racer Rodriguez, Patrick Gathron, Gregg Berger, Casper Van Dien, Billy Blair, Sam Medina, Michael Love Toliver, Eiza Gonz√°lez, Leonard Wu, Paul de Sousa, Darcel Danielle",Robert Rodriguez,Bill Pope,"James Cameron, Yukito Kishiro, Laeta Kalogridis","James Cameron, Robert Rodriguez, David Valdes, Jon Landau",Tom Holkenborg,7.3,318174,/xRWht48C2V8XNfzvPehyClOvDni.jpg,1,2019,5,alita: battle angel,-34,19.81939762753995,0.5662685036439985,captain marvel,"odeon leicester square (1), premiere (4), spain (1), blank (69), limited (2), brussels (1), paris (1), belgrade, serbia (1), re-release (1)",69,0,81,0.0,no,no
565179,The First King,7.1,1118,Released,2019-01-31,2440478,123,8000000,tt7278824,la,Il primo re,"Romulus and Remus, two shepherds and loyal brothers, end up taking part to a journey that will lead one of them to be the founder of the greatest nation ever seen. However, the fate of the chosen one will pass from killing his own brother.",1.6329,"A timeless story of love, blood, and conflict.","History, Drama","groenlandia, gapbusters, roman citizen entertainment, rai cinema, voo, casa kafka pictures, belfius","Belgium, Italy","Italiano, Latin","Alessio Lapice, Alessandro Borghi, Marina Occhionero, Antonio Orlando, Riccardo Mioni, Antonia Fotaras, Vincenzo Crea, Massimiliano Rossi, Emilio De Marchi, Ludovico Succio, Michael Schermi, Tania Garribba, Lorenzo Gleijeses, Max Malatesta, Danilo Sarappa, Federico Diust, Gabriel Montesi, Martinus Tocchi, Fabrizio Rongione, Marzia Pellegrino, Luca Elmi, Fiorenzo Mattu, Ludovico Micara, Vincenzo Pirrotta",Matteo Rovere,"Daniele Cipr√¨, Giuseppe Maio","Francesca Manieri, Matteo Rovere, Filippo Gravino","Matteo Rovere, Andrea Paris",Andrea Farri,6.5,6351,/dqBU63M3cKy7pfVsmhrbgY5X8iv.jpg,1,2019,5,the first king,-34,14.70770488947822,0.4202201396993776,captain marvel,"blank (1), los angeles italia film festival (1), festa do cinema italiano (1), buenos aires international film festival (1), bifest - bari international film festival (1), transatlantyk film festival (1), fantasy filmfest (1), tv premiere (3), internet (1)",1,1,11,0.09,no,no
280217,The Lego Movie 2: The Second Part,6.662,2329,Released,2019-02-06,199603202,107,99000000,tt3513498,en,The Lego Movie 2: The Second Part,"It's been five years since everything was awesome and the citizens are facing a huge new threat: LEGO DUPLO¬Æ invaders from outer space, wrecking everything faster than they can rebuild.",3.5261,They come in pieces.,"Action, Adventure, Animation, Comedy, Family","vertigo entertainment, warner animation group, lord miller, rideback, the lego group, animal logic","Canada, Denmark, United States of America",English,"Richard Ayoade, Cobie Smulders, Todd Hansen, Nick Offerman, Christopher Miller, Lauren White, Brooklynn Prince, Jimmy O. Yang, Cora Miller, Maya Rudolph, Trisha Gum, Stephanie Beatriz, Doug Nicholas, Emmett Mitchell, Chris McKay, Ryan Halprin, Mike Mitchell, Bruce Willis, Jason Momoa, Margot Rubin, Gary Payton, Will Arnett, Liam Knight, Graham Miller, Ralph Fiennes, Chris Pratt, Noel Fielding, Jadon Sand, Ollie Mitchell, Jorma Taccone, Jonah Hill, Ike Barinholtz, Tiffany Haddish, Sawyer D. Jones, Alison Brie, Will Ferrell, Charlie Day, Ben Schwartz, Emily Nordwind, Elizabeth Banks, Sheryl Swoopes, Will Forte, Channing Tatum",Mike Mitchell,,"Christopher Miller, William Moulton Marston, Phil Lord, Joe Shuster, Bob Kane, Jerry Siegel, Matthew Fogel, Bill Finger, Craig Berry","Christopher Miller, Phil Lord, Keith Malone, Michael Uslan, Jinko Gotoh, Matthew Ashton, Dan Lin, Chris McKay, Zareh Nalbandian, Chris Leahy, Will Allegra, Roy Lee, Ryan Halprin, Jill Wilfert",Mark Mothersbaugh,6.5,83038,/QTESAsBVZwjtGJNDP7utiGV37z.jpg,2,2019,6,the lego movie 2: the second part,-28,19.111841968807074,0.6590290334071405,captain marvel,"westwood, california (1), premiere (1), blank (62), internet (1)",62,1,65,0.02,no,no
532671,The Prodigy,6.2,1025,Released,2019-02-06,21200000,92,6000000,tt4504044,en,The Prodigy,A mother concerned about her young son's disturbing behavior thinks something supernatural may be affecting him.,4.1885,What's wrong with Miles?,"Horror, Thriller","vinson films, xyz films, orion pictures",United States of America,English,"Jim Annan, Paula Boudreau, Martin Roach, Michael Dyson, Brock Johnson, Tristan Vasquez, Chris Scian, Martha Girvin, Ashley Black, Taylor Schilling, Jackson Robert Scott, Olunik√© Adeliyi, Grace Armas, Milton Barnes, Elisa Moolecherry, Nicholas McCarthy, David Kohlsmith, Andrew MacDonald, Peter Mooney, Colm Feore, Ava Augustin, Alexander Campos, Brittany Allen, Paul Fauteux, Byron Abalos, Olivia Croft, Mark Sparks, Janet Land",Nicholas McCarthy,Bridger Nielson,Jeff Buhler,"Lisa Zambri, Tripp Vinson, Nick Spicer, Jeff Buhler, Daniel Bekerman",Joseph Bishara,5.9,30561,/yyejodyk3lWncVjVhhrEkPctY9o.jpg,2,2019,6,the prodigy,-28,16.86951178681205,0.581707302993519,captain marvel,"blank (51), barcelona (1), premiere (2), madrid (1), dvd/blu-ray release (1), digital hd platforms (1), dvd premiere (1)",51,0,58,0.0,no,no
487297,What Men Want,6.2,1544,Released,2019-02-08,69766483,117,20000000,tt7634968,en,What Men Want,"Magically able to hear what men are thinking, a sports agent uses her newfound ability to turn the tables on her overbearing male colleagues.",5.452,She can hear men's thoughts. Let the games begin.,"Comedy, Romance","bet films, paramount players, paramount pictures, will packer productions",United States of America,English,"Richard Roundtree, Jay DeVon Johnson, Charmin Lee, Kausar Mohammed, Jason Jones, Erykah Badu, Ashani Roberts, Roshawn Franklin, Shane Paul McGhie, D√©j√° Dee, Pete Davidson, Desi-Ray Morris, Cristian Gonzalez, Taraja Ramsess, Wendi McLendon-Covey, Kyra Claxton, Shaquille O'Neal, Tamala Jones, Lisa Leslie, Kristen Ledlow, JoAnna Lorene, Timothy Carr, Ben Aycrigg, Mark Cuban, Taraji P. Henson, Damita Jane Howard, Christopher Alvarez, Jim France, Antjuan Rhames, Chris Witaske, Shonda Morgan, Taj-Naranja Jenkines, Max Greenfield, Dawn Halfkenny, Karl-Anthony Towns, Paul Brian Johnson, Grant Hill, Justin Alvarez, Charles Green, Adam Silver, Josh Brener, Aldis Hodge, Phoebe Robinson, John Collins, Denitra Isler, Brian Bosworth, Tracy Morgan, Devonta Freeman, Marc Inniss, Kellan Lutz, Auston Jon Moore",Adam Shankman,Jim Denault,"Tina Gordon, Alex Gregory, Peter Huyck, Jas Waters","Amy Sayres, Taraji P. Henson, Dete Meserve, James Lopez, Will Packer, David McFadzean, Adam Shankman, Matt Williams",Brian Tyler,5.4,34169,/30IiwvIRqPGjUV0bxJkZfnSiCL.jpg,2,2019,6,what men want,-26,18.060664280493377,0.668913491870125,captain marvel,"blank (21), westwood, california (1), premiere (1), internet (7), dvd premiere (3), tv premiere (1), blu-ray release (1), tv release (1)",21,7,36,0.19,no,no
