id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer,imdb_rating,imdb_votes,poster_path,release_month,release_year,iso_week,title_clean,distance,strength,score,marvel_movie,attributes,blank,internet,total,internet_ratio,internet_dominance,error
1022789,Inside Out 2,7.6,6220,Released,2024-06-11,1698863816,97,200000000,tt22022452,en,Inside Out 2,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",26.91,Make room for new emotions.,"Animation, Adventure, Comedy, Family",pixar,United States of America,English,"Adèle Exarchopoulos, James Austin Johnson, June Squibb, Amy Poehler, Sumayyah Nuriddin-Green, Kendall Coyne Schofield, Yvette Nicole Brown, Paula Pell, Paul Walter Hauser, Dave Goelz, Lewis Black, John Ratzenberger, Liza Lapira, Paula Poundstone, Diane Lane, Steve Purcell, Grace Lu, Kyle MacLachlan, Phyllis Smith, Kirk R. Thatcher, Pete Docter, Sarayu Blue, Flea, Kensington Tallman, Yong Yea, Maya Hawke, Lilimar, Ayo Edebiri, Ron Funches, Bobby Moynihan, Tony Hale, Frank Oz",Kelsey Mann,"Jonathan Pytko, Adam Habib","Meg LeFauve, Rebecca McVeigh, John Hoffman, Annie Mueller, Dave Holstein, Kelsey Mann","Pete Docter, Mark Nielsen, Jonas Rivera, Dan Scanlon",Andrea Datzman,7.5,235294,/vpnVM9B6NMmQpWeZvzLvDESb2QY.jpg,6,2024,24,inside out 2,-43,21.2532255216267,0.4830278527642431,deadpool & wolverine,"los angeles, ca (1), premiere (3), blank (67), shanghai (1), spain (1), vod (1), dvd,4k uhd,blu-ray (1), internet (2)",67,2,77,0.03,no,no
1220515,Treasure,6.6,40,Released,2024-06-13,583631,111,2000000,tt9462944,en,Treasure,"A music journalist accompanies her father, a charmingly stubborn Holocaust survivor, on a journey to his homeland. While she's eager to make sense of her family's past, her dad has an agenda of his own.",1.6888,It wouldn't be a family trip without a few breakdowns,"Drama, Comedy","seven elephants, good thing going, haÿku films, filmnation entertainment, lava films, alamode filmproduktion, magic media, kings & queens filmproduktion, arte, creative europe media, haut et court","France, Germany, United States of America, Poland, Hungary, Belgium","Deutsch, English, Polski","Karolina Kominek, Sandra Drzymalska, Magdalena Celówna-Janikowska, Sławomira Łozińska, Zbigniew Zamachowski, Tomasz Włosok, David Krzysteczko, Lena Dunham, André Hennicke, Robert Besta, Iwona Bielska, Stephen Fry, Petra Zieser, Tomek Nowicki, Adam Venhaus, Dennis Papst, Ralph Kaminski, Oliver Ewy, Magdalena Smalara, Wenanty Nosul, Izabela Gwizdak, Maria Mamona, Klara Bielawka, Oliver Polak, Monika Obmalko, Victor Pape-Thies",Julia von Heinz,Daniela Knapp,"Lily Brett, Julia von Heinz, John Quester","David Wnendt, Julia von Heinz, Lena Dunham, Glen Basner, Kent Sanderson, Andrew Karpen, Fabian Gasmia, John Quester, Michael P. Cohen, Ben Browning","Mary Komasa, Antoni Łazarkiewicz",6.3,2391,/uDMrdPAQHjvbSxFiYrWWVE3dYrD.jpg,6,2024,24,treasure,-41,13.27702592620431,0.3161196649096264,deadpool & wolverine,"berlin international film festival (1), tribeca film festival (1), blank (11), limited (3), rio de janeiro international film festival (1), warsaw jewish film festival (1), kino na granicy (1)",11,0,19,0.0,no,no
1008409,The Bikeriders,6.7,1000,Released,2024-06-19,36110860,116,40000000,tt21454134,en,The Bikeriders,"After a chance encounter, headstrong Kathy is drawn to Benny, member of Midwestern motorcycle club the Vandals. As the club transforms into a dangerous underworld of violence, Benny must choose between Kathy and his loyalty to the club.",4.5867,Legacies don't come easy.,"Crime, Drama","tri-state pictures, new regency pictures, regency enterprises",United States of America,English,"Paul Sparks, Norman Reedus, Paul Dillon, Mierka Girten, Anna Sheridan, Nicholas Hargous, Jenny McManus, Sara Mackie, Dakota Phillips, Will Oldham, Beau Knapp, David Myers Gregory, Valerie Jane Parker, Emory Cohen, Phuong Kubacki, David Pittinger, Mike Endoso, Johanna McGinley, Happy Anderson, Toby Wallace, Forba Shepherd, Damon Herriman, Jerry Mullins, Jodie Comer, Maggie Cramer, Alex Haydon, Michael Shannon, Jim Freivogel, Radek Lord, Boyd Holbrook, Nathan Neorr, Ryan Wesley Gilreath, Michael Abbott Jr., Mike Faist, Tom Hardy, Rachel Lee Kolis, Becca Howell, Erin Scerbak, Karl Glusman, Andrew Riley Stephens, Steve Marvel, Jordan Mullins, Austin Butler, Tony Donno",Jeff Nichols,Adam Stone,"Danny Lyon, Jeff Nichols","Michael Schaefer, David Kern, Brian Kavanaugh-Jones, Arnon Milchan, Sarah Green, Fred Berger, Yariv Milchan, Sam Hanson",David Wingo,6.6,73903,/ApMuukdDAOR2rgaFDZIcjfigi64.jpg,6,2024,25,the bikeriders,-35,17.40210423677996,0.4833917843549988,deadpool & wolverine,"telluride film festival (1), bfi london film festival (1), mill valley film festival (1), filmbath film festival (1), chicago international film festival (1), scad savannah film festival (1), afi fest (2), austin film festival (1), sydney film festival (1), blank (38), limited (3), karlovy vary international film festival (1), vod (1), internet (1), dvd,4k uhd,blu-ray (1), baltic pearl film festival (1), tv release (1)",38,1,57,0.02,no,no
519182,Despicable Me 4,7.0,2958,Released,2024-06-20,969597394,94,100000000,tt7510222,en,Despicable Me 4,"Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.",27.934,Things just got a little more despicable.,"Family, Comedy, Animation, Science Fiction","universal pictures, illumination",United States of America,English,"Stephen Colbert, Arif S. Kinchen, Will Ferrell, Cathy Cavadini, Isaac Robinson-Smith, Aaron Fors, John DeMita, Joey King, Nisa Ward, Laraine Newman, Willow Geer, Tara Strong, Brad Ableson, Sofía Vergara, Jeremy Maxwell, Ken Daurio, Abby Craden, Steve Coogan, JP Karliak, Colette Whitaker, Khary Payton, Chloe Fineman, Andreana Weiner, Steve Carell, Madison Polan, Pierre Coffin, Eden Boulton, Will Collyer, Romesh Ranganathan, Dana Gaier, Isa Hall, Aaron Hendry, Barbara Harris, Chris Renaud, John DiMaggio, Kristen Wiig, Miranda Cosgrove",Chris Renaud,,"Habib Louati, Ken Daurio, Mike White","Brett Hoffman, Chris Meledandri",Heitor Pereira,6.2,73014,/wWba3TaojhK7NdycRhoQpsG0FaH.jpg,6,2024,25,despicable me 4,-34,20.6923914866008,0.5912111853314513,deadpool & wolverine,"sydney film festival (1), tribeca film festival (1), blank (54), imax (1), digital (1), dvd,4k uhd,blu-ray (1), internet (1)",54,1,60,0.02,no,no
1051891,Thelma,6.9,327,Released,2024-06-21,12537071,98,5000000,tt23778968,en,Thelma,"When 93-year-old Thelma Post gets duped by a phone scammer pretending to be her grandson, she sets out on a treacherous quest across the city to reclaim what was taken from her.",5.2812,Revenge has never been sweeter.,"Action, Comedy, Adventure, Drama","zurich avenue, invention studios, bandwagon","United States of America, Switzerland",English,"Sandra Lee Gimpel, Clark Gregg, David Giuliani, Thelma Post, Fred Hechinger, June Squibb, Aidan Fiske, Annie O'Donnell, Quinn Beswick, Zoë Worth, Parker Posey, Bunny Levine, Paul LeClair, Carol Cetrone, Coral Peña, Ivy Jones, Hilda Boulware, Chase Kim, Annie Korzen, Nicole Byer, Sheila Korsi, Ruben Rabasa, Malcolm McDowell, Richard Roundtree",Josh Margolin,David Bolen,Josh Margolin,"Viviana Vezzani, Chris Kaye, Zoë Worth, Fred Hechinger, Benjamin Simpson, Nicholas Weinstock, Kat Barnette, June Squibb, Tobias Gutzwiller, Karl Spoerri",Nick Chuba,7.0,26281,/rUcuageYgv9SsJoWuc0seRWG6JC.jpg,6,2024,25,thelma,-33,16.34420057308239,0.4807117815612467,deadpool & wolverine,"sundance film festival (1), cleveland international film festival (1), annapolis film festival (1), miami film festival (1), sarasota film festival (1), pff springfest (1), usa film festival (1), riverrun international film festival (1), atlanta film festival (1), san francisco international film festival (1), chicago critics film festival (1), independent film festival boston (1), berkshire international film festival (1), lighthouse international film festival (1), sydney film festival (1), provincetown international film festival (1), bentonville film festival (1), nantucket film festival (1), blank (11), jerusalem film festival (1), malaysia international film festival (1), melbourne international film festival (1), sundance film festival asia (1), zurich film festival (1), stockholm international film festival (1), internet (1)",11,1,36,0.03,no,no
762441,A Quiet Place: Day One,6.7,3014,Released,2024-06-26,261907653,100,67000000,tt13433802,en,A Quiet Place: Day One,"As New York City is invaded by alien creatures who hunt by sound, a woman named Sam fights to survive with her cat.",8.6604,Hear how it all began.,"Horror, Science Fiction, Thriller","paramount pictures, platinum dunes, sunday night productions",United States of America,English,"Alexander John, Elijah Ungvary, Lupita Nyong'o, Thara Schöön, Gavin Fleming, Thea Butler, Takunda Khumalo, Djimon Hounsou, Avy-Berry Worrall, Alfie Todd, Benjamin Wong, Michael Roberts, Choy-Ling Man, Ronnie Le Drew, Eliane Umuhire, Joseph Quinn, Alex Wolff",Michael Sarnoski,Pat Scola,"Bryan Woods, Scott Beck, John Krasinski, Michael Sarnoski","Vicki Dee Rock, Allyson Seeger, Brad Fuller, John Krasinski, Andrew Form, Michael Bay",Alexis Grapsas,6.3,164112,/hU42CRk14JuPEdqZG3AWmagiPAP.jpg,6,2024,26,a quiet place: day one,-28,19.3835025339459,0.6683966391015828,deadpool & wolverine,"blank (50), tribeca film festival (1), fan event (1), dolby cinema (1), imax (1), vod (1), internet (1), dvd,4k uhd,blu-ray (1), tv premiere (1)",50,1,58,0.02,no,no
801688,Kalki 2898-AD,6.5,145,Released,2024-06-26,141000000,176,75000000,tt12735488,te,కల్కి 2898-ఎ.డి,"In the year 2898 AD, around 6000 years after Kurukshetra war, Ashwatthama gears up for his final battle of redemption at the sign of hope in a dystopian world and Bhairava, a wisecracking and self-interested bounty hunter, tired of the perilous life becomes the hurdle in the process.",9.1851,"When the world is taken over by darkness, a new force will arise.","Drama, Action, Fantasy, Science Fiction","vyjayanthi movies, annapurna studios",India,తెలుగు,"Kamal Haasan, Ayaz Pasha, Joher, Dulquer Salmaan, Faria Abdullah, Rajendra Prasad, Dhruv Sincro, Krishnakumar Balasubramanian, Zoran Pecenkovic, Harshith Malgireddy, Brahmanandam, Keya Nair, Malavika Nair, Humhu, Saswata Chatterjee, Sanghwa Shin, Anil George, Srinivas Avasarala, Deepika Padukone, Disha Patani, Arjun Varma, Sanjay Ratha, Hamish Boyd, Asif, Aakash Srinivas, Đorđe Stojiljković, Keerthy Suresh, Anudeep, Oziel Jivani, Amitabh Bachchan, Rasool, Prabhas, Ram Gopal Varma, Venkata Ramana, Vijay Deverakonda, Advait Chauhan, Sai Krishna, Arjun Das, Padmaja, Kavya Ramachandran, Anna Ben, Prashant Yarramilli, Baby Sanvitha, S. S. Rajamouli, Santhosh Narayanan, Hearty Singh, Shobana, Vinay Kumar, Bhaskar, Anoushka Maskey, Mrunal Thakur, Pasupathy, Chandra Mohan",Nag Ashwin,Đorđe Stojiljković,"Chandrabose, Nag Ashwin, Sai Madhav Burra","C. Ashwini Dutt, Swapna Dutt, Priyanka Dutt",Santhosh Narayanan,7.0,72901,/rstcAnBeCkxNQjNp3YXrF6IP1tW.jpg,6,2024,26,kalki 2898-ad,-28,18.76427045543464,0.6470438088080911,deadpool & wolverine,"blank (24), limited (1), internet (3), busan international film festival (1), international film festival of india (1), tv release (1)",24,3,31,0.1,no,no
932086,Horizon: An American Saga - Chapter 1,6.9,578,Released,2024-06-26,38735702,182,50000000,tt17505010,en,Horizon: An American Saga - Chapter 1,"In 1859, families discover the lure of the Old West as they settle in territories from Wyoming to Kansas. Meanwhile, a gruff cowboy finds himself on the run with a prostitute and a young boy after killing a fellow gunman.",2.9979,The American saga begins this summer.,"Western, Drama",territory pictures,United States of America,"普通话, English, ","Lindsay Foster, Tatanka Means, Gregory Cruz, Bodhi Okuma Linton, James Landry Hébert, Dustyn Horse, Brandon Shaffer, Jim Lau, John Coinman, Tim Guinee, Douglas Smith, William McAllister, H. Jack Williams, Tiger Curran, Jon Beavers, Michael Rooker, Colin Cunningham, Boo Arnold, Aidan McCann, Daniel Link, Isabelle Fuhrman, Wasé Chief, Dalton Baker, Amos Little, Ryan Swanson, Dale Dickey, Zachary Hokeah, Michael Anthony Christian, Sam Worthington, Raynor Scheine, Adriane McLean, Dawn Lura, Bryan Hisey, Joe Burns, Derek Hinkey, Stephen Robert Schultz, Georgia MacPhail, Jena Malone, Aaron Bruderer, Hy Woong, Tom Payne, Hallie Purser, Ave Solvei, Michael Todd Behrens, Elizabeth Dennehy, Charles Halford, Whitney Palmer, Etienne Kellici, Chris Conner, Larry Bagby, John Melo, Claudia Conner, Leroy Silva, Steve Redd, Danny Huston, Cici Lau, David O'Hara, Ariel Llinas, Moimoi Gilmore, Nyla Eringer-Parker, Joseph Williams, Austin R. Grant, Roger Ivens, Jamie Campbell Bower, Antonio D. Charity, Liam Bradford, Duane Stephens, Naomi Winders, Fiyero Barehand, Will Patton, Chase Ramsey, Phoebe Ho, Kevin Costner, Cleo Eringer-Parker, Tice O. Guymon, Todd Allen, Scott Haze, Giovanni Ribisi, Luke Wilson, James Russo, Jeff Fahey, Owen Crow Shoe, Sarah Shippobotham, Hayes Costner, Abbey Lee, Ella Hunt, Sienna Miller, Samuel Gray, Michael Angarano, Alejandro Edda, Austin Archer, Keegan Perez, Teyton Allan Colbert, Angus Macfadyen",Kevin Costner,J. Michael Muro,"Jon Baird, Kevin Costner, Mark Kasdan","Charlie Lyons, Rod Lake, Kevin Costner, Danny Peykoff, Mark Gillard, Barry M. Berg, Howard Kaplan, Armyan Bernstein, Robert Scannell",John Debney,6.6,43321,/posWMQwX1HCIK26TGL3niJp5fg0.jpg,6,2024,26,horizon: an american saga - chapter 1,-28,17.472272290844337,0.6024921479601496,deadpool & wolverine,"cannes film festival (1), blank (32), internet (2), vod (1), dvd,4k uhd,blu-ray (1), asian world film festival (1), limited (1)",32,2,39,0.05,no,no
1160018,Kill,7.1,425,Released,2024-07-03,5600000,105,4800000,tt28259207,hi,किल,"When an army commando finds out his true love is engaged against her will, he boards a New Dehli-bound train in a daring quest to derail the arranged marriage. But when a gang of knife-wielding thieves begin to terrorize innocent passengers on his train, the commando takes them on, one by one.",6.1404,The end of the line starts here.,"Action, Crime, Thriller, Drama","sikhya entertainment, dharma productions",India,हिन्दी,"Tajinder, Avanish Pandey, Nikhil Kumar, Ajitabh Sengupta, Ravi Bhushan, Janvi Bansal, Bilal, Tanya Maniktala, Jatinder, Parth Tiwari, Komal Chhabria, Raghav Juyal, Lakshya Lalwani, Manoj Diwakar, Jitendra Sharma, Calib Logan, Moses Marton, Pramod Kumar, Jake Kashyap, Priyam Gupta, Ashok Pandey, Amaan, Anil Sansare, Nandini, Rupesh Kumar, Sahil Gangurde, Arun Thakur, Akash Pramanik, Mahinder Chauhan, Sajid Anwar, Akshay Vichare, Vivek Kashyap, Nazneen Madan, Faizal Sheikh, Riyaz Khan, Saurabh Singh Chauhan, Harsh Chhaya, Mohammed Javed, Shakti Singh, Bhupinder, Kashyap Kapoor, Ashish Vidhyarthi, Sharuq, Bhupendra Malhotra, Reyansh Goswami, Harinder Singh, Komal Sharma, Sameer, Manish Pandey, Ashraf, Pratap Verma, Abhishek Chauhan, Ashish Shirke, Bela Fernandes, Shivam Parmar, Sahil Takhi, Aman Waleski, Shubhranjan, Sandeep Shridhar Dhabale, Ashok Singh, Jaswant Singh Jassi, Ravi Sanghavi, Mukesh Chandelia, Yakub, Dip Boval, Monica, Devaang Bagga, Meenal Kapoor, Mohit Tripathi, Awdhesh Mishra, Belal Shanu, Vipan Dhavan, Manoj Modi, Aman Ball, Sajid, Yakub Ansari, Adrija Sinha, Prashant Sitansh, Subhan, Madhu Raja, Vishrut Kalra",Nikhil Nagesh Bhat,Rafey Mehmood,"Ayesha Syed, Nikhil Nagesh Bhat","Karan Johar, Hiroo Johar, Guneet Monga, Achin Jain, Apoorva Mehta, Prasanna R Coondapur",Ketan Sodha,7.4,44499,/m2zXTuNPkywdYLyWlVyJZW2QOJH.jpg,7,2024,27,kill,-21,15.53827733427679,0.7062853333762177,deadpool & wolverine,"toronto international film festival (1), fantastic fest (1), tribeca film festival (1), sydney film festival (1), limited (3), blank (21), octopus film festival (1), internet (2), fantasy filmfest (1), motelx - lisbon international horror film festival (1), dvd premiere (1), dvd and blu-ray premiere (1)",21,2,35,0.06,no,no
1023922,MaXXXine,6.3,1271,Released,2024-07-04,22057161,103,10000000,tt22048412,en,MaXXXine,"In 1980s Hollywood, adult film star and aspiring actress Maxine Minx finally gets her big break. But as a mysterious killer stalks the starlets of Hollywood, a trail of blood threatens to reveal her sinister past.",8.896,Hollywood is a killer.,"Horror, Thriller","a24, motel mojave, access entertainment",United States of America,English,"Sophie Thatcher, Kevin Bacon, Taylor Kowalski, Elizabeth Debicki, Daniel Lench, Lily Collins, Marcus LaVoi, Chloe Farnworth, Pegah Rashti, Moses Sumney, Clayton Farris, Uli Latukefu, Cecilia Yesuil Kim, Simon Prast, Larry Fessenden, Giancarlo Esposito, Bobby Cannavale, Charley Rowan McCain, Albert Kong, Brad Swanick, Deborah Geffner, Susan Pingleton, Ned Vaughn, Mia Goth, Michelle Monaghan, Vera Myers, Marlyn Ortiz, Toby Huss, James Hunter, Halsey, Zachary Mooren, Alison Wonderland, Melissa Kaye Bontempt, Allen Waiserman, Kristin Carey",Ti West,Eliot Rockett,Ti West,"Kevin Turen, Sam Levinson, Ti West, Peter Phok, Jeremy Reitz, Jacob Jaffke, Kid Cudi, Danny Cohen, Harrison Kreiss, Mia Goth, Ashley Levinson, Len Blavatnik",Tyler Bates,6.2,80514,/ArvoFK6nlouZRxYmtIOUzKIrg90.jpg,7,2024,27,maxxxine,-20,16.90914791437491,0.8051975197321385,deadpool & wolverine,"los angeles, california (1), premiere (1), early access (1), limited (2), blank (31), motelx - festival internacional de cinema de terror de lisboa (1), motelx - lisbon international horror film festival (1), internet (2), tv release (1), taipei golden horse film festival (1), hong kong international film festival (1)",31,2,43,0.05,no,no
