id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer,imdb_rating,imdb_votes,poster_path,release_month,release_year,iso_week,title_clean,distance,strength,score,marvel_movie,attributes,blank,internet,total,internet_ratio,internet_dominance,error
603692,John Wick: Chapter 4,7.7,7469,Released,2023-03-22,440157245,170,100000000,tt10366206,en,John Wick: Chapter 4,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",13.5874,"No way back, one way out.","Action, Thriller, Crime","thunder road, 87eleven, studio babelsberg, lionsgate","Germany, United States of America","ÿßŸÑÿπÿ±ÿ®Ÿäÿ©, ÂπøÂ∑ûËØù / Âª£Â∑ûË©±, English, Fran√ßais, Deutsch, Êó•Êú¨Ë™û, Latin, P—É—Å—Å–∫–∏–π, Espa√±ol","Julia Asuka Riedl, Iryna Fedorova, Keanu Reeves, Hishofuji Hiroki, Aim√©e Kwan, Sven Marquardt, Milena Rend√≥n, Donnie Yen, Lance Reddick, Hiroyuki Sanada, Scott Adkins, Clancy Brown, Lous and the Yakuza, Bill Skarsg√•rd, Ivy Quainoo, Daiki Suzuki, Raicho Vasilev, Yoshinori Tashiro, Shamier Anderson, Rina Sawayama, Natalia Tena, Christoph Hofmann, Marko Zaror, Laurence Fishburne, George Georgiou, Ian McShane, Irina Trifanov, Andrej Kaminsky",Chad Stahelski,Dan Laustsen,"Shay Hatten, Michael Finch, Derek Kolstad","Chad Stahelski, Erica Lee, Michael Paseornek, Basil Iwanyk, David Leitch, Keanu Reeves, Louise Rosner-Meyer","Tyler Bates, Joel J. Richard",7.6,397550,/vZloFAK7NmvMGKE7VkF5UHaz0I.jpg,3,2023,12,john wick: chapter 4,-42,19.90264259830526,0.4628521534489595,guardians of the galaxy vol. 3,"limited (1), south by southwest film festival (1), blank (65), fribourg international film festival (1), vod (1), internet (2), dvd,4k uhd,blu-ray (1), tv release (1)",65,2,73,0.03,no,no
493529,Dungeons & Dragons: Honor Among Thieves,7.33,4206,Released,2023-03-23,208200000,134,151000000,tt2906216,en,Dungeons & Dragons: Honor Among Thieves,"A charming thief and a band of unlikely adventurers undertake an epic heist to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.",9.0975,No experience necessary.,"Adventure, Fantasy, Comedy","entertainment one, paramount pictures","Canada, United States of America",English,"Daniel Campbell, Bryan Larkin, Rylan Jackson, Clayton Grover, Appy Pratt, Sophia Lillis, Sarah Amankwah, Seamus O'Hara, Kim Chapman, Moe Sasegbon, Chris Pine, Daisy Head, Luke Bennett, Edd Osmond, Ian Hanmore, Richie Wilson, Michael Redmond, Jeanne Nicole N√≠ √Åinle, Will Irvine, Adrian Christopher, Dan Poole, Richard Hall, Fionnlagh Allan, Natali Servat, David Durham, Richard Croxford, Hayley-Marie Axe, R.F. Daley, Niamh McCormack, Kyle Hixon, Jason Wong, Emer McDaid, Bridie Mayfield, Kenneth Collard, Justice Ritchie, Trevor Kaneswaran, Matthew Waterson, David Sobolov, Simon Ramshaw, Georgia Landers, Neil Stoddart, Bradley Cooper, Adam Behan, Edgar Abram, Spencer Wilding, Hugh Grant, Claude Starling, John Francis Daley, Paul Lancaster, Philip Brodie, Sophia Nell Huntley, Sharon Blynn, Rylee Neilly-Large, David Stanbra, Justice Smith, San Shella, Mark Epstein, Colin Carnegie, Tom Morello, Jeff Bottoms, Tom Mason Duffy, Paul Bazely, Barry O'Connor, Reg√©-Jean Page, Avril Murphy, Anton Simpson-Tidy, Chloe Coleman, Harriet Barrow, Jude Hill, Nicholas Blane, Michelle Rodriguez, Darren Kent","Jonathan Goldstein, John Francis Daley",Barry Peterson,"Jonathan Goldstein, Chris McKay, Michael Gilio, John Francis Daley","Brian Goldner, Jonathan Goldstein, John Francis Daley, Jeremy Latcham, Chris Pine, Greg Mooradian, Zev Foreman, Denis L. Stewart, Nick Meyer",Lorne Balfe,7.2,267572,/v7UF7ypAqjsFZFdjksjQ7IUpXdn.jpg,3,2023,12,dungeons & dragons: honor among thieves,-41,19.154009718948217,0.456047850451148,guardians of the galaxy vol. 3,"opening film (1), south by southwest film festival (1), premiere (1), limited (2), blank (45), early access (1), fan event (1), internet (4), dvd,4k uhd,blu-ray (1), dvd premiere (1), tv premiere (1)",45,4,59,0.07,no,no
555285,"Are You There God? It's Me, Margaret.",7.2,460,Released,2023-03-29,21800000,106,30000000,tt9185206,en,"Are You There God? It's Me, Margaret.","When her family moves from New York City to New Jersey, an 11-year-old girl navigates new friends, feelings, and the beginning of adolescence.",4.0491,Discovering who you are is a journey that lasts a lifetime.,"Comedy, Drama","gracie films, lionsgate",United States of America,"English, ◊¢÷¥◊ë÷∞◊®÷¥◊ô◊™","Echo Kellum, Sloane Warren, Michael Wolk, Dennis Delamar, Rachel McAdams, Isol Young, Tahirah Harrison, Samantha LeBrocq, Mike Platarote Jr., Mia Dillon, Simms May, George Cooper, Wally White, Kate MacCluggage, Gary Houston, Aidan Wojtak-Hissong, Katherine Mallen Kupferer, Eden Lee, Benny Safdie, Olivia Williams, Kathy Bates, Ariel DiDonato, Wilbur Fitzgerald, Joan Jackson, Jim France, JeCobi Swain, Zach Humphrey, Cooper Herrett, Deborah Helms, Amari Alexis Price, Jennifer Errington, Stephen Jackson, Landon S. Baxter, Johnny Land, Robert Haulbrook, Karen Macarah, Tanya J. McClellan, Gezell Fleming, Abby Ryder Fortson, Karen Aruj, Zack Brooks, Elle Graham, Evan Bergman, Ethan McDowell, Naida Nelson, Keya Hamilton, Judy Blume, Mary Clare Mitchell, Claude Deuce, Rakeem Massingill, Holli Saperstein, Mackenzie Joy Potter",Kelly Fremon Craig,Tim Ives,"Judy Blume, Kelly Fremon Craig","Julie Ansell, Judy Blume, Richard Sakai, Kelly Fremon Craig, Jonathan McCoy, Amy Brooks, James L. Brooks",Hans Zimmer,7.3,36256,/yb6UB4WC3znlwU0L4AqMnjR9G9S.jpg,3,2023,13,"are you there god? it's me, margaret.",-35,16.897420573630875,0.4693727937119687,guardians of the galaxy vol. 3,"san francisco international film festival (1), blank (6), vod (1), internet (6), blu-ray and dvd (1), new zealand international film festival (1), limited (1), tv release (1), leiden international film festival (1), stockholm international film festival (1), taipei golden horse film festival (1)",6,6,21,0.29,no,no
502356,The Super Mario Bros. Movie,7.6,10048,Released,2023-04-05,1362000000,93,100000000,tt6718170,en,The Super Mario Bros. Movie,"While working underground to fix a water main, Brooklyn plumbers‚Äîand brothers‚ÄîMario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",14.1135,Not all heroes wear capes. Some wear overalls.,"Family, Comedy, Adventure, Animation, Fantasy","universal pictures, illumination, nintendo","Japan, United States of America",English,"Barbara Harris, Jack Black, Fred Armisen, Andy Hirsch, Anya Taylor-Joy, Eric Bauza, Daniel Mora, Rino Romano, Juliet Jelenic, Eric E. Osmond, Chris Pratt, Jason Broad, Jeremy Maxwell, Willow Geer, Khary Payton, Rachel Butera, Kazumi Totaka, John DiMaggio, Cree Summer, Carlos Alazraqui, Scott Menville, Sebastian Maniscalco, Nora Wyman, Aaron Hendry, Nisa Ward, Cathy Cavadini, Django Craig, Noreen Reardon, Charles Martinet, Will Collyer, Keegan-Michael Key, Phil LaMarr, Lee Shorten, Charlie Day, Jessica DiCicco, Seth Rogen, Kevin Michael Richardson, Ashly Burch","Aaron Horvath, Michael Jelenic",,"AnChi Shen, Ed Skudder, Marco Allard, Brandon Jeffords, David D. Au, Jed Diffenderfer, Jerod Chirico, Calvin Tsang, Guy Bar'ely, Eric Favela, Matthew Fogel, Nima Azarba, Serguei Kouchnerov, Jeff Mednikow, James Krenzke, Tom Caulfield, Maxime Delalande, Bryan Cox, Mark Walton","Yusuke Beppu, Shigeru Miyamoto, Brett Hoffman, Bill Ryan, Chris Meledandri",Brian Tyler,7.0,278183,/qNBAXBIQlnOThrVvA6mA2B5ggV6.jpg,4,2023,14,the super mario bros. movie,-28,21.032220045407943,0.7252489670830327,guardians of the galaxy vol. 3,"los angeles, california (1), premiere (1), blank (84), internet (2), re-release (1), limited (1)",84,2,90,0.02,no,no
758323,The Pope's Exorcist,6.9,3004,Released,2023-04-05,76987621,103,18000000,tt13375076,en,The Pope's Exorcist,"Father Gabriele Amorth, Chief Exorcist of the Vatican, investigates a young boy's terrifying possession and ends up uncovering a centuries-old conspiracy the Vatican has desperately tried to keep hidden.",10.852,"Inspired by the actual files of Father Gabriele Amorth, Chief Exorcist of the Vatican.","Horror, Thriller","screen gems, 2.0 entertainment, loyola productions",United States of America,"English, Fulfulde, Deutsch, Italiano, Latin, Portugu√™s, Espa√±ol","Cornell John, Matthew Sim, Carrie Munro, Amey De Souza, Laurel Marsden, Derek Carroll, River Hawkins, Ella Cannon, Peter DeSouza-Feighoney, Paloma Bloyd, Marc Velasco, Edward Harper-Jones, Alessandro Gruttadauria, Tom Bonington, Daniel Zovatto, Ralph Ineson, Russell Crowe, Ed White, Jordi Collet, Santi Bay√≥n, Victor Sol√©, Andrea Dugoni, Neha Dubey, Ollie Ryan, Pablo Raybould, Bianca Bardoe, Niamh McHenry, Alex Essoe, Laila Barwick, Ryan O'Grady, Franco Nero, Gennaro Diana",Julius Avery,Khalid Mohtaseb,"R. Dean McCreary, Michael Petroni, Chester Hastings, Evan Spiliotopoulos, Gabriele Amorth","Doug Belgrad, Jeff Katz, Michael Patrick Kaczmarek, Sophie Cassidy, Jo Homewood, Eddie Siebert",Jed Kurzel,6.1,99604,/jFC4LS5qTAT3PinzdEzINfu1CV9.jpg,4,2023,14,the pope's exorcist,-28,18.159155213649015,0.6261777659878971,guardians of the galaxy vol. 3,"blank (42), tv premiere (1)",42,0,43,0.0,no,no
649609,Renfield,6.5,1989,Released,2023-04-07,26874347,93,65000000,tt11358390,en,Renfield,"Having grown sick and tired of his centuries as Dracula's lackey, Renfield finds a new lease on life ‚Äî and maybe even redemption ‚Äî when he falls for feisty, perennially angry traffic cop Rebecca Quincy.",6.5141,Sucks to be him.,"Comedy, Fantasy, Horror","skybound entertainment, universal pictures, giant wildcat",United States of America,"English, ‡∏†‡∏≤‡∏©‡∏≤‡πÑ‡∏ó‡∏¢","John Cihangir, Derek Russo, Natalie Allen, Juan Guzman, Victoria Walls, Awkwafina, Jenna Kanell, Michaela Todaro, Brianna Quinn Lewis, Victoria Pizzo, Marcus Lewis, Marvin Ross, Shohreh Aghdashloo, James Chavarria, Camille Chen, Ahmed Zakzouk, Betsy Borrego, Javonte Carney, Cody E. Olsen, Lena Clark, Christopher Matthew Cook, Caroline Williams, Rosha Washington, Christian Deshautelle, Raymond Turner, Adrian Martinez, Bess Rous, Michael P. Sullivan, T.C. Matherne, Keith Brooks, Joshua Mikel, Oren Michaeli, Jonathon Hannah, Chloe Adona, Sarah Durn, Rhonda Johnson Dents, George Lawrence II, Ahmari Vaughn, Dave Davis, Isabel Lacon, Gabriel 'G-Rod' Rodriguez, LeCont√© Banks, Miles Doleac, Hannah Hawkins, Tamika Jett, Krystal Tomlin, Anil Bajaj, Christopher Winchester, Christopher Clarke, Asiel Hardison, Ben Schwartz, Lucy Faust, Stephen Louis Grush, Susan McPhail, Nicolas Cage, Nick Drago, Joshua P. Bell, Maya Taylor, Hugo Perez, Brian Egland, Danya LaBelle, Camden McKinnon, Shelby Bradley, Nicholas Hoult, Will Thomas, Meagan Kong, Meghan Manning, Mike Harkins, James Moses Black, Lacey Dover, William Ragsdale, Jordan Harris, Brandon Scott Jones, Stefany Almendinger, Alain German",Chris McKay,Mitchell Amundsen,"Ryan Ridley, Bram Stoker, Robert Kirkman","David Alpert, Todd Lewis, Chris McKay, Bryan Furst, Robert Kirkman, Samantha Nisenboim, Sean Furst",Marco Beltrami,6.4,116917,/p6yUjhvNGQpFZilKwOKbxQ1eHlo.jpg,4,2023,14,renfield,-26,17.106682783652694,0.6335808438389887,guardians of the galaxy vol. 3,"overlook film festival (1), closing film (1), phoenix film festival (1), blank (49), brussels international fantastic film festival (1), vod (1), blu-ray and dvd (1), internet (2), tv release (1), 4k uhd (1)",49,2,59,0.03,no,no
713704,Evil Dead Rise,6.922,3430,Released,2023-04-12,147156372,96,15000000,tt13345606,en,Evil Dead Rise,"A reunion between two estranged sisters gets cut short by the rise of flesh-possessing demons, thrusting them into a primal battle for survival as they face the most nightmarish version of family imaginable.",8.7062,Mommy loves you to death.,"Horror, Thriller","new line cinema, pacific renaissance pictures, renaissance pictures, ghost house pictures, wild atlantic pictures","Ireland, New Zealand, United States of America",English,"Anna-Maree Thomas, Billy Reynolds-McCarthy, Alyssa Sutherland, Gabrielle Echols, Tai Wano, Bruce Campbell, Morgan Davies, Mark Mitchinson, Melissa Xiao, Richard Crouchley, Mirabai Pease, Nell Fisher, Jayden Daniels, Noah Paul, Lily Sullivan",Lee Cronin,Dave Garbett,"Sam Raimi, Lee Cronin","Robert Tapert, Macdara Kelleher, Sam Raimi, Bruce Campbell, Romel Adam, John Keville, Dave Neustadter, Richard Brener, Victoria Palmeri",Stephen McKeon,6.5,162423,/5ik4ATKmNtmJU6AYD0bLm56BCVM.jpg,4,2023,15,evil dead rise,-21,18.80700634125401,0.8548639246024549,guardians of the galaxy vol. 3,"south by southwest film festival (1), night visions international film festival (1), blank (38), fantasy filmfest (1), internet (2), blu ray release (1)",38,2,44,0.05,no,no
809787,Mafia Mamma,6.1,285,Released,2023-04-13,3900000,101,41000000,tt13923456,en,Mafia Mamma,"A suburban American woman inherits her grandfather‚Äôs Mafia empire and, guided by the Firm‚Äôs trusted consigliere, defies everyone‚Äôs expectations, including her own, as the new head of the family business.",2.9321,From suburban Mom to mafia Don.,"Comedy, Crime, Action","idea(l), vocab films, new sparta films, ingenious media, lipsync productions, cornerstone films","United Kingdom, United States of America, Italy","English, Italiano","Alessandro Cremona, Yonv Joseph, Tim Daish, Giuseppe Zeno, Bruno Bilotta, Eduardo Scarpetta, Stefano Militi, Claire Palazzo, Vincenzo Pirrotta, Livia De Paolis, Francesco Mastroianni, Anna Duska Bisconti, Michelangelo Dalisi, Jay Natelle, Riccardo Martini, Tommy Rodger, Gianpiero Zaino, Sophia Nomvete, Dora Romano, Alfonso Perugini, Giulio Maria Corso, Toni Collette, Monica Bellucci, Lana Gorianoy, Alessandro Bressanello, Mitch Salm",Catherine Hardwicke,Patrick Murguia,"Amanda Sthers, J. Michael Feldman, Debbie Jhoon","Kent Sanderson, Toni Collette, Amanda Sthers, Simon Baxter, Andrew Karpen",Alex Heffes,5.4,13653,/x83FFyGGux31l7OiF9NZHeq6ZWv.jpg,4,2023,15,mafia mamma,-20,15.1764873675101,0.722689874643338,guardians of the galaxy vol. 3,"blank (15), video premiere (2), internet (5), dvd premiere (1), tv premiere (1)",15,5,24,0.21,no,no
798286,Beau Is Afraid,6.724,1215,Released,2023-04-14,12337378,179,35000000,tt13521006,en,Beau Is Afraid,"Following the sudden death of his mother, a mild-mannered but anxiety-ridden man confronts his darkest fears as he embarks on an epic, Kafkaesque odyssey back home.",6.3768,From his darkest fears comes the greatest adventure.,"Comedy, Adventure, Fantasy","a24, square peg, ipr.vc, access entertainment","United States of America, Finland",English,"Alicia Rosario, Luz Tercero, Archie Madekwe, Julien Fortin, Th√©odore Pellerin, David Mamet, Zoe Lister-Jones, Steve Newburn, Kayla Dobilas, Arthur Holden, Peter Seaborne, John Walsh, Lily Bird, Patti LuPone, Ari Aster, Tyrone Benskin, Charles Hardy, Catherine B√©rub√©, Gord Robertson, Marc-Andr√© Brisebois, Lucas Gosselin, Joe Cobden, Marc-Andr√© Casavant, Harry Standjofski, Pamela Iveta, Jason Detheridge, Denis M√©nochet, Isabelle Brabant, Ernest-James Chuipka, Maev Beaty, Julian Richings, Parker Posey, Amy Ryan, Tristan D. Lalla, Genevi√®ve Marin, Michael Esper, Lee Villeneuve, Alex Bisping, Julia Antonelli, Manuel Tadros, Karim Babin, Bradley Fisher, Patrick Kwok-Choon, Nathan Lane, Bentley Hughes, Marie-Michelle Garon, James Cvetkovski, Anana Rydvald, Luis Oliva, Emmanuel Schwartz, Joaquin Phoenix, Richard Kind, Sylvain Landry, Hayley Squires, Luke Alexander James McPhail, Kylie Rogers, Fran√ßois Paquette, Stephanie Herrera, Mike Taylor, Barry Morgan, Michael Gandolfini, Kwasi Songui, Greg Halpin, Bill Hader, Ryan S. Hill, Stephen McKinley Henderson, Armen Nahapetian, Cat Lemieux, Tarah Schwartz, Karl Roy",Ari Aster,Pawel Pogorzelski,Ari Aster,"Danny Cohen, Timo Argillander, Elisa Alvares, Ari Aster, Lars Knudsen, Ann Ruark, Len Blavatnik",Bobby Krlic,6.6,75974,/wgVkkjigF31r1nZV80uV0xNIoun.jpg,4,2023,15,beau is afraid,-19,16.328144155178315,0.8164072077589157,guardians of the galaxy vol. 3,"special screening (2), new york city (1), prague (1), closing film (1), golden horse fantastic film festival (1), blank (40), bcn film fest (1), blu-ray release (1), internet (2), limited (1), jueves críticos con santas listas (1)",40,2,52,0.04,no,no
913673,Nefarious,6.8,404,Released,2023-04-14,5400000,98,3000000,tt14537248,en,Nefarious,"On the day of his scheduled execution, a convicted serial killer gets a psychiatric evaluation during which he claims he is a demon, and further claims that before their time is over, the psychiatrist will commit three murders of his own.",3.159,Speak of the devil.,"Horror, Drama","believe entertainment, soli deo gloria releasing",United States of America,English,"Mark De Alessandro, Tina Toner, Glenn Beck, Angela Baumgardner, Daniel Martin Berkey, Sheran Goodspeed Keyton, Robert Peters, Jordan Belfi, Jarret LeMaster, Sheila Hart, Sean Patrick Flanery, Tom Ohmer, Darrin Merlino, Eric Hanson, Grifon Aldren, John Cann, Stelio Savante, Sarah Hernandez, Cameron Arnett, James Healy Jr., Jeremy Miller, Maura Corsini, Cedric St. Clair","Chuck Konzelman, Cary Solomon",Jason Head,"Chuck Konzelman, Cary Solomon","Sheila Hart, Chuck Konzelman, Chris Jones, Cary Solomon",Bryan E. Miller,6.4,37321,/xwjWUAajQJPj5aik1tounPguZbz.jpg,4,2023,15,nefarious,-19,15.501909696719672,0.7750954848359836,guardians of the galaxy vol. 3,"plano, texas (1), premiere (1), internet (3), blank (13), blu-ray & dvd premiere (1)",13,3,19,0.16,no,no
