id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer,imdb_rating,imdb_votes,poster_path,release_month,release_year,iso_week,title_clean,distance,strength,score,marvel_movie,attributes,blank,internet,total,internet_ratio,internet_dominance,error
27573,The Bounty Hunter,5.9,2946,Released,2010-03-16,136300000,110,40000000,tt1038919,en,The Bounty Hunter,"Milo Boyd, a down-on-his-luck bounty hunter, thinks he's seeing an upswing in fortune when he gets a call to bring in his bail-jumping ex-wife, a reporter named Nicole. Milo considers the job an easy payday, but Nicole quickly escapes to chase a lead on a murder case. The former spouses play an escalating game of one-upmanship, until they suddenly find themselves on the run for their lives.",5.55,"It's a Job. It Isn't Personal. Well, Maybe a Little...","Action, Comedy, Romance","original film, relativity media, columbia pictures",United States of America,English,"Edward Mitchell, Matt Malloy, Tracy Thorne, Adam Rose, Eric Zuckerman, Christine Baranski, Jayne Houdyshell, Dorian Missick, Christian Borle, Wally Dunn, Jason Sudeikis, David Costabile, Joel Marsh Garland, Cathy Moriarty, Jason Kolotouros, Brooke Allison, Gerard Butler, Lou Sumrall, Peter Greene, Siobhan Fallon Hogan, Gio Perez, Charles Techman, Lynda Gravatt, Charlie Hewson, Harry Zittel, Patrick Mitchell, Amanda Hope Dutton, Jennifer Aniston, Adam LeFevre, Jeff Garlin, Carol Kane, Mary Testa, Ritchie Coster",Andy Tennant,Oliver Bokelberg,Sarah Thorp,"Neal H. Moritz, Ori Marmur, Wink Mordaunt, Robyn Meisinger, Donald J. Lee Jr., Ryan Kavanaugh",George Fenton,5.6,138945,/fJPKar0jnAsS09l3xfP6LL8sUkX.jpg,3,2010,11,the bounty hunter,-43,18.73036890400352,0.4256902023637163,iron man 2,"london (1), premiere (1), blank (76), german speaking region (1), italian speaking region (1), french speaking region (1), shanghai international film festival (1), blu-ray premiere (1), internet (1)",76,1,84,0.01,no,no
41211,Heartbreaker,6.6,1372,Released,2010-03-17,47355187,105,8700000,tt1465487,fr,L'Arnac≈ìur,Alex and his sister run a business designed to break up relationships. They are hired by a rich man to break up the wedding of his daughter. The only problem is that they only have one week to do so.,1.9456,He's broken every heart except his own‚Ä¶ until now.,"Romance, Comedy","focus features, quad productions, chaocorp, ocs, banque populaire images 10, script associ√©s, a plus image, universal pictures, kinology","France, United States of America","Fran√ßais, Êó•Êú¨Ë™û, Espa√±ol, ÊôÆÈÄöËØù, ÿßŸÑÿπÿ±ÿ®Ÿäÿ©, English","Julie Ferrier, L√©ticia Belliccini, Camille Figuereo, Andrew Lincoln, Caroline Derrien, Caroline Duris, Nina M√©lo, Elodie Frenck, Amandine Dewasmes, Adina Cartianu, Tarek Boudali, Jacques Frantz, Philippe Lacheau, Gianfranco Poddighe, H√©l√®ne Liber, Karima Gouit, Cathy Darietto, Fran√ßois Damiens, Geoffrey Bateman, Natasha Cashman, Patrick Massiah, Romain Duris, Jean-Yves Lafesse, Jean-Marie Paris, H√©l√©na Noguerra, Cl√©mentine Niewdanski, Victoria Silvstedt, √àve Chems de Brouwer, Vanessa Paradis, Julien Arruti, Audrey Lamy",Pascal Chaumeil,Thierry Arbogast,"Yohan Gromb, Jeremy Doner, Laurent Zeitoun","Yann Zenou, Nicolas Duval Adassovsky, Laurent Zeitoun",Klaus Badelt,6.7,28277,/sw7Sc4u2A9Y0dZ1543MoGVaQdmI.jpg,3,2010,11,heartbreaker,-42,17.673186938648186,0.4110043474104229,iron man 2,"l'alpe d'huez international comedy film festival (1), blank (42), french speaking region (1), city of lights, city of angels (1), tribeca film festival (1), sacramento french film festival (1), edinburgh international film festival (1), karlovy vary international film festival (1), odessa international film festival (1), boston french film festival (1), québec (1), limited (1), vietnam international film festival (1), german speaking region (1), festival du film français au japon (1), mandaluyong (1), french film festival (1)",42,0,58,0.0,no,no
50598,Zonad,4.2,6,Released,2010-03-17,2500000,78,3000000,tt1105748,en,Zonad,"Zonad (Simon Delaney) is from space‚Ä¶probably. Or so the Cassidy family assume when they discover an apparent alien in a shiny red space suit and helmet passed out on the living room floor beside the drinks cabinet. The Cassidys and the people of Ballymoran make the intriguing visitor feel very welcome (and in the case of mother Mary, Donna Dent, and teenage minx Jenny, Janice Byrne, they make him feel very welcome indeed). At first, Zonad tries to evade the warm welcome of the villagers, although the procession of wanton women and free beer gets the better of him. Why give up on a good thing?",0.7788,From Space... (Probably),Comedy,"element pictures, f√≠s √âireann/screen ireland",Ireland,English,"Simon Delaney, Bernie Butler, David Pearse, Donna Dent, Rory Keenan, Janice Byrne, Geoff Minogue, David Murray","John Carney, Kieran Carney",,"John Carney, Kieran Carney","Andrew Lowe, John McDonnell, Ed Guiney",Brian Byrne,5.2,373,/7F38IbH2LBLEubWVtytQBBGU5Mv.jpg,3,2010,11,zonad,-42,14.731801689838347,0.3426000392985662,iron man 2,"galway film fleadh (1), blank (1), shanghai international film festival (1), athens film festival (1), leeds international film festival (1), uk premiere (1)",1,0,6,0.0,no,no
10191,How to Train Your Dragon,7.853,13869,Released,2010-03-18,495141736,98,165000000,tt0892769,en,How to Train Your Dragon,"As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast ‚Äì which he names Toothless ‚Äì much to the chagrin of his warrior father.",10.8836,One adventure will change two worlds.,"Fantasy, Adventure, Animation, Family",dreamworks animation,United States of America,English,"Jonah Hill, Jay Baruchel, Robin Atkin Downes, Christopher Mintz-Plasse, Kristen Wiig, T.J. Miller, David Tennant, Ashley Jensen, Kieron Elliott, Philip McGrade, Craig Ferguson, Gerard Butler, Randy Thom, America Ferrera","Dean DeBlois, Chris Sanders",Gil Zimmerman,"Stephan Franck, David G. Derrick Jr., Chris Sanders, Cressida Cowell, William Davies, Dean DeBlois","Tim Johnson, Bonnie Arnold, Kristine Belson",John Powell,8.1,872074,/ygGmAO60t8GyqUo9xYeYxSZAR3b.jpg,3,2010,11,how to train your dragon,-41,20.02035461691998,0.4766751099266662,iron man 2,"blank (79), premiere (1), german speaking region (1), italian speaking region (1), french speaking region (1), beijing (1), blu-ray and dvd (1), fanter film festival (1), mt. fuji-kawaguchiko lake film festival (1), 4k uhd (1), harvard film archive (1), tokyo international film festival (1), re-release (1), hawaii film festival (1)",79,0,92,0.0,no,no
31867,Repo Men,6.336,1998,Released,2010-03-18,18409891,111,32000000,tt1053424,en,Repo Men,"In the future, medical technology has advanced to the point where people can buy artificial organs to extend their lives. But if they default on payments, an organization known as the Union sends agents to repossess the organs. Remy is one of the best agents in the business, but when he becomes the recipient of an artificial heart, he finds himself in the same dire straits as his many victims.",4.9127,Consider them your final notice.,"Action, Science Fiction, Thriller, Crime","relativity media, stuber pictures, universal pictures, dentsu","Canada, United States of America",English,"RZA, Max Turnbull, Chandler Canterbury, Kristina Pesic, Alicia Turner, Daniel L√©vesque, John Leguizamo, Daniel Kash, Lea Violette, Denis Akiyama, Alice Braga, Forest Whitaker, Yvette Nicole Brown, Howard Hoover, Charlene Lynn Chartrand, Raff Law, Wayne Ward, Emily Lineham, Bruce Gooch, Joe Pingue, Tiffany Espensen, Jessica Phillips, Rebecca Applebaum, Erin Reese, Sherry Shaoling, Marty Adams, Tannis Burnett, Christina Giuseppe, Tanya Clarke, Lina So, Jude Law, Liev Schreiber, Dorly Jean-Louis, Ashleigh Hubbard, Liza Lapira, Carice van Houten",Miguel Sapochnik,Enrique Chediak,"Garrett Lerner, Eric Garcia","Jon Mone, Scott Stuber, Mary Parent, Andrew Z. Davis, Mike Drake",Marco Beltrami,6.3,113470,/briDKf5nrLzox2zcI6pquKeqWz8.jpg,3,2010,11,repo men,-41,16.728398686815083,0.3982952068289305,iron man 2,"dvd premiere (10), blank (20), amsterdam fantastic film festival (1), dvd and blu-ray premiere (1), blu-ray release (1), tv release (1), internet (2)",20,2,36,0.06,no,no
42188,Never Let Me Go,6.8,2375,Released,2010-03-18,9918093,103,15000000,tt1334260,en,Never Let Me Go,"As children, Kathy, Ruth, and Tommy spend their childhood at an idyllic and secluded English boarding school. As they grow into adults, they must come to terms with the complexity and strength of their love for one another while also preparing for the haunting reality awaiting them.",6.1633,These students have everything they need. Except time.,"Drama, Romance, Science Fiction","dna films, film4 productions",United Kingdom,English,"Damien Thomas, Nathalie Richard, Ella Purnell, Rachel Boss, Anna Maria Everett, Charlotte Rampling, Christina Carrafiell, Luke Bryant, Izzy Meikle-Small, Sylvie Macdonald, Domhnall Gleeson, Monica Dolan, Fidelis Morgan, Andrea Riseborough, Keira Knightley, Carey Mulligan, Oliver Parsons, Amy Lennox, John Gillespie, Charles Cork, Huggy Leaver, Kate Bowes Renna, Kate Sissons, Charlie Rowe, David Sterne, Lydia Wilson, Hannah Sharp, Chidi Chickwe, Sally Hawkins, Andrew Garfield",Mark Romanek,Adam Kimmel,"Kazuo Ishiguro, Alex Garland","Kazuo Ishiguro, Allon Reich, Alex Garland, Tessa Ross, Andrew Macdonald",Rachel Portman,7.1,158425,/8F0r5ng9Fp60OhzQfR5v33fppq.jpg,3,2010,11,never let me go,-41,16.109871323703583,0.3835683648500853,iron man 2,"telluride film festival (1), premiere (2), toronto international film festival (1), limited (4), québec (1), warsaw film festival (1), bfi london film festival (1), blank (32), abu dhabi film festival (1), gent international film festival (1), são paulo international film festival (1), tokyo international film festival (1), new british film festival (1), night visions film festival (1), taipei golden horse film festival (1), mar del plata film festival (1), noir in festival (1), international film festival rotterdam (1), dvd premiere (4), göteborg international film festival (1), villeurbanne british and irish film festival (1), blu-ray release (1), manila cine europa film festival (1), kawasaki shinyuri film festival (1), blu-ray premiere (1), internet (1)",32,1,64,0.02,no,no
33217,Diary of a Wimpy Kid,6.3,1688,Released,2010-03-19,76196538,92,15000000,tt1196141,en,Diary of a Wimpy Kid,"Greg Heffley is headed for big things, but first he has to survive the scariest, most humiliating experience of any kid‚Äôs life ‚Äì middle school! That won‚Äôt be easy, considering he‚Äôs surrounded by hairy-freckled morons, wedgie-loving bullies and a moldy slice of cheese with nuclear cooties!",5.2546,"It's not a diary, it's a movie.","Comedy, Family","dayday films, color force, dune entertainment, fox 2000 pictures","United Kingdom, United States of America",English,"Rachael Harris, John Cygan, Owen Best, Brandon Barton, Ava Hughes, Adom Osei, Chlo√´ Grace Moretz, Ryan Grantham, Haris Cash, Sean Bygrave, Cole Heppell, Nathan Smith, Greta Makena Gibson, Willem Jacobson, Alicia Takase Lui, Alf Humphreys, Nathaniel Marten, Tara McGuire, Jennifer Clement, Owen Fielding, Robert Capron, Severin Korfer, Laine MacNeil, Peter New, Brent Chapman, Taya Clyne, Karan Brar, Mariah Crudo, Raugi Yu, Emerald Schreier, Brett Dier, Ben Mitchell, Alex Ferris, Aidan Gebert, Naomi Dane, Ethan Shankaruk, Samuel Patrick Chu, Zachary Gordon, Kinua McWatt, Madison Bell, Andrew McNee, Connor Fielding, Steve Zahn, Jesse Wheeler, Jake D. Smith, Nicholas Carey, Cameron Krpan, Rylee Stiles, Talon Dunbar, Paolo Tolfo, Maxine Miller, Nikki Frazer, Harrison Houde, Samantha Page, Alistair Abell, Dylan Bell, Karin Konoval, Tori Christianson, Cainan Wiebe, Cindy Busby, Jay Sidhu, Amy Esterle, Belita Moreno, Paul Hubbard, Grayson Russell, Kaye Capron, Rob LaBelle, Donnie MacNeil, Devon Bostick",Thor Freudenthal,Jack N. Green,"Gabe Sachs, Jeff Judah, Jackie Filgo, Jeff Kinney, Jeff Filgo","Nina Jacobson, Brad Simpson, Jeff Kinney",Theodore Shapiro,6.2,64001,/iLAGiPnSuODt9cn332bkFElrRig.jpg,3,2010,11,diary of a wimpy kid,-40,18.14882659967785,0.4426543073092158,iron man 2,"alexandria, virginia (1), premiere (1), internet (4), blank (18), dvd premiere (11), tvcine (1), blu-ray premiere (1), blu ray premiere (1)",18,4,38,0.11,no,no
42194,Tekken,5.352,707,Released,2010-03-20,967000,92,30000000,tt0411951,en,Tekken,"In the year of 2039, after World Wars destroy much of the civilization as we know it, territories are no longer run by governments, but by corporations; the mightiest of which is the Mishima Zaibatsu. In order to placate the seething masses of this dystopia, Mishima sponsors Tekken, a tournament in which fighters battle until only one is left standing.",2.4114,Survival is no game,"Crime, Drama, Action, Thriller, Science Fiction","namco, crystal sky pictures, warner bros. pictures, gaga communications, warner bros. japan","Japan, United States of America","Êó•Êú¨Ë™û, ÊôÆÈÄöËØù, English","Mircea Monroe, Taiyo Sugiura, Candice Hillebrand, Jonathan Patrick Foo, Anton Kasabov, Marian Zapico, Ian Anthony Dale, Cassie Shea Watson, Gary Daniels, Darrin Henson, Tamlyn Tomita, John Pyper-Ferguson, Cung Le, Kelly Overton, Jae Hee, Jonathan Kowalsky, Gary Ray Stearns, Lateef Crowder, Cary-Hiroyuki Tagawa, Dallas Liu, Alan B. McElroy, Luke Goss",Dwight H. Little,Brian J. Reynolds,Alan B. McElroy,"Steven Paul, Carsten H.W. Lorenz, Scott Karol, Masaya Nakamura, Daniel Diamond, Benedict Carver, Tetsu Fujimura",John Hunter,4.8,29354,/1xO2LirDZstkqZic1FwfK6GJIHH.jpg,3,2010,11,tekken,-39,13.78195480856106,0.3445488702140265,iron man 2,"blank (9), dvd and blu-ray premiere (1), dvd premiere (9), tv premiere (1), tv release (1)",9,0,21,0.0,no,no
18823,Clash of the Titans,5.9,6494,Released,2010-03-26,493214993,106,125000000,tt0800320,en,Clash of the Titans,"Born of a god but raised as a man, Perseus is helpless to save his family from Hades, vengeful god of the underworld. With nothing to lose, Perseus volunteers to lead a dangerous mission to defeat Hades before he can seize power from Zeus and unleash hell on earth. Battling unholy demons and fearsome beasts, Perseus and his warriors will only survive if Perseus accepts his power as a god, defies fate and creates his own destiny.",6.4362,The clash begins.,"Adventure, Fantasy, Action","the zanuck company, legendary pictures, thunder road, moving picture company, warner bros. pictures","United States of America, United Kingdom",English,"Ashraf Barhom, William Houston, Natalia Vodianova, David Kennedy, Liam Neeson, Tine Stapelfeldt, Alexander Siddig, Izabella Miko, Danny Huston, Charlotte Comer, Gemma Arterton, Pete Postlethwaite, Vincent Regan, Katherine Loeppky, Jamie Sives, Alexa Davalos, Phil McKee, Ralph Fiennes, Elizabeth McGovern, Mads Mikkelsen, Rory McCann, Polly Walker, Michael Grady-Hall, Agyness Deyn, Jason Flemyng, Geoffrey Beevers, Laura Kachergus, Graham Hughes, Liam Cunningham, Adrian Bouchet, Jane March, Louis Leterrier, Tamer Hassan, Mouloud Achour, Kaya Scodelario, Nathalie Cox, Nina Young, Sam Worthington, Luke Treadaway, Hans Matheson, Katrina Vasilieva, Luke Evans, Ian Whyte, Sinead Michael, Ross Mullan, Robin Berry, Nicholas Hoult, Martin McCann",Louis Leterrier,Peter Menzies Jr.,"Travis Beacham, Matt Manfredi, Phil Hay","Basil Iwanyk, Thomas Tull, Dale Alexander Carnegie, Richard D. Zanuck, Karl McMillan, William Fay, Jon Jashni, Lynn Harris, Kevin De La Noy",Ramin Djawadi,5.8,302228,/3W6QaC3Vz8UJhr6HRYuGfbNeJCs.jpg,3,2010,12,clash of the titans,-33,20.0164557302522,0.5887192861838882,iron man 2,"blank (71), french speaking region (1), german speaking region (1), buenos aires (1), premiere (1), italian speaking region (1), roma (1)",71,0,77,0.0,no,no
23048,Hot Tub Time Machine,6.0,2599,Released,2010-03-26,64780213,101,36000000,tt1231587,en,Hot Tub Time Machine,"Four pals are stuck in a rut in adulthood: Adam has just been dumped, Lou is a hopeless party animal, Nick is a henpecked husband, and Jacob does nothing but play video games in his basement. But they get a chance to brighten their future by changing their past after a night of heavy drinking in a ski-resort hot tub results in their waking up in 1986.",5.6465,Forget the present. Change the future. Kick some past.,"Science Fiction, Comedy, Adventure","metro-goldwyn-mayer, new crime productions, lakeshore entertainment, united artists",United States of America,English,"Josh Heald, Eli Jane, Yan-Kay Crystal Lowe, Chad MacDonald, Lynda Boyd, Adrienne Rusk, Crispin Glover, Jessica Par√©, Lyndsy Fonseca, Brook Bennett, Lars Anderson, Kellee Stewart, Clark Duke, Amber Hay, William Zabka, Jamie Switch, Amy Esterle, Donald MacDonald, Megan Holmes, Ecstasia Sanders, Rob Corddry, Keith Roenke, Ava Leemet, Ryan Guldemond, Aliu Oyofo, Jake Rose, Marie West, Michael Roberds, Blaine Anderson, Lizzy Caplan, Cole Carson, Chad Garner, Austin Warren, Robert Wu, Chevy Chase, Daren A. Herbert, Paul Dzenkiw, Willy Lavendel, Eddie Ruttle, Diora Baird, Rob LaBelle, Jacob Blair, Sebastian Stan, Anthony Dallas, Luke Ryan, Collette Wolfe, Charlie McDermott, Craig Robinson, Rhys Williams, Natalia Dawn, Odessa Rojen, Geoff Gustafson, Brent Lister, Crystal Tisiga, Adam Sabla, Anthony Pagni, Jocelyn C. Waugh, Heathcliffe Scaddan, Jeremy Page, Julia Maxwell, Peter Wilson, John Cusack, Curtis Santiago, Viv Leacock, Thomas Lennon",Steve Pink,Jack N. Green,"Sean Anders, John Morris, Josh Heald","John Cusack, Matt Moore, Grace Loh, Michael Nelson",Christophe Beck,6.4,194558,/wjzbVXAes1acbh6k4OO5xVfy5.jpg,3,2010,12,hot tub time machine,-33,17.98651077519073,0.5290150227997273,iron man 2,"hollywood, california (1), premiere (1), blank (39), blu-ray premiere (1), dvd premiere (5), tv release (2), blu-ray release (1)",39,0,50,0.0,no,no
