id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer,imdb_rating,imdb_votes,poster_path,release_month,release_year,iso_week,title_clean,distance,strength,score,marvel_movie,attributes,blank,internet,total,internet_ratio,internet_dominance,error
524434,Eternals,6.8,8809,Released,2021-11-03,402064899,156,200000000,tt9032400,en,Eternals,"The Eternals are a team of ancient aliens who have been living on Earth in secret for thousands of years. When an unexpected tragedy forces them out of the shadows, they are forced to reunite against mankind’s most ancient enemy, the Deviants.",11.219,In the beginning...,"Science Fiction, Action, Adventure",marvel studios,United States of America,"العربية, English, हिन्दी, Latin, Español","Umair Mufti, Sebastian Senior, Anthony Pius, Jenny Sepiere, Barry Keoghan, Sneya Rajani, Abhishek Mukherjee, Alan Scott, Vladimirs Kozevnikovs, Harry Styles, Sarshi Soni, Don Lee, Alberto Rodríguez, Shiva Raichandani, Amran Hussain, Ascension Martinez Rubio, Manuel Pazhedath, Bill Skarsgård, Anushka Conway, Salma Hayek Pinault, Tarique Pacheco, Nidhi Joshi, Amar Bains, Kumail Nanjiani, Mahershala Ali, Kit Harington, Priyanka Chauhan, Vibhuti-Sheena Patel, Monsur Ali, Harkiran Virdee, Lauren Ridloff, Giursaran Kohli, Chrisoulla Spyrindonos, Derek Horsham, Priyani Elleni Shah, Gurpreet Sian, Reuben George, Saaj Raja, Ismail Mughal, Grahame Fox, Sanjay Dattani, Digvijay Rathod, Ozer Ercan, Medhavi Patel, Shreya Vadnerkar, Hari Patel, Ramzan Miah, Richard Madden, Hannah Dodd, Orson Rosenberg, Aaron Mistry, Nisha Aaliya, Aakash Shukal, Brian Tyree Henry, Zain Al Rafeea, Rickesh Chauhan, Yanich Gharity, Sherisse Bisram, Anekha Pillai, Bhavini Sheth, Ankush Saigal, Charithra Chandran, Ariadna Vadillo Soto, Krupali Khimasia, Adrià Escudero, Marissa Hussain, Chloe Stannage, Esha Jass, Harish Patel, Lia McHugh, Brenda Lorena Garcia, David Kaye, Nikkita Chadha, Shamina Patel, Angelina Jolie, Amun Bhacu, Jeff Mirza, Kaajel Patel, Esai Daniel Cross, Shahazan Miah, Gemma Chan, Lucia Efstathiou, Haaz Sleiman, Patton Oswalt, Sonal Chakrauaratl, Eddie Saleem, Sebastián Viveros",Chloé Zhao,Ben Davis,"Jim Starlin, Chloé Zhao, Ryan Firpo, Jack Kirby, Kaz Firpo, Patrick Burleigh","Louis D'Esposito, Victoria Alonso, Kevin De La Noy, Nate Moore, Kevin Feige",Ramin Djawadi,6.2,418364,/lFByFSLV5WDJEv3KabbdAF959F2.jpg,11,2021,44,eternals,-42,19.81212407633888,0.4607470715427646,spider-man: no way home,"los angeles (1), premiere (3), rome film festival (1), blank (68), madrid (1), fan event (1), internet (1), dvd and blu-ray premiere (1)",68,1,77,0.01,no,no
512195,Red Notice,6.8,6134,Released,2021-11-04,178143,118,160000000,tt7991608,en,Red Notice,"An Interpol-issued Red Notice is a global alert to hunt and capture the world's most wanted. But when a daring heist brings together the FBI's top profiler and two rival criminals, there's no telling what will happen.",7.9167,Pro and cons.,"Action, Comedy, Crime","flynn picture company, seven bucks productions, bad version",United States of America,"English, Bahasa indonesia, Italiano, Pусский, Español","Robert Mata, George Tsai, Joseph A. Garcia, Martin Harris, Ryan Reynolds, Yosef Podolski, Ethan Herschenfeld, Daniel Bernhardt, Jay Romero, Elbert Kim, Brenna Marie Narayan, Nick Arapoglou, Victoria Paige Watkins, Robert Clotworthy, Guy Nardulli, Seth Michaels, Chris Diamantopoulos, Ivan Mbakop, Ritu Arya, Vincenzo Amato, Alexander Perkins, Dwayne Johnson, Anthony Belevtsov, Gonzalo Escudero, Tom Choi, Sebastien Large, Andrew Hunter, Rafael Petardi, Steve Eifert, Robert Tinsley, Rawson Marshall Thurber, Ed Sheeran, Gal Gadot",Rawson Marshall Thurber,Markus Förderer,Rawson Marshall Thurber,"Dwayne Johnson, Hiram Garcia, David B. Householter, Scott Sheldon, Beau Flynn, Dany Garcia, Rawson Marshall Thurber, Wendy Jacobson",Steve Jablonsky,6.3,346812,/lAXONuqg41NwUMuzMiFvicDET9Y.jpg,11,2021,44,red notice,-41,12.090347490983234,0.2878654164519817,spider-man: no way home,"limited (4), blank (7), internet (35), camerimage international film festival (1)",7,35,47,0.74,yes,no
716612,Spencer,6.8,1753,Released,2021-11-04,25246967,117,18000000,tt12536294,en,Spencer,"During her Christmas holidays with the royal family at the Sandringham estate in Norfolk, England, Diana decides to leave her marriage to Prince Charles.",3.4074,Every fairy tale ends.,"Drama, History","filmnation entertainment, komplizen film, shoebox films, fabula, fabula","Chile, Germany, United Kingdom, United States of America",English,"James Gerard, Christin Schreiber, Olga Hellsing, James Harkness, Amy Manson, Stella Gonet, Wendy Patterson, Greta Bücker, Jack Nielen, Sally Hawkins, John Keogh, Richard Sammel, Ben Plunkett-Reynolds, Matthias Wolkowski, Emma Darwall Smith, Kristen Stewart, Oriana Gordon, Kimia Schmidt, Sami Amber, Ian Ashpitel, Thomas Douglas, Freddie Spry, Camille Loup Moltzen, Mudassar Dar, Sean Harris, Jack Farthing, Michael Epp, Lore Stefanek, Libby Rodliffe, Niklas Kohrt, Peter Lee, Elizabeth Berrington, Timothy Spall, Laura Benson, Marianne Graffam, Henry Castello, Tom Hudson, Ryan Wichert",Pablo Larraín,Claire Mathon,Steven Knight,"Isabell Wiegand, Paul Webster, Ryan Heller, Maria Zuckerman, Christina Zisa, Pablo Larraín, Jeff Deutchman, Michael Bloom, Maren Ade, Tom Quinn, Janine Jackowski, Juan de Dios Larraín, Jonas Dornbach, Steven Knight, Ben von Dobeneck, Sarah Nagel",Jonny Greenwood,6.5,80879,/j0XxLH1QcOrnyxBLvMYWJZSzLfH.jpg,11,2021,44,spencer,-41,17.044216627267637,0.4058146816016104,spider-man: no way home,"venice film festival (1), telluride film festival (1), toronto international film festival (1), zurich film festival (1), bfi london film festival (1), hamptons international film festival (1), heartland international film festival (1), mill valley film festival (1), film fest gent (1), san diego international film festival (1), independent film festival boston (1), newport beach international film festival (1), philadelphia international film festival (1), chicago international film festival (1), montclair film festival (1), vienna international film festival (1), leiden international film festival (1), austin film festival (1), scad savannah film festival (1), virginia film festival (1), blank (45), moma - the contenders (1), miami film festival (1), ljubljana international film festival (1), stockholm international film festival (1), madrid (1), premiere (1), international film festival of india (1), palm springs international film festival (1), internet (1), 4k version (1), shanghai international film festival (1)",45,1,76,0.01,no,no
592508,Sooryavanshi,5.8,164,Released,2021-11-05,35000000,145,13000000,tt9531772,hi,सूर्यवंशी,"A fearless, faithful albeit slightly forgetful Mumbai cop, Veer Sooryavanshi, the chief of the Anti-Terrorism Squad in India pulls out all the stops and stunts to thwart a major conspiracy to attack his city.",2.1231,Police is coming.,"Action, Crime, Thriller","reliance entertainment, dharma productions, rohit shetty productionz",India,हिन्दी,"Javed Jaffrey, Rajendra Gupta, Mrunal Jain, Amritpal Singh, Ashish Warang, Siddharth Jadhav, Katrina Kaif, Shaji Choudhary, Jackie Shroff, Sofiya Khan, Niharica Raizada, Asif Basra, Gulshan Grover, Uday Tikekar, Anil Charanjeett, Abhimanyu Singh, Sikandar Kher, Krishna Kotian, Vivan Bhatena, Ajay Devgn, Kishor Mahabole, Akshay Kumar, Sukanya Dhanda, Anuradha Chandan, Jayant Sawarkar, Kumud Mishra, Nikitin Dheer, Pradeep Kabra, Meenal Sahu, Shruti Ulfat, Micky Makhija, Ranveer Singh",Rohit Shetty,Jomon T John,"Shabbir Ahmed, Ritesh Shah, Rashmi Virag, Anand Bakshi, Sanchit Bedre, Farhad Samji, Vidhi Ghodgaonkar, Yunus Sajawal","Akshay Kumar, Apoorva Mehta, Hiroo Johar, Rohit Shetty, Karan Johar, Aruna Bhatia",JAM8,5.8,80834,/oCymRm6FG62zrKnXiHHJvDgkYoA.jpg,11,2021,44,sooryavanshi,-40,17.370858648025116,0.4236794792201248,spider-man: no way home,"blank (10), barcelona (1), madrid (1), english subtitled version (4), santa cruz de tenerife (1), event release (2), limited (3), internet (4)",10,4,26,0.15,no,no
585245,Clifford the Big Red Dog,7.2,1779,Released,2021-11-10,107347356,97,64000000,tt2397461,en,Clifford the Big Red Dog,"As Emily struggles to fit in at home and at school, she discovers a small red puppy who is destined to become her best friend. When Clifford magically undergoes one heck of a growth spurt, becomes a gigantic dog and attracts the attention of a genetics company, Emily and her Uncle Casey have to fight the forces of greed as they go on the run across New York City. Along the way, Clifford affects the lives of everyone around him and teaches Emily and her uncle the true meaning of acceptance and unconditional love.",4.3156,Adventure has never been bigger.,"Family, Adventure, Comedy, Fantasy","paramount pictures, entertainment one, new republic pictures, scholastic entertainment, the kerner entertainment company","Canada, United States of America",English,"David Alan Grier, Russell Wong, Keith Ewell, Russell Peters, Sienna Guillory, John Cleese, Izaac Wang, Kenan Thompson, Darby Camp, Jessica Keenan Wynn, Tovah Feldshuh, Karen Lynn Gorney, Paul Rodríguez, Melanie Chandra, Ty Jones, Brianna Colette, Rosie Perez, Jack Whitehall, Horatio Sanz, Adam Keane, Jackson Frazer, Siobhan Fallon Hogan, Tony Hale, Alex Moffat, Kevin McCormick, Yasha Jackson, Bear Allen-Blaine",Walt Becker,Peter Lyons Collister,"Ellen Rapoport, Blaise Hemingway, Jay Scherick, Justin Malen, Norman Bridwell, David Ronn","Deborah Forte, Jordan Kerner, Brian Oliver, Lisa Crnic, Brian Bell, Valerii An, Bradley J. Fischer, Caitlin Friedman",John Debney,5.9,18329,/30ULVKdjBcQTsj2aOSThXXZNSxF.jpg,11,2021,45,clifford the big red dog,-35,18.491580461585414,0.5136550128218171,spider-man: no way home,"blank (55), internet (3), spain (1), yelmo exclusive (1), premiere (1)",55,3,61,0.05,no,no
587668,The Gravedigger's Wife,6.7,30,Released,2021-11-12,36006,83,1300000,tt4440842,fi,Guled & Nasra,"Guled and Nasra are a loving couple, living in the outskirts of Djibouti city with their teenage son, Mahad. However, they are facing difficult times: Nasra urgently needs an expensive surgery to treat a chronic kidney disease. Guled is already working hard as a gravedigger to make ends meet.",0.8467,"The deeper the love, the greater the sacrifices.",Drama,"bufo, pyramide productions, twenty twenty vision filmproduktion","Finland, France, Germany",Somali,"Saad Ahmed Roble, Lula Ali Ismaïl, Omar Abdi, Saharla Ahmed Moussein, Hamdi Ahmed Omar, Mohamed Laurent Absie, Awa Ali Nour, Mahamoud Abdillahi Abdi, Mouhoubo Osman Eleyeh, Mohamed Moussa Goumaneh, Samaleh Ali Obsieh, Radiya Omar, Kadir Said Khaireh, Fahmi Guirreh Bouh, Djama Ibrahim Osman, Sermaan Abdoulkader Omar, Fardouza Moussa Egueh, Faiza Ibrahim Aden, Yasmin Warsame, Kadar Adboul-Aziz Ibrahim, Abdillahi Doualeh Robleh, Amina Ayanleh Omar",Khadar Ayderus Ahmed,Arttu Peltomaa,Khadar Ayderus Ahmed,"Martin Hampel, Robin Boespflug-Vonier, Misha Jaari, Risto Nikkilä, Thanassis Karathanos, Mark Lwoff, Stéphane Parthenay",André Matthias,6.4,868,/c4COWFUlnTBb1w9RZQsBJHk2Axx.jpg,11,2021,45,the gravedigger's wife,-33,10.49146864298082,0.3085726071464947,spider-man: no way home,"cannes international critics' week (1), melbourne international film festival (2), toronto international film festival (1), helsinki international film festival (1), hamburg film festival (1), festival du film arabe de fameck (1), fespaco festival (1), bfi london film festival (1), chicago international film festival (1), valladolid international film festival (1), sydney film festival (1), blank (5), san francisco international film festival (1), internet (2), new york african film festival (1), hong kong international film festival (1), filmbath festival (1), tv release (2)",5,2,25,0.08,no,no
777270,Belfast,7.059,1595,Released,2021-11-12,49158343,98,11000000,tt12789558,en,Belfast,"Buddy is a young boy on the cusp of adolescence, whose life is filled with familial love, childhood hijinks, and a blossoming romance. Yet, with his beloved hometown caught up in increasing turmoil, his family faces a momentous choice: hope the conflict will pass or leave everything they know behind for a new life.",3.6179,"No matter how far you go, you never forget where you came from.","Drama, History","tkbc, northern ireland screen","United Kingdom, United States of America","English, Português","Judi Dench, Michael Maloney, Mark Hadfield, Scarlett Nunes, Matthew Blaney, Freya Yates, Rachel Feeney, Bill Branagh, Lara McDonnell, Colin Morgan, Gerard McCarthy, Scott Gutteridge, Gerard Horan, Elly Condron, Samuel Menhinick, Leonard Buckley, Drew Dillon, Caitríona Balfe, Kit Rakusen, Charlie Barnard, Olive Tennant, Frankie Hastings, Nessa Eriksson, Joyce Branagh, James O'Donnell, Ciarán Hinds, Chris McCurry, Sid Sagar, Conor MacNeill, Orla McDonagh, Ian Dunnett Jnr, Estelle Cousins, Oliver Savell, John Sessions, Ross O'Donnellan, Josie Walker, Lewis McAskie, Jamie Dornan, Serrana Su-Ling Bliss, Mairéad Tyers, Caolan McCarthy, Turlough Convery, Olivia Flanagan, Jude Hill, Victor Alli, Vanessa Ifediora",Kenneth Branagh,Haris Zambarloukos,Kenneth Branagh,"Laura Berwick, Kenneth Branagh, Tamar Thomas, Becca Kovacik",Van Morrison,7.2,99532,/4xs6nHNBjYpRymw8ZQmnVIbJ8Xa.jpg,11,2021,45,belfast,-33,17.71055715617121,0.5208987398873886,spider-man: no way home,"telluride film festival (1), toronto international film festival (1), hamburg film festival (1), vancouver international film festival (1), bfi london film festival (1), heartland international film festival (1), mill valley film festival (1), san diego international film festival (1), philadelphia international film festival (1), rome film festival (1), chicago international film festival (1), independent film festival boston (1), newport beach international film festival (1), scad savannah film festival (1), virginia film festival (1), montclair film festival (1), scottsdale international film festival (1), miami film festival (1), academy museum of motion pictures (1), los angeles premiere (1), blank (33), tallinn black nights film festival (1), seville european film festival (1), los cabos international film festival (1), stockholm international film festival (1), rio de janeiro international film festival (1), red sea international film festival (1), barcelona (1), subtitled version (2), premiere (2), madrid (1), blu-ray release (2), greek film archive (1), santa barbara international film festival (1), dvd premiere (2), internet (1), european union film festival 2022 (1), tv premiere (1)",33,1,74,0.01,no,no
425909,Ghostbusters: Afterlife,7.335,4939,Released,2021-11-18,204334455,124,75000000,tt4513678,en,Ghostbusters: Afterlife,"When single mom Callie and her two kids Trevor and Phoebe arrive in a small Oklahoma town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.",5.5677,Discover the past. Save the future.,"Fantasy, Comedy, Adventure, Science Fiction","columbia pictures, bron studios, the montecito picture company, ghost corps","Canada, United States of America",English,"Shohreh Aghdashloo, Josh Gad, Daniel D'Angelo Sparks, Ernie Hudson, Stella Aykroyd, Olivia Wilde, Faith Louissaint, Bob Gunton, Carrie Coon, Sydney Mae Díaz, Danielle Kennedy, Ira Heiden, Celeste O'Connor, Paul Rudd, Tracy Letts, Marlon Kazadi, Bill Murray, Dan Aykroyd, Chiara Petersen, CJ Collard, Annie Potts, Mckenna Grace, Hannah Duke, Dusan Rokvic, Finn Wolfhard, Emma Portner, Billy Bryk, Logan Kim, Sarah Natochenny, Sigourney Weaver, J.K. Simmons, Bud Klasky, Harold Ramis, Crystal Roseborough, Artoun Nazareth, Kim Faires, Oliver Cooper, Bokeem Woodbine, Paulina Alexis, Shawn Seward",Jason Reitman,Eric Steelberg,"Gil Kenan, Jason Reitman, Harold Ramis, Dan Aykroyd","Michael Beugg, Jason Cloth, Patrice Avery, Ivan Reitman, Gil Kenan, Tom Pollock, Amie Karp, Dan Aykroyd, Aaron L. Gilbert, Joe Medjuck, Jason Blumenfeld",Rob Simonsen,7.0,236906,/sg4xJaufDiQl7caFEskBtQXfD4x.jpg,11,2021,46,ghostbusters: afterlife,-27,19.13526869950766,0.683402453553845,spider-man: no way home,"new york comic con (1), premiere (2), rome film festival (1), blank (59), internet (2), limited (2), stockholm international film festival (1), dvd premiere (1), spain (1), blu-ray release (1)",59,2,71,0.03,no,no
614917,King Richard,7.617,2697,Released,2021-11-18,39400000,144,50000000,tt9620288,en,King Richard,"The story of how Richard Williams served as a coach to his daughters Venus and Serena, who will soon become two of the most legendary tennis players in history.",15.6779,"Venus, Serena and a plan for greatness.","Drama, History","star thrower entertainment, westbrook, warner bros. pictures, overbrook entertainment",United States of America,English,"Erin Cummings, Sophia Sanders, Gjee Wade II, Mary Pascoe, Kevin Dunn, Wil J. Jackson, Mikayla LaShae Bartholomew, Jonathan Bray, Katrina Begin, Doug Simpson, Sean Fabian Billings, Katie McCabe, Teri Cohn, Hannah Barefoot, Dan Sachoff, Marcela Zacarias, Andy Bean, Kaitlyn Christian, Jake Jensen, George Ketsios, Alden Sherrill, Matt Kirkwood, Tony Goldwyn, Virginia Schneider, Connie Ventress, Tom Degnan, Erika Ringor, Kika Cicmanec, Chet Grissom, Aunjanue Ellis-Taylor, Tory N. Thompson, Ebboney Wilson, Gunner Wright, Iva Jovic, Mel Fair, Gabi Stewart, Diana Dray, Albert Ton, Christian Yeung, Robert Walker Jeffery, Danya LaBelle, Andy Hoff, Mathew Trent Hunnicutt, John Dinan, Jon Bernthal, Craig Tate, Carrie Gibson, Noah Bean, Chris Pentzell, Dylan McDermott, Brad Greenquist, Rod Sweitzer, Jeff Cohn, Holly Haggerty, Hailey Winslow, Mia Jovic, Demi Singleton, Brandon Morales, Johnno Wilson, Susie Abromeit, Adam Cropper, Daniele Lawson, Saniyya Sidney, Judith Chapman, Eman Esfandi, Layla Crawford, Rich Sommer, Jeni Jones, Erica Shaffer, Chase Del Rey, Chris Wolfe, Aryn Nelson, Tom Holmes, Sophia Bui, Michael Andrew Baker, Valerie Davidson, Josiah Cross, Will Smith, Robert Nuscher, Geoff Nathanson, Tristan Nokes, Jimmy Walker Jr., Jessica Wacnik, Christopher Wallinger, Sean Berube, Trent Longo, Calvin Clausell Jr., Vaughn W. Hebron, Vivienne Bersin, Kamea Medora",Reinaldo Marcus Green,Robert Elswit,Zach Baylin,"Serena Williams, Jon Mone, Peter Dodd, James Lassiter, Trevor White, Will Smith, Allan Mandelbaum, Adam Merims, Isha Price, Tim White, Jada Pinkett Smith, Lynn Harris, Venus Williams",Kris Bowers,7.5,150227,/2dfujXrxePtYJPiPHj1HkAFQvpu.jpg,11,2021,46,king richard,-27,17.489276399648872,0.6246170142731741,spider-man: no way home,"telluride film festival (1), bfi london film festival (1), heartland international film festival (1), chicago international film festival (1), philadelphia international film festival (1), leiden international film festival (1), sydney film festival (1), miami film festival (1), coronado island film festival (1), camerimage international film festival (1), afi fest (1), blank (46), limited (1), internet (3), mar del plata film festival (1), moma - the contenders (1), santa barbara international film festival (1), dvd premiere (1), tv premiere (1)",46,3,66,0.05,no,no
460458,Resident Evil: Welcome to Raccoon City,5.953,2596,Released,2021-11-24,41914915,107,25000000,tt6920084,en,Resident Evil: Welcome to Raccoon City,"Once the booming home of pharmaceutical giant Umbrella Corporation, Raccoon City is now a dying Midwestern town. The company’s exodus left the city a wasteland…with great evil brewing below the surface. When that evil is unleashed, the townspeople are forever…changed…and a small group of survivors must work together to uncover the truth behind Umbrella and make it through the night.",5.7455,Witness the beginning of evil.,"Action, Horror, Science Fiction","constantin film, screen gems, davis raccoon films","Germany, United States of America, Canada",English,"Tom Hopper, Lily Gao, Holly de Barros, Pamela MacDonald, Stephannie Hawkins, Kalie Hunter, Sammy Azero, Lily Gail Reid, Nathaniel McParland, Janet Porter, Avan Jogia, Sophia Ann Pead Galvin, Heloise Catherine Pead Galvin, Josh Cruddas, Kaya Scodelario, Robert Chaumont, Nathan Dales, Marina Mazepa, Avaah Blackwell, Chad Rook, Dylan Taylor, Carson Manning, Daxton Gujral, Pat Thornton, Jason Lee Bell, Kelly Reich, Donal Logue, Robbie Amell, Hannah John-Kamen, Jenny Young, Neal McDonough, Matthew MacCallum, Andrea Ciacci",Johannes Roberts,Maxime Alexandre,Johannes Roberts,"Victor Hadida, Jeremy Bolt, James Harris, Martin Moszkowicz, Hartley Gorenstein, Paul W. S. Anderson, Robert Kulzer",Mark Korven,5.2,69998,/bArhvjRHl535XMaSh9VjInF2mSZ.jpg,11,2021,47,resident evil: welcome to raccoon city,-21,17.55115231199626,0.7977796505452844,spider-man: no way home,"paris (1), premiere (1), blank (46), limited (1), internet (5), video premiere (2)",46,5,56,0.09,no,no
