id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer,imdb_rating,imdb_votes,poster_path,release_month,release_year,iso_week,title_clean,distance,strength,score,marvel_movie,attributes,blank,internet,total,internet_ratio,internet_dominance,error
70160,The Hunger Games,7.219,22743,Released,2012-03-12,694000000,142,75000000,tt1392170,en,The Hunger Games,"In a dystopian society where the Capitol forces each district to send two young tributes to fight to the death in a televised spectacle, a girl volunteers to take her sister‚Äôs place, setting the stage for a struggle of survival and defiance.",5.79,The world will be watching.,"Science Fiction, Adventure, Action, Thriller","lionsgate, color force",United States of America,English,"Karan Kendrick, Phillip Troy Linger, Toby Jones, John Ross, Julie Ivey, Stanley Tucci, Ethan Jamieson, Sandino Moya-Smith, Donald Sutherland, Judd Lormand, Imanol Yepez-Frias, Kate Kneeland, Nelson Ascencio, Jeremy Marinas, Ian Nelson, Isabelle Fuhrman, Jack Quaid, Tim Taylor, Wes Bentley, Paula Malcomson, Amber Chaney, Rhoda Griffis, Jacqueline Emerson, Anthony Reynolds, Woody Harrelson, Kelly Lynn Reiter, Raiko Bowman, Kalia Prescott, Amandla Stenberg, Rachel Huggins, Leven Rambin, Steve Coulter, Lenny Kravitz, Liam Hemsworth, Mackenzie Lintz, Latarsha Rose, Annie Thurman, Brooke Bundy, Kimiko Gelman, Willow Shields, Jennifer Lawrence, Sharon Conley, Dakota Hood, Shane Bissell, Josh Hutcherson, Mark Meekins, Sandra Ellis Lafferty, Elizabeth Banks, Dwayne Boyd, Dayo Okeniyi, Alexander Ludwig",Gary Ross,Tom Stern,"Billy Ray, Gary Ross, Suzanne Collins","Nina Jacobson, Suzanne Collins, Robin Bissell, Jon Kilik, Louise Rosner-Meyer",James Newton Howard,7.2,1061398,/yXCbOiVDCxO71zI7cuwBRXdftq8.jpg,3,2012,11,the hunger games,-44,20.357982519912,0.4523996115536,the avengers,"los angeles, california (1), premiere (2), buenos aires (1), blank (71), deauville film festival (2), re-release (2)",71,0,79,0.0,no,no
72197,The Pirates! In an Adventure with Scientists!,6.5,1160,Released,2012-03-12,123054041,88,60000000,tt1430626,en,The Pirates! In an Adventure with Scientists!,"The enthusiastic Pirate Captain, along with his rag-tag crew, sets out to beat his bitter rivals. The chaotic adventure takes them from exotic shores to Victorian London, and from a haplessly smitten scientist to a diabolical queen.",2.0659,It's a plunderful life.,"Animation, Adventure, Family, Comedy","aardman, columbia pictures, sony pictures animation",United Kingdom,English,"Jeremy Piven, Peter Lord, Kayvan Novak, √âdouard Baer, Ashley Jensen, David Tennant, Martin Freeman, Ben Whitehead, Sophie Jerrold, Brendan Gleeson, David Schaal, Tom Doggart, Imelda Staunton, David Schneider, Sophie Laughton, Salma Hayek Pinault, Hugh Grant, Brian Blessed, Mike Cooper, Lenny Henry, Russell Tovey",Peter Lord,,"Mike Smith, Robert Stevenhagen, Jean-Philippe Vine, Jean-Paul Vermeulen, Jay Clarke, Andy Janes, Sharon Smith, Gideon Defoe, David Vinicombe, Ashley Boddy, Kris Pearn, Paul Bolger","Julie Lockhart, David Sproxton, Peter Lord, Carla Shelley",Theodore Shapiro,6.7,53625,/bkLeXPDP6sramrTiF5W7TzUl4t0.jpg,3,2012,11,the pirates! in an adventure with scientists!,-44,18.628134182697437,0.4139585373932763,the avengers,"dvd premiere (1), blank (48)",48,0,49,0.0,no,no
64688,21 Jump Street,6.882,10660,Released,2012-03-14,201585328,109,42000000,tt1232829,en,21 Jump Street,"When cops Schmidt and Jenko join the secret Jump Street unit, they use their youthful appearances to go undercover as high school students. They trade in their guns and badges for backpacks, and set out to shut down a dangerous drug ring. But, as time goes on, Schmidt and Jenko discover that high school is nothing like it was just a few years earlier -- and, what's more, they must again confront the teenage terror and anxiety they thought they had left behind.",5.8198,The only thing getting blown tonight is their cover.,"Action, Comedy, Crime","columbia pictures, relativity media, original film, metro-goldwyn-mayer, stephen j. cannell productions, sjc studios",United States of America,English,"Charles Ferrara, Johnny Simmons, Brett Lapeyrouse, Peter Epstein, Turner Crumbley, Andrea Madison, D.J. Mills, Geraldine Singer, Jake Johnson, Tony Longo, Nick Offerman, Joe Chrest, Joe Nin Williams, Luis Da Silva, Jr., Holly Robinson Peete, Lindsey Broad, Chanel Celaya, Johnny Pemberton, Dave Franco, Dakota Johnson, Rye Rye, Anthony Molinari, Chad Hessler, Jonah Hill, Courtney Jarrell, Melissa Cordero, Beau DeLatte, Joshua Nelms, Caroline Aaron, Kevin Michael Murphy, Mark Adams, Johnny Depp, Brie Larson, Chris Parnell, Ellie Kemper, Spencer Boldman, Haley Farris, Justin Hires, Victor Paguia, Dominic 'Taz' Alexander, Mike Seal, Stanley Wong, Peter DeLuise, Ice Cube, Andrea Frankle, Tiffney Wagoner, Channing Tatum, Carol Sutton, Candi Brooks, Brittney Alger, Keith Kurtz, Brian H. Rossitto, DeRay Davis, Valerie Tian, Randal Reeder, Dax Flame, Jaren Mitchell, Rob Riggle, Hristo Birbochukov","Christopher Miller, Phil Lord",Barry Peterson,"Patrick Hasburgh, Jonah Hill, Michael Bacall, Stephen J. Cannell","Ezra Swerdlow, Channing Tatum, Tania Landau, Stephen J. Cannell, Jonah Hill, Neal H. Moritz",Mark Mothersbaugh,7.2,632788,/8v3Sqv9UcIUC4ebmpKWROqPBINZ.jpg,3,2012,11,21 jump street,-42,19.121723318695956,0.4446912399696734,the avengers,"south by southwest film festival (1), blank (83), german speaking region (1), blu-ray premiere (1), dvd premiere (3), shanghai international film festival (2)",83,0,91,0.0,no,no
60747,Red Dawn,5.7,1677,Released,2012-03-15,44806783,93,65000000,tt1234719,en,Red Dawn,"A city in Washington state awakens to the surreal sight of foreign paratroopers dropping from the sky‚Äîshockingly, the U.S. has been invaded and their hometown is the initial target. Quickly and without warning, the citizens find themselves prisoners and their town under enemy occupation. Determined to fight back, a group of young patriots seek refuge in the surrounding woods, training and reorganizing themselves into a guerrilla group of fighters.",6.9047,Welcome to the Home of the Brave,"Action, Thriller","contrafilm, united artists",United States of America,"English, ÌïúÍµ≠Ïñ¥/Ï°∞ÏÑ†Îßê","Spencer Strong Smith, Kenneth Choi, Noah Smith, Sam Looc, Amanda Bright, Robert Laenen, Matthew Yang King, Fernando Chien, Rusty Mewha, Dwight Sora, Alyssa Diaz, Brett Cullen, Dan Lewis, Choua Kue, Bernadette Balagtas, Stephen Oyoung, Vincent Rogo Angelini, Jeffrey Dean Morgan, Julian Alcaraz, Boyuen, Linda Boston, Connor Cruise, Doug Kolbicz, Misty Mills, JB Blanc, Matt Gerald, Pak Ho-Sung, Jacquelyn Evola, Jacqueline Forton, Isabel Lucas, Edwin Hodge, Michael Beach, Bill Lumbert, Simon Rhee, Steve Lenz, Chameria Law, Lucas Kerr, Mike Ancrile, Ron Causey, Chris Hemsworth, Josh Hutcherson, Josh Peck, Adrianne Palicki, Ron Yuan, Mark Schlereth, Arnold Agee, Steven Hauptman, Steven Chan, Nicholas Yu, Cindy Chu, Chris Kotcher, Zachary Schafer, Will Yun Lee, Michael A. Knight, Courtney Parkinson, Brian D. Thibault, P.J. Edwards, Richard 'Rick' Bobier",Dan Bradley,Mitchell Amundsen,"Carl Ellsworth, Jeremy Passmore","Kevin Halloran, Vincent Newman, Beau Flynn, Tripp Vinson",Ramin Djawadi,5.3,83076,/aHdxKDX36NOEYE2NyAyP7ThuAcm.jpg,3,2012,11,red dawn,-41,17.617870114492494,0.419473097964107,the avengers,"austin fantastic fest (1), blank (26), internet (2), blu-ray and dvd (1), dvd and blu-ray premiere (1), dvd premiere (4), blu-ray release (1), tv premiere (2), tv release (1)",26,2,39,0.05,no,no
62764,Mirror Mirror,5.923,3223,Released,2012-03-15,183018522,106,85000000,tt1667353,en,Mirror Mirror,"After she spends all her money, an evil enchantress queen schemes to marry a handsome, wealthy prince. There's just one problem - he's in love with a beautiful princess, Snow White. Now, joined by seven rebellious dwarves, Snow White launches an epic battle of good vs. evil...",6.5319,The Snow White legend comes alive.,"Adventure, Comedy, Family, Fantasy","misher films, relativity media, yucaipa films, goldmann pictures, rat entertainment, misha films",United States of America,English,"Jordan Prentice, Andr√© Lanthier, Stephanie Moseley, Lisa Noto, Nadia Verrucci, Sebastian Saraceno, M√©lodie Simard, Nicholas Guest, Joe Gnoffo, William Calvert, Melantha Blackthorne, Alex Ivanovici, Eric Davis, Michael Lerner, Lisa Roberts Gillan, Arthur Holden, Armie Hammer, Nathan Lane, Richard Jutras, Bonnie Bentley, Helene Robbie, Kwasi Songui, Mare Winningham, Tammy Nera, Vicky Lambert, Kimberly-Sue Murray, Louise Hradsky, Julia Roberts, Robert Emms, Dawn Ford, Martin Klebba, Jason Cavalier, Frank Welker, Ronald Lee Clark, Lily Collins, Danny Woodburn, Mark Povinelli, Sean Bean, Finder's Key, Adam Butcher, Kathleen Fee",Tarsem Singh,Brendan Galvin,"Jason Keller, Marc Klein, Jacob Grimm, Wilhelm Grimm, Melisa Wallack","Jamie Marshall, Kevin Misher, Ryan Kavanaugh, Ajit Singh, Jason Colbeck, Josh Pate, Ken Halsband, Robbie Brenner, Andy Berman, Brett Ratner, Tucker Tooley, Tommy Turtle, Nico Soultanakis, John Cheng, Bernie Goldmann, Jeff G. Waxman",Alan Menken,5.6,94337,/pys6zIJN8Sxlk2Ss2GZuYuXPbtw.jpg,3,2012,11,mirror mirror,-41,19.02509792426267,0.4529785220062541,the avengers,"blank (65), dvd premiere (1)",65,0,66,0.0,no,no
80389,Get the Gringo,6.6,1699,Released,2012-03-15,8826837,96,35000000,tt1567609,en,Get the Gringo,A career criminal nabbed by Mexican authorities is placed in a tough prison where he learns to survive with the help of a 9-year-old boy.,4.5536,The odds are against him. So is everyone else.,"Action, Thriller, Crime, Drama","icon productions, redrum","United States of America, Mexico","English, Espa√±ol","Dean Norris, Denise Gossett, Patrick Bauchau, Gustavo S√°nchez Parra, Dagoberto Gama, Peter Gerety, Mayra S√©rbulo, Mario Zaragoza, Clayton J. Barber, Scott Cohen, Bob Gunton, Tom Schanley, Regina Orozco, Suzanne Cryer, Stephanie Lemelin, I√±aki Goci, Mel Gibson, Roberto Sosa, Blue Demon Jr., Daniel Gim√©nez Cacho, Tenoch Huerta Mej√≠a, Paloma Arredondo, Guillermo R√≠os, √Ångeles Cruz, Peter Stormare, Jace Jeanes, Gerardo Taracena, Manuel Dom√≠nguez, Jes√∫s Ochoa, Kevin Hernandez, Zak Knutson, Dolores Heredia, J.J. Perry, Fernando Becerril",Adrian Gr√ºnberg,Beno√Æt Debie,"Mel Gibson, Stacy Perskie, Adrian Gr√ºnberg","Len Blavatnik, Vicki Christianson, Mel Gibson, Stacy Perskie, Bruce Davey",Antonio Pinto,6.9,114077,/y4IACuEUGkygp2QsZPUEMY5Tlft.jpg,3,2012,11,get the gringo,-41,15.993307411052715,0.3807930335964932,the avengers,"blank (50), video on demand (1), buenos aires (1), premiere (1), dvd and blu-ray premiere (1), internet (2), dvd premiere (1)",50,2,57,0.04,no,no
82532,"Jeff, Who Lives at Home",6.2,666,Released,2012-03-16,4400000,83,10000000,tt1588334,en,"Jeff, Who Lives at Home","Dispatched from his basement room on an errand for his mother, slacker Jeff might discover his destiny (finally) when he spends the day with his brother as he tracks his possibly adulterous wife.",0.7715,The first step to finding your destiny is leaving your mother's basement.,"Drama, Comedy","indian paintbrush, paramount vantage, right of way films, duplass brothers productions, mr. mudd",United States of America,English,"Robert Larriviere, Geraldine Glenn, Ernest James, Raion Hill, Eddie Matthews, Tim J. Smith, Katie Aselton, Tammi Arender, Steve Zissis, Joe Chrest, Laurie Lee, Savanna Kinchen, Wally Crowder, Rae Dawn Chong, J.D. Evermore, John Neisler, Rahsaana Ison, Zac Cino, Lee Nguyen, Carol Jean Wells, Lauren Rae Sullivan, Benjamin Brant Bickham, Deneen Tyler, Randall Kamm, Joy Kate Lawson, Ian Hoch, Scotty Whitehurst, Ed Helms, David Kency, Jennifer Lafleur, Lisa Mackel Smith, Matt Malloy, Kassidy Ison, Jason Segel, Scheryl W Brown, Cindy Williamson, Judy Greer, Lance E. Nichols, Jesse Moore, Evan Ross, Carol Sutton, Susan Sarandon","Mark Duplass, Jay Duplass",Jas Shelton,"Mark Duplass, Jay Duplass","Jay Duplass, Helen Estabrook, Steven M. Rales, Mark Duplass, Jason Reitman, Lianne Halfon, Russell Smith",Michael Andrews,6.4,66263,/eh8KzVUzOeZES67FPjO8NktLtY7.jpg,3,2012,11,"jeff, who lives at home",-40,15.29711532616119,0.3731003738088095,the avengers,"toronto international film festival (1), austin film festival (1), limited (2), blank (5), karlovy vary international film festival (1), dvd premiere (6), american film festival (1), tv premiere (2)",5,0,19,0.0,no,no
94329,The Raid,7.4,3688,Released,2012-03-22,9148519,101,1100000,tt1899353,id,Serbuan Maut,"Deep in the heart of Jakarta's slums lies an impenetrable safe house for the world's most dangerous killers and gangsters. Until now, the run-down apartment block has been considered untouchable to even the bravest of police. Cloaked under the cover of pre-dawn darkness and silence, an elite swat team is tasked with raiding the safe house in order to take down the notorious drug lord that runs it.  But when a chance encounter with a spotter blows their cover and news of their assault reaches the drug lord, the building's lights are cut and all the exits blocked. Stranded on the sixth floor with no way out, the unit must fight their way through the city's worst to survive their mission. Starring Indonesian martial arts sensation Iko Uwais.",4.7479,"1 Ruthless Crime Lord, 20 Elite Cops, 30 Floors of Hell.","Action, Thriller, Crime","celluloid dreams, pt. merantau films, xyz films","Indonesia, France, United States of America",Bahasa indonesia,"A. Amarudin, Yayan Ruhian, Yandi Sutisna, R. Iman Aji, Eka Aprilyana, Ubay Dillah, Wijanarko, Henriza Tamara, Rahmad Idayad, Emanuel Y. Ceufin, Hekmadiah, Rico, Udeh Nans, Ade Sudiarto, Eka 'Piranha' Rahmadia, Fachrudin Midun, Victoria, Gregorius Ludony, Very Tri Yulisman, Dovan, Ray Sahetapy, Dafa Sikumbang, Dedy Djunaedi, Danang, Adhi Permana, Dominggus Uskono, Novi Rahmat Hidayat, Hartono Tejokusumo, Sutarso, Ibnu Anas, Tegar Satrya, Joe Taslim, Eko Kurnianto, Sofyan Alop, Rachmat Maulana Fajar, Wempi Stanly Renyaan, Ardi MG., Taufik Arrahman, Setiarno Tole, Halim Mubarroq, Fiqih Hardana Yuanza, Antonio Dosantos, Andry Ganda Wijaya, Iwan Hariyandi, Achmad Supriatno, Muhammadu Dikko Yusufu, Mardiyono Sulaiman, Machris Julian Iskandar, Aji Muslim, Johanes Tuname, Wawi Sobari, Tuhen, Hanggi Maisya, Muhammad Abduh Al Mustofa, Rully Santoso, Mulyadi Marlon, Safaringga, Adilof Firdaus, Fikha Effendi, Sunarto, Wawan, A. Ariyanto, Hengky Maukar, Pierre Gruno, Engelius Rumbindi, Bastian Riffanie, Dedi Supriadi, Julfajri Hidayat, Sutarno, Iang Darmawan, Zaenal Arifin, Nur Wahyu Santosa, Muhammad Irvan, Achmad Basuni, Azri Abon, Dedy Irawan, Ardiansyah Putra, Aloysius Pien, Acong Susanto B. Sugiono, M. Rizal, M. Aslam, Yusuf Opilus, Saat Arrohim, Rendra, Saifan Nur, Elvin, Dedy Murphy Avivu, Ananda George, Adi Nurahman, Haikun, Abdul Majid, Kemoks Alfarez, Sahlianto, Imam Dharmawan Santoso, Verdi Solaiman, Godfred Orindeod, Ali Nurkoto, Suharyanto Priyoaji, Muhammad Abdillah, Indra Mulyana, Herry Karmus, Aji Setianto, Sandi Suandi, Henky Solaiman, Iko Uwais, Ireng Sutarno, Ahmad Syarifudin, Donny Alamsyah, Acip Sumardi, Umi Kalsum, Machtrein Muchram, Jhon Hendri, Ahmad Ramadhan Alrasyid, Abraham Joshua B. Sitompul, Abi Cancer, Aliusman, Muhammad Yazid, Mus Danang Danar Dono, Muhammad Nimin, Melkias Ronald Torobi",Gareth Evans,"Dimas Imam Subhono, Matt Flannery",Gareth Evans,"Nick Spicer, Rangga Maya Barack-Evans, Aram Tertzakian, Nathaniel Bolotin, Irwan D. Musry, Todd Brown, Ario Sagantoro","Mike Shinoda, Aria Prayogi, Fajar Yuskemal, Joseph Trapanese",7.6,227249,/Abnm1Ws3JH0ReCfEhLMPwPcMcGO.jpg,3,2012,12,the raid,-34,16.029102675535103,0.4579743621581458,the avengers,"toronto international film festival (1), stockholm international film festival (1), indonesia international fantastic film festival (1), torino film festival (1), sundance film festival (1), internet (3), the jameson dublin international film festival (1), deauville asian film festival (1), blank (30), new directors/new films (1), toronto (1), limited (1), beaune film festival (1), lyon festival hallucinations collectives (1), festival mauvais genre (1), video premiere (1), golden horse fantastic film festival (1), night visions international film festival (1), imagine film festival (1), karlovy vary international film festival (1), greek film archive (1), copenhagen (1), dvd premiere (5), motelx - lisbon international horror film festival (1), pop cinema (1), fanter film festival (1), beijing international film festival (1), five flavours asian film festival (1), barcelona (1), subtitled version (1), 35 mm. (1), event release (1), re-release (1), fantasmagoría - festival de cine fantástico y de terror de medellín (1)",30,3,69,0.04,no,no
57165,Wrath of the Titans,5.8,4369,Released,2012-03-28,301970083,99,150000000,tt1646987,en,Wrath of the Titans,"Perseus tries to live a quieter life as a village fisherman while ‚Äì dangerously weakened by humanity's lack of devotion ‚Äì the gods are losing control of the long-imprisoned Titans and their ferocious leader, Kronos.",7.0618,Feel the Wrath.,"Fantasy, Adventure, Action","thunder road, legendary pictures, cott productions, furia de titanes ii, a.i.e., warner bros. pictures","Spain, United States of America",English,"Juan Reyes, Sin√©ad Cusack, Jorge Guimer√°, Danny Huston, Liam Neeson, Alejandro Naranjo, George Blagden, Lily James, Asier Macazaga, Toby Kebbell, Rosamund Pike, Ralph Fiennes, Spencer Wilding, Killian Burke, Caoilfhionn Dunne, John Bell, Freddy Drabble, Daniel Galindo Rojas, JD Roth-Round, Kathryn Carpenter, Sam Worthington, Matt Milne, Alastair Cording, Edgar Ram√≠rez, Martin Bayfield, Birkett Turton, Paul Warren, Bill Nighy, Lamberto Guerra",Jonathan Liebesman,Ben Davis,"Beverley Cross, David Leslie Johnson-McGoldrick, Dan Mazeau, Greg Berlanti","Basil Iwanyk, Thomas Tull, Louis Leterrier, Callum McDougall, Polly Johnsen, Jon Jashni, Kevin De La Noy",Javier Navarrete,5.7,201612,/b9n2R3xZWQ8MVZgndQoV34stS0h.jpg,3,2012,13,wrath of the titans,-28,19.525838510829768,0.6733047762355092,the avengers,"buenos aires (1), premiere (1), blank (55), blu-ray release (1), dvd premiere (1), tv premiere (1)",55,0,60,0.0,no,no
59963,Dark Tide,4.8,226,Released,2012-03-28,432274,113,25000000,tt1507563,en,Dark Tide,"A traumatized shark expert must battle her own fears to lead a thrill-seeking businessman on a dive into a dangerous section of water known as ""Shark Alley.""",0.9327,"In Shark Alley, courage runs deep.","Thriller, Adventure, Drama","social capital, lipsync productions, alliance cinema, magnet media group, magnet media productions, mirabelle pictures, cinedigm, procinvest sas, film afrika","South Africa, United States of America",English,"Luke Tyler, Wayne Harrison, Mark Elderkin, Henrik Vos, Ralph Brown, Olivier Martinez, Halle Berry, Thoko Ntshinga, Sizwe Msutu, Judith Kronenberg-Sarembock, Josef du Plessis",John Stockwell,Jean-Fran√ßois Hensgens,"Ronnie Christensen, Amy Sorlie","Francesco Di Silvio, Celine Rattray, Jeff Steele, Philippe Chausse, Norman Merry, Sukee Chew, Martin Shore, John Michaels, Jeanette B. Milio, Ali Cook, Jeanette Buerling-Milio, Christopher Tuffin, Maggie Monteith",Mark Sayfritz,4.3,9750,/gx56ZanaWd4pG930Z44eDLvnQ8N.jpg,3,2012,13,dark tide,-28,12.97681723877299,0.4474764565094134,the avengers,"video on demand (1), limited (2), blank (13), dvd and blu-ray premiere (3), dvd premiere (6), internet (2)",13,2,27,0.07,no,no
