id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer,imdb_rating,imdb_votes,poster_path,release_month,release_year,iso_week,title_clean,distance,strength,score,marvel_movie,attributes,blank,internet,total,internet_ratio,internet_dominance,error
1136867,Materialists,6.497,832,Released,2025-06-12,97700000,116,20000000,tt30253473,en,Materialists,"A young, ambitious New York City matchmaker finds herself torn between the perfect match and her imperfect ex.",13.6214,Some people just want more.,"Romance, Drama","a24, killer films, 2am, ipr.vc, access entertainment","United States of America, Finland",English,"Dasha Nekrasova, Dan Domenech, Lindsey Broad, Nedra Marie Taylor, Halley Feiffer, Rachel Zeiger-Haag, Madeline Wise, Louisa Jacobson, Alison Bartlett, Fernando Belo, Zo√´ Winters, Emmy Wheeler, Baby Rose, Emiliano D√≠ez, John Magaro, Marin Ireland, Ian Stuart, Sawyer Spielberg, Will Fitz, Pedro Pascal, Eddie Cahill, Joseph Lee, Dakota Johnson, Beshoy Mehany, Chris Evans, Sietzka Rose",Celine Song,Shabier Kirchner,Celine Song,"Danny Cohen, Pamela Koffler, Celine Song, David Hinojosa, Len Blavatnik, Christine Vachon, Andrea Scarso, Timo Argillander, Taylor Shung",Daniel Pemberton,6.3,68356,/eDo0pNruy0Qgj6BdTyHIR4cxHY8.jpg,6,2025,24,materialists,-41,18.397412127248423,0.4380336220773435,the fantastic four: first steps,"blank (64), vod (1), limited (2), way out west (1), internet (1), tv release (1)",64,1,70,0.01,no,no
1022787,Elio,6.968,629,Released,2025-06-18,153797125,98,150000000,tt4900148,en,Elio,"Elio, a space fanatic with an active imagination, finds himself on a cosmic misadventure where he must form new bonds with eccentric alien lifeforms, navigate a crisis of intergalactic proportions and somehow discover who he is truly meant to be.",35.0047,They asked for our leader. They got... him.,"Family, Comedy, Adventure, Animation, Science Fiction",pixar,United States of America,English,"Atsuko Okatsuka, Remy Edgerly, Tamara Tunie, Brandon Moon, Naomi Watanabe, Zoe Salda√±a, Anissa Borrego, Matthias Schweigh√∂fer, Kate Mulgrew, Brad Garrett, Jameela Jamil, Brendan Hunt, Jake T. Getman, Bob Peterson, Young Dylan, Shirley Henderson, Shelby Young, Yonas Kibreab, Ana de la Reguera","Adrian Molina, Madeline Sharafian, Domee Shi","Matt Aspbury, Danielle Feinberg","Esteban Bravo, Michael Daley, Adrian Molina, Dan Park, Alexander Pimwong, Zilai Feng, Brandon Moon, Margaret Spencer, James S. Baker, Brian Larsen, Tony Rosenast, Anna Benedict, Yon Hui Lee, Derek Thompson, Mark Hammer, Michael Wu, Mitra Shahidi, Dean Kelly, Madeline Sharafian, Paula Assadourian, Le Tang, Rosana Sullivan, Hyein Park, Adam Campbell, Steph Waldo, Julia Cho, Rejean Bourdages, Jeff Call, Domee Shi, Bill Presing, Mike Jones","Mary Alice Drumm, Lindsey Collins, Pete Docter",Rob Simonsen,6.7,31392,/7z8jDiTZZco9moIKpTUImFtTy7o.jpg,6,2025,25,elio,-35,18.85114492825524,0.5236429146737566,the fantastic four: first steps,"blank (74), early access (1), cis (1), fan event (1), vod (1), dvd,4k uhd,blu-ray (1), internet (2)",74,2,81,0.02,no,no
1100988,28 Years Later,6.661,1680,Released,2025-06-18,151289671,115,60000000,tt10548174,en,28 Years Later,"Twenty-eight years since the rage virus escaped a biological weapons laboratory, now, still in a ruthlessly enforced quarantine, some have found ways to exist amidst the infected. One such group lives on a small island connected to the mainland by a single, heavily-defended causeway. When one member departs on a mission into the dark heart of the mainland, he discovers secrets, wonders, and horrors that have mutated not only the infected but other survivors as well.",21.1305,In 28 days it began. In 28 weeks it spread. In 28 years it evolved.,"Horror, Thriller, Science Fiction","columbia pictures, dna films, decibel films, tsg entertainment","United Kingdom, United States of America","English, svenska","Winnow Short, Christopher Fulford, Chi Lewis-Parry, Darcie Smith, Olivia Morley, Hannah Allan-Robertson, Jake Grimes, Annabelle Graham, Geoffrey Newland, Emma Laird, Col Needham, Kim Allan, Aaron Taylor-Johnson, Joe Blakemore, Laurence Olivier, Ghazi Al Ruffai, Lucas Toole, Erin Kellyman, Celi Crossland, Jason Kuang Yao Lee, Peter Labas, Helen Rowlands, Jodie Comer, Sienna Giblin, Edvin Ryding, Kat Kitchener, Isla Vickers, Ralph Fiennes, Jack O'Connell, RuMac, Sandy Batchelor, Hayley Walters, Theadora Rawlings, Connor Newall, Alfie Williams, Angus Neill, Stella Gonet, Rocco Haynes, Myles Woodhouse, Gordon Alexander, Sam Locke, Amy Cameron, Haley Flaherty, Harriet Taylor, Robert Rhodes, Lachlan Tucker, Chris Gregory, Ember Storm, Olivia Grace Lee, Cohen Lewis Williamson, Maura Bird",Danny Boyle,Anthony Dod Mantle,Alex Garland,"Alex Garland, Bernard Bellew, Danny Boyle, Peter Rice, Andrew Macdonald, Cillian Murphy","Alloysious Massaquoi, 'G' Hastings, Kayus Bankole",6.6,158748,/mIg1qCkVxnAlM2TK3RUF0tdEXlE.jpg,6,2025,25,28 years later,-35,18.834706914696987,0.5231863031860274,the fantastic four: first steps,"blank (56), fan event (1), vod (1), dvd,4k uhd,blu-ray (1)",56,0,59,0.0,no,no
803796,KPop Demon Hunters,8.23,1852,Released,2025-06-20,24619953,96,100000000,tt14205554,en,KPop Demon Hunters,"When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats.",106.4349,They sing. They dance. They battle demons.,"Fantasy, Music, Comedy, Animation",sony pictures animation,United States of America,"English, ÌïúÍµ≠Ïñ¥/Ï°∞ÏÑ†Îßê","Joel Kim Booster, Ranjani Brow, Lea Salonga, JEONGYEON, Liza Koshy, Alan Lee, Cori Baik, Jennifer Sun Bell, Yong Yea, John Eric Bentley, SungWon Cho, Andrew Morgado, Andrew Choi, JIHYO, Ahn Hyo-seop, Josiah D. Lee, Chase Kim, Clarissa Park, Nathan Schauf, Ji-young Yoo, Daniel Dae Kim, Ashley Lambert, Jonathon Ha, Danny Chung, Rumi Oak, Esther K. Chae, Charlene Ramos, Maggie Kang, Monique Kim, Judy Alice Lee, Eugene Young, Josh Han, Rei Ami, Kevin Woo, Neckwav, May Hong, Megan Lee, Jason Her, Piotr Michael, Ken Jeong, Arden Cho, Alexandra Bokyun Chun, Kira Tamagawa, Claudia Choi, Johnny Young, Audrey Nuna, Yong Kim, Cathy Shim, Yunjin Kim, samUIL Lee, James Kyson, Lee Byung-hun, CHAEYOUNG, Eddie Frierson, EJAE","Maggie Kang, Chris Appelhans",,"Alex Chiu, Darren Webb, Chris Appelhans, Jed Diffenderfer, Jerod Chirico, Stephen P. Neary, Sooyeon Lee, Andrew Ross, Hannah McMechan, Bridget Underwood, Danya Jimenez, Mark Sonnenblick, Ray Xu, Sharon Kikinis, Hanna Cho, Maggie Kang, Micaela Anita Hammond, Jessica Kaori Stanley, Christina Chang, D. Nagisa Koyama, Alicia Chan, Ryan Savas, Jessie Wong, Radford Sechrist, Hye Lynn Park",Michelle L.M. Wong,Marcelo Zarvos,7.6,95467,/zT7Lhw3BhJbMkRqm9Zlx2YGMsY0.jpg,6,2025,25,kpop demon hunters,-33,17.01906781031916,0.5005608179505635,the fantastic four: first steps,"internet (37), limited (6), sing-along version (7), streaming (1), busan international film festival (1), palm springs international film festival (1), tv premiere (1)",0,37,54,0.69,yes,no
1071585,M3GAN 2.0,7.4,956,Released,2025-06-25,39085942,120,25000000,tt26342662,en,M3GAN 2.0,"After the underlying tech for M3GAN is stolen and misused by a powerful defense contractor to create a military-grade weapon known as Amelia, M3GAN's creator Gemma realizes that the only option is to resurrect M3GAN and give her a few upgrades, making her faster, stronger, and more lethal.",26.4518,Miss me?,"Action, Science Fiction, Thriller","blumhouse productions, atomic monster, divide / conquer",United States of America,"Nederlands, English","Ahmed Youssef, Ben Van Lier, Jen Van Epps, Ivanna Sakhno, Aristotle Athari, Paul Waggott, Glen-Paul Waru, Martin Richard, Jenna Davis, Richard Lambeth, Michael Ravlic, Allison Williams, Kylie Cushman, Gary Young, Isabella Lucia Goff, Mike Edward, Mark Mitchinson, Simon Eskow, Ara Raad, Jemaine Clement, Serena Cotton, Shanti Tucker, Ryan Lampp, Violet McGraw, Jamie Irvine, Hallie Jackson, Gigi Holroyd, Barnie Duncan, Jacque Drew, Shervonne Grierson, Niwa Whatuira, Erika Camacho, Gerard Johnstone, Brian Jordan Alvarez, Omar Al-Sobky, Luke Hawker, Zara Nausbaum, Stephane Garneau-Monten, Mayen Mehta, Byron Coll, Steven Logan, Amie Donald, James Gaylyn, Jim McLarty, Timm Sharp, Fryda Wolff",Gerard Johnstone,Toby Oliver,"Akela Cooper, James Wan, Gerard Johnstone","James Wan, Judson Scott, Jason Blum, Allison Williams, Michael Clear, Adam Hendricks, Luke Sharpe, Greg Gilreath, Gerard Johnstone, Mark David Katchur",Chris Bacon,6.0,39563,/4a63rQqIDTrYNdcnTXdPsQyxVLo.jpg,6,2025,26,m3gan 2.0,-28,17.481273446248423,0.602802532629256,the fantastic four: first steps,"blank (48), limited (1), vod (1), dvd,4k uhd,blu-ray (1)",48,0,51,0.0,no,no
1205515,"Sorry, Baby",6.746,134,Released,2025-06-27,2279895,103,1500000,tt32843349,en,"Sorry, Baby","Agnes feels stuck. Unlike her best friend, Lydie, who‚Äôs moved to New York and is now expecting a baby, Agnes still lives in the New England house they once shared as graduate students, now working as a professor at her alma mater. A ‚Äòbad thing‚Äô happened to Agnes a few years ago and, since then, despite her best efforts, life hasn‚Äôt gotten back on track.",6.9571,Welcome to the world.,"Drama, Comedy","pastel, big beach, tango entertainment, high frequency entertainment, case study films, charades, af films","United States of America, France, Spain",English,"Tom Ford, Tierre Diaz, Jonathan Myles, Eric Josif, Jim Powers, Priscilla Manning, Jordan Mendoza, Louis Cancelmi, Cody Reiss, Noochie the Cat, Lensley Miles Adam, Naomi Ackie, Hettienne Park, Conor Sweeney, Lucas Hedges, Anabel Graetz, Kate Fitzgerald, Jesse Gabbard, Casey McNeal, David J. Curtis, E.R. Fightmaster, John Carroll Lynch, Eva Victor, Langston Shelby Moore, Natalie Rotter-Laitman, Chhoyang Cheshatsang, Alison Wachtler, Liz Bishop, Lucien Spelman, Marc Carver, Debora Strout, Francesca D'Uva, Kelly McCormack, Danny Diaz, Celeste Oliva",Eva Victor,Mia Cioffi Henry,Eva Victor,"Tim Headington, Ana Leocha, Duncan Montgomery, Carole Baraton, Pauline Boucheny Pinon, Alex Turtletaub, Tim Foley, Catalina Rojter, Barry Jenkins, Neil Shah, Lia Buman, Frank Ariza, Michael B. Clark, Rick Covert, Alex Orlovsky, Mark Ceryak, Jack Selby, Adele Romanski",Lia Ouyang Rusli,7.1,10764,/iq1QtN1H8AVEBfl1SgNAqhMgTbQ.jpg,6,2025,26,"sorry, baby",-26,14.639640385855184,0.5422089031798216,the fantastic four: first steps,"sundance film festival (1), independent film festival boston (1), chicago critics film festival (1), cannes directors' fortnight (1), seattle international film festival (1), biografilm festival (1), sydney film festival (1), provincetown international film festival (1), montclair film summer showcase (1), limited (2), toronto (1), karlovy vary international film festival (1), blank (24), vod (1), melbourne international film festival (1), edinburgh international film festival (1), reykjavik international film festival (1), fic.uba: festival internacional de cine de la universidad de buenos aires (1), são paulo international film festival (1), vienna international film festival (1), valladolid international film festival (1), internet (2), tv release (1), stockholm international film festival (1)",24,2,49,0.04,no,no
1234821,Jurassic World Rebirth,6.4,2462,Released,2025-07-01,868349601,134,180000000,tt31036941,en,Jurassic World Rebirth,"Five years after the events of Jurassic World Dominion, covert operations expert Zora Bennett is contracted to lead a skilled team on a top-secret mission to secure genetic material from the world's three most massive dinosaurs. When Zora's operation intersects with a civilian family whose boating expedition was capsized, they all find themselves stranded on an island where they come face-to-face with a sinister, shocking discovery that's been hidden from the world for decades.",60.2508,A new era is born.,"Science Fiction, Adventure, Action","universal pictures, amblin entertainment",United States of America,"Fran√ßais, English","Scarlett Johansson, Ed Skrein, Mahershala Ali, Philippine Velge, Adam Loxley, Jonny Lavelle, Billy Smith, Bechir Sylvain, Rupert Friend, David Iacono, Lucy Thackeray, Audrina Miranda, Manuel Garcia-Rulfo, Niamh Finlay, Jonathan Bailey, Luna Blaise, Julian Edgar",Gareth Edwards,John Mathieson,"Michael Crichton, David Koepp","Janine Modder, Jim Spencer, Frank Marshall, Denis L. Stewart, Steven Spielberg, Patrick Crowley",Alexandre Desplat,5.9,151413,/1RICxzeoNCAO5NpcRMIgg1XT6fm.jpg,7,2025,27,jurassic world rebirth,-22,20.58210495881676,0.894874128644207,the fantastic four: first steps,"london (1), premiere (3), shanghai (1), blank (77), limited (1), vod (1), dvd,4k uhd,blu-ray (1), internet (2)",77,2,87,0.02,no,no
936108,Smurfs,5.9,214,Released,2025-07-05,104758972,89,58000000,tt18069420,en,Smurfs,"When Papa Smurf is mysteriously taken by evil wizards, Razamel and Gargamel, Smurfette leads the Smurfs on a mission into the real world to save him. With the help of new friends, the Smurfs must discover what defines their destiny to save the universe.",20.6322,Adventure comes out of the blue.,"Animation, Family, Fantasy","paramount animation, marcy media, peyo productions, domain entertainment, international motion picture studios (imps), lafig belgium, paramount pictures","United States of America, Belgium","English, Fran√ßais, Êó•Êú¨Ë™û","Spencer X, Xolo Mariduena, Daisuke Tsuji, James Corden, Billie Lourd, John Goodman, Marshmello, Jonny Manganello, Dan Levy, DJ Snake, Tyler Peterson, Chris Miller, Nick Offerman, Ryan Naylor, Chris Prynoski, Nick Kroll, JP Karliak, Jimmy Kimmel, Amy Sedaris, Hannah Waddingham, Yuuki Luna, L√©a Elui, Keisuke Hoashi, Conrad Vernon, Octavia Spencer, Maya Erskine, Sandra Oh, Rachel Butera, Rihanna, Kurt Russell, Natasha Lyonne, Hugo Miller, Alex Winter",Chris Miller,Peter Lyons Collister,"Peyo, Pam Brady","Tyran ""Ty Ty"" Smith, Anthony Tittanegro, Ryan Harris, Rihanna, Jay Brown, Pete Chiappetta, Andrew Lary","Rihanna, Henry Jackman",4.3,5983,/8o6lkhL32xQJeB52IIG1us5BVey.jpg,7,2025,27,smurfs,-18,18.46717277419567,0.971956461799772,the fantastic four: first steps,"brussels (1), premiere (2), blank (80), pre-premiere screening (1), beijing (1), vod (1), internet (1), blu-ray and dvd (1), bluray & dvd (1)",80,1,89,0.01,no,no
1061474,Superman,7.416,3780,Released,2025-07-09,615800000,130,225000000,tt5950044,en,Superman,"Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent.",63.3492,Look up.,"Science Fiction, Adventure, Action","dc studios, troll court entertainment, the safran company, domain entertainment",United States of America,English,"Christopher McDonald, Theo Kypri, Nicholas Hoult, Lon Gowan, Pruitt Taylor Vince, Ira Amyx, Michael Rosenbaum, Paige Mobley, Tatiana Piper, Xingu Del Rosario, Zlatko Buriƒá, Paul Kim, Martin Harris, James Gunn, Terence Rosemore, Christian Lees, Fahim Fazli, Bradley Cooper, Trevor Newlin, Austin Freeman, Jay Westbrook, Rudy Quintanilla, Grace Chan, Beck Bennett, Edi Gathegi, Luis R. Hernandez, Jake Tapper, Savannah Lumar, Jai Soundar, Alan Tudyk, Will Reeve, Milli M., Anthony Carrigan, Eric Nally, James Hiroyuki Liao, Pierce Lackey, Nathan Fillion, Nea Dune, Sharon Carpenter, George Howard Adams, Adriana Leonard, Michael Rooker, Skyler Gisondo, Michael Ian Black, Kimmy Suzuki, Jimmy Chhiu, Stephen Blackehart, Greg Clarkson, Natasha Halevi, David Corenswet, Alexis Prewitt, Sara Sampaio, Lloyd Kaufman, Neva Howell, Angela Sarafyan, Giovannie Cruz, Torsten Kellar, Sean Gunn, Louisa Krause, Jennifer Holland, Rachel Brosnahan, Chaim Jeraffi, Bobby Hernandez, Melissa O. Bowen, Darla Delgado, Alayna Bernard, Abel F. Alvarado, David E. Collier, Bonnie Discepolo, Annika Mazumdar, Isabela Merced, Frank Grillo, Mikaela Hoover, Mary Chatmon, Karla Suyeon Kim, Kim Brunhuber, Mar√≠a Gabriela de Far√≠a, Pom Klementieff, Ryan J. Pezdirc, Milly Alcock, Wendell Pierce, Dinesh Thyagarajan, Taylor Valentine Lupini, Tinashe Kajese, Zach Lane, Oliver Diego Silva, John Cena, Johanna Braddy, Suzanne Hobbs, Ashleigh Morghan, Jonah Lees, Lawrence Gilligan, AJ Bernard",James Gunn,Henry Braham,"Jerry Siegel, Joe Shuster, James Gunn","Nik Korda, Chantal Nong Vo, Andrew Lary, Anthony Tittanegro, Pete Chiappetta, Peter Safran, Lars P. Winther, James Gunn","David Fleming, John Murphy",7.1,345897,/wPLysNDLffQLOVebZQCbXJEv6E6.jpg,7,2025,28,superman,-14,20.238432795078577,1.3492288530052383,the fantastic four: first steps,"london (1), premiere (4), los angeles, california (1), limited (3), blank (58), beijing (1), imax fan event (1), vod (1), internet (2), blu-ray and dvd (1)",58,2,73,0.03,no,no
648878,Eddington,6.502,447,Released,2025-07-16,13570360,149,25000000,tt31176520,en,Eddington,"In May of 2020, a standoff between a small-town sheriff and mayor sparks a powder keg as neighbor is pitted against neighbor in Eddington, New Mexico.",10.9987,Hindsight is 2020.,"Western, Comedy, Crime","a24, square peg, 828 productions, ipr.vc, access entertainment","United States of America, Finland",English,"Emma Stone, William Belleau, Eddie Garcia, Thom Rivera, Mack MacReady, Deirdre O'Connell, David Midthunder, Austin Butler, Emery Jean-Luc Barrera, Blane Aranyosi, Rainer King, Manny Rubio, Matt Gomez Hidaka, Landall Goolsby, Diane Villegas, David Pinter, Sterlin English, William Sterchi, Gabe Kessler, Kaleb Naquin, Ari Aster, Mickey Bond, Gigi Bella, Keith Jardine, Kristin K. Berg, Jason Potter, Daniel Clowes, James Woods, Guia Peel, Christine Hughes, King Orba, Joaquin Phoenix, Erika Clowes, Dan Davidson, Cameron Mann, Auburn Ashley, Ophelia Benally, Robyn Casper, Vic Browder, Pedro Pascal, Am√©lie Hoeferle, James Cady, Marcela Salmon, Abby Townsend, Rachel de la Torre, Giancarlo Beltran, Elise Falanga, Jean Dumont, Sam Quinn, Juwan Lakota, Steven Foldy II, Bill Capskas, Amadeo Arzola, Micheal Ward, Bendicion Garcia, Robyn Reede, Justice McLean-Davis, Luke Grimes, Clifton Collins Jr.",Ari Aster,Darius Khondji,Ari Aster,"Todd Lundbohm, Tyler Campellone, Len Blavatnik, Lars Knudsen, Ann Ruark, Ari Aster, Harrison Huffman, Andrea Scarso, Alejandro de Leon, Robert Dean, Timo Argillander, Will Tracy, Danny Cohen","Daniel Pemberton, Bobby Krlic",6.6,34814,/4GIqZUgPZ146BhibsPHMHef2nXX.jpg,7,2025,29,eddington,-7,16.4233986342575,2.0529248292821873,the fantastic four: first steps,"tokyo international film festival (1), cannes film festival (1), neuchâtel international fantastic film festival (1), blank (26), fantasia international film festival (1), way out west (1), melbourne international film festival (1), vod (1), blu-ray (1), são paulo international film festival (1), moma - the contenders (1), taipei golden horse film festival (1), internet (3), tv release (1)",26,3,41,0.07,no,no
