id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer,imdb_rating,imdb_votes,poster_path,release_month,release_year,iso_week,title_clean,distance,strength,score,marvel_movie,attributes,blank,internet,total,internet_ratio,internet_dominance,error
1726,Iron Man,7.654,27411,Released,2008-04-30,585174222,126,140000000,tt0371746,en,Iron Man,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",18.1675,Heroes aren't born. They're built.,"Action, Science Fiction, Adventure","marvel studios, marvel entertainment, fairview entertainment",United States of America,"English, ŸÅÿßÿ±ÿ≥€å, ÿßÿ±ÿØŸà, ÿßŸÑÿπÿ±ÿ®Ÿäÿ©","Tim Guinee, Mike Cochrane, Shaun Toub, Faran Tahir, Russell Richardson, Paul Bettany, Sarah Cahill, Gabrielle Tuite, Jim Cramer, Ahmed Ahmed, Eileen Weisinger, Kevin Foster, Donna Evans, Zorianna Kit, Marvin Jordan, Jeff Bridges, Sayed Badreya, James Bethea, Robert Downey Jr., Fahim Fazli, Frank Nyi, Flavia Manes Rossi, Jon Favreau, Peter Billingsley, Thomas Craig Plumer, Stan Lee, Bill Smitrovich, Meera Simhan, Justin Rex, Lana Kinnear, Garret No√´l, Jeannine Kaspar, Kristin J. Hooper, Robert Berkman, Javan Tahir, Daston Kalili, Ava Rose Williams, Ricki Lander, Gwyneth Paltrow, Ido Mor, Adam Harrington, Tom Morello, Terrence Howard, Callie Croughwell, Gerard Sanders, Tim Rigby, Stacy Stas Hurst, Joshua Harto, Reid Harper, Summer Kylie Remington, Nicole Lindeblad, Sahar Bibiyan, Vladimir Kubr, Ben Newmark, Nazanin Boniadi, Leslie Bibb, Tim Griffin, Patrick O'Connell, Samuel L. Jackson, Clark Gregg, Masha Lund, Marco Khan, Micah A. Hauptman, Lauren Scyphers, Will Lyman",Jon Favreau,Matthew Libatique,"Hawk Ostby, Matt Holloway, Jack Kirby, Mark Fergus, Don Heck, Stan Lee, Art Marcum, Larry Lieber","Jon Favreau, Peter Billingsley, Stan Lee, Avi Arad, Kevin Feige, David Maisel, Ari Arad, Louis D'Esposito",Ramin Djawadi,7.9,1198446,/78lPtwv72eTNqFW9COBYI0dWDJa.jpg,4,2008,18,iron man,-43,20.18742017795144,0.4588050040443509,the incredible hulk,"sydney (1), premiere (7), the hague (1), berlin (1), rome (1), london (1), blank (65), french speaking region (1), german speaking region (1), hollywood, california (1), south india (1), belgrade (1), dvd and blu-ray premiere (1), imax version (1), re-release (3), limited (2), disney+ premiere (1)",65,0,90,0.0,no,no
9262,My Mom's New Boyfriend,5.4,250,Released,2008-04-30,7926601,97,25000000,tt0780534,en,My Mom's New Boyfriend,"After several years away, FBI agent Henry Durand returns to find his mother, Marty, a much different person: Having long mourned for Henry's father, she is now embracing single life. One day, while Marty, Henry and his new fianc√©e, Emily, are out for a walk, they meet Tommy, a mysterious stranger with whom Marty then becomes involved. However, through his FBI contacts, Henry learns that Tommy is suspected of being an art thief. As a young federal agent, Henry is given a difficult assignment: spy on his mother and her boyfriend who is suspected of leading a gang of art thieves.",1.2793,His mom is dating his suspect. Let the surveillance begin.,"Action, Comedy, Crime, Romance","alla prima productions, two sticks productions, eclectic pictures, millennium media",United States of America,English,"Colin Hanks, John Valdetero, Jeff Fried, Selma Blair, Antonio Banderas, Marco St. John, Eli Danker, Tom Adams, Paul Sampson, Trevor Morgan, Aki Avni, Tarri Markel, Enrico Colantoni, Keith David, Meg Ryan, Gary Grubbs",George Gallo,Michael Negrin,George Gallo,"Andreas Thiesmeyer, Trevor Short, David E. Ornston, Danny Dimbort, Josef Lautenschlager, Bob Hariri, Avi Lerner, Richard Salvatore, David Permut, Julie Lott Gallo, Heidi Jo Markel, Boaz Davidson, John Thompson",Chris Boardman,5.3,12866,/7EBefmFo8H6MdmbQ10lTlKXX1DA.jpg,4,2008,18,my mom's new boyfriend,-43,15.885735002409458,0.3610394318729422,the incredible hulk,"blank (18), dvd premiere (9), blu-ray premiere (1), tv premiere (1)",18,0,29,0.0,no,no
10761,Made of Honor,6.444,1738,Released,2008-04-30,106407672,101,40000000,tt0866439,en,Made of Honor,"Tom and Hannah have been platonic friends for 10 years. He's a serial dater, while she wants marriage but hasn't found Mr. Right. Just as Tom is starting to think that he is relationship material after all, Hannah gets engaged. When she asks Tom to be her 'maid' of honor, he reluctantly agrees just so he can attempt to stop the wedding and woo her.",4.1786,It takes a real man to become a maid of honor.,"Comedy, Romance","columbia pictures, original film","United Kingdom, United States of America",English,"Sarah Wright, Beau Garrett, Kathleen Quinlan, Forbes KB, Finlay Welsh, Lilly McDowell, Joe Weiland, Busy Philipps, Corinne Reilly, Clive Russell, Emily Nelson, Craig Susser, Leah Elias, Christina Hogue, Kadeem Hardison, Richmond Arquette, Whitney Cummings, Christine Barger, Trip Davis, Cathleen McCarron, Elisabeth Hasselbeck, Myra McFadyen, Jaime Ray Newman, James Earl Adair, Kevin McKidd, Selma Stern, Michelle Monaghan, Mary Birdsong, Rab Affleck, Ron Donachie, Claire M. Fagin, Grant Thomson, Ellie Knaus, Edith S. Wolfrey, Kelly Carlson, James B. Sikking, Marty Ryan, Veronica Alicino, Murray McArthur, Annalaina Marks, Eoin McCarthy, Valerie Edmond, Te'onna Simone Tye, Chris Messina, Samuel L. Fagin, Jennifer De Minco, Sydney Pollack, Hannah Gordon, Patrick Dempsey, Jeff Rudom, Bella Weiland, Kevin Sussman, Iain Agnew",Paul Weiland,Tony Pierce-Roberts,"Harry Elfont, Deborah Kaplan, Adam Sztykiel","Callum Greene, Aaron Kaplan, Sean Perrone, Amanda Lewis, Tania Landau, Neal H. Moritz",Rupert Gregson-Williams,5.8,79195,/pDg8D0jNqmz7RbCBgblWvmPswHE.jpg,4,2008,18,made of honor,-43,18.482788246933335,0.4200633692484849,the incredible hulk,"london (1), premiere (1), blank (85), german speaking region (1), limited (1), french speaking region (1)",85,0,90,0.0,no,no
7459,Speed Racer,6.323,1686,Released,2008-05-07,93900000,135,120000000,tt0811080,en,Speed Racer,"Speed Racer is a young and brilliant racing driver. When corruption in the racing leagues costs his brother his life, Speed must team up with the police and the mysterious Racer X to bring an end to the corruption and criminal activities.",5.7002,A world built for speed.,"Family, Action, Adventure, Comedy","warner bros. pictures, village roadshow pictures, silver pictures, anarchos productions",United States of America,"English, Êó•Êú¨Ë™û","Joe Mazza, Corinne Orr, Brandon Robinson, Peter Navy Tuiasosopo, Vinzenz Kiefer, Richard Roundtree, Julia Joyce, Nicholas Elia, Ben Miles, Paulie Litt, Ramon Tikaram, Junior Sone Enang, Moritz Bleibtreu, Matthew Fox, Roger Allam, Melissa Holroyd, Dari Maximova, Steven Wilson, Peter Fernandez, Sesede Terziyan, Werner Daehn, Valery Tscheplanowa, Joon Park, Komi Togbonou, Clayton Nemrow, Emile Hirsch, Karl Yune, Mark Zak, Sadao Ueda, Kick Gurry, Eckehard Hoffmann, Yuriri Naka, Hiroyuki Sanada, Scott Porter, Lauren Blake, Narges Rashidi, Sami Loris, Paul Sirr, John Goodman, Jens Neuhaus, Harvey Friedman, Sean McDonagh, Julie T. Wallace, Benno F√ºrmann, Megan Gay, Susan Sarandon, Ludmilla Ismailow, Olivier Marlo, Kenzie, Cosma Shiva Hagen, Nayo Wallace, Milka Duno, Gian Ganziano, Art LaFleur, Kad√Ω Taylor, John Benfield, Leila Rozario, Andr√©s Cantor, Ralph Herforth, Christina Ricci, Jonathan Kinsler, Melvil Poupaud, Fang Yu, Matthias Redlhammer, Jana Pallaske, Willy, Ill-Young Kim, Oscar Ortega S√°nchez, Rain, Togo Igawa, L. Trey Wilson, Anatole Taubman, Max Hopp, Amira Osman, Ricky Watson, Christian Oliver, Ashley Walters, Frank Witter, Waldemar Kobus, Yu Nan, Ariel Winter","Lilly Wachowski, Lana Wachowski",David Tattersall,"Lilly Wachowski, Lana Wachowski, Tatsuo Yoshida","Lilly Wachowski, Lana Wachowski, David Lane Seltzer, Bruce Berman, Joel Silver, Grant Hill, Michael Lambert",Michael Giacchino,6.1,82210,/fxRIpx9Op9h71q3tvuabx4GryyP.jpg,5,2008,19,speed racer,-36,18.35774095482812,0.4961551609413005,the incredible hulk,"berlin (1), premiere (3), london (1), tribeca film festival (1), blank (68), german speaking region (1), french speaking region (1), tokyo (1), dvd premiere (1)",68,0,78,0.0,no,no
9029,What Happens in Vegas,6.1,3177,Released,2008-05-07,219400000,99,35000000,tt1033643,en,What Happens in Vegas,"During a wild vacation in Las Vegas, career woman Joy McNally and playboy Jack Fuller come to the sober realization that they have married each other after a night of drunken abandon. They are then compelled, for legal reasons, to live life as a couple for a limited period of time. At stake is a large amount of money.",3.5262,Get Lucky,"Comedy, Romance","penn station entertainment, regency enterprises, 21 laps entertainment, dune entertainment iii, mosaic media group, 20th century fox, monarchy enterprises b.v.",United States of America,"English, ","Vladimir Troitsky, Adam Zuniga, Ron Carter, Jon Yvon, Jerry V. Lindsay, Mark Santomauro, Jennifer Trier, Michelle Krusiec, Billy Eichner, Ariel Shafir, Beth Laufer, Cher Cosenza, Kutcha, Zach Galifianakis, Bradley Morone, Dennis Farina, Krysten Ritter, Lynn Witty, Nicole Dupre Sobchack, Charlotte Johnston, Dave Gibson, Dennis Miller, Michael Harkins, Ciaran T. O'Kelly, Treat Williams, Tom Stratford, Caroline Willman, Rob Corddry, Brian M. Wixson, Cassidy Gard, Myriam Blanckaert, Ben Best, Martinez Little, Michael Rodoja, Sheena Alonzo, Stephanie Domini, Justin Flynn, Deirdre O'Connell, Mauro Bossi, Anna Elizabeth Kendrick, Adam Goodnoff Cernese, Queen Latifah, Ricky Garcia, Maddie Corman, John Eisenberg, Amanda Setton, Bob Golden, Bruce Perkins, Jason Sudeikis, Harry Corrigan, Valerie Orlik, Dennis Albanese, Jessica McKee, Andy Daly, Joe Mancini, Heather Kristin, Thomas Torrey, Evan Palazzo, Brandon Goins, Robert Gerrits, Michael P. Molnar, Russ Spiegel, Matthew Martini, Jason Keith Davis, Jules Hartley, Aaron Nauta, Brittany Dawn Beall, Clem Cheung, Christopher Negrin, Ulysses Owens Jr., Bob Pepper, Maya Jenkins, Ronald E. Giles, Darrell Reuben Hall, Toni Busker, Tommy McGoldrick, Cameron Diaz, Ralph A. Wilburn Jr., Lake Bell, August Costa, Ricardo Walker, Benita Robledo, Meagan Gordon, Audrey Fafard, Patrick Knighton, Josh Tane, Hector Lincoln, Samantha Ridge, Maria Di Angelis, Charles Pendelton, Delia Sheppard, Richard M. Schaeffer, Lanette Fugit Hannah, Sarah Poynter, Eric Zuckerman, Ashton Kutcher, RJ Konner, Rosalind Lipsett",Tom Vaughan,Matthew F. Leonetti,Dana Fox,"Arnon Milchan, Joseph M. Caracciolo Jr., Shawn Levy, Michael Aguilar, Jimmy Miller, Dean Georgaris",Christophe Beck,6.1,193665,/n7bQ7Lj6UhArgnx49wmkaTxM4iU.jpg,5,2008,19,what happens in vegas,-36,19.20640711036329,0.5190920840638727,the incredible hulk,"london (1), premiere (3), westwood, california (1), blank (49), french speaking region (1), german speaking region (1), tokyo (1), limited (1), tv premiere (1), internet (1)",49,1,60,0.02,no,no
14574,The Boy in the Striped Pyjamas,7.822,7423,Released,2008-05-07,20416563,94,12500000,tt0914798,en,The Boy in the Striped Pyjamas,"When his family moves from their home in Berlin to a strange new house in Poland, young Bruno befriends Shmuel, a boy who lives on the other side of the fence where everyone seems to be wearing striped pajamas. Unaware of Shmuel's fate as a Jewish prisoner or the role his own Nazi father plays in his imprisonment, Bruno embarks on a dangerous journey inside the camp's walls.",8.4728,"Lines may divide us, but hope will unite us.","Drama, War, History","bbc film, miramax, heyday films","United Kingdom, United States of America","Deutsch, English","Zsuzsa Holl, David Thewlis, Zsolt S√°f√°r Kov√°cs, Domonkos N√©meth, Richard Johnson, L√°szl√≥ √Åron, L√°szl√≥ Quitt, Charlie Baker, Cara Horgan, Rupert Friend, Vera Farmiga, B√©la Fesztbaum, Iv√°n Vereb√©ly, Henry Kingsmill, Zac Mattoon O'Brien, Asa Butterfield, Sheila Hancock, Jack Scanlon, Jim Norton, Attila Egyed, G√°bor Harsai, Amber Beattie, Julia Papp, Mih√°ly Szabados, David Hayman, L√°szl√≥ N√°dasi",Mark Herman,Beno√Æt Delhomme,"Mark Herman, John Boyne","Mark Herman, Christine Langan, David Heyman",James Horner,7.7,267516,/sLwYSEVVV3r047cjrpRAbGgNsfL.jpg,5,2008,19,the boy in the striped pyjamas,-36,16.83185709013693,0.4549150564901872,the incredible hulk,"carnegie film festival (1), blank (31), san sebastián film festival (1), rio de janeiro international film festival (1), heartland film festival (1), são paulo international film festival (1), chicago international film festival (1), limited (2), oslo international film festival (1), german speaking region (1), dvd premiere (6), manila (1), febio film festival (1), internet (6)",31,6,55,0.11,no,no
8338,Blindness,6.5,1318,Released,2008-05-14,19844979,121,25000000,tt0861689,en,Blindness,"When a sudden plague of blindness devastates a city, a small group of the afflicted band together to triumphantly overcome the horrific conditions of their imposed quarantine.",3.9034,Your vision of the world will change forever.,"Drama, Mystery, Science Fiction, Thriller","alliance films, 20th century fox brazil, gaga communications, asmik ace entertainment, mikado film, independent film fund/cinv, t√©l√©film canada, ag√™ncia nacional do cinema - ancine, potboiler productions, rhombus media, o2 filmes, bee vine pictures","Brazil, Canada, Italy, Japan, United Kingdom","Êó•Êú¨Ë™û, English","Billy Otis, Maury Chaykin, Bathsheba Garnett, Rick Demas, Oscar Hsu, Nadia Litz, Heraldo Firmino, Eduardo Semerjian, Norman Owen, Danny Glover, Y≈´suke Iseya, Mitchell Nye, Matt Fitzgerald, Toni Ellwand, Tom Melissis, Paulino Nunes, Robert Bidaman, Martha Burns, Anthero Montenegro, Mike G. Yohannes, Linlyn Lue, Mel Ciocolato, Daniel Zettel, Mark Ruffalo, Gerry Mendicino, Mariah Inger, Joe Pingue, Barnie, Fernando Patau, Mpho Koaho, Lilian Blanc, Marvin Karon, Rodrigo Arijon, Jim, Katherine East, Sandra Oh, Joe Cobden, Fabiana Gugli, Douglas Silva, Scott Anderson, Fernando Mac√°rio, Michael Mahonen, Joris Jarsky, Susan Coyne, Jorge Molina, Patrick Garrow, Amanda Hiebert, Agi Gallus, Gael Garc√≠a Bernal, Niv Fichman, Rodrigo Pessin, Pl√≠nio Soares, Julianne Moore, Isai Rivera Blas, Jackie Brown, Tracy Wright, Adriana Guerra, Johnny Goltz, Joseph Motiki, John Fort, Matt Gordon, Don McKellar, Antonio Fragoso, Victoria Fodor, Yoshino Kimura, Alice Poon, Ot√°vio Martins, Jo√£o Velho, Domingos Ant√¥nio, Carol Hubner, Sari Friedland, Eduardo Parisi, Alice Braga, Ci√ßa Meirelles, Jason Bermingham, Bia Borin, Kelly Fiddick",Fernando Meirelles,C√©sar Charlone,"Jos√© Saramago, Don McKellar","Aeschylus Poulos, Bel Berlinck, Sheena Macdonald, Tatsumi Yoda, Victor Loewy, Claudia B√ºschel, Akira Ishii, Sonoko Sakai, Niv Fichman, Austin Wong, Andrea Barata Ribeiro, Sari Friedland, Simon Channing Williams, Gail Egan, Larry Weinstein",Marco Ant√¥nio Guimar√£es,6.5,76726,/deBsx5IxyqCC217j3VY24TkkE0Z.jpg,5,2008,20,blindness,-29,16.803461636388263,0.5601153878796088,the incredible hulk,"cannes film festival (1), premiere (3), sarajevo film festival (1), são paulo (1), rio de janeiro (1), hamburg film festival (1), toronto international film festival (1), atlantic film festival (1), blank (36), helsinki international film festival (1), sitges international fantastic film festival (1), french speaking region (1), panorama of european cinema (1), tokyo international film festival (1), german speaking region (1), camerimage (1), dubai international film festival (1), dvd premiere (2), limited (1), reflection of disability in art international festival (1), greek film archive (1)",36,0,59,0.0,no,no
2454,The Chronicles of Narnia: Prince Caspian,6.627,6592,Released,2008-05-15,419665568,150,225000000,tt0499448,en,The Chronicles of Narnia: Prince Caspian,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",6.0989,Everything you know is about to change forever.,"Adventure, Family, Fantasy","walt disney pictures, walden media, silverbell films, mark johnson productions, c.s. lewis company",United States of America,English,"Adam Valdez, Ben Barnes, Lucie Solarova, Hana Frejkov√°, Jan Filipensk√Ω, Ephraim Goldin, Isaac Bell, Michaela Dvorska, Ken Stott, Curtis Matthew, David Bowles, Joseph Moore, Carlos Silva Da Silva, Douglas Gresham, Ashley Jones, Kl√°ra Issov√°, Liam Neeson, Eddie Izzard, Skandar Keynes, Alina Phelan, David Walliams, Predrag Bjelac, Peter Dinklage, Juan Diego Montoya, Anna Popplewell, Vincent Grass, Gomez Sandoval, Lejla Abbasov√°, Jack Walley, Marcus O'Donovan, Jaymie Bell, Sergio Castellitto, Tilda Swinton, Pierfrancesco Favino, Warwick Davis, David Mottl, Winham Hammond, Kristina Beranov√°, Alicia Borrachero, Yemi A.D., Georgie Henley, Shane Rangi, William Moseley, Sim√≥n Andreu, Dami√°n Alc√°zar, Cornell John, Mana Hira Davis, Karolina Matouskova, Siobhan Connors, John Bach",Andrew Adamson,Karl Walter Lindenlaub,"C. S. Lewis, Christopher Markus, Stephen McFeely, Andrew Adamson","Andrew Adamson, Mark Johnson, Perry Moore, Philip Steuer",Harry Gregson-Williams,6.5,235970,/qxz3WIyjZiSKUhaTIEJ3c1GcC9z.jpg,5,2008,20,the chronicles of narnia: prince caspian,-28,19.85496868776918,0.6846540926816959,the incredible hulk,"festival internacional de cine acapulco (1), blank (66), french speaking region (1), german speaking region (1)",66,0,69,0.0,no,no
217,Indiana Jones and the Kingdom of the Crystal Skull,6.018,8728,Released,2008-05-21,786636033,122,185000000,tt0367882,en,Indiana Jones and the Kingdom of the Crystal Skull,"Set during the Cold War, the Soviets‚Äîled by sword-wielding Irina Spalko‚Äîare in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. Indy is coerced to head to Peru at the behest of a young man whose friend‚Äîand Indy's colleague‚ÄîProfessor Oxley has been captured for his knowledge of the skull's whereabouts.",6.5548,The adventure continues...,"Adventure, Action","paramount pictures, lucasfilm ltd.",United States of America,"English, Deutsch, P—É—Å—Å–∫–∏–π","Sean Marrinan, Marly Coronel, Gregory Kudanovych, Al Conti, Brian Knutson, Jonathan Lomma, Andrew Goldfarb, Arnold Chon, Ian Novotny, Michael J. Jacyna, Shia LaBeouf, Helena Barrett, Igor Jijikine, Harrison Ford, Amanda Bromberg, Johanna Monasterios, David St. Pierre, Kevin Collins, Ted Grossman, Andrew Divoff, Gustavo Hernandez, Sophia Stewart, Jim Broadbent, Steven A. Miller, Neil Flynn, Ken Edling, Lee Morrison, Adam Prakop, Katie Knopf, Andre Alexsen, Alan Dale, Ilya Jonathan Zaydenberg, Holland Diaz, Derek Mears, Ryan Bair, John H. Tobin, Kyle Brody, Maria Luisa Minelli, Juan Manuel Mendiola Jr., Emmanuel Todorov, Chuck Maldonado, Alexander Kaminer, Joel Stoffer, Denholm Elliott, Nito Larioza, Sasha Spielberg, David LaVera, John Willoughby, Brendon John Kelly, John Hurt, Jason Roehm, Ilya Rockwell, Martin Dew, Cate Blanchett, Philip J. Silvera, Chris Todd, Jared Christopherson, Noelle Bruno, Dianne Zaremba, Joe Jagatic, Errol Sack, Greg Anthony, Venya Manzyuk, Janet L√≥pez, T. Ryan Mooney, Ray Winstone, Dean Grimes, Robert Baker, Dennis Nusbaum, Celia Hemken, Carlos Linares, Tim Camarillo, Anthony Martins, Jon Valera, Jon Braver, Chris Bryant, Kevin Patrick Burke, Larry Eudene, Josh Mills, Karen Allen, Bryan Thompson, Adam Kirley, Vincent Foster, Nicole Luther, Pasha D. Lychnikoff, Ana Maria Quintana, Bogdan Szumilas, Chet Hanks, Erin Frederick, John Dixon, Sam Rocco, Colin Follenweider, Dimitri Diatchenko, Michael Maddigan, Audi Resendez, Ilia Volok, Ernie Reyes Jr.",Steven Spielberg,Janusz Kami≈Ñski,"Jeff Nathanson, David Koepp, Philip Kaufman, George Lucas","Kathleen Kennedy, Frank Marshall, George Lucas",John Williams,6.2,508621,/56As6XEM1flWvprX4LgkPl8ii4K.jpg,5,2008,21,indiana jones and the kingdom of the crystal skull,-22,20.48327622672714,0.890577227249006,the incredible hulk,"cannes film festival (1), premiere (4), new york city, new york (1), sydney (1), blank (70), french speaking region (1), limited (2), german speaking region (1), festival de cinema en valencià inquiet (1), tokyo (1), dvd premiere (2), blu-ray (1)",70,0,86,0.0,no,no
10665,The Strangers,6.1,2559,Released,2008-05-29,83051676,86,9000000,tt0482606,en,The Strangers,"After a 4 a.m. knock at the door and haunting voices, Kristen McKay and James Hoyt‚Äôs remote getaway becomes a psychological night of terror as three masked strangers invade. Now they must go far beyond what they thought themselves capable of if they hope to survive.",5.3548,Lock the door. Pretend you're safe.,"Horror, Thriller","intrepid pictures, rogue pictures, vertigo entertainment, mandate pictures",United States of America,English,"Kip Weeks, Scott Speedman, Liv Tyler, Jordan Orr, Glenn Howerton, Shawn McClellan, Laura Margolis, Alex Fisher, Nick Barghini, Peter Clayton-Luce, Gemma Ward",Bryan Bertino,Peter Sova,Bryan Bertino,"Nathan Kahane, Marc D. Evans, Kelli Konop, Roy Lee, Doug Davison, Joseph Drake, Sonny Mallhi, Trevor Macy","Andy Milburn, tomandandy, Tom Hajdu",6.1,155018,/gwsg4qFmLOvlhwXj4OZuxfFUdP0.jpg,5,2008,22,the strangers,-14,18.234973586474737,1.2156649057649824,the incredible hulk,"blank (42), frightfest (1), metro manila (1), german speaking region (1), dvd premiere (4), internet (2)",42,2,51,0.04,no,no
