id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer,imdb_rating,imdb_votes,poster_path,release_month,release_year,iso_week,title_clean,distance,strength,score,marvel_movie,attributes,blank,internet,total,internet_ratio,internet_dominance,error
118289,Diana,5.6,495,Released,2013-09-19,21766271,113,15000000,tt1758595,en,Diana,"During the last two years of her life, Princess Diana campaigns against the use of land mines and has a secret love affair with a Pakistani heart surgeon.",11.8656,The legend is never the whole story,"Drama, Romance","ecosse films, le pacte, scope pictures, filmgate films, film i v√§st, mp film production","Belgium, France, Sweden, United Kingdom",English,"Charles Edwards, Jay McDonald, Juliet Stevenson, Du≈°ko Valentiƒá, Ameer Choudrie, Max Cane, Geraldine James, Michael Hadley, Afzal Khan, Ilan Goodman, Cleone Cassidy, Florence Bell, Rose O'Loughlin, Julian Firth, Alexander Barnes, Kasthuri Singh, Edna Jaire, Christopher Birch, Naomi Watts, Mirjana Sino≈æiƒá, Jonathan Kerrigan, Douglas Hodge, Prasanna Puwanarajah, Mary Stockley, David Sherwood, James Puddephatt, Naveen Andrews, Tessa Jubber, Harry Holland, Art Malik, Alex Elliot, Max Wrottesley, Leeanda Reddy, Daniel Pirrie, Chris Cowlin, Nathaniel Facey, Rafiq Jajbhay, Usha Khan, Will Chitty, Micah Balfour, Cas Anvar, Nera Stipiƒçeviƒá, Michael Byrne, Raffaello Degruttola, Laurence Belcher",Oliver Hirschbiegel,Rainer Klausmann,"Kate Snell, Stephen Jeffreys","Mark Woolley, Robert Bernstein, Genevi√®ve Lemal, Tim Haslam, Douglas Rae, Xavier Marchand","David Holmes, Keefus Ciancia",5.6,21378,/a2fdd9ZcWeIh13PPNPnxKs2tbXm.jpg,9,2013,38,diana,-41,16.89587217371432,0.4022826708027219,thor: the dark world,"london (1), premiere (1), blank (47), rio de janeiro international film festival (1), limited (2), amsterdam film week (1), dvd premiere (1)",47,0,54,0.0,no,no
146233,Prisoners,8.1,12554,Released,2013-09-19,122126687,153,46000000,tt1392214,en,Prisoners,"Keller Dover is facing every parent‚Äôs worst nightmare. His six-year-old daughter, Anna, is missing, together with her young friend, Joy, and as minutes turn to hours, panic sets in. The only lead is a dilapidated RV that had earlier been parked on their street.",8.0626,Every moment matters.,"Drama, Thriller, Crime","alcon entertainment, 8:38 productions, madhouse entertainment",United States of America,English,"Alisa Harris, Jeff Pope, Anthony Reynolds, Takara Clark, J. Omar Castro, Viola Davis, Sandra Ellis Lafferty, Rodrick Goins, Hugh Jackman, Robert C. Treveiler, Mark Drum, Melissa Leo, John Atwood, Wayne Duvall, Pam Smith, Jane McNeill, Brian Daye, Paul Dano, Erin Gerasimovich, Jake Gyllenhaal, Lana Yoo, Katrina Despain, Len Cariou, Brody Rose, Maria Bello, Stacy Melich, Todd Truley, Zo√´ Soul, David Dastmalchian, Dylan Minnette, Brad James, Jason Davis, Michelle Keller, Victoria Staley, Terrence Howard, Kyla-Drew, Gloria Webber, Robert Mello, Dennis Christopher",Denis Villeneuve,Roger Deakins,Aaron Guzikowski,"Andrew A. Kosove, Mark Wahlberg, Broderick Johnson, Kira Davis, Adam Kolbrenner, Stephen Levinson, Robyn Meisinger, John H. Starke, Edward McDonnell",J√≥hann J√≥hannsson,8.2,902735,/jsS3a3ep2KyBVmmiwaz3LvK49b1.jpg,9,2013,38,prisoners,-41,18.620569490135487,0.4433468926222735,thor: the dark world,"telluride film festival (1), toronto international film festival (1), beverly hills, california (1), premiere (4), belgrade (1), blank (65), berlin (1), san sebastián film festival (1), zurich film festival (1)",65,0,76,0.0,no,no
220289,Coherence,7.217,3178,Released,2013-09-19,139745,89,50000,tt2866360,en,Coherence,Four couples gather for dinner the night a mysterious and powerful comet passes overhead.,4.6224,Rearrange your brain.,"Thriller, Science Fiction","bellanova films, ugly duckling films","United Kingdom, United States of America",English,"Kelly Donovan, Emily Baldoni, Aqueela Zoll, Nicholas Brendon, Elizabeth Gracen, Hugo Armstrong, Alexis Boozer Sterling, Maury Sterling, Lauren Maher, Mark Ballou, Lorene Scafaria, Alex Manugian",James Ward Byrkit,Nic Sadler,"Alex Manugian, James Ward Byrkit","Lene Bausager, Alyssa Byrkit",Kristin √òhrn Dyrud,7.2,166710,/ezUtb9m5DeLwL2gxi4gktzNCvQv.jpg,9,2013,38,coherence,-41,11.847581768067462,0.2820852801920824,thor: the dark world,"austin fantastic fest (1), sitges film festival (1), golden horse fantastic film festival (1), taipei golden horse fantastic film festival (1), sarasota film festival (1), cph: pix (1), istanbul film festival (1), riverrun international film festival (1), imagine film festival (1), san francisco international film festival (1), southeast new england film, music & arts festival (1), montclair film festival (1), new york city, new york (1), edinburgh international film festival (1), traverse city film festival (1), blank (7), internet (3), fantasy filmfest (1), dvd premiere (11), motelx - lisbon international horror film festival (1), utopia film festival (1), toronto (1), athens film festival (1), limited (1), blu-ray & dvd premiere (1), dvd and blu-ray premiere (1), blu-ray release (1), atlanta film festival (1)",7,3,46,0.07,no,no
157834,The Zero Theorem,6.1,1266,Released,2013-09-20,770706,107,8500000,tt2333804,en,The Zero Theorem,"A computer hacker's goal to discover the reason for human existence continually finds his work interrupted thanks to the Management; this time, they send a teenager and lusty love interest to distract him.",1.7788,Nothing is Everything,"Drama, Fantasy, Science Fiction","zanuck independent, mediapro pictures, zephyr films, picture perfect corporation, voltage pictures, asia & europe productions","France, Romania, United Kingdom, United States of America",English,"M√©lanie Thierry, Matt Damon, Rupert Friend, Gwendoline Christie, Ingrid Bisu, Christoph Waltz, Lucas Hedges, Ben Whishaw, Sanjeev Bhaskar, Peter Stormare, Iulia Verdes, Tilda Swinton, Lily Cole, David Thewlis, Dana Rogoz, Margarita Doyle",Terry Gilliam,Nicola Pecorini,Pat Rushin,"Dean Zanuck, Nicolas Chartier, Jean Labadie, Patrick Newall, Andreea Stanculeanu, Andrei Boncea, Chris Curling, Phil Robertson, Zev Foreman",George Fenton,6.0,51259,/j2sEI9FOaJszidVatzIaaMPdLsm.jpg,9,2013,38,the zero theorem,-40,13.555063554376972,0.3306113062043164,thor: the dark world,"venice film festival (1), blank (24), san sebastián film festival (1), rio de janeiro international film festival (1), austin fantastic fest (1), sitges film festival (1), bfi london film festival (1), ljubljana international film festival (1), brisbane film festival (1), black nights film festival (1), marrakech international film festival (1), göteborg international film festival (1), glasgow film festival (1), belgrade film festival (1), vilnius international film festival (1), istanbul film festival (1), cph:pix (1), imagine film festival (1), brussels international fantastic film festival (1), paris (1), premiere (1), munich international film festival (1), neuchâtel international fantastic film festival (1), fantasia international film festival (1), dvd and blu-ray premiere (2), dvd premiere (1), internet (2), baltic pearl film festival (1), utopia film festival (1), limited (2), beijing international film festival (1), trieste science+fiction festival (1), sofia film fest (1)",24,2,59,0.03,no,no
191714,The Lunchbox,7.4,757,Released,2013-09-20,17240000,104,3400000,tt2350496,hi,The Lunchbox,"A mistaken delivery in Mumbai's famously efficient lunchbox delivery system (Mumbai's Dabbawallahs) connects a young housewife to a stranger in the dusk of his life. They build a fantasy world together through notes in the lunchbox. Gradually, this fantasy threatens to overwhelm their reality.",3.7784,Can You Fall In Love With Someone You Have Never Met?,"Drama, Romance","dar motion pictures, asap films, sikhya entertainment, national film development corporation of india, rohfilm, cine mosaic, arte france cin√©ma, dharma productions, nittin keni creations, utv motion pictures","France, Germany, India, United States of America","English, ‡§π‡§ø‡§®‡•ç‡§¶‡•Ä","Avijit Khanwilkar, Calvin Desilva, Rosemary Vossoaker, Denzil Smith, Ravindra Dubey, Krishna Bai, Vidhya Dhar, Quitira Vossoaker, Kyeron Kandoria, Santosh Kumar Chaurasiya, Lillete Dubey, Yashvi Punneet Nagar, Bharati Achrekar, Flory Vossoaker, Narendra Arora, Mahesh Mahadev Salavkar, Krishna Mandal, Nimrat Kaur, Craig Narona, Xavier Hodges, Hubart Vossoaker, Shubh Jadav, Nakul Vaid, Swapnil Shirirao, Irrfan Khan, Sebastian Vossoaker, Baaburao Sankpal, Kancha Karki, Aarti Rathod, Raj Rishi More, Rosemary Hodges, Nasirr Khan, Nawazuddin Siddiqui, Lokesh Rai, Shruti Bapna, Sadashiv Kondaji Pokarkar, Aakash Sinha, Chandrakantha Rajani, Ashwin Desai",Ritesh Batra,Michael Simmonds,Ritesh Batra,"Lydia Dean Pilcher, Ritesh Batra, Irrfan Khan, Arun Rangachari, Guneet Monga, Anurag Kashyap",Max Richter,7.8,65798,/jSOiz1h97i3qwjZJXY8SeLvjPsl.jpg,9,2013,38,the lunchbox,-40,16.66274288120446,0.4064083629562063,thor: the dark world,"cannes international critics' week (1), karlovy vary international film festival (1), new horizons film festival (1), two riversides film and art festival (1), gindou film festival (1), telluride film festival (1), toronto international film festival (1), film by the sea film festival (1), blank (34), reykjavik international film festival (1), vancouver international film festival (1), zurich film festival (1), edmonton international film festival (1), bfi london film festival (1), são paulo international film festival (1), free zone festival, belgrade (1), stockholm international film festival (1), arras film festival (1), afi fest (1), forum des images, paris (1), torino film festival (1), dubai international film festival (1), glasgow film festival (1), limited (3), vilnius international film festival (1), stockholm filmfestival junior (1), skopje film festival (1), food film festival (1), sydney film festival (1), new zealand international film festival (1), traverse city film festival (1), fribourg international film festival (1)",34,0,67,0.0,no,no
129670,Nebraska,7.45,1831,Released,2013-09-21,27700000,115,12000000,tt1821549,en,Nebraska,"An aging, booze-addled father takes a trip from Montana to Nebraska with his estranged son in order to claim what he believes to be a million-dollar sweepstakes prize.",2.7129,Life's not about winning or losing. It's about how you get there in the end.,"Drama, Adventure","echo lake entertainment, bona fide productions",United States of America,"English, Espa√±ol","Kevin Kunkel, Rance Howard, Jason Speidel, Robert Dach, Franklin Dennis Jones, Eula Freudenberg, Catherine Rae Schutz, Elizabeth Moore, Jeffrey Yosten, Bruce Dern, Francisco Mendez, Noah Matteo, Colleen O'Doherty, Dennis McCoig, Terry Kotrous, Missy Doty, Bob Knollenberg, Will Forte, Stacy Keach, Ronald Vosta, Roger Stuckwisch, Ray Stevens, Angela McEwan, Melinda Simonsen, Dennis McCave, Rachel Lynn Leister, Sherry Ristow, Mary Louise Wilson, June Squibb, Tim Driscoll, Lois Nemec, Jose Mu√±oz, Scott Goodman, Bob Nelson, Anthony G. Schmidt, Glendora Stitt, Bob Odenkirk, Neal Freudenberg, Sherry Ferris, John Reynolds, Devin Ratray",Alexander Payne,Phedon Papamichael,Bob Nelson,"Julie M. Thompson, Ron Yerxa, Albert Berger, Doug Mankoff, George Parra, Neil Tabatznik",Mark Orton,7.7,127305,/o1t2Mw18EEBnl8v4Nby3PFjxnM1.jpg,9,2013,38,nebraska,-39,17.13694300725865,0.4284235751814663,thor: the dark world,"cannes film festival (1), jameson cinefest international film festival (1), rio de janeiro international film festival (1), vancouver international film festival (1), hamburg film festival (1), mill valley film festival (1), new york film festival (1), bfi london film festival (1), hamptons international film festival (1), chicago international film festival (1), austin film festival (1), thessaloniki international film festival (1), cork international film festival (1), stockholm international film festival (1), afi fest (1), napa valley film festival (1), ljubljana international film festival (1), limited (1), camerimage film festival (1), toronto (1), blank (33), dvd premiere (2), belgrade film festival (1), international film festival vilnius (1), kosmorama trondheim international film festival (1), new horizons film festival (1), film by the sea film festival (1), munich international film festival (1), tv release (1), black-and-white movie month (1), locarno film festival (1)",33,0,64,0.0,no,no
85889,Filth,6.8,1810,Released,2013-09-23,9114264,97,5000000,tt1450321,en,Filth,A bigoted junkie cop suffering from borderline personality disorder and drug addiction manipulates and hallucinates his way in a bid to secure promotion.,2.3896,"It's a filthy job getting to the top, but someone's got to do it.","Crime, Drama, Comedy","egoli tossell film, steel mill pictures, filmgate films, logie pictures, altitude film entertainment, film house germany, maven screen media, entre chien et loup, mollywood, creative scotland, film i v√§st, lionsgate uk, studio mao","Belgium, Germany, Sweden, United Kingdom, United States of America",English,"Kate Dickie, Chris Young, Tracy-Ann Oberman, Jamie Wallace, Jim Broadbent, Mitchell Mullen, Vanda Dadras, David Soul, Trudie Styler, Natasha O'Keeffe, James McAvoy, Therese Bradley, Franziska Altmeyer, Emun Elliott, Iain De Caestecker, Jodie Mccallum, Shauna Macdonald, Eddie Marsan, Neil D'Souza, Jonathan Watson, Pollyanna McIntosh, Joanne Froggatt, Gary Lewis, Martin Compston, Robin Laing, Imogen Poots, Joy McAvoy, Michael Moreland, Ron Donachie, Jake Wilson, John Sessions, Shirley Henderson, Jordan Young, Lauren Maddox, Emma Bryant, Chidi Chickwe, Megan Finn, Luke MacDonald, Craig Garner, Jamie Bell, Brian McCardie, Colin Healy, Sanjeev Kohli, Bobby Rainsbury, Zack Eisaku Niizato, Chris Cameron",Jon S. Baird,Matthew Jensen,"Jon S. Baird, Irvine Welsh","Ralph S. Dietrich, Jens Meurer, Jon S. Baird, Stephen Mao, Steven Istock, Ken Marshall, Will Clarke, Christian Angermayer, Trudie Styler, Celine Rattray, Mark Amin, James McAvoy",Clint Mansell,7.0,120825,/1F2q79eQqEEiak6sslCzdbyCbr5.jpg,9,2013,39,filth,-37,16.02535132652985,0.4217197717507855,thor: the dark world,"old town taito international comedy film festival (1), scotland only (1), zurich film festival (1), blank (22), german speaking region (1), cinemania, belgrade (1), night visions film festival (1), göteborg international film festival (1), dvd premiere (4), imagine film festival (1), internet (3), limited (4), sitges international fantastic film festival (1), warsaw film festival (1), tv release (1)",22,3,44,0.07,no,no
146238,Runner Runner,5.644,1281,Released,2013-09-24,62600000,88,30000000,tt2364841,en,Runner Runner,"When a poor college student who cracks an online poker game goes bust, he arranges a face-to-face with the man he thinks cheated him, a sly offshore entrepreneur.",3.0798,The house always wins.,"Crime, Thriller, Drama","regency enterprises, double feature films, appian way, stone village pictures, new regency pictures",United States of America,English,"Ben Affleck, Ben Schwartz, Efrain Canino Santos, Carlos Sanz, Samuel Verdejo, Dalissa Nevarez, Jeremy E. Gonzalez, Clifford Myatt, Anthony Mackie, Sam Upton, Bernie O. Ramos Robledo, Jim Cruz, John Heard, deadmau5, Mike Sampedro, David Davila, Antonio Esfandiari, Oliver Cooper, Margarita √Ålvarez, Doug Weinberg, Michael Esper, Carlos M. Gonzalez, Justin Timberlake, Hugh Scott, Sandha Khin, Bob Gunton, Jordan Beder, James Molina, Wifredo Alejandro, Juan Padilla-Lallave, David Costabile, Phil Laak, Vincent Laresca, Justin Paul, Gemma Arterton, Sam Mendoza, Yul Vazquez, Sam Palladio, Randall M. Corsi, Dayo Okeniyi, Adriana Fontanals Cuebas, Natasha Lopez, Yessenia Monge, David Castro, Louis Lombardi, Laura Aleman, Nilo Verdejo, Christian George, Nayka M. Vallejo",Brad Furman,Mauro Fiore,"Brian Koppelman, David Levien","Erik Holmberg, Brian Koppelman, Michael Shamberg, David Levien, Leonardo DiCaprio, Brad Weston, Arnon Milchan, Stacey Sher, Jennifer Davisson",Christophe Beck,5.6,66856,/ck5jZjv7WVoCBBgTH1gJlhyCLPy.jpg,9,2013,39,runner runner,-36,17.952275852044767,0.4851966446498585,thor: the dark world,"las vegas, nevada (1), premiere (3), blank (52), tirana (1), buenos aires (1), dvd premiere (1), tv premiere (1)",52,0,60,0.0,no,no
227199,Kicking Off,6.13,46,Released,2013-09-24,2505528,100,2400005,tt2643308,ru,–û–∫–æ–ª–æ—Ñ—É—Ç–±–æ–ª–∞,"This movie is about soccer hooligans, the most aggressive and violent soccer aficionados. They are an exclusive group, the elite of all soccer fans. Whoever they may be in their everyday lives‚Äîcollege students, bankers, musicians, or car mechanics‚Äîthey are a ‚Äúfirm.‚Äù It‚Äôs easy to get into a firm, but once you‚Äôre in, it‚Äôs for life. There‚Äôs no going back.  The movie is based on actual events",0.4581,We're Here To Stay!,"Drama, Thriller",ctb film company,Russia,P—É—Å—Å–∫–∏–π,"Nikita Kukushkin, Timur Efremenkov, Konstantin Ignatyev, Vladimir Kolosov, Elena Simonova, Ivan Fominov, Pavel Erlikov, Egor Bakulin, Igor Novoselov, Aleksandr Ratnikov, Evgeny Berezin, Sergey Troitskiy, Darya Mingazetdinova, Anton Bormatov, Denis Los, Stanislav Lesnoy, Vasily Stepanov, Egor Timtsunik, Andrey Filippak, Anton Zavyalov, Darya Mitkazetdinova, Grigory Ivanets, Andrey Pozdnukhov, Igor Grinyakin, Maksim Belborodov, Nikolay Shrayber, Sergey Shnyryov, –Æ–ª–∏—è –ú–∞–Ω—å–∫–æ–≤—Å–∫–∞—è, Valeriy Barinov, Yuriy Saltykov, Sergey Zharkov, Vladimir Tsarulkov",Anton Bormatov,Igor Grinyakin,"Dmitry Lemishev, Elena Geladze","Sergei Selyanov, Elena Bykova",Anton Zavyalov,6.4,2495,/vcTLIaPBRMxl3nbFqV7cuaBi23q.jpg,9,2013,39,kicking off,-36,14.734010447850952,0.3982164985905663,thor: the dark world,"blank (2), dvd premiere (1)",2,0,3,0.0,no,no
109451,Cloudy with a Chance of Meatballs 2,6.448,3366,Released,2013-09-26,248384621,94,78000000,tt1985966,en,Cloudy with a Chance of Meatballs 2,"After the disastrous food storm in the first film, Flint and his friends are forced to leave the town. Flint accepts the invitation from his idol Chester V to join The Live Corp Company, which has been tasked to clean the island, and where the best inventors in the world create technologies for the betterment of mankind. When Flint discovers that his machine still operates and now creates mutant food beasts like living pickles, hungry tacodiles, shrimpanzees and apple pie-thons, he and his friends must return to save the world.",7.9367,Something big was leftover.,"Animation, Family, Comedy","columbia pictures, sony pictures animation",United States of America,English,"Cyril Lignac, Kelly Stables, Ashley Lambert, Marina Squerciati, Peter Siragusa, Steve Alterman, Wendy Hoffmann, Maddie Taylor, Al Roker, Khamani Griffin, David Cowgill, Walter Jones, Will Forte, Eddie Frierson, Kris Pearn, June Christopher, Scott Menville, Tania Gunadi, Craig Kellman, Cody Cameron, Elisa Gabrielli, Neil Patrick Harris, Kristen Schaal, Bill Hader, Benjamin Bratt, James Caan, Melissa Sturm, Jackie Gonneau, David Sheinkopf, Anna Faris, Andy Samberg, Bridget Hoffman, Shane Sweet, Terry Crews, Jonathan Lambert, Pauline Lef√®vre","Kris Pearn, Cody Cameron",,"Jonathan Goldstein, Christopher Miller, Phil Lord, Ron Barrett, John Francis Daley, Erica Rivinoja, Judi Barrett","Pam Marsden, Kirk Bodyfelt, Christopher Miller, Phil Lord",Mark Mothersbaugh,6.3,122961,/ss5NcK2NWFg2YcKKYXLrk8q1myS.jpg,9,2013,39,cloudy with a chance of meatballs 2,-34,19.330488997894644,0.5522996856541327,thor: the dark world,"blank (60), limited (1), ljubljana (1), l'alpe d'huez international comedy film festival (1), blu-ray release (1)",60,0,64,0.0,no,no
