title,id,vote_average,vote_count,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer,imdb_rating,imdb_votes,poster_path
10 Cloverfield Lane,333371,6.994,8345,42439,110216998,104,15000000,tt1179933,en,10 Cloverfield Lane,"After a catastrophic car crash, a young woman wakes up in a survivalist's underground bunker, where he claims to have saved her from an apocalyptic attack that has left the outside world uninhabitable.",4.9436,Monsters come in many forms.,"Thriller, Science Fiction, Drama, Horror",Bad Robot,United States of America,English,"John Goodman, Bradley Cooper, Douglas M. Griffin, Mary Elizabeth Winstead, Frank Mottek, Sumalee Montano, Suzanne Cryer, John Gallagher Jr.",Dan Trachtenberg,Jeff Cutter,"Josh Campbell, Matthew Stuecken, Damien Chazelle","Matt Reeves, Lindsey Weber, J.J. Abrams",Bear McCreary,7.2,377994,/84Dhwz93vCin6T1PX6ctSvWEuNE.jpg
"10,000 BC",7840,5.5,3064,39511,269784201,109,105000000,tt0443649,en,"10,000 BC",A prehistoric epic that follows a young mammoth hunter's journey through uncharted territory to secure the future of his tribe.,60.7787,The legend. The battle. The first hero.,"Adventure, Action, Drama, Fantasy","Centropolis Entertainment, Legendary Pictures, The Department of Trade, Industry and Competition of South Africa, Moonlighting Films, Warner Bros. Pictures","United States of America, South Africa, New Zealand","English, Português","Reece Ritchie, David Dennis, Steven Strait, Mark Simmons, Antonio Fisher, Joe Vaz, Boubacar Babiane, Ben Coyle-Larner, Mykhail Cohen, Nimiah Rodgers, Ben Hart, Steven Afrikaner, Joel Fry, Camilla Belle, Andrew Stehlin, Omar Sharif, Cliff Curtis, Joshua Peters, Mona Hammond, Affif Ben Badra, Kolby Pistak, Gabriel Malema, Louise Tu'u, Nathanael Baring, Grayson Hunt Urwin, Farouk Valley-Omar, Sadrag Nakale, Tony Caprari, Jacob Renton, Mo Zinal, Charles Baloyi, Heberth Somaeb, Kabelo Murray, Hannah Westbury, Kristian Beazley, Suri van Sornsen, Junior Oliphant, Joel Virgel, Janine Manuel, Tim Barlow, Matthew Navin, Marco Khan",Roland Emmerich,Ueli Steiger,"Harald Kloser, Roland Emmerich","William Fay, Michael Wimer, Sarah Bradshaw, Mark Gordon, Harald Kloser, Tom Karnowski, Thomas Tull, Roland Emmerich","Thomas Wander, Harald Kloser",5.1,138608,/9I7gV6wRbGnbfI3XOKjHeLMjYEo.jpg
100 Feet,14098,5.7,326,39651,1415804,105,10000000,tt0899128,en,100 Feet,"After Marnie Watson kills her abusive husband in self-defense, she is condemned to house arrest... only to discover that the house is possessed by the enraged and violent spirit of her dead husband.",3.1418,Her husband is dead and he's taking the news badly...,Horror,"Grand Illusions Entertainment, Film Visions Funding, New Deal Studios, 100 Feet Productions, Laurinfilm, Blue Rider Pictures, Voltage Pictures",United States of America,English,"Famke Janssen, Ed Westwick, John Fallon, Kevin Geer, Ken Kelsch, Jonathan Sanger, Patricia Charbonneau, Michael Paré, Kembe Sorel, Bobby Cannavale, Evelyne Kandech, Eric Walkuski, Tibor Pálffy",Eric Red,Ken Kelsch,Eric Red,"Jonathan Sanger, Ed Elbert, Stephen L'Heureux, Sarah Black",John Frizzell,5.4,13603,/ryocnetNNLWs0Oefkqkea6HccqV.jpg
12 Strong,429351,6.3,3093,43118,67450815,130,35000000,tt1413492,en,12 Strong,A team of special forces head into Afghanistan in the aftermath of the September 11th attacks in an attempt to dismantle the Taliban.,16.8494,The declassified true story of the horse soldiers,"War, Drama, Action, History","Torridon Films, Alcon Entertainment, Black Label Media, Jerry Bruckheimer Films, 16:14 Entertainment",United States of America,English,"Rob Riggle, Martin Palmer, Ben O'Toole, Mustafa Haidari, Veronica Díaz-Carranza, Geoff Stults, Chris Hemsworth, Allison Gabriel, Kenneth Miller, Osama bin Laden, Sofia Chicorelli Serna, Michael Shannon, Kevin Kent, Peter Karas, William Fichtner, Benjamin Poe, Seth Adkins, Frank Powers, Nate Boyer, Christian Pedersen, Laith Nakli, Austin Hébert, Taylor Sheridan, Marie Wagenman, Shawn Sarmeidani, Lawrence Gilligan, Trevante Rhodes, Perla Daoud, Adrian Luna, Kenny Sheard, Yousuf Azami, Sarrett Williams, Tommy Truex, Jack Kesy, Shawn Lecrone, Ali Olomi, Jay Moore, Austin Stowell, Michael Peña, Yasmine Aker, Lauren Chavez-Myers, Matthew Van Wettering, Elsa Pataky, Edward Butron, Anouar H. Smaine, Shvan Aladdin, Navid Negahban, J. Nathan Simmons, James Joseph Pulido, Arshia Mandavi, Fahim Fazli, Nour Bitar, Michael E. Stogner, Thad Luckinbill, Tim Aydelott",Nicolai Fuglsig,Rasmus Videbæk,"Peter Craig, Doug Stanton, Ted Tally","Garrett Grant, Mike Stenson, Trent Luckinbill, Molly Smith, Ellen H. Schwartz, Yale Badik, Broderick Johnson, Chad Oman, Jerry Bruckheimer, Thad Luckinbill, Val Hill, Doug Stanton, Andrew A. Kosove",Lorne Balfe,6.5,99034,/37Qwani2g0jVPU7N4OkkTZ7aERz.jpg
12 Years a Slave,76203,7.938,11618,41565,187000000,134,20000000,tt2024544,en,12 Years a Slave,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.",5.905,The extraordinary true story of Solomon Northup.,"Drama, History","New Regency Pictures, Plan B Entertainment, River Road Entertainment, Regency Enterprises, Film4 Productions","United Kingdom, United States of America",English,"Liza J. Bennett, Tom Proctor, Blake Burt, Jason Owen, Jarett Shorts, John McConnell, Mister Mackey Jr., Richard Holden, Wayne Pére, Austin Purnell, Ritchie Montgomery, Chiwetel Ejiofor, Craig Tate, Jon Arthur, Storm Reid, Devin Maurice Evans, Jay Huguley, Rob Steinberg, Justin Edward Davis, Jim Johnson, Michael Kenneth Williams, Isaiah Jackson, Bob Walker, Cameron Zeigler, Carroll Burt, Taran Killam, Topsy Chapman, Anwan Glover, Marcus Lyle Brown, Thomas Francis Murphy, Justin Christopher Vaughn, Gregory Bright, Scott M. Jefferson, Andre Robinson, Benedict Cumberbatch, John C. Klein, Michael Fassbender, Tyler Soerries, Chris Chalk, Erin Rementer, Sean Paul Braud, Kelsey Scott, Devyn A. Tyler, Haylie Creppel, Kelvin Harrison, Jr., Dwight Henry, Willo Jean-Baptiste, Andre De'Sean Shanks, Bryan Batt, Deneen Tyler, Mark Joyce, Mustafa Harris, Marc Macaulay, Edward J. Clare, Alfre Woodard, Timothy Wyant, Dickie Gravois, Jason Ament, Quvenzhané Wallis, Douglas M. Griffin, Corrina Roshea Bobb, J.D. Evermore, Andy Dylan, Bill Camp, Tre Tureaud, Brad Pitt, Christopher Berry, Gerard 'Jerry' Lewis, Paul Giamatti, Paul Dano, Scoot McNairy, Vivian Fleming-Alvarez, Lupita Nyong'o, Tony Bentley, JJ Coker, Shawn Parsons, Nicole Collins, Ashley Dyke, Sarah Paulson, James C. Victor, Terrell Ransom Jr., Adepero Oduye, Caroline Grace Williamson, Chaz Smith, Kevonte Mcdonald, Garret Dillahunt",Steve McQueen,Sean Bobbitt,"Solomon Northup, John Ridley","Bill Pohlad, Jeremy Kleiner, Dede Gardner, Arnon Milchan, Brad Pitt, Tessa Ross, John Ridley, Bianca Stigter, Steve McQueen, Anthony Katagas",Hans Zimmer,8.1,775224,/xdANQijuNrJaw1HA61rDccME4Tm.jpg
13,44982,5.9,857,40249,3701600,91,20000000,tt0798817,en,13,"A naive young man assumes a dead man's identity and finds himself embroiled in an underground world of power, violence, and chance where men gamble behind closed doors on the lives of other men.",3.4962,Spin. Aim. Survive.,"Drama, Thriller","Anchor Bay Films, Overnight Films, Morabito Picture Company, Barbarian Films, Magnet Media Group, Oceana Media Finance, Red Dragon Productions, Cinedigm, Magnet Media Productions, Number 13, Paramount Vantage",United States of America,English,"Carlos Reig-Plaza, Doug Kruse, Michael Shannon, Scott Dillin, Doug Torres, Stephen Beach, David Conley, Martin Murphy, Mickey Rourke, Ed Bergtold, Ronald Guttman, Eddy Toru Ohno, Dan Paragon, 50 Cent, William Fowle, George Feaster, William Posner, Ben Gazzara, Sam Riley, David Zayas, Chris McKinney, Ray Winstone, Jason Statham, Starla Benford, Alexander Skarsgård, Gaby Hoffmann, Rock Kohli, J.D. Thompson, Ricky Garcia, Mark Havlis, Danny Rutigliano, Robert Testut, Alice Barrett, Temur Babluani, Mike D'Onofrio, Prianga Pieris, Forrest Griffin, Daisy Tahan, Don Frye, Emmanuelle Chriqui, John Bedford Lloyd, Michael Berry Jr., David Scott Klein, Joseph DeBona, Lars Gerhard, Chuck Zito, Alan Davidson, Stephen Gevedon, Omar Capra, Anthony Chisholm, Frank Senger",Gela Babluani,Michael McDonough,Gregory Pruss,"Rick Schwartz, Myles Nestel, Gela Babluani, Brian Edwards, Anthony Gudas, Douglas Kuber, Valerio Morabito, Simon O'Leary, Maggie Monteith, Alan Bernon, Michael Corso, Franck Dubarry, Caroline Jaczko, Jeanette B. Milio, Ron Hartenbaum, Anthony Callie",Alexander Bubenheim,6,45465,/eJAVjARKe3YBabnbhdbYWXD7Hdg.jpg
13 Sins,155084,6.307,1164,41740,13809,93,5000000,tt2059171,en,13 Sins,"Drowning in debt as he's about to get married, a bright but meek salesman receives a mysterious phone call informing him that he's on a hidden-camera game show where he must execute 13 tasks to receive a multi-million dollar cash prize.",2.4244,You don't play the game. It plays you.,"Horror, Thriller","Dimension Films, IM Global, Automatik Entertainment, Little Magic Films, Sahamongkol Film International, Blumhouse Productions",United States of America,English,"Brittney Alger, Tom Bower, Tom Lawson Jr., Jenn Foreman, Greg Pearson, Stephanie Honoré, George Coe, Judd Lormand, Clyde Jones, Ritchie Montgomery, Pruitt Taylor Vince, Angela Jones, Mark Webber, Sabrina Gennarino, Devon Graye, Robert Larriviere, Richard Burgi, Danny Cosmo, Evan King, John McConnell, Christopher Berry, Lance E. Nichols, Deneen Tyler, Ron Perlman, Sharon Smith, Rutina Wesley, Brylee Kate Woodard",Daniel Stamm,Zoltan Honti,"Daniel Stamm, David Birke, Eakasit Thairaat","Kiki Miyake, Jason Blum, Steven Squillante, Brian Kavanaugh-Jones",Michael Wandmacher,6.3,41530,/x4tC1s6oFG9nEyxVSM0FiIsLea1.jpg
1922,452507,5.9,2833,43028,2943477,102,5000000,tt6214928,en,1922,"A simple yet proud rancher conspires to murder his wife for financial gain, convincing his teenage son to participate.",2.6459,Your darkest secrets never stay buried.,"Horror, Crime, Drama","Campfire Studios, Lighthouse Pictures",United States of America,English,"Bart Anderson, Nikolai Witschl, Neal McDonough, Roan Curtis, Tanya Champoux, Thomas Jane, Graeme Duffy, Kaitlyn Bernard, Eric Keenleyside, Dylan Schmid, Spencer Brown, Molly Parker, Michael Bean, Patrick Keating, Mark Acheson, Bob Frazer, Bruce Blain, Brian d'Arcy James, Anna Louise Sargeant, Peter New, Peter Hall, Danielle Klaudt",Zak Hilditch,"Ben Richardson, Pierre Gill","Zak Hilditch, Stephen King","Zak Hilditch, Samantha Housman, Jamie Goehring, Shawn Williamson, Kevin Leeson, Liz Kearney, Ross M. Dinerstein",Mike Patton,6.2,76963,/q4FQOiSRhTLWulHl5Vpg37FMArH.jpg
1987: When the Day Comes,437103,8.121,161,43096,49380115,129,12308000,tt6493286,ko,1987,"In 1987 Korea, under an oppressive military regime, a college student gets killed during a police interrogation involving torture. Government of officials are quick to cover up the death and order the body to be cremated. A prosecutor who is supposed to sign the cremation release, raises questions about a 21-year-old kid dying of a heart attack, and he begins looking into the case for truth. Despite a systematic attempt to silence everyone involved in the case, the truth gets out, causing an eruption of public outrage.",2.9767,The truth must be told.,"Drama, History, Thriller","CJ Entertainment, Woojeong Film",South Korea,한국어/조선말,"Yoo Seung-mok, Moon So-ri, Hwang Sung-joon, Woo Hyeon, Choi Gwang-il, Ko Chang-seok, Choi Ji-min, Seo Chong-ju, Park Ji-hong, Kim Yun-seok, Yoo Hai-jin, Kim Kyung-duk, Oh Dal-su, Ha Jung-woo, Kim Guk-hee, Jeong In-gi, Hyun Bong-sik, Moon Sung-keun, Park Kyung-hye, Kim Dae-heung, Na Chul, Lee Eun-joo, Lee Hee-jun, Park Hee-soon, Yoon Jae-guk, Kim Tae-ri, Sul Kyung-gu, Gang Dong-won, Lee Hwa-ryong, Lee Yong-jik, Bae Young-ran, Han Jun-woo, Yeo Jin-goo, Kim Soo-jin, Lee Chang-hoon, Jo Woo-jin, Choi Mi-geum, Kim Jong-soo, Lee Hyun-kyun, Kang Jeong-woo, Kim Won-jin, Kim Seung-hoon, Park Ji-hwan, Seo Hyun-woo, Kim Eui-sung",Jang Joon-hwan,Kim Woo-hyung,"Lee Woo-jeong, Jang Joon-hwan, Kim Kyung-chan","Jeong Won-chan, Lee Woo-jeong, Jang Young-hwan",Kim Tae-seong,7.7,7748,/3KgL5KiGk8ABfMFHzGP2GnoH8sL.jpg
1992,413846,6.9,177,45533,2900000,96,6500000,tt4959750,en,1992,"In 1992, Mercer is desperately trying to rebuild his life and his relationship with his son amidst the turbulent Los Angeles uprising following the Rodney King verdict. Across town, another father and son put their own strained relationship to the test as they plot a dangerous heist to steal catalytic converters, which contain valuable platinum from the factory where Mercer works. As tensions rise and chaos erupts, both families reach their boiling points when their worlds collide.",4.4151,Every city has a breaking point.,"Crime, Thriller, Action","Trident Films, Death Row Pictures, Sumatra Films, Lionsgate",United States of America,English,"Trevor Van Uden, Scott Eastwood, Trevion Twosifix Pleasant, Alex Michell, Renae Anderson, Blair Vail, Clé Bennett, Sacaiah Shaw, Ivan Rangelov, Anthony Molinari, Euan Macnaughton, Jahmone Duhaney, Micaal Stevens, John Alvarez, Oleg Taktarov, Tosin Morohunfola, Justice, Hanad Abdi, Ray Liotta, Declan Joyce, Ori Pfeffer, Tyrese Gibson, Nathan Cooper, Michael Holston, Christopher Ammanuel, Joy Tess, Dylan Arnold, Michael Beasley, Crystal Lee",Ariel Vromen,Frankie DeMarco,Sascha Penn,"Andreas Rommel, Ariel Vromen, Maurice Fadida, Adam Kolbrenner, Snoop Dogg, Sascha Penn",Gilad Benamram,5.7,4149,/tPvFmQZM5HMspryyYbrtW02NR0G.jpg
