Film[36],U.S. release date,Director,Screenwriter(s),Producer(s),Director(s),Producer,Film[36][96],Status,Film,Screenwriter,"('Film', 'Film', 'Phase One')","('U.S. release date', 'U.S. release date', 'Phase One')","('Box office gross', 'U.S. and Canada', 'Phase One')","('Box office gross', 'Other territories', 'Phase One')","('Box office gross', 'Worldwide', 'Phase One')","('All-time ranking', 'U.S. and Canada', 'Phase One')","('All-time ranking', 'Worldwide', 'Phase One')","('Budget', 'Budget', 'Phase One')","('Ref.', 'Ref.', 'Phase One')","('Critical', 'Rotten Tomatoes', 'Phase One')","('Critical', 'Metacritic', 'Phase One')","('Public', 'CinemaScore', 'Phase One')","('Public', 'PostTrak', 'Phase One')"
Iron Man,"May 2, 2008",Jon Favreau[39],Mark Fergus & Hawk Ostby and Art Marcum & Matt Holloway[39][40],Avi Arad and Kevin Feige,,,,,,,,,,,,,,,,,,,
The Incredible Hulk,"June 13, 2008",Louis Leterrier[41],Zak Penn[42],"Avi Arad, Gale Anne Hurd, and Kevin Feige",,,,,,,,,,,,,,,,,,,
Iron Man 2,"May 7, 2010",Jon Favreau[43],Justin Theroux[44],Kevin Feige,,,,,,,,,,,,,,,,,,,
Thor,"May 6, 2011",Kenneth Branagh[45],Ashley Edward Miller & Zack Stentz and Don Payne[46],Kevin Feige,,,,,,,,,,,,,,,,,,,
Captain America: The First Avenger,"July 22, 2011",Joe Johnston[47],Christopher Markus & Stephen McFeely[48],Kevin Feige,,,,,,,,,,,,,,,,,,,
The Avengers,"May 4, 2012",Joss Whedon[49],Joss Whedon[49],Kevin Feige,,,,,,,,,,,,,,,,,,,
Iron Man 3,"May 3, 2013",,Drew Pearce & Shane Black[50][51],,Shane Black[50],Kevin Feige,,,,,,,,,,,,,,,,,
Thor: The Dark World,"November 8, 2013",,Christopher L. Yost and Christopher Markus & Stephen McFeely[53],,Alan Taylor[52],Kevin Feige,,,,,,,,,,,,,,,,,
Captain America: The Winter Soldier,"April 4, 2014",,Christopher Markus & Stephen McFeely[55],,Anthony and Joe Russo[54],Kevin Feige,,,,,,,,,,,,,,,,,
Guardians of the Galaxy,"August 1, 2014",,James Gunn and Nicole Perlman[57],,James Gunn[56],Kevin Feige,,,,,,,,,,,,,,,,,
Avengers: Age of Ultron,"May 1, 2015",,Joss Whedon[58],,Joss Whedon[58],Kevin Feige,,,,,,,,,,,,,,,,,
